osmid,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,lanes,ref
32808356,Südbauernweg,residential,False,True,345.812,30,"LINESTRING (12.7394198 50.7886702, 12.7389468 50.7885521, 12.7385578 50.7884101, 12.7378839 50.7883405, 12.7370683 50.788161, 12.7356204 50.7878999, 12.7347168 50.7878345)",,,
102833827,Schillersiedlung,residential,False,False,94.92,,"LINESTRING (12.7394198 50.7886702, 12.7396742 50.788218, 12.7398524 50.7878617)",,,
512055919,Abteistraße,residential,False,False,29.687,50,"LINESTRING (12.7342949 50.7878228, 12.7347168 50.7878345)",,,
"[99235584, 102833828]",Abteiblick,"['residential', 'living_street']",False,True,314.96500000000003,,"LINESTRING (12.7342949 50.7878228, 12.734407 50.7875266, 12.7342056 50.7874032, 12.7337445 50.7872796, 12.7337454 50.7871127, 12.7340976 50.7862712, 12.7340803 50.7861948, 12.734017 50.7861184, 12.7336141 50.7859146, 12.7334932 50.7859146, 12.7333954 50.7859656, 12.7331759 50.7862874)",,,
512055919,Abteistraße,residential,False,True,91.82900000000001,50,"LINESTRING (12.7342949 50.7878228, 12.7335968 50.7878205, 12.7329898 50.7878445)",,,
150950824,Heinrich-Heine-Weg,residential,False,False,183.35400000000004,,"LINESTRING (12.7301286 50.7889949, 12.7298234 50.7895766, 12.7296281 50.7901105, 12.7295067 50.7903174, 12.7293008 50.790551)",,,
164499922,Hofer Straße,primary,False,False,90.538,50,"LINESTRING (12.7301286 50.7889949, 12.7298191 50.7888847, 12.7290145 50.7885864)",,2,B 173
"[164499920, 164499922, 44025971]",Hofer Straße,primary,False,True,308.145,50,"LINESTRING (12.7301286 50.7889949, 12.7305066 50.789109, 12.7308422 50.7891956, 12.7311504 50.7892556, 12.7312831 50.7892821, 12.731593 50.7893221, 12.7318218 50.7893223, 12.7320472 50.7893037, 12.7325192 50.7892294, 12.7329102 50.7891799, 12.7333165 50.7891485, 12.733445 50.7891505, 12.7334608 50.7891518, 12.7336635 50.7891577, 12.7343835 50.7892181)",,2,B 173
150950824,Heinrich-Heine-Weg,residential,False,True,183.35399999999998,,"LINESTRING (12.7293008 50.790551, 12.7295067 50.7903174, 12.7296281 50.7901105, 12.7298234 50.7895766, 12.7301286 50.7889949)",,,
329558660,Abteisiedlung,residential,False,False,80.282,,"LINESTRING (12.7329898 50.7878445, 12.7333187 50.7871531)",,,
512055919,Abteistraße,residential,False,False,91.82900000000001,50,"LINESTRING (12.7329898 50.7878445, 12.7335968 50.7878205, 12.7342949 50.7878228)",,,
512055919,Abteistraße,residential,False,True,79.389,50,"LINESTRING (12.7329898 50.7878445, 12.7329101 50.7878477, 12.7322698 50.7879181, 12.7319522 50.7879294, 12.7318751 50.7879128)",,,
329558660,Abteisiedlung,residential,False,True,80.282,,"LINESTRING (12.7333187 50.7871531, 12.7329898 50.7878445)",,,
