osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction,width
9779675,Raderstraße,secondary,False,False,26.929000000000002,"LINESTRING (6.6595095 50.2226428, 6.6595253 50.222708, 6.6595463 50.2227697, 6.6595609 50.2228021, 6.6595954 50.2228783)",2,L 29,50,,,
"[23288150, 829125034, 23288149, 11771902]",Bahnhofstraße,residential,True,False,116.19299999999998,"LINESTRING (6.6595095 50.2226428, 6.6593699 50.2227279, 6.6590279 50.2231585, 6.6590036 50.2231891, 6.6588022 50.2234799, 6.6587638 50.2235625)",,,,yes,,
"[794705934, 794705935]",Raderstraße,secondary,False,True,33.234,"LINESTRING (6.6595095 50.2226428, 6.6595206 50.2226123, 6.6595314 50.2225668, 6.6595515 50.2225196, 6.6595736 50.2224772, 6.6595796 50.2224403, 6.6595817 50.2223931, 6.659577 50.2223496)",3,L 29,50,,,
"[1169732263, 1169732265, 11771978, 8819274, 181129481]",Bahnhofstraße,residential,False,False,203.24399999999997,"LINESTRING (6.6587638 50.2235625, 6.6587652 50.2235922, 6.6587874 50.2236231, 6.658818 50.2236392, 6.6588619 50.2236505, 6.6592395 50.2236804, 6.6593356 50.2236821, 6.659449 50.2236807, 6.6597124 50.2236658, 6.6599893 50.2236276, 6.660276 50.2235868, 6.6604202 50.2235708, 6.6605482 50.2235654, 6.6608068 50.2235692, 6.6610615 50.2235871, 6.661077 50.223505, 6.6611158 50.2233017)",2,,30,yes,,
10420057,,primary,True,False,4.572,"LINESTRING (6.65774 50.224049, 6.657761 50.2240464, 6.6577824 50.2240454, 6.6578038 50.2240461)",1,,50,,roundabout,
10420057,,primary,True,False,13.724,"LINESTRING (6.6577586 50.224265, 6.6577376 50.2242622, 6.6577174 50.2242576, 6.6576982 50.2242516, 6.6576803 50.224244, 6.657664 50.2242351, 6.6576496 50.2242249, 6.6576372 50.2242137, 6.6576272 50.2242016, 6.6576195 50.2241888)",1,,50,,roundabout,
820142578,Lindenstraße,secondary,True,False,38.075,"LINESTRING (6.6577586 50.224265, 6.6577048 50.2242846, 6.6576565 50.2243022, 6.6576149 50.2243189, 6.6575633 50.2243464, 6.6574902 50.2243816, 6.6572934 50.2244284)",1,L 29,30,,,
"[188138609, 23336131]","['Albertinumweg', 'Digoinstraße']",residential,False,False,277.80199999999996,"LINESTRING (6.6587751 50.2246943, 6.6586666 50.2250321, 6.6586707 50.2250961, 6.6587348 50.2251335, 6.6588356 50.2251463, 6.6607909 50.2253199, 6.6612778 50.2253611, 6.6614968 50.2253664, 6.6616342 50.2253562, 6.6617496 50.2253238, 6.6618305 50.2252606)",,,30,,,
31696657,Gymnasialstraße,residential,False,False,132.132,"LINESTRING (6.6587751 50.2246943, 6.6589205 50.2247153, 6.6592518 50.2247542, 6.6595736 50.2247818, 6.6599529 50.2248055, 6.6603637 50.224834, 6.6606129 50.2248599)",,,30,,,
31696657,Gymnasialstraße,residential,False,True,82.183,"LINESTRING (6.6587751 50.2246943, 6.6584517 50.2246647, 6.6580225 50.2246459, 6.6576247 50.224659)",,,30,,,
31696576,Gymnasialstraße,residential,False,False,118.852,"LINESTRING (6.6618305 50.2252606, 6.6620164 50.2253191, 6.6622288 50.2253553, 6.6624947 50.2253606, 6.66303 50.2253523, 6.6634722 50.2253492)",,,30,,,
"[31696576, 31696657]",Gymnasialstraße,residential,False,True,97.652,"LINESTRING (6.6618305 50.2252606, 6.6614099 50.2250963, 6.6610136 50.2249618, 6.6606488 50.2248675, 6.6606129 50.2248599)",,,30,,,
"[188138609, 23336131]","['Albertinumweg', 'Digoinstraße']",residential,False,True,277.80199999999996,"LINESTRING (6.6618305 50.2252606, 6.6617496 50.2253238, 6.6616342 50.2253562, 6.6614968 50.2253664, 6.6612778 50.2253611, 6.6607909 50.2253199, 6.6588356 50.2251463, 6.6587348 50.2251335, 6.6586707 50.2250961, 6.6586666 50.2250321, 6.6587751 50.2246943)",,,30,,,
"[23336146, 23336183]",Gartenstraße,residential,False,True,120.32199999999999,"LINESTRING (6.6553458 50.2247733, 6.6552924 50.224552, 6.6552518 50.2245104, 6.6551949 50.2244987, 6.6550804 50.2244738, 6.6550155 50.2244406, 6.6549945 50.2243959, 6.654988 50.2243171, 6.6550124 50.2238629, 6.6550408 50.2238054)",,,,,,
374421604,Lindenstraße,secondary,False,False,135.113,"LINESTRING (6.6553458 50.2247733, 6.6556644 50.2247378, 6.6561628 50.2247113, 6.6564646 50.2246643, 6.6567677 50.2245925, 6.657168 50.2244727)",,L 29,30,,,
10420073,Sarresdorfer Straße,primary,False,False,144.734,"LINESTRING (6.6550408 50.2238054, 6.6554363 50.2238749, 6.6557325 50.2239123, 6.6561739 50.223959, 6.6565049 50.223981, 6.6567656 50.2239926, 6.6570462 50.224001)",2,B 410,50,,,
"[23336146, 23336183]",Gartenstraße,residential,False,False,120.32199999999999,"LINESTRING (6.6550408 50.2238054, 6.6550124 50.2238629, 6.654988 50.2243171, 6.6549945 50.2243959, 6.6550155 50.2244406, 6.6550804 50.2244738, 6.6551949 50.2244987, 6.6552518 50.2245104, 6.6552924 50.224552, 6.6553458 50.2247733)",,,,,,
27334294,Burgring,residential,False,False,58.578,"LINESTRING (6.6623639 50.2190835, 6.6621863 50.2195979)",,,,,,
28363019,Graf-Karl-Ferdinand-Straße,residential,False,False,224.12300000000002,"LINESTRING (6.6623639 50.2190835, 6.6624529 50.2191014, 6.6625237 50.2191244, 6.6625787 50.2191697, 6.6626608 50.2192258, 6.662787 50.2192994, 6.6628916 50.2193352, 6.6630898 50.2193806, 6.66345 50.2194444, 6.6637171 50.2195169, 6.6640228 50.2196046, 6.664224 50.2196654, 6.6645401 50.2197382, 6.6648428 50.2197978, 6.6650644 50.2198518, 6.6652204 50.2198435)",,,,,,
32495545,,residential,False,False,72.688,"LINESTRING (6.6671111 50.2198299, 6.6670301 50.2197284, 6.6667495 50.2192194)",,,,,,
32499933,Hubert-Rahm-Weg,residential,False,False,144.995,"LINESTRING (6.6671111 50.2198299, 6.6672632 50.2197836, 6.6675359 50.2196416, 6.6680004 50.2193918, 6.6686644 50.2189926)",,,,,,
44510685,Gerolstraße,residential,False,True,135.147,"LINESTRING (6.6671111 50.2198299, 6.6669423 50.2198505, 6.6665163 50.2198528, 6.6660634 50.2198555, 6.6656936 50.2198385, 6.665404 50.2198206, 6.6652204 50.2198435)",,,,,,
28363018,Stefan-Dohm-Straße,residential,False,True,208.995,"LINESTRING (6.6629128 50.2203274, 6.6599792 50.2202303)",,,,,,
"[27334296, 49070132, 794705949]",Burgstraße,residential,False,False,300.8140000000001,"LINESTRING (6.6629128 50.2203274, 6.6629603 50.220413, 6.6633686 50.2208527, 6.6634126 50.2209725, 6.6634561 50.2210765, 6.6637019 50.221363, 6.6638942 50.2215238, 6.6640095 50.2215769, 6.6645214 50.2216689, 6.6652666 50.2218229, 6.6657481 50.2218941, 6.6658828 50.2219332)",2,,30,,,
27334296,Burgstraße,residential,False,True,102.47599999999998,"LINESTRING (6.6629128 50.2203274, 6.6628601 50.2202214, 6.6627964 50.2201603, 6.6626727 50.2200974, 6.662527 50.2200439, 6.6623393 50.2199578, 6.6622528 50.2198562, 6.6622009 50.2197508, 6.6621781 50.219665, 6.6621863 50.2195979)",,,,,,
27334300,Manderscheider Straße,residential,False,False,47.016999999999996,"LINESTRING (6.6601256 50.219818, 6.660003 50.2201562, 6.6599792 50.2202303)",,,,,,
27334310,Kronenburger Straße,residential,False,True,82.276,"LINESTRING (6.6601256 50.219818, 6.6607216 50.2197913, 6.6608381 50.2197744, 6.6610395 50.2197212, 6.6612338 50.219653)",,,,,,
27334310,Kronenburger Straße,residential,False,True,68.045,"LINESTRING (6.6612338 50.219653, 6.6621863 50.2195979)",,,,,,
27334310,Kronenburger Straße,residential,False,False,82.27600000000001,"LINESTRING (6.6612338 50.219653, 6.6610395 50.2197212, 6.6608381 50.2197744, 6.6607216 50.2197913, 6.6601256 50.219818)",,,,,,
27334294,Burgring,residential,False,True,58.578,"LINESTRING (6.6621863 50.2195979, 6.6623639 50.2190835)",,,,,,
27334310,Kronenburger Straße,residential,False,False,68.045,"LINESTRING (6.6621863 50.2195979, 6.6612338 50.219653)",,,,,,
27334296,Burgstraße,residential,False,False,102.476,"LINESTRING (6.6621863 50.2195979, 6.6621781 50.219665, 6.6622009 50.2197508, 6.6622528 50.2198562, 6.6623393 50.2199578, 6.662527 50.2200439, 6.6626727 50.2200974, 6.6627964 50.2201603, 6.6628601 50.2202214, 6.6629128 50.2203274)",,,,,,
31696576,Gymnasialstraße,residential,False,False,287.394,"LINESTRING (6.6666517 50.2255541, 6.6666338 50.2256074, 6.666554 50.2256692, 6.666448 50.2256915, 6.6661929 50.2256933, 6.6659703 50.2257256, 6.6656831 50.2258057, 6.6647972 50.2260845, 6.6643886 50.2261831, 6.6640725 50.2262382, 6.6636791 50.2262884, 6.6633726 50.2263238, 6.6629229 50.2263757)",,,30,,,
31696576,Gymnasialstraße,residential,False,True,144.303,"LINESTRING (6.6666517 50.2255541, 6.6666146 50.2255153, 6.6665394 50.2254791, 6.6664495 50.2254773, 6.6661209 50.2255529, 6.66588 50.2255877, 6.6655577 50.2255856, 6.6652644 50.2255633, 6.6647134 50.2255013)",,,30,,,
31696576,Gymnasialstraße,residential,False,True,287.394,"LINESTRING (6.6629229 50.2263757, 6.6633726 50.2263238, 6.6636791 50.2262884, 6.6640725 50.2262382, 6.6643886 50.2261831, 6.6647972 50.2260845, 6.6656831 50.2258057, 6.6659703 50.2257256, 6.6661929 50.2256933, 6.666448 50.2256915, 6.666554 50.2256692, 6.6666338 50.2256074, 6.6666517 50.2255541)",,,30,,,
"[545538825, 32500151]",Aloys-Schneider-Straße,residential,False,"[False, True]",169.021,"LINESTRING (6.6629229 50.2263757, 6.6629844 50.2264651, 6.6630414 50.2265038, 6.6631674 50.2265529, 6.6631937 50.2265561, 6.6638228 50.2266325, 6.6642747 50.2266738, 6.6645209 50.2266883, 6.6646073 50.2266907, 6.6646765 50.2266926, 6.6648602 50.2267019, 6.6648986 50.2267408, 6.6649366 50.2267633, 6.6649849 50.2267721, 6.6650198 50.2267712, 6.6650527 50.2267642, 6.6650859 50.226752)",,,30,,,
32500151,Aloys-Schneider-Straße,residential,False,True,330.04600000000005,"LINESTRING (6.6629229 50.2263757, 6.6625037 50.2263767, 6.6608826 50.2263848, 6.6598829 50.2263955, 6.6595525 50.2263958, 6.6593441 50.2263705, 6.6591532 50.2263141, 6.6588426 50.2261849, 6.6583986 50.226075)",,,30,,,
32500151,Aloys-Schneider-Straße,residential,False,False,330.04600000000005,"LINESTRING (6.6583986 50.226075, 6.6588426 50.2261849, 6.6591532 50.2263141, 6.6593441 50.2263705, 6.6595525 50.2263958, 6.6598829 50.2263955, 6.6608826 50.2263848, 6.6625037 50.2263767, 6.6629229 50.2263757)",,,30,,,
"[856310312, 218316313]",Unter den Dolomiten,residential,False,True,277.846,"LINESTRING (6.6583986 50.226075, 6.6584108 50.2261319, 6.6584544 50.2261667, 6.6587134 50.2262109, 6.65892 50.2262778, 6.6591925 50.2264107, 6.6595209 50.2266332, 6.6597705 50.2268021, 6.6598532 50.2268604, 6.6601255 50.2269864, 6.6605768 50.2271178, 6.6610603 50.227227, 6.6616211 50.2273536)",,,30,,,
28363018,Stefan-Dohm-Straße,residential,False,False,208.995,"LINESTRING (6.6599792 50.2202303, 6.6629128 50.2203274)",,,,,,
27334300,Manderscheider Straße,residential,False,True,47.016999999999996,"LINESTRING (6.6599792 50.2202303, 6.660003 50.2201562, 6.6601256 50.219818)",,,,,,
32500060,Am Graben,residential,False,False,121.92999999999999,"LINESTRING (6.6599792 50.2202303, 6.6597871 50.2203123, 6.6596545 50.2202882, 6.6594805 50.2202025, 6.6594027 50.220137, 6.6593297 50.2201159, 6.6592739 50.2201288, 6.6592108 50.220227, 6.6591887 50.2203123, 6.6590537 50.2205186, 6.6588968 50.2206048)",,,,,,
9779683,Lissinger Straße,tertiary,False,True,128.374,"LINESTRING (6.6567217 50.2191026, 6.6568675 50.2191315, 6.6569725 50.2191684, 6.6570476 50.2192053, 6.6571348 50.2192577, 6.6571932 50.219313, 6.6577739 50.2198274, 6.6579113 50.2199386)",,K 32,,,,
30434578,Obere Marktstraße,residential,False,True,13.585,"LINESTRING (6.6589445 50.2207231, 6.6588968 50.2206048)",,,30,,,
30434578,Obere Marktstraße,residential,False,False,26.371000000000002,"LINESTRING (6.6589445 50.2207231, 6.6590506 50.2208486, 6.6591416 50.220923)",,,30,,,
30434580,Alter Marktplatz,residential,False,False,65.40700000000001,"LINESTRING (6.6589445 50.2207231, 6.6588167 50.2210221, 6.6591024 50.2210884, 6.6592317 50.2210751)",,,,,,
"[794705939, 8819269]",Hauptstraße,living_street,True,False,36.661,"LINESTRING (6.662398 50.2222046, 6.6627271 50.2222345, 6.66291 50.2222353)",1,,,,,
30434579,Untere Marktstraße,residential,False,True,267.023,"LINESTRING (6.662398 50.2222046, 6.662415 50.2221758, 6.6624026 50.2221431, 6.6623805 50.2221219, 6.6619484 50.2219658, 6.6617467 50.2218784, 6.6614163 50.221697, 6.661214 50.2215795, 6.6610406 50.2215026, 6.6608195 50.2214333, 6.6605215 50.2213582, 6.6601103 50.2212727, 6.6598995 50.2212407, 6.6595603 50.2212089, 6.659406 50.2211686, 6.659292 50.2211154, 6.6592317 50.2210751)",,,30,,,
30434578,Obere Marktstraße,residential,False,False,324.0449999999999,"LINESTRING (6.6591416 50.220923, 6.6592303 50.2209447, 6.6594221 50.2210047, 6.6596112 50.2210494, 6.6597645 50.2210709, 6.6602006 50.2210815, 6.660983 50.2210974, 6.6611171 50.2211173, 6.6612455 50.2211608, 6.661359 50.2212236, 6.6615035 50.2213579, 6.6617344 50.2215396, 6.6621367 50.221809, 6.6624636 50.2219917, 6.6627284 50.2221125, 6.6628875 50.2221923, 6.66291 50.2222353)",,,30,,,
30434578,Obere Marktstraße,residential,False,True,26.371000000000002,"LINESTRING (6.6591416 50.220923, 6.6590506 50.2208486, 6.6589445 50.2207231)",,,30,,,
30434579,Untere Marktstraße,residential,False,False,18.18,"LINESTRING (6.6591416 50.220923, 6.6591847 50.2210185, 6.6592317 50.2210751)",,,30,,,
30434578,Obere Marktstraße,residential,False,True,324.04499999999996,"LINESTRING (6.66291 50.2222353, 6.6628875 50.2221923, 6.6627284 50.2221125, 6.6624636 50.2219917, 6.6621367 50.221809, 6.6617344 50.2215396, 6.6615035 50.2213579, 6.661359 50.2212236, 6.6612455 50.2211608, 6.6611171 50.2211173, 6.660983 50.2210974, 6.6602006 50.2210815, 6.6597645 50.2210709, 6.6596112 50.2210494, 6.6594221 50.2210047, 6.6592303 50.2209447, 6.6591416 50.220923)",,,30,,,
"[183454151, 794705937, 794705940, 794705941, 794705942]",Hauptstraße,"['living_street', 'residential']",True,False,212.029,"LINESTRING (6.66291 50.2222353, 6.6632274 50.2222381, 6.6635494 50.2222262, 6.6640951 50.2221812, 6.6643021 50.2221675, 6.6643545 50.2221636, 6.6645901 50.2221507, 6.6649252 50.222099, 6.6650528 50.2220875, 6.6653491 50.2220567, 6.6654946 50.2220297, 6.6657453 50.2219904, 6.6658547 50.2219921)",1,,30,,,
30434579,Untere Marktstraße,residential,False,False,267.02299999999997,"LINESTRING (6.6592317 50.2210751, 6.659292 50.2211154, 6.659406 50.2211686, 6.6595603 50.2212089, 6.6598995 50.2212407, 6.6601103 50.2212727, 6.6605215 50.2213582, 6.6608195 50.2214333, 6.6610406 50.2215026, 6.661214 50.2215795, 6.6614163 50.221697, 6.6617467 50.2218784, 6.6619484 50.2219658, 6.6623805 50.2221219, 6.6624026 50.2221431, 6.662415 50.2221758, 6.662398 50.2222046)",,,30,,,
30434579,Untere Marktstraße,residential,False,True,18.18,"LINESTRING (6.6592317 50.2210751, 6.6591847 50.2210185, 6.6591416 50.220923)",,,30,,,
30434580,Alter Marktplatz,residential,False,True,65.40700000000001,"LINESTRING (6.6592317 50.2210751, 6.6591024 50.2210884, 6.6588167 50.2210221, 6.6589445 50.2207231)",,,,,,
374421604,Lindenstraße,secondary,False,True,10.191,"LINESTRING (6.6572934 50.2244284, 6.657168 50.2244727)",,L 29,30,,,
820142579,Lindenstraße,secondary,True,False,36.013,"LINESTRING (6.6572934 50.2244284, 6.6574406 50.2243391, 6.6574942 50.2243138, 6.6575251 50.2242975, 6.6575445 50.2242842, 6.657572 50.2242619, 6.6575881 50.2242413, 6.6575995 50.2242241, 6.6576195 50.2241888)",1,L 29,30,,,
820142580,Gymnasialstraße,residential,True,False,36.403999999999996,"LINESTRING (6.6572934 50.2244284, 6.6573836 50.2245389, 6.6574311 50.224585, 6.6574708 50.224612, 6.6575251 50.2246364, 6.6575747 50.2246514, 6.6576247 50.224659)",1,,30,,,
"[31696609, 216604141]",Gymnasialstraße,residential,False,"[False, True]",124.598,"LINESTRING (6.6592049 50.2250298, 6.659912 50.2250626, 6.6605829 50.2250956, 6.6606129 50.2248599)",,,30,,,
"[31696609, 216604141]",Gymnasialstraße,residential,False,"[False, True]",124.59800000000001,"LINESTRING (6.6606129 50.2248599, 6.6605829 50.2250956, 6.659912 50.2250626, 6.6592049 50.2250298)",,,30,,,
"[31696576, 31696657]",Gymnasialstraße,residential,False,False,97.652,"LINESTRING (6.6606129 50.2248599, 6.6606488 50.2248675, 6.6610136 50.2249618, 6.6614099 50.2250963, 6.6618305 50.2252606)",,,30,,,
31696657,Gymnasialstraße,residential,False,True,132.132,"LINESTRING (6.6606129 50.2248599, 6.6603637 50.224834, 6.6599529 50.2248055, 6.6595736 50.2247818, 6.6592518 50.2247542, 6.6589205 50.2247153, 6.6587751 50.2246943)",,,30,,,
31696576,Gymnasialstraße,residential,False,False,89.912,"LINESTRING (6.6634722 50.2253492, 6.6638192 50.2253865, 6.6647134 50.2255013)",,,30,,,
31696576,Gymnasialstraße,residential,False,True,118.85199999999999,"LINESTRING (6.6634722 50.2253492, 6.66303 50.2253523, 6.6624947 50.2253606, 6.6622288 50.2253553, 6.6620164 50.2253191, 6.6618305 50.2252606)",,,30,,,
"[31696753, 31696749]",Im Leutersfeld,residential,False,False,97.85600000000001,"LINESTRING (6.6634722 50.2253492, 6.6634023 50.2255273, 6.6633367 50.2256648, 6.6633278 50.2257373, 6.6633793 50.2257702, 6.6634939 50.2257808, 6.6638758 50.2257811, 6.6640513 50.2258058)",,,30,,,
"[31696753, 31696749]",Im Leutersfeld,residential,False,True,97.856,"LINESTRING (6.6640513 50.2258058, 6.6638758 50.2257811, 6.6634939 50.2257808, 6.6633793 50.2257702, 6.6633278 50.2257373, 6.6633367 50.2256648, 6.6634023 50.2255273, 6.6634722 50.2253492)",,,30,,,
31697478,Kasselburger Weg,residential,False,False,44.867,"LINESTRING (6.6648336 50.2247891, 6.6642038 50.2247677)",,,,,,
31697491,Kasselburger Weg,residential,False,False,79.656,"LINESTRING (6.6648336 50.2247891, 6.6647663 50.2251628, 6.6647134 50.2255013)",,,,,,
31696576,Gymnasialstraße,residential,False,False,144.30299999999997,"LINESTRING (6.6647134 50.2255013, 6.6652644 50.2255633, 6.6655577 50.2255856, 6.66588 50.2255877, 6.6661209 50.2255529, 6.6664495 50.2254773, 6.6665394 50.2254791, 6.6666146 50.2255153, 6.6666517 50.2255541)",,,30,,,
31696576,Gymnasialstraße,residential,False,True,89.912,"LINESTRING (6.6647134 50.2255013, 6.6638192 50.2253865, 6.6634722 50.2253492)",,,30,,,
31697491,Kasselburger Weg,residential,False,True,79.656,"LINESTRING (6.6647134 50.2255013, 6.6647663 50.2251628, 6.6648336 50.2247891)",,,,,,
31697478,Kasselburger Weg,residential,False,True,44.867,"LINESTRING (6.6642038 50.2247677, 6.6648336 50.2247891)",,,,,,
31697528,Kasselburger Weg,residential,False,False,162.491,"LINESTRING (6.6642038 50.2247677, 6.6641454 50.2248252, 6.6640637 50.2248354, 6.6638642 50.2248244, 6.6634566 50.2248106, 6.6631735 50.2248074, 6.6619735 50.2248531)",,,,,,
"[829125035, 31697573, 1169732269]",Kasselburger Weg,residential,False,False,389.39799999999997,"LINESTRING (6.6642038 50.2247677, 6.6631755 50.2247132, 6.6627231 50.2246804, 6.6622469 50.2246522, 6.6618036 50.2245942, 6.6615552 50.2245258, 6.6613813 50.2244617, 6.661199 50.2244344, 6.6607322 50.2244215, 6.6605927 50.224419, 6.6602029 50.2243972, 6.6591327 50.2243694, 6.6590781 50.2243674, 6.6589694 50.2243453, 6.6589155 50.2243314, 6.6588823 50.2243196, 6.6588555 50.2243069, 6.658834 50.2242934)",2,,,,,
31697528,Kasselburger Weg,residential,False,True,162.491,"LINESTRING (6.6619735 50.2248531, 6.6631735 50.2248074, 6.6634566 50.2248106, 6.6638642 50.2248244, 6.6640637 50.2248354, 6.6641454 50.2248252, 6.6642038 50.2247677)",,,,,,
32499933,Hubert-Rahm-Weg,residential,False,True,144.99500000000003,"LINESTRING (6.6686644 50.2189926, 6.6680004 50.2193918, 6.6675359 50.2196416, 6.6672632 50.2197836, 6.6671111 50.2198299)",,,,,,
32495545,,residential,False,False,27.711,"LINESTRING (6.6667495 50.2192194, 6.6666376 50.2189807)",,,,,,
32495545,,residential,False,True,72.688,"LINESTRING (6.6667495 50.2192194, 6.6670301 50.2197284, 6.6671111 50.2198299)",,,,,,
32495545,,residential,False,True,27.711,"LINESTRING (6.6666376 50.2189807, 6.6667495 50.2192194)",,,,,,
32495553,,residential,False,False,54.049,"LINESTRING (6.6666376 50.2189807, 6.6659804 50.2192245)",,,,,,
32495553,,residential,False,True,54.049,"LINESTRING (6.6659804 50.2192245, 6.6666376 50.2189807)",,,,,,
30434578,Obere Marktstraße,residential,False,False,13.585,"LINESTRING (6.6588968 50.2206048, 6.6589445 50.2207231)",,,30,,,
30434578,Obere Marktstraße,residential,False,True,96.35799999999999,"LINESTRING (6.6588968 50.2206048, 6.6587961 50.2204366, 6.658534 50.2202288, 6.6582331 50.220098, 6.6581655 50.2200707, 6.6580863 50.2200463, 6.65803 50.2200338, 6.657966 50.2200297)",,,30,,,
32500060,Am Graben,residential,False,True,121.93,"LINESTRING (6.6588968 50.2206048, 6.6590537 50.2205186, 6.6591887 50.2203123, 6.6592108 50.220227, 6.6592739 50.2201288, 6.6593297 50.2201159, 6.6594027 50.220137, 6.6594805 50.2202025, 6.6596545 50.2202882, 6.6597871 50.2203123, 6.6599792 50.2202303)",,,,,,
224539561,Mühlenstraße,residential,False,True,10.803,"LINESTRING (6.6683402 50.2228516, 6.6683605 50.2228187, 6.6683713 50.2228028, 6.6683766 50.2227796, 6.6683766 50.2227586)",2,,30,,,
"[794733254, 794733256, 794733257, 794733258, 689013869, 794733262, 689013870, 10420638]",Brunnenstraße,primary,False,True,453.44100000000003,"LINESTRING (6.6683402 50.2228516, 6.6681119 50.2227881, 6.6678315 50.2227273, 6.6676189 50.22269, 6.6674392 50.2226612, 6.6672454 50.2226376, 6.6670945 50.2226222, 6.6669269 50.2226089, 6.6667522 50.2225987, 6.6666458 50.2225952, 6.6662215 50.2225917, 6.6659296 50.2225972, 6.6657876 50.2226022, 6.6656642 50.2226106, 6.665506 50.222623, 6.6653009 50.222642, 6.6651789 50.2226542, 6.6649885 50.2226749, 6.6640314 50.2228027, 6.6637481 50.2228414, 6.6634389 50.2228836, 6.6629887 50.222945, 6.6626378 50.2229929, 6.6620972 50.2230687)","['2', '3']",B 410,50,,,
8819263,An der Burg,residential,False,True,129.529,"LINESTRING (6.6652204 50.2198435, 6.665118 50.2199552, 6.6650463 50.2201435, 6.6650848 50.2204236, 6.6652785 50.2206755, 6.6656644 50.2208068)",,,,,,
