osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,ref,access,width
207051578,2,Umgehungsstraße,secondary,70,False,True,34.123,"LINESTRING (8.1351171 47.7580724, 8.1353011 47.7580944, 8.1354394 47.7581106, 8.1355262 47.7581205, 8.1355668 47.7581251)",,,L 149,,
64459803,,Todtmooser Straße,living_street,,False,False,207.59399999999997,"LINESTRING (8.1250339 47.7615315, 8.1250378 47.7614521, 8.1250898 47.7613819, 8.1253328 47.761257, 8.1254547 47.7611921, 8.1256393 47.7611072, 8.1257783 47.7610271, 8.1259835 47.7608818, 8.1263321 47.7605983, 8.1264496 47.7604537, 8.126504 47.7603691, 8.1265315 47.7602729, 8.1265439 47.7602043, 8.1265398 47.760071)",,,,,
"[1264972801, 1264972802, 64459803, 11272703]",2,Todtmooser Straße,"['living_street', 'residential']",,False,True,39.858000000000004,"LINESTRING (8.1250339 47.7615315, 8.1250548 47.7615743, 8.1251049 47.7616304, 8.1251674 47.7616666, 8.1252448 47.7616906, 8.1253251 47.7617096, 8.1254349 47.7617348)",,,,,
31501713,,Fürstabt-Gerbert-Straße,residential,,False,False,10.421,"LINESTRING (8.1288187 47.7603028, 8.1286793 47.7603041)",,,,,
11272688,,Im süßen Winkel,residential,,False,False,34.854,"LINESTRING (8.1288187 47.7603028, 8.1288641 47.7605301, 8.1288899 47.7606023, 8.1288925 47.760612)",,,,yes,
"[31501713, 31501707, 975506929, 34138247]",,Fürstabt-Gerbert-Straße,residential,30,False,True,237.57899999999995,"LINESTRING (8.1288187 47.7603028, 8.1289849 47.7603101, 8.1291299 47.7603487, 8.1291757 47.7603699, 8.1293892 47.7604765, 8.1295264 47.7604953, 8.1296768 47.7604842, 8.1297052 47.7604811, 8.1299839 47.7604503, 8.1305674 47.7603859, 8.1305918 47.7603865, 8.1307088 47.7603892, 8.1307463 47.76039, 8.1309712 47.760459, 8.1311757 47.7604793, 8.131345 47.7604489, 8.1313979 47.7604312, 8.1314087 47.7604491, 8.1315396 47.7606497, 8.1315995 47.7607185)",yes,,,,
34138301,,Am Kurgarten,residential,,False,False,101.19399999999999,"LINESTRING (8.1282019 47.7612651, 8.1281395 47.7608532, 8.128048 47.760361)",,,,yes,
"[135006709, 207051589, 34138301]",,Am Kurgarten,residential,,False,"[False, True]",116.587,"LINESTRING (8.1282019 47.7612651, 8.1286172 47.7612381, 8.1289891 47.7612101, 8.1289157 47.7607168, 8.1289116 47.7606963)",,,,yes,
135032863,,Am Kurgarten,residential,,False,True,33.077,"LINESTRING (8.1282019 47.7612651, 8.1281032 47.7612737, 8.1281372 47.7613759, 8.1281645 47.7615004)",,,,,
34138301,,Am Kurgarten,residential,,False,True,101.19399999999999,"LINESTRING (8.128048 47.760361, 8.1281395 47.7608532, 8.1282019 47.7612651)",,,,yes,
"[207051584, 34138465]",,Tusculumweg,residential,,False,False,155.24800000000002,"LINESTRING (8.128048 47.760361, 8.1280455 47.7603378, 8.1280168 47.7601755, 8.1279778 47.7599269, 8.1279328 47.7597022, 8.1279364 47.759573, 8.127949 47.7594729, 8.1279651 47.7593451, 8.1280475 47.7592211, 8.1281551 47.7591727, 8.1283175 47.7591268, 8.1283653 47.7591171)",yes,,,destination,
"[939472746, 939472747, 207051573]",,Fürstabt-Gerbert-Straße,residential,,False,False,100.15699999999998,"LINESTRING (8.128048 47.760361, 8.1279797 47.7603662, 8.1277704 47.7604615, 8.1276541 47.7605291, 8.1273774 47.7607926, 8.1271223 47.7609863)",,,,,
"[31501713, 207051573, 207051574]",,Fürstabt-Gerbert-Straße,residential,,False,True,47.612,"LINESTRING (8.128048 47.760361, 8.1283673 47.7603312, 8.1284032 47.7603281, 8.1285194 47.760318, 8.1286355 47.7603079, 8.1286793 47.7603041)",yes,,,,
31472569,,Am Kurgarten,residential,,False,True,93.696,"LINESTRING (8.1278656 47.7608739, 8.1278497 47.7611747, 8.1276461 47.7611756, 8.1273856 47.7611173, 8.1271223 47.7609863)",,,,,
11272710,,,unclassified,,False,True,40.083,"LINESTRING (8.1263774 47.7597444, 8.1264247 47.7595489, 8.1264587 47.759453, 8.1264463 47.7594158, 8.1264092 47.7594096)",,,,,
64459803,,Todtmooser Straße,living_street,,False,True,38.515,"LINESTRING (8.1263774 47.7597444, 8.1265135 47.7599636, 8.1265398 47.760071)",,,,,
11272710,,,unclassified,,False,False,40.083,"LINESTRING (8.1264092 47.7594096, 8.1264463 47.7594158, 8.1264587 47.759453, 8.1264247 47.7595489, 8.1263774 47.7597444)",,,,,
"[31501786, 1173954310, 32919367, 24558007]",2,Todtmooser Straße,residential,30,False,False,66.572,"LINESTRING (8.1288199 47.7618066, 8.1288072 47.761751, 8.128771 47.7617079, 8.1287559 47.7616907, 8.1286461 47.7615806, 8.1286123 47.7615583, 8.1285737 47.7615443, 8.1285286 47.7615344, 8.1284115 47.7615199, 8.1281645 47.7615004)",yes,,,,
236123729,,Bernau-Menzenschwander-Straße,residential,30,False,True,43.541000000000004,"LINESTRING (8.1288199 47.7618066, 8.128797 47.7618699, 8.128607 47.7620561, 8.1285942 47.7620687, 8.1285239 47.7621398)",,,,,
"[32919336, 1068886829]",2,Hauptstraße,residential,30,False,True,234.92,"LINESTRING (8.1288199 47.7618066, 8.1290081 47.7617365, 8.1291083 47.7616914, 8.1295147 47.7614841, 8.1299531 47.7613029, 8.1304298 47.7611239, 8.1305121 47.7610948, 8.1308182 47.7609864, 8.1315289 47.7607435)",,,,,
27136713,,Friedrichstraße,residential,30,False,False,217.33700000000005,"LINESTRING (8.1375602 47.7592275, 8.136801 47.7592536, 8.1365461 47.7592474, 8.1363227 47.7592394, 8.1361552 47.7592298, 8.1360223 47.7592196, 8.135819 47.7592125, 8.1356821 47.7591934, 8.1354335 47.7591729, 8.1353175 47.7591882, 8.1351155 47.7592448, 8.1349674 47.7592951, 8.1347106 47.7593508)",,,,,
"[34137914, 1068886834, 32919335]",,Bötzbergstraße,residential,30,False,False,387.17600000000004,"LINESTRING (8.1375602 47.7592275, 8.1375353 47.7593098, 8.1373342 47.759366, 8.136692 47.7594783, 8.1365939 47.7595007, 8.1360018 47.7596793, 8.1353882 47.7599351, 8.1351346 47.7599823, 8.1351153 47.7600292, 8.1351531 47.7600888, 8.1352073 47.7601246, 8.1352904 47.7601265, 8.1353888 47.7600997, 8.1355974 47.759995, 8.1360228 47.7599143, 8.1365801 47.7599357, 8.1369638 47.7599966, 8.1370634 47.7600816, 8.1372157 47.7601531)",,,,,
"[1068886834, 34137914, 32919335]",,Bötzbergstraße,residential,30,False,True,387.176,"LINESTRING (8.1372157 47.7601531, 8.1370634 47.7600816, 8.1369638 47.7599966, 8.1365801 47.7599357, 8.1360228 47.7599143, 8.1355974 47.759995, 8.1353888 47.7600997, 8.1352904 47.7601265, 8.1352073 47.7601246, 8.1351531 47.7600888, 8.1351153 47.7600292, 8.1351346 47.7599823, 8.1353882 47.7599351, 8.1360018 47.7596793, 8.1365939 47.7595007, 8.136692 47.7594783, 8.1373342 47.759366, 8.1375353 47.7593098, 8.1375602 47.7592275)",,,,,
64459803,,Todtmooser Straße,living_street,,False,False,38.515,"LINESTRING (8.1265398 47.760071, 8.1265135 47.7599636, 8.1263774 47.7597444)",,,,,
64459803,,Todtmooser Straße,living_street,,False,True,207.594,"LINESTRING (8.1265398 47.760071, 8.1265439 47.7602043, 8.1265315 47.7602729, 8.126504 47.7603691, 8.1264496 47.7604537, 8.1263321 47.7605983, 8.1259835 47.7608818, 8.1257783 47.7610271, 8.1256393 47.7611072, 8.1254547 47.7611921, 8.1253328 47.761257, 8.1250898 47.7613819, 8.1250378 47.7614521, 8.1250339 47.7615315)",,,,,
31472569,,Am Kurgarten,residential,,False,False,93.696,"LINESTRING (8.1271223 47.7609863, 8.1273856 47.7611173, 8.1276461 47.7611756, 8.1278497 47.7611747, 8.1278656 47.7608739)",,,,,
"[939472747, 274907829, 274907830]",,Fürstabt-Gerbert-Straße,residential,,False,False,37.187,"LINESTRING (8.1271223 47.7609863, 8.127072 47.7610251, 8.1270113 47.7610706, 8.1268755 47.7611733, 8.1268421 47.7612547)",,yes,,,
"[939472746, 939472747, 207051573]",,Fürstabt-Gerbert-Straße,residential,,False,True,100.15700000000001,"LINESTRING (8.1271223 47.7609863, 8.1273774 47.7607926, 8.1276541 47.7605291, 8.1277704 47.7604615, 8.1279797 47.7603662, 8.128048 47.760361)",,,,,
"[24558002, 55995595]",,Luisenstraße,residential,,False,False,160.061,"LINESTRING (8.1292626 47.7622325, 8.1288446 47.7625943, 8.1284634 47.7629594, 8.1281416 47.7632912, 8.1280444 47.7633332, 8.1279534 47.7633401)",,,,,
24558002,,Luisenstraße,residential,,False,True,238.52700000000002,"LINESTRING (8.1292626 47.7622325, 8.1294084 47.7621146, 8.1300528 47.7616962, 8.1303434 47.7615061, 8.1310187 47.7611441, 8.1311101 47.7610914, 8.1313517 47.7609465, 8.1314645 47.7608505, 8.131502 47.7607882, 8.1315289 47.7607435)",,,,,
"[32919354, 1068886830]",,Dr.-Determannweg,residential,,False,False,92.545,"LINESTRING (8.1292626 47.7622325, 8.1296902 47.7624794, 8.1297655 47.7625241, 8.1298147 47.7625191, 8.130021 47.7623856, 8.1301953 47.7622768)",,,,,
"[32919354, 1068886830]",,Dr.-Determannweg,residential,,False,True,92.545,"LINESTRING (8.1301953 47.7622768, 8.130021 47.7623856, 8.1298147 47.7625191, 8.1297655 47.7625241, 8.1296902 47.7624794, 8.1292626 47.7622325)",,,,,
"[721544560, 48000588]",,Friedhofstraße,residential,,True,False,154.826,"LINESTRING (8.1256961 47.7623831, 8.1259308 47.7622213, 8.126267 47.7619762, 8.1265178 47.7617842, 8.1267095 47.7615658, 8.1267976 47.7613838, 8.1268127 47.7613399, 8.1268421 47.7612547)",,,,,
39174452,,Muchenländer Straße,residential,,False,True,140.50099999999998,"LINESTRING (8.1285239 47.7621398, 8.1284519 47.7624007, 8.1282867 47.7627498, 8.1282319 47.7628631, 8.1282184 47.7628911, 8.1280601 47.7631687, 8.1279777 47.7633094, 8.1279534 47.7633401)",,,,,5
236123729,,Bernau-Menzenschwander-Straße,residential,30,False,False,43.541,"LINESTRING (8.1285239 47.7621398, 8.1285942 47.7620687, 8.128607 47.7620561, 8.128797 47.7618699, 8.1288199 47.7618066)",,,,,
39174452,,Muchenländer Straße,residential,,False,False,140.501,"LINESTRING (8.1279534 47.7633401, 8.1279777 47.7633094, 8.1280601 47.7631687, 8.1282184 47.7628911, 8.1282319 47.7628631, 8.1282867 47.7627498, 8.1284519 47.7624007, 8.1285239 47.7621398)",,,,,5
"[24558002, 55995595]",,Luisenstraße,residential,,False,True,160.06099999999998,"LINESTRING (8.1279534 47.7633401, 8.1280444 47.7633332, 8.1281416 47.7632912, 8.1284634 47.7629594, 8.1288446 47.7625943, 8.1292626 47.7622325)",,,,,
135032863,,Am Kurgarten,residential,,False,False,33.077,"LINESTRING (8.1281645 47.7615004, 8.1281372 47.7613759, 8.1281032 47.7612737, 8.1282019 47.7612651)",,,,,
"[721544553, 31501787, 1173954310]",,Todtmooser Straße,residential,30,False,False,102.90200000000002,"LINESTRING (8.1281645 47.7615004, 8.1281064 47.7614954, 8.1279841 47.7614804, 8.1278451 47.7614634, 8.1272266 47.7613567, 8.1271382 47.7613341, 8.1270282 47.7612983, 8.1269889 47.7612873, 8.1268421 47.7612547)",,,,,
"[24558007, 31501786, 1173954310, 32919367]",2,Todtmooser Straße,residential,30,False,True,66.572,"LINESTRING (8.1281645 47.7615004, 8.1284115 47.7615199, 8.1285286 47.7615344, 8.1285737 47.7615443, 8.1286123 47.7615583, 8.1286461 47.7615806, 8.1287559 47.7616907, 8.128771 47.7617079, 8.1288072 47.761751, 8.1288199 47.7618066)",yes,,,,
31501713,,Fürstabt-Gerbert-Straße,residential,,False,True,10.421,"LINESTRING (8.1286793 47.7603041, 8.1288187 47.7603028)",,,,,
"[31501713, 207051573, 207051574]",,Fürstabt-Gerbert-Straße,residential,,False,False,47.611999999999995,"LINESTRING (8.1286793 47.7603041, 8.1286355 47.7603079, 8.1285194 47.760318, 8.1284032 47.7603281, 8.1283673 47.7603312, 8.128048 47.760361)",yes,,,,
"[135765125, 34138468, 523407269, 975506926]",,Tuskulumweg,residential,,False,"[False, True]",630.523,"LINESTRING (8.1286793 47.7603041, 8.1284654 47.7592445, 8.1285791 47.7592364, 8.1296167 47.7591335, 8.1298011 47.7590795, 8.1302811 47.7590343, 8.1309301 47.7589788, 8.1310477 47.7589722, 8.1314641 47.7589382, 8.1316488 47.7588696, 8.1345376 47.7583112, 8.1350467 47.7582162, 8.1351029 47.7582055)",,,,destination,
"[207051584, 34138465]",,Tusculumweg,residential,,False,True,155.24800000000002,"LINESTRING (8.1283653 47.7591171, 8.1283175 47.7591268, 8.1281551 47.7591727, 8.1280475 47.7592211, 8.1279651 47.7593451, 8.127949 47.7594729, 8.1279364 47.759573, 8.1279328 47.7597022, 8.1279778 47.7599269, 8.1280168 47.7601755, 8.1280455 47.7603378, 8.128048 47.760361)",yes,,,destination,
11272688,,Im süßen Winkel,residential,,False,True,34.854,"LINESTRING (8.1288925 47.760612, 8.1288899 47.7606023, 8.1288641 47.7605301, 8.1288187 47.7603028)",,,,yes,
"[135006709, 207051589, 34138301]",,Am Kurgarten,residential,,False,"[False, True]",116.587,"LINESTRING (8.1289116 47.7606963, 8.1289157 47.7607168, 8.1289891 47.7612101, 8.1286172 47.7612381, 8.1282019 47.7612651)",,,,yes,
32919336,2,Hauptstraße,residential,30,False,True,5.965,"LINESTRING (8.1315289 47.7607435, 8.1315995 47.7607185)",,,,,
24558002,,Luisenstraße,residential,,False,False,238.527,"LINESTRING (8.1315289 47.7607435, 8.131502 47.7607882, 8.1314645 47.7608505, 8.1313517 47.7609465, 8.1311101 47.7610914, 8.1310187 47.7611441, 8.1303434 47.7615061, 8.1300528 47.7616962, 8.1294084 47.7621146, 8.1292626 47.7622325)",,,,,
"[32919336, 1068886829]",2,Hauptstraße,residential,30,False,False,234.92000000000002,"LINESTRING (8.1315289 47.7607435, 8.1308182 47.7609864, 8.1305121 47.7610948, 8.1304298 47.7611239, 8.1299531 47.7613029, 8.1295147 47.7614841, 8.1291083 47.7616914, 8.1290081 47.7617365, 8.1288199 47.7618066)",,,,,
54730047,2,Umgehungsstraße,secondary,50,False,False,370.38800000000003,"LINESTRING (8.127828 47.7589284, 8.1277573 47.7589936, 8.1277105 47.7590724, 8.1275283 47.7595495, 8.1274386 47.759766, 8.1273414 47.7599823, 8.1272803 47.7600991, 8.1272074 47.7602148, 8.1270496 47.7604125, 8.1268318 47.7606064, 8.1265888 47.7607811, 8.1261943 47.7609883, 8.1258927 47.7611561, 8.1257786 47.761236, 8.1256849 47.7613203, 8.1255661 47.7614541, 8.1254965 47.7615763, 8.1254349 47.7617348)",,,L 149,,
"[207051576, 207051578, 207051580]",2,Umgehungsstraße,secondary,"['50', '70']",False,True,566.4570000000001,"LINESTRING (8.127828 47.7589284, 8.1279189 47.7588819, 8.1280183 47.7588462, 8.1282708 47.7587841, 8.1286387 47.758677, 8.1289015 47.7586008, 8.1291404 47.7585176, 8.129504 47.7583903, 8.1298327 47.7582884, 8.1300656 47.7582293, 8.1306146 47.7581229, 8.1311407 47.7580664, 8.13164 47.7580313, 8.1325422 47.7579641, 8.1334283 47.7579293, 8.1338994 47.7579498, 8.1343845 47.7579933, 8.1348695 47.7580435, 8.1351171 47.7580724)",yes,,L 149,,
135765125,,Tuskulumweg,residential,,False,True,35.811,"LINESTRING (8.1351029 47.7582055, 8.1355668 47.7581251)",,,,,
1219977774,,Tuskulumweg,residential,,False,True,14.838,"LINESTRING (8.1351029 47.7582055, 8.1351171 47.7580724)",,,,,
"[34138468, 135765125, 975506926, 523407269]",,Tuskulumweg,residential,,False,"[False, True]",630.5230000000001,"LINESTRING (8.1351029 47.7582055, 8.1350467 47.7582162, 8.1345376 47.7583112, 8.1316488 47.7588696, 8.1314641 47.7589382, 8.1310477 47.7589722, 8.1309301 47.7589788, 8.1302811 47.7590343, 8.1298011 47.7590795, 8.1296167 47.7591335, 8.1285791 47.7592364, 8.1284654 47.7592445, 8.1286793 47.7603041)",,,,destination,
135765125,,Tuskulumweg,residential,,False,False,35.811,"LINESTRING (8.1355668 47.7581251, 8.1351029 47.7582055)",,,,,
207051578,2,Umgehungsstraße,secondary,70,False,False,34.123,"LINESTRING (8.1355668 47.7581251, 8.1355262 47.7581205, 8.1354394 47.7581106, 8.1353011 47.7580944, 8.1351171 47.7580724)",,,L 149,,
