osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,tunnel,access
507983135,False,2,Eisfelder Straße,primary,50,False,209.369,"LINESTRING (10.7334585 50.4246538, 10.7335894 50.4245901, 10.7337156 50.4245354, 10.7339043 50.4244648, 10.7341211 50.4244002, 10.7343118 50.4243538, 10.7345582 50.4243064, 10.7348475 50.4242672, 10.735115 50.424237, 10.7353762 50.4242196, 10.7362642 50.4242046)",B 89,,,
507983135,False,2,Eisfelder Straße,primary,50,True,88.242,"LINESTRING (10.7334585 50.4246538, 10.7333028 50.4247408, 10.7330955 50.4248716, 10.7327479 50.4251, 10.7327041 50.4251228, 10.7325564 50.4251998)",B 89,,,
26262038,False,2,Unteres Kleinodsfeld,tertiary,,False,61.574,"LINESTRING (10.7355209 50.4272164, 10.7347239 50.4274374)",L 2063,,,
89154554,False,,Max-Michaelis-Straße,residential,,False,165.707,"LINESTRING (10.7355209 50.4272164, 10.7363541 50.4286089)",,,,
26262038,False,2,Unteres Kleinodsfeld,tertiary,,True,92.338,"LINESTRING (10.7355209 50.4272164, 10.7359121 50.4270921, 10.7362801 50.4269725, 10.7365056 50.4268857, 10.7366404 50.4268006)",L 2063,,,
26262038,False,2,Unteres Kleinodsfeld,tertiary,,True,61.574,"LINESTRING (10.7347239 50.4274374, 10.7355209 50.4272164)",L 2063,,,
122854669,False,,Finkenweg,residential,,True,153.806,"LINESTRING (10.7347239 50.4274374, 10.735322 50.4287671)",,,,
26262038,False,2,Unteres Kleinodsfeld,tertiary,,False,102.34400000000001,"LINESTRING (10.7347239 50.4274374, 10.7346 50.4274658, 10.7345763 50.4274712, 10.734049 50.4275799, 10.7339544 50.4275815, 10.7338523 50.4275543, 10.7337943 50.4275172, 10.7337372 50.4274548, 10.7336605 50.4273094, 10.7336312 50.4272538)",L 2063,,,
26262038,False,2,Unteres Kleinodsfeld,tertiary,,True,102.34400000000001,"LINESTRING (10.7336312 50.4272538, 10.7336605 50.4273094, 10.7337372 50.4274548, 10.7337943 50.4275172, 10.7338523 50.4275543, 10.7339544 50.4275815, 10.734049 50.4275799, 10.7345763 50.4274712, 10.7346 50.4274658, 10.7347239 50.4274374)",L 2063,,,
103950674,True,1,,tertiary,,False,26.500999999999998,"LINESTRING (10.7336312 50.4272538, 10.733502 50.4271832, 10.7333008 50.4271622)",,,,
26262038,False,2,Unteres Kleinodsfeld,tertiary,,False,92.338,"LINESTRING (10.7366404 50.4268006, 10.7365056 50.4268857, 10.7362801 50.4269725, 10.7359121 50.4270921, 10.7355209 50.4272164)",L 2063,,,
"[1190425978, 89154539, 368486973]",False,,Goldbachstraße,"['residential', 'living_street']",,"[False, True]",228.95199999999997,"LINESTRING (10.7366404 50.4268006, 10.7354956 50.4265456, 10.7353503 50.4265198, 10.7351009 50.4265266, 10.7349319 50.4263899, 10.7346932 50.4262019, 10.7344813 50.4260294, 10.7342211 50.4258482, 10.7340542 50.4257412)",,,,
26262193,False,,Waldstraße,residential,,False,85.317,"LINESTRING (10.7242299 50.4285702, 10.7240898 50.4288032, 10.7239749 50.4289943, 10.7238678 50.4292999)",,,,
26262193,False,,Waldstraße,residential,,True,70.537,"LINESTRING (10.7242299 50.4285702, 10.7243225 50.4282584, 10.7242624 50.4279437)",,,,
61993866,False,,Friedensstraße,residential,20,True,96.43799999999999,"LINESTRING (10.7242299 50.4285702, 10.7245138 50.4286194, 10.7255761 50.4285542)",,,,
369294924,True,2,Dr.-Wilhelm-Külz-Straße,primary,30,False,40.852000000000004,"LINESTRING (10.725704 50.4268673, 10.7256359 50.4267556, 10.7256399 50.4266947, 10.7256918 50.4265859, 10.7256919 50.426513)",B 89,,,
245294471,False,,Geschwister-Scholl-Straße,residential,,True,16.953,"LINESTRING (10.7242624 50.4279437, 10.7244997 50.4279239)",,,,
26262193,False,,Waldstraße,residential,,False,70.537,"LINESTRING (10.7242624 50.4279437, 10.7243225 50.4282584, 10.7242299 50.4285702)",,,,
89154545,False,,Gerbergasse,residential,50,False,148.005,"LINESTRING (10.7242624 50.4279437, 10.7241546 50.4275763, 10.7240256 50.4272963, 10.7235482 50.4267044)",,,,
26262944,True,,Obere Marktstraße,residential,20,False,52.56699999999999,"LINESTRING (10.7322585 50.4252833, 10.7320569 50.4253245, 10.7318045 50.4253804, 10.731559 50.4254407)",,,,
26293128,True,,Obere Allee,residential,,False,245.21599999999998,"LINESTRING (10.7322585 50.4252833, 10.7324208 50.4256074, 10.7327961 50.4260133, 10.7331138 50.4264139, 10.7332722 50.4266179, 10.7333213 50.4267222, 10.7333126 50.4267878, 10.7332453 50.4269159, 10.7330928 50.4270366, 10.7329514 50.4271117, 10.7327565 50.4271661)",,,,
1134498538,False,,Obere Marktstraße,residential,,True,23.148,"LINESTRING (10.7322585 50.4252833, 10.7323234 50.4252705, 10.7324002 50.425253, 10.7324717 50.4252312, 10.7325564 50.4251998)",,,,
26262777,False,2,Schleusinger Straße,residential,50,False,24.993,"LINESTRING (10.7296642 50.427453, 10.7296071 50.4276748)",,,,
26262615,False,,Obere Allee,residential,,False,227.07800000000003,"LINESTRING (10.7296642 50.427453, 10.7299145 50.4274661, 10.7301245 50.427477, 10.7303388 50.4274882, 10.7305536 50.4274995, 10.7308029 50.4275106, 10.7308816 50.427515, 10.7311867 50.4275174, 10.7314517 50.4275018, 10.7317555 50.4274596, 10.7319741 50.4274017, 10.7322919 50.4273069, 10.7326323 50.4272037, 10.7327565 50.4271661)",,,,
"[1116026371, 369292323, 26293325]",False,,Untere Allee,residential,30,"[False, True]",181.137,"LINESTRING (10.7296642 50.427453, 10.7292389 50.4274376, 10.7286164 50.4274415, 10.7282932 50.4274355, 10.7277511 50.4274299, 10.7274024 50.4274094, 10.727275 50.4273743, 10.7272013 50.4272881)",,,,
1119563196,False,,Schleusinger Straße,residential,50,True,24.474,"LINESTRING (10.7296642 50.427453, 10.7296986 50.4272989, 10.7297184 50.4272357)",,,,
26262655,False,,,residential,,False,21.322000000000003,"LINESTRING (10.7329036 50.4273334, 10.7328765 50.4273026, 10.7327565 50.4271661)",,,,
