osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,tunnel,access,bridge
43210309,False,2,K 818,Berliner Straße,secondary,40,False,47.608000000000004,"LINESTRING (8.6843123 50.1122329, 8.6840996 50.1121923, 8.6840217 50.1121766, 8.6836732 50.1121091)",,,,
43210383,False,3,,Hasengasse,residential,50,True,46.894,"LINESTRING (8.6843123 50.1122329, 8.684285 50.1123522, 8.684272 50.1124022, 8.6842132 50.1126498)",,,,
"[492264417, 49499527]",False,"['4', '5']",K 818,Berliner Straße,secondary,40,True,116.518,"LINESTRING (8.6843123 50.1122329, 8.6846036 50.1122645, 8.6846833 50.1122732, 8.6852722 50.1123372, 8.6856363 50.1123722, 8.6857258 50.1123791, 8.6858501 50.1123886, 8.6859265 50.1123945)",,,,
49515976,False,2,K 818,Berliner Straße,secondary,40,False,39.752,"LINESTRING (8.6836732 50.1121091, 8.6831398 50.1120052)",,,,
5076407,True,,,Kruggasse,residential,,False,74.474,"LINESTRING (8.6836732 50.1121091, 8.6837244 50.1120151, 8.6839944 50.1115323, 8.6840112 50.1114888, 8.6840152 50.1114766)",,,,
43210309,False,2,K 818,Berliner Straße,secondary,40,True,47.608000000000004,"LINESTRING (8.6836732 50.1121091, 8.6840217 50.1121766, 8.6840996 50.1121923, 8.6843123 50.1122329)",,,,
492264418,False,2,K 818,Berliner Straße,secondary,40,True,68.061,"LINESTRING (8.6822265 50.1118274, 8.6831398 50.1120052)",,,,
"[5073138, 5072860]",True,,,"['Ziegelgasse', 'An der Kleinmarkthalle']",residential,,False,206.00199999999998,"LINESTRING (8.6822265 50.1118274, 8.682187 50.1119165, 8.682072 50.1121762, 8.6820704 50.1122024, 8.6820771 50.1122205, 8.6820964 50.1122436, 8.6821341 50.112262, 8.6823822 50.1123085, 8.6837679 50.1125717, 8.6840497 50.1126211, 8.6842132 50.1126498)",,,,
"[49499523, 504582668, 504582669]",False,2,K 818,Berliner Straße,secondary,40,False,147.471,"LINESTRING (8.6822265 50.1118274, 8.6819225 50.1117699, 8.6817807 50.111742, 8.6816172 50.1117098, 8.6814225 50.1116692, 8.6812278 50.1116286, 8.6806396 50.111506, 8.6802556 50.1114259)",,,,
5069790,True,,,Berliner Straße,tertiary,40,False,72.378,"LINESTRING (8.678618 50.111093, 8.6784795 50.1110398, 8.6783092 50.1109796, 8.6782204 50.1109407, 8.6781022 50.110889, 8.677956 50.1107964, 8.677821 50.1106992)",,,,
588309438,True,1,K 818,Berliner Straße,secondary,40,False,50.885,"LINESTRING (8.678618 50.111093, 8.6784509 50.110992, 8.6783297 50.1109218, 8.6781039 50.1107758)",,,,
247843206,True,2,K 818,Berliner Straße,secondary,40,False,48.341,"LINESTRING (8.6781039 50.1107758, 8.6783118 50.110874, 8.6784261 50.1109286, 8.6785653 50.1109894, 8.6786664 50.1110151)",,,,
111286487,True,,,Oppenheimer Straße,residential,30,False,87.068,"LINESTRING (8.6848933 50.1061641, 8.6851784 50.1063835, 8.6852145 50.1064178, 8.6852373 50.1064469, 8.6852641 50.1064882, 8.6853222 50.1067679, 8.6853659 50.1068603)",,,,
"[4567554, 1149011859, 503322110, 503322111]",False,"['2', '3']",,Mainkai,tertiary,40,True,180.249,"LINESTRING (8.6877042 50.1096255, 8.6876446 50.1096263, 8.6876185 50.1096267, 8.6876084 50.1096265, 8.6875916 50.1096261, 8.6875289 50.1096248, 8.6874615 50.1096211, 8.6873394 50.1096121, 8.6870945 50.1095854, 8.6869478 50.1095694, 8.6862485 50.1095257, 8.6859927 50.1095056, 8.6858293 50.1094926, 8.6851947 50.1094421)",,,,
4971862,False,2,,Schöne Aussicht,secondary,50,False,4.079000000000001,"LINESTRING (8.6877042 50.1096255, 8.6877292 50.1096245, 8.6877613 50.1096233)",,,,
92837841,True,1,,Kurt-Schumacher-Straße,primary,50,False,10.77,"LINESTRING (8.6877042 50.1096255, 8.687704 50.1095648, 8.6877071 50.1095287)",,,,
5073085,True,,,Blauhandgasse,residential,30,False,61.344,"LINESTRING (8.6786821 50.1103235, 8.6789304 50.1097953)",,,,
492264419,True,2,,Bethmannstraße,residential,40,False,64.098,"LINESTRING (8.6786821 50.1103235, 8.6789277 50.1103961, 8.6792168 50.1104553, 8.6793725 50.1104753, 8.6794426 50.1104845, 8.6795353 50.1104966)",,,,
247843212,False,,,Braubachstraße,residential,40,False,32.116,"LINESTRING (8.6836037 50.1113592, 8.6840152 50.1114766)",,,,
5076406,True,,,,residential,,False,87.999,"LINESTRING (8.6836037 50.1113592, 8.6836021 50.1113712, 8.6835915 50.1114236, 8.6834709 50.111644, 8.6833386 50.1116208, 8.6831857 50.1119165, 8.6831398 50.1120052)",,,,
"[247843232, 247843212, 4937455]",False,,,"['Braubachstraße', 'Paulsplatz', 'Bethmannstraße']",residential,40,True,308.49999999999994,"LINESTRING (8.6836037 50.1113592, 8.6832357 50.1112713, 8.683056 50.1112274, 8.6828932 50.1111797, 8.6828018 50.111149, 8.6826651 50.1110988, 8.6825332 50.1110492, 8.6824276 50.1110134, 8.6823229 50.1109796, 8.6821049 50.1109163, 8.6819865 50.1108874, 8.6819154 50.1108792, 8.6818736 50.1108735, 8.6815814 50.1108447, 8.6814389 50.1108306, 8.6812973 50.1108142, 8.6810177 50.1107672, 8.6809021 50.1107401, 8.6807664 50.1107058, 8.680684 50.1106843, 8.6805619 50.1106457, 8.6804514 50.1106107, 8.6803707 50.1105883, 8.6803088 50.1105727, 8.6802123 50.1105534, 8.68012 50.1105373, 8.6800269 50.1105225, 8.6799528 50.1105141, 8.6798576 50.1105065, 8.6797191 50.1105015, 8.6795353 50.1104966)",,,,
247843212,False,,,Braubachstraße,residential,40,True,32.116,"LINESTRING (8.6840152 50.1114766, 8.6836037 50.1113592)",,,,
247843212,False,,,Braubachstraße,residential,40,False,35.912,"LINESTRING (8.6840152 50.1114766, 8.6841202 50.1115075, 8.6842371 50.111539, 8.6843681 50.1115805, 8.6844709 50.1116138)",,,,
"[174643304, 176131251, 76180868]",True,,,"['Domplatz', 'Domstraße', 'Kannengießergasse']",residential,30,False,200.65800000000002,"LINESTRING (8.6844709 50.1116138, 8.6844758 50.1116024, 8.6845147 50.1115301, 8.6846109 50.1113952, 8.6846535 50.1113061, 8.6847478 50.1111266, 8.6847542 50.1111152, 8.6847884 50.1110953, 8.6848421 50.1110819, 8.6851014 50.1110922, 8.6851469 50.1110913, 8.6851943 50.1110825, 8.6852555 50.11106, 8.6853029 50.1110425, 8.6853459 50.111036, 8.6854011 50.1110325, 8.6858338 50.1110532, 8.6859525 50.1110628, 8.6860615 50.1110806, 8.6861711 50.1111, 8.6863731 50.1111352, 8.6866628 50.1112111)",,,,
247843212,False,,,Braubachstraße,residential,40,False,93.661,"LINESTRING (8.6844709 50.1116138, 8.6846279 50.1116721, 8.684834 50.1117514, 8.6849779 50.1118181, 8.6855168 50.1121186)",,,,
247843212,False,,,Braubachstraße,residential,40,True,35.912,"LINESTRING (8.6844709 50.1116138, 8.6843681 50.1115805, 8.6842371 50.111539, 8.6841202 50.1115075, 8.6840152 50.1114766)",,,,
241952842,False,,,Fahrgasse,residential,30,False,63.165,"LINESTRING (8.6866628 50.1112111, 8.6864942 50.1114362, 8.6862824 50.1117241)",,,,
241952842,False,,,Fahrgasse,residential,30,True,71.735,"LINESTRING (8.6866628 50.1112111, 8.6869021 50.110847, 8.6869118 50.1108322, 8.6870527 50.1106164)",,,,
72576088,False,,,Weckmarkt,residential,30,True,156.919,"LINESTRING (8.6870527 50.1106164, 8.6867652 50.1105338, 8.6865847 50.1104841, 8.6864713 50.1104529, 8.6863735 50.1104274, 8.6862733 50.1104034, 8.6861629 50.1103798, 8.6861477 50.1103766, 8.6861283 50.1103732, 8.6859512 50.1103424, 8.6859209 50.110338, 8.6857982 50.11032, 8.685636 50.110307, 8.6854286 50.1102943, 8.6853576 50.1102839, 8.6852936 50.110268, 8.6849773 50.1101766)",,,,
"[241952841, 26659437]",False,,,Fahrgasse,"['residential', 'living_street']",30,True,70.37899999999999,"LINESTRING (8.6870527 50.1106164, 8.6871637 50.1104218, 8.6872781 50.1102458, 8.6873082 50.1101987, 8.6873951 50.1100232)",,,,
241952842,False,,,Fahrgasse,residential,30,False,71.735,"LINESTRING (8.6870527 50.1106164, 8.6869118 50.1108322, 8.6869021 50.110847, 8.6866628 50.1112111)",,,,
4971862,False,2,,Schöne Aussicht,secondary,50,True,4.079000000000001,"LINESTRING (8.6877613 50.1096233, 8.6877292 50.1096245, 8.6877042 50.1096255)",,,,
"[1056385000, 266312298, 51734830]",True,"['2', '1']",K 818,Kurt-Schumacher-Straße,primary,40,False,78.11899999999999,"LINESTRING (8.6877613 50.1096233, 8.6877803 50.1096568, 8.6878207 50.1097282, 8.6879642 50.110011, 8.687989 50.1100663, 8.688045 50.1101989, 8.6880701 50.1102962)",,,,
5069571,False,,,Zum Pfarrturm,residential,30,False,49.732,"LINESTRING (8.6851146 50.1097381, 8.6849773 50.1101766)",,,,
5069571,False,,,Zum Pfarrturm,residential,30,True,33.406,"LINESTRING (8.6851146 50.1097381, 8.6851328 50.1096684, 8.6851947 50.1094421)",,,,
5069571,False,,,Zum Pfarrturm,residential,30,True,49.732,"LINESTRING (8.6849773 50.1101766, 8.6851146 50.1097381)",,,,
5069780,False,,,Saalgasse,residential,,True,140.34400000000002,"LINESTRING (8.6849773 50.1101766, 8.6847614 50.1101388, 8.684465 50.1101122, 8.6840631 50.1100775, 8.6839789 50.1100641, 8.6839125 50.1100515, 8.6838354 50.1100323, 8.6837981 50.1100194, 8.6837513 50.1100036, 8.6836465 50.10998, 8.6835754 50.109967, 8.6834958 50.1099575, 8.6830591 50.1099258)",,,,
72576088,False,,,Weckmarkt,residential,30,False,156.91899999999998,"LINESTRING (8.6849773 50.1101766, 8.6852936 50.110268, 8.6853576 50.1102839, 8.6854286 50.1102943, 8.685636 50.110307, 8.6857982 50.11032, 8.6859209 50.110338, 8.6859512 50.1103424, 8.6861283 50.1103732, 8.6861477 50.1103766, 8.6861629 50.1103798, 8.6862733 50.1104034, 8.6863735 50.1104274, 8.6864713 50.1104529, 8.6865847 50.1104841, 8.6867652 50.1105338, 8.6870527 50.1106164)",,,,
241952842,False,,,Fahrgasse,residential,30,False,41.63,"LINESTRING (8.6862824 50.1117241, 8.6859984 50.1120512)",,,,
26656404,False,,,Dominikanergasse,residential,30,True,44.849000000000004,"LINESTRING (8.6862824 50.1117241, 8.6863963 50.1117506, 8.6865734 50.1117686, 8.6867294 50.1117713, 8.6869018 50.1117696)",,,,
241952842,False,,,Fahrgasse,residential,30,True,63.165,"LINESTRING (8.6862824 50.1117241, 8.6864942 50.1114362, 8.6866628 50.1112111)",,,,
"[248096130, 49906253]",True,,,"['Börneplatz', 'Kurt-Schumacher-Straße']",residential,40,False,19.527,"LINESTRING (8.688027 50.111481, 8.6880794 50.1114501, 8.6881123 50.1114306, 8.6881689 50.1113998, 8.6881791 50.1113966, 8.6882506 50.1113899)",,,,
"[266312297, 832232311, 209078964, 248096127]",True,"['2', '3', '1']",,Kurt-Schumacher-Straße,primary,40,False,209.71,"LINESTRING (8.688027 50.111481, 8.6880274 50.1114555, 8.688029 50.1113559, 8.6880553 50.1113125, 8.6880566 50.1112146, 8.688023 50.1107951, 8.6880028 50.1105025, 8.6879838 50.1102711, 8.6879632 50.1102069, 8.6879318 50.1101537, 8.6879146 50.1101247, 8.687774 50.1098365, 8.6877555 50.1097959, 8.6877287 50.1097385, 8.6877121 50.1096621, 8.6877042 50.1096255)",,,,
5069571,False,,,Zum Pfarrturm,residential,30,False,33.406,"LINESTRING (8.6851947 50.1094421, 8.6851328 50.1096684, 8.6851146 50.1097381)",,,,
"[312969824, 177592548, 167633352, 1211092744, 167633355, 53567948, 1211092717, 503322109, 265714783]",False,2,,Mainkai,tertiary,40,True,705.289,"LINESTRING (8.6851947 50.1094421, 8.6839197 50.1093344, 8.6836245 50.1093014, 8.683327 50.1092601, 8.6822308 50.10909, 8.6816787 50.1089946, 8.6811199 50.1088858, 8.680578 50.1087847, 8.6800026 50.1086322, 8.6799119 50.1086107, 8.6790604 50.1084088, 8.6779902 50.1081243, 8.6778955 50.1080991, 8.6769067 50.1078393, 8.6765458 50.1077444, 8.6764422 50.1077185, 8.6762992 50.1076824, 8.6761343 50.1076407, 8.6759501 50.1075941, 8.6758581 50.1075723, 8.6757955 50.107557)",,,,
"[4567554, 1149011859, 503322110, 503322111]",False,"['2', '3']",,Mainkai,tertiary,40,False,180.24900000000002,"LINESTRING (8.6851947 50.1094421, 8.6858293 50.1094926, 8.6859927 50.1095056, 8.6862485 50.1095257, 8.6869478 50.1095694, 8.6870945 50.1095854, 8.6873394 50.1096121, 8.6874615 50.1096211, 8.6875289 50.1096248, 8.6875916 50.1096261, 8.6876084 50.1096265, 8.6876185 50.1096267, 8.6876446 50.1096263, 8.6877042 50.1096255)",,,,
36835292,True,1,B 43,Walter-Kolb-Straße,primary,50,False,35.653,"LINESTRING (8.6870693 50.1062906, 8.6874089 50.1065259)",,,,
"[35146833, 35146834]",False,3,B 43,Schaumainkai,secondary,,False,85.24199999999999,"LINESTRING (8.6830837 50.1072012, 8.682542 50.107087, 8.6824835 50.1070748, 8.6824196 50.1070631, 8.6822981 50.107041, 8.6819397 50.10698)",,,,
"[156298619, 1022606036]",True,,,Schulstraße,residential,30,False,174.10299999999998,"LINESTRING (8.6830837 50.1072012, 8.683161 50.1070987, 8.6832618 50.1070466, 8.6835997 50.1068626, 8.6844444 50.1064036, 8.6848933 50.1061641)",,,,
389399200,False,3,B 43,Sachsenhäuser Ufer,secondary,50,True,24.106,"LINESTRING (8.6830837 50.1072012, 8.6832291 50.1072324, 8.6834044 50.1072697)",,,,
"[1213065728, 1004017415, 1004025939, 50414549, 1149011831, 48098268]",True,"['2', '1']",,Kurt-Schumacher-Straße,primary,40,False,120.02900000000001,"LINESTRING (8.6879005 50.1125567, 8.687904 50.1125414, 8.687909 50.1125152, 8.6879157 50.1124733, 8.6879188 50.1124524, 8.6879195 50.1124305, 8.6879225 50.1124064, 8.6879253 50.112384, 8.6879299 50.1123494, 8.6879462 50.1121986, 8.6879495 50.1121799, 8.6879814 50.1119845, 8.6879988 50.1118784, 8.6880116 50.1118063, 8.6880248 50.1116202, 8.688027 50.111481)",,,,
48098269,False,5,K 818,Battonnstraße,secondary,40,False,17.346,"LINESTRING (8.6879005 50.1125567, 8.6878484 50.1125524, 8.6876592 50.112537)",,,,
"[49571339, 51706790]",False,5,K 818,Battonnstraße,secondary,40,True,14.475,"LINESTRING (8.6879005 50.1125567, 8.6879474 50.1125588, 8.6880092 50.1125615, 8.6880861 50.1125643, 8.6881031 50.1125649)",,,,
"[4724288, 31263304, 22374974, 371155799, 1242306014]",True,,,"['Große Eschenheimer Straße', 'An der Hauptwache', 'Biebergasse']",residential,"['20', '50']",False,239.70400000000004,"LINESTRING (8.679401 50.1143802, 8.6793975 50.1143561, 8.6793953 50.1143411, 8.6793614 50.1141103, 8.6793326 50.1140226, 8.6791869 50.1140337, 8.678435 50.1140911, 8.6780191 50.1141193, 8.6771731 50.1141792, 8.6770948 50.1141835, 8.6769717 50.1141883, 8.6766995 50.1142079, 8.6765504 50.1142187)",4,,,
371173887,True,,,Katharinenpforte,residential,30,False,46.315,"LINESTRING (8.6792579 50.1128248, 8.6794038 50.1126532, 8.679467 50.1125606, 8.679483 50.1125124, 8.6794907 50.1124817, 8.6794918 50.1124421)",,,,
5069579,False,,,Kornmarkt,residential,,False,49.458999999999996,"LINESTRING (8.6793131 50.1117231, 8.6792989 50.1116892, 8.6792958 50.1116352, 8.6793027 50.1115687, 8.6793682 50.1114482, 8.6793893 50.1113608, 8.6794066 50.1112887)",,,,
5069579,False,,,Kornmarkt,residential,,True,81.864,"LINESTRING (8.6793131 50.1117231, 8.679345 50.111781, 8.679416 50.1118819, 8.6794405 50.1119973, 8.6794427 50.112116, 8.6794616 50.1123486, 8.6794706 50.1124016, 8.6794918 50.1124421)",,,,
"[4834454, 4834462]",True,,,"['Holzgraben', 'Hasengasse']",residential,50,False,240.518,"LINESTRING (8.6838512 50.1134355, 8.6838321 50.1134674, 8.6838168 50.1135103, 8.6836396 50.1139151, 8.6835664 50.1140968, 8.6835473 50.1141347, 8.6835353 50.1141532, 8.6834824 50.1141725, 8.6833866 50.1141592, 8.6831772 50.1141221, 8.6829545 50.1140566, 8.6815743 50.1135525)",,,,
24586368,False,2,,Hasengasse,residential,50,False,91.19200000000001,"LINESTRING (8.6838512 50.1134355, 8.6838722 50.1133958, 8.6838956 50.1133531, 8.6839258 50.1132652, 8.6839486 50.1131881, 8.6840044 50.1130658, 8.6842132 50.1126498)",,,,
5069764,True,,,Weißadlergasse,residential,,False,104.55600000000001,"LINESTRING (8.6778683 50.1115929, 8.6779592 50.1115852, 8.6780331 50.1115811, 8.6781486 50.1115831, 8.678351 50.1116073, 8.6791569 50.111707, 8.6793131 50.1117231)",,,,
72369035,True,,,Großer Hirschgraben,living_street,,False,103.06599999999999,"LINESTRING (8.6778683 50.1115929, 8.6777353 50.1110734, 8.6776918 50.1108936, 8.6776866 50.1108462, 8.6777251 50.1108132, 8.6777389 50.1107928, 8.6777607 50.1107709, 8.67779 50.1107327, 8.677821 50.1106992)",,,,
26823692,False,,,Braubachstraße,residential,40,True,21.579,"LINESTRING (8.6855168 50.1121186, 8.6856733 50.112195, 8.6857608 50.1122333)",,,,
49576592,True,,,Braubachstraße,residential,,False,37.343999999999994,"LINESTRING (8.6855168 50.1121186, 8.6855681 50.1121316, 8.685642 50.1121401, 8.685702 50.1121414, 8.6857745 50.1121344, 8.6858291 50.1121213, 8.6859061 50.1120935, 8.6859243 50.1120852, 8.6859984 50.1120512)",,,,
247843212,False,,,Braubachstraße,residential,40,True,93.661,"LINESTRING (8.6855168 50.1121186, 8.6849779 50.1118181, 8.684834 50.1117514, 8.6846279 50.1116721, 8.6844709 50.1116138)",,,,
26823383,False,,,Fahrgasse,residential,,True,126.05499999999999,"LINESTRING (8.6859265 50.1123945, 8.6859358 50.1125061, 8.685944 50.1125614, 8.6859716 50.1126387, 8.6861587 50.1131635, 8.6861771 50.1132891, 8.6861822 50.1133612, 8.6861813 50.1134291, 8.6861763 50.1135115)",,,,
"[492264417, 49499527]",False,"['4', '5']",K 818,Berliner Straße,secondary,40,False,116.518,"LINESTRING (8.6859265 50.1123945, 8.6858501 50.1123886, 8.6857258 50.1123791, 8.6856363 50.1123722, 8.6852722 50.1123372, 8.6846833 50.1122732, 8.6846036 50.1122645, 8.6843123 50.1122329)",,,,
"[492264416, 266026705]",False,"['4', '5']",K 818,Battonnstraße,secondary,40,True,124.61999999999999,"LINESTRING (8.6859265 50.1123945, 8.6861621 50.1124177, 8.6863304 50.1124333, 8.6870379 50.1124754, 8.6875745 50.1125286, 8.6876592 50.112537)",,,,
5069792,False,,,Buchgasse,residential,30,False,65.38,"LINESTRING (8.6796317 50.1099119, 8.6795459 50.1104172, 8.679537 50.110484, 8.6795353 50.1104966)",,,,
5069792,False,,,Buchgasse,residential,30,True,79.38499999999999,"LINESTRING (8.6796317 50.1099119, 8.6796843 50.1097315, 8.6797027 50.1096781, 8.6797265 50.1096191, 8.6799632 50.1092331)",,,,
34568605,False,,,Limpurgergasse,residential,30,False,68.792,"LINESTRING (8.6796317 50.1099119, 8.6799776 50.1099582, 8.6802497 50.1099962, 8.6805729 50.1100472)",,,,
4937457,True,2,,Weißfrauenstraße,tertiary,40,False,33.623999999999995,"LINESTRING (8.6772776 50.1095953, 8.6774042 50.1096336, 8.6774577 50.1096686, 8.6775101 50.1097128, 8.677554 50.1097602, 8.6775864 50.1098089)",,,,
"[373852729, 5069757]",True,,,Münzgasse,residential,30,False,85.457,"LINESTRING (8.6772776 50.1095953, 8.6773555 50.1096002, 8.6774374 50.1095862, 8.6774944 50.1095849, 8.6775711 50.1095849, 8.677633 50.1095953, 8.6776872 50.1096102, 8.6777851 50.1096344, 8.6778444 50.1096367, 8.6778923 50.1096312, 8.6779686 50.1096348, 8.6780695 50.109646, 8.6784442 50.1097074)",3.5,,,
167633348,True,2,,Berliner Straße,tertiary,40,False,40.079,"LINESTRING (8.6772909 50.11008, 8.6771641 50.1099167, 8.677023 50.1097634)",,,,
247499954,True,,,Berliner Straße,residential,,False,27.54,"LINESTRING (8.677023 50.1097634, 8.677012 50.1097211, 8.676974 50.1096768, 8.6769551 50.1095943, 8.6769541 50.109585, 8.6769517 50.1095652, 8.6769347 50.109525)",,,,
908195830,True,,,Weißfrauenstraße,tertiary,40,False,25.240000000000002,"LINESTRING (8.677023 50.1097634, 8.6769086 50.1096971, 8.6768877 50.1096849, 8.6767533 50.1096166)",,,,
5069789,True,,,Bethmannstraße,residential,30,False,142.633,"LINESTRING (8.6755037 50.1106557, 8.67566 50.1106058, 8.6765757 50.1103129, 8.6771408 50.1101336, 8.6772909 50.11008)",,,,
24527718,True,,,Kaiserstraße,tertiary,30,False,150.37800000000001,"LINESTRING (8.6755037 50.1106557, 8.6755811 50.1107293, 8.6766942 50.1117136, 8.6767366 50.1117528)",,,,
30785047,False,,,Brückhofstraße,residential,,True,63.31099999999999,"LINESTRING (8.6880701 50.1102962, 8.6881685 50.1102945, 8.6883509 50.1103175, 8.688945 50.1103855)",,,,
"[1262084660, 209078965]",True,"['2', '1']",K 818,Kurt-Schumacher-Straße,primary,40,False,122.68200000000002,"LINESTRING (8.6880701 50.1102962, 8.688148 50.1111235, 8.6881915 50.1112314, 8.6882164 50.1112931, 8.6882402 50.1113522, 8.6882506 50.1113899)",,,,
"[26823383, 375502623]",False,,,"['Fahrgasse', 'Töngesgasse']",residential,30,False,37.309,"LINESTRING (8.6857431 50.1135489, 8.6860153 50.1135687, 8.6861632 50.1135757, 8.6861763 50.1135115)",,,,
"[24586359, 375502623]",False,,,Töngesgasse,residential,30,True,92.441,"LINESTRING (8.6857431 50.1135489, 8.6851894 50.1135161, 8.684974 50.113504, 8.6845598 50.1134738, 8.6844552 50.113489)",,,,
24586368,False,2,,Hasengasse,residential,50,True,91.19200000000001,"LINESTRING (8.6842132 50.1126498, 8.6840044 50.1130658, 8.6839486 50.1131881, 8.6839258 50.1132652, 8.6838956 50.1133531, 8.6838722 50.1133958, 8.6838512 50.1134355)",,,,
43210383,False,3,,Hasengasse,residential,50,False,46.894,"LINESTRING (8.6842132 50.1126498, 8.684272 50.1124022, 8.684285 50.1123522, 8.6843123 50.1122329)",,,,
52099137,False,,,Im Trierischen Hof,residential,,False,27.497,"LINESTRING (8.6842132 50.1126498, 8.6842978 50.1126604, 8.6845916 50.1126974)",,,destination,
5069780,False,,,Saalgasse,residential,,False,140.344,"LINESTRING (8.6830591 50.1099258, 8.6834958 50.1099575, 8.6835754 50.109967, 8.6836465 50.10998, 8.6837513 50.1100036, 8.6837981 50.1100194, 8.6838354 50.1100323, 8.6839125 50.1100515, 8.6839789 50.1100641, 8.6840631 50.1100775, 8.684465 50.1101122, 8.6847614 50.1101388, 8.6849773 50.1101766)",,,,
52099137,False,,,Im Trierischen Hof,residential,,True,27.497,"LINESTRING (8.6845916 50.1126974, 8.6842978 50.1126604, 8.6842132 50.1126498)",,,destination,
