osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction,tunnel,width,access
"[315391538, 42558373]","['4', '3']",,Wilhelmstraße,residential,50,False,True,56.692,,"LINESTRING (7.2067778 50.7925068, 7.2064704 50.7926817, 7.2063849 50.7927303, 7.2061699 50.7928417)",,,,
"[24434303, 24516415]",,,"['Siegfeldstraße', 'Alfred-Keller-Straße']",residential,30,False,"[False, True]",74.707,,"LINESTRING (7.2136939 50.79426, 7.2136507 50.7942328, 7.2135811 50.7942014, 7.2127549 50.7939508)",,,,
"[24422266, 315391515, 315391511]","['2', '3']",L 333,Frankfurter Straße,secondary,50,False,False,218.382,,"LINESTRING (7.2094605 50.7908025, 7.2086095 50.7910781, 7.2081577 50.7912295, 7.2077542 50.7914668, 7.2075201 50.7916913, 7.2073284 50.7919499, 7.2072828 50.7920158, 7.2072438 50.7920721)",,,,
24422266,2,L 333,Frankfurter Straße,secondary,50,False,True,11.221,,"LINESTRING (7.2094605 50.7908025, 7.2095608 50.7907798, 7.2096108 50.7907685)",,,,
24569363,,,Südstraße,residential,30,False,False,110.003,,"LINESTRING (7.2094605 50.7908025, 7.2095322 50.790885, 7.2098924 50.7917507)",,,,
115541109,3,L 333,Frankfurter Straße,secondary,50,False,False,3.237,,"LINESTRING (7.2071621 50.7921792, 7.2071427 50.7922056)",,,,
315391512,3,L 333,Frankfurter Straße,secondary,50,False,True,13.221,,"LINESTRING (7.2071621 50.7921792, 7.2072438 50.7920721)",,,,
24680585,,,Bonner Straße,residential,,False,True,73.313,,"LINESTRING (7.2071621 50.7921792, 7.2070031 50.7921294, 7.2069202 50.7920874, 7.2065318 50.7918704, 7.2063436 50.7917753)",,,,
24680585,,,Bonner Straße,residential,,False,False,73.313,,"LINESTRING (7.2063436 50.7917753, 7.2065318 50.7918704, 7.2069202 50.7920874, 7.2070031 50.7921294, 7.2071621 50.7921792)",,,,
24505581,3,,Kaiser-Wilhelm-Platz,residential,50,False,False,18.459,,"LINESTRING (7.207432 50.7925143, 7.2076284 50.7926245)",,,,
24505581,3,,Kaiser-Wilhelm-Platz,residential,50,False,True,5.893,,"LINESTRING (7.207432 50.7925143, 7.207382 50.7924923, 7.2073629 50.7924843)",,,,
24507181,,,Händelstraße,residential,30,False,True,121.82,,"LINESTRING (7.2119747 50.7889749, 7.2121848 50.7892471, 7.2127148 50.7898714, 7.2127767 50.7899459)",,,6.00,
"[24698145, 42064999]",2,,Brucknerstraße,"['residential', 'living_street']",30,False,False,82.825,,"LINESTRING (7.2119747 50.7889749, 7.2120336 50.788914, 7.2121 50.7888706, 7.2121523 50.7888517, 7.2122268 50.7888397, 7.212409 50.7888055, 7.2127365 50.7887282, 7.2127685 50.7887251, 7.21292 50.7887601, 7.2130154 50.7887425)",,,5.00,
24569363,,,Südstraße,residential,30,False,False,101.653,,"LINESTRING (7.2098924 50.7917507, 7.2101239 50.7926531)",,,,
24569363,,,Südstraße,residential,30,False,True,110.003,,"LINESTRING (7.2098924 50.7917507, 7.2095322 50.790885, 7.2094605 50.7908025)",,,,
142938393,,,Hopfengartenstraße,residential,30,False,False,169.39,,"LINESTRING (7.2098924 50.7917507, 7.208849 50.7920354, 7.208222 50.7922065, 7.2080765 50.7922462, 7.2079791 50.7922728, 7.2076857 50.7923625)",,,,
142938393,,,Hopfengartenstraße,residential,30,False,True,191.554,,"LINESTRING (7.2098924 50.7917507, 7.2104592 50.7916013, 7.2114736 50.7913133, 7.2119114 50.7912569, 7.2124636 50.7912537)",,,,
24698153,,,Turmweg,residential,,True,False,115.965,,"LINESTRING (7.2124636 50.7912537, 7.2123919 50.7918369, 7.2123836 50.7922948)",,,,
142938393,,,Hopfengartenstraße,residential,30,False,False,191.554,,"LINESTRING (7.2124636 50.7912537, 7.2119114 50.7912569, 7.2114736 50.7913133, 7.2104592 50.7916013, 7.2098924 50.7917507)",,,,
24698154,,,In der Höhnerlaach,residential,30,False,False,90.751,,"LINESTRING (7.2123836 50.7922948, 7.2124894 50.7924564, 7.2134728 50.7926138)",,,,
24698154,,,In der Höhnerlaach,residential,30,False,True,90.751,,"LINESTRING (7.2134728 50.7926138, 7.2124894 50.7924564, 7.2123836 50.7922948)",,,,
24792667,,,An der Herrenwiese,residential,30,False,False,156.998,,"LINESTRING (7.2134728 50.7926138, 7.2133073 50.792922, 7.2127549 50.7939508)",,,,
"[24516415, 24434303]",,,"['Siegfeldstraße', 'Alfred-Keller-Straße']",residential,30,False,"[False, True]",74.70700000000001,,"LINESTRING (7.2127549 50.7939508, 7.2135811 50.7942014, 7.2136507 50.7942328, 7.2136939 50.79426)",,,,
24434303,,,Siegfeldstraße,residential,30,False,True,133.983,,"LINESTRING (7.2127549 50.7939508, 7.2123173 50.7938044, 7.2122248 50.7937739, 7.2120213 50.7937103, 7.2117141 50.7936167, 7.2110486 50.793414)",,,,
24792667,,,An der Herrenwiese,residential,30,False,True,156.998,,"LINESTRING (7.2127549 50.7939508, 7.2133073 50.792922, 7.2134728 50.7926138)",,,,
17545414,,,Ringstraße,residential,,True,False,7.404,,"LINESTRING (7.2043547 50.7966488, 7.2042977 50.7967048)",,,,
"[168579265, 168618946, 168618947, 168579268, 24933160, 43736089, 33455741]",,,"['Bergstraße', 'Mühlenstraße']",residential,"['30', '10']",False,True,646.939,,"LINESTRING (7.2113463 50.796149, 7.2113066 50.7962361, 7.2112468 50.7963529, 7.2112208 50.7963821, 7.2111776 50.7964052, 7.2111241 50.7964086, 7.2110697 50.7963966, 7.2109891 50.7963722, 7.2105912 50.7962418, 7.210357 50.7961651, 7.2102723 50.7961484, 7.2102019 50.7961575, 7.210154 50.7961979, 7.2101466 50.7962513, 7.2101802 50.7962968, 7.2110184 50.7968187, 7.2110766 50.7968703, 7.2111211 50.7969953, 7.2111199 50.7970945, 7.2110782 50.7971836, 7.2109973 50.7972811, 7.2109132 50.7973349, 7.2108828 50.7973513, 7.210874 50.7973507, 7.2107984 50.7973761, 7.2106362 50.7973801, 7.2104715 50.7973607, 7.2103364 50.7973406, 7.210187 50.7973001, 7.2095668 50.7970777, 7.2095048 50.7970563, 7.2089646 50.7968685, 7.2087006 50.7968359, 7.2085183 50.7968303, 7.208164 50.7968241, 7.208119 50.7968226, 7.2080815 50.7968147, 7.2080486 50.7968011, 7.2080327 50.7967767, 7.2080265 50.7967488, 7.2080234 50.7965507, 7.2080061 50.7964139, 7.2079841 50.7962892, 7.2079463 50.7961326, 7.2077966 50.7957733, 7.2077741 50.7955859, 7.2077966 50.7954637, 7.2078116 50.7953877)",,,,
24422266,2,L 333,Frankfurter Straße,secondary,50,False,False,11.221,,"LINESTRING (7.2096108 50.7907685, 7.2095608 50.7907798, 7.2094605 50.7908025)",,,,
24422266,2,L 333,Frankfurter Straße,secondary,50,False,True,113.904,,"LINESTRING (7.2096108 50.7907685, 7.2109959 50.7904927, 7.2111564 50.7904608)",,,,
24956535,,,Frankfurter Straße,residential,,False,False,91.729,,"LINESTRING (7.2096108 50.7907685, 7.2095084 50.7906901, 7.2092954 50.7906678, 7.2088015 50.790663, 7.2083679 50.7906782)",,,,destination
24956535,,,Frankfurter Straße,residential,,False,True,91.72900000000001,,"LINESTRING (7.2083679 50.7906782, 7.2088015 50.790663, 7.2092954 50.7906678, 7.2095084 50.7906901, 7.2096108 50.7907685)",,,,destination
24956536,,,Schumannstraße,residential,,False,False,51.971,,"LINESTRING (7.2111564 50.7904608, 7.2109583 50.7900105)",,,,
