osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,junction,tunnel,access
"[1161065370, 154344055]",False,,Zirkel,residential,"['50', '30']",,False,86.973,"LINESTRING (8.4008266 49.0109466, 8.4009711 49.0108661, 8.4011011 49.010804, 8.4012183 49.0107503, 8.4013599 49.0106918, 8.4014951 49.0106389, 8.4016382 49.0105867, 8.4017415 49.0105499, 8.4018245 49.0105223)",,,
497870890,False,,Herrenstraße,residential,30,6.1,True,89.237,"LINESTRING (8.3972793 49.0079469, 8.3980294 49.0085809)",,,
"[532678425, 532678427, 3924804]",True,,Blumenstraße,residential,30,4,False,171.668,"LINESTRING (8.3972793 49.0079469, 8.3974614 49.007859, 8.3978367 49.0076778, 8.3979351 49.0076463, 8.3983748 49.0075084, 8.3985196 49.0074629, 8.3989599 49.0073251, 8.3990341 49.0073017, 8.3990982 49.0072815, 8.399335 49.0072068)",,,
"[160611128, 921396835, 597801528, 597801531]",False,,Ritterstraße,residential,50,"['5.5', '7', '10']","[False, True]",192.31599999999995,"LINESTRING (8.399335 49.0072068, 8.3991757 49.0069937, 8.3990373 49.0068109, 8.3988902 49.0066155, 8.3988509 49.0065629, 8.3987743 49.0064606, 8.3987569 49.0064375, 8.3986406 49.0062827, 8.3984331 49.0059817, 8.3983561 49.0058761, 8.3982955 49.005774, 8.3982768 49.0056907, 8.3982747 49.0056326)",,,
864558904,False,,Ritterstraße,residential,50,,False,104.46099999999998,"LINESTRING (8.399335 49.0072068, 8.3994117 49.0073089, 8.3996941 49.0076845, 8.3999419 49.0080142, 8.3999683 49.0080494)",,,
4295734,True,2,Waldhornstraße,secondary,50,,False,47.576,"LINESTRING (8.4099428 49.0097893, 8.4099773 49.0097433, 8.4100097 49.0097091, 8.4100299 49.0096638, 8.4100258 49.0096123, 8.4100174 49.0095268, 8.4100133 49.009488, 8.4100076 49.0094547, 8.4099942 49.0093757)",,,
"[260318340, 260318341, 1009151269, 260318342, 38317407]",False,"['4', '2', '3']",Waldhornstraße,secondary,50,12,True,186.64100000000002,"LINESTRING (8.4099428 49.0097893, 8.4097528 49.0099461, 8.4094652 49.0101834, 8.4092885 49.0103225, 8.4091529 49.0104255, 8.4091079 49.0104596, 8.4090033 49.0105428, 8.4089668 49.0105704, 8.408674 49.0107924, 8.4084517 49.0109685, 8.4084101 49.0110017, 8.4083109 49.0110819)",,,
3527731,True,1,Rondellplatz,residential,50,6,False,23.468999999999998,"LINESTRING (8.4036545 49.006769, 8.403701 49.006772, 8.4037517 49.006786, 8.4037942 49.0068089, 8.4038249 49.0068388, 8.4038411 49.0068733, 8.4038415 49.0069094)",roundabout,,
"[857873929, 857873925, 607979165, 1158483206]",False,2,Karl-Friedrich-Straße,unclassified,30,8,True,69.278,"LINESTRING (8.4036545 49.006769, 8.4036445 49.0066481, 8.4036324 49.0065012, 8.4036166 49.0063229, 8.4036062 49.0062051, 8.4036001 49.006147)",,,
"[230085211, 240537308, 884371983]",False,2,Ritterstraße,tertiary,30,,True,134.46900000000002,"LINESTRING (8.3980808 49.0041821, 8.3980841 49.0042341, 8.3980902 49.004788, 8.3980909 49.0048717, 8.3980874 49.0051831, 8.3980891 49.0052514, 8.3980896 49.0052904, 8.3980906 49.0053072, 8.3980908 49.0053913)",,,
702058710,False,,Ritterstraße,tertiary,30,7,False,16.62,"LINESTRING (8.3980808 49.0041821, 8.3980795 49.004116, 8.3980749 49.0040327)",,,
3924806,True,,Passagehof,residential,20,,False,88.565,"LINESTRING (8.3976759 49.0111343, 8.3977389 49.0110919, 8.3984275 49.0106126, 8.3985099 49.0105554)",,,
"[566409377, 566409374]",False,,Passagehof,residential,20,,True,59.231,"LINESTRING (8.3976759 49.0111343, 8.3972546 49.0108802, 8.3971295 49.0108029, 8.3971196 49.0107964, 8.3970792 49.010773)",,,
251351709,False,2,Baumeisterstraße,tertiary,50,,False,106.887,"LINESTRING (8.4079178 49.0041996, 8.4083512 49.0042449, 8.4090264 49.0043159, 8.4093647 49.0043515)",,,
"[256849867, 560741500]",False,"['2', '1']",Meidingerstraße,residential,50,,True,159.386,"LINESTRING (8.4079178 49.0041996, 8.407914 49.0042161, 8.4079019 49.0042639, 8.4078937 49.0042968, 8.4078563 49.0044466, 8.4077665 49.0048069, 8.4076387 49.0053195, 8.4076299 49.0053541, 8.4076207 49.0053903, 8.4076015 49.0054575, 8.4075823 49.0055222, 8.4075521 49.0056126)",,,
"[261392217, 1086889195, 261392212, 261392215]",False,2,Baumeisterstraße,tertiary,50,,True,178.421,"LINESTRING (8.4079178 49.0041996, 8.4077603 49.0041828, 8.4077366 49.0041803, 8.407322 49.0041366, 8.4069558 49.004098, 8.4069151 49.0040936, 8.40686 49.0040876, 8.4067639 49.0040773, 8.4067142 49.0040719, 8.4063071 49.0040279, 8.4061312 49.0040087, 8.405967 49.0039908, 8.4056527 49.0039565, 8.4055041 49.0039399)",,,
"[261392217, 1086889195, 261392212, 261392215]",False,2,Baumeisterstraße,tertiary,50,,False,178.421,"LINESTRING (8.4055041 49.0039399, 8.4056527 49.0039565, 8.405967 49.0039908, 8.4061312 49.0040087, 8.4063071 49.0040279, 8.4067142 49.0040719, 8.4067639 49.0040773, 8.40686 49.0040876, 8.4069151 49.0040936, 8.4069558 49.004098, 8.407322 49.0041366, 8.4077366 49.0041803, 8.4077603 49.0041828, 8.4079178 49.0041996)",,,
"[261392217, 292733409]",False,2,Baumeisterstraße,tertiary,50,,True,16.848,"LINESTRING (8.4055041 49.0039399, 8.4054236 49.0039309, 8.4052764 49.0039145)",,,
3430823,False,2,Baumeisterstraße,tertiary,50,,True,8.087,"LINESTRING (8.4052764 49.0039145, 8.4051671 49.0039023)",,,
"[280129315, 362290790, 362290791, 1113369875, 3390232]",False,1,Finterstraße,residential,"['50', '30']",,True,177.28999999999996,"LINESTRING (8.4052764 49.0039145, 8.4052725 49.0039298, 8.4052616 49.0039816, 8.4052566 49.0040047, 8.4052406 49.0040827, 8.4052312 49.004117, 8.4052094 49.0041606, 8.4051738 49.0042054, 8.4051111 49.004264, 8.4049333 49.0044125, 8.4048761 49.0044603, 8.4047616 49.0045616, 8.4047348 49.0045809, 8.404708 49.0045951, 8.4046804 49.004606, 8.4046281 49.0046143, 8.4045359 49.0046173, 8.4037823 49.0046491, 8.4036863 49.0046559, 8.4036099 49.0046608, 8.4035019 49.0046682)",,,no
"[261392217, 292733409]",False,2,Baumeisterstraße,tertiary,50,,False,16.848,"LINESTRING (8.4052764 49.0039145, 8.4054236 49.0039309, 8.4055041 49.0039399)",,,
"[4048216, 366888351]",True,,Nowackanlage,residential,50,,False,160.661,"LINESTRING (8.4043824 49.0037909, 8.4044628 49.0032158, 8.4044127 49.003149, 8.4043821 49.0031214, 8.4042761 49.0030807, 8.4034514 49.0030997, 8.403398 49.0031155, 8.4033624 49.0031423, 8.4033081 49.0031941)",,,
"[866002699, 864557622]",True,1,Baumeisterstraße,tertiary,50,,False,58.632000000000005,"LINESTRING (8.4043824 49.0037909, 8.4044418 49.0037945, 8.4046858 49.0038226, 8.4049487 49.0038661, 8.4051671 49.0039023)",,,
4068459,False,,Beiertheimer Allee,residential,50,,False,68.24099999999999,"LINESTRING (8.3995477 49.0024392, 8.3991883 49.0024566, 8.3988254 49.0024742, 8.3987819 49.0024776, 8.3987361 49.0024845, 8.3986776 49.0024977, 8.3986243 49.0025136)",,,
4068220,False,,August-Dürr-Straße,residential,30,5,True,90.328,"LINESTRING (8.3968155 49.0035432, 8.3980538 49.0035415)",,,
4068220,False,,August-Dürr-Straße,residential,30,5,False,90.328,"LINESTRING (8.3980538 49.0035415, 8.3968155 49.0035432)",,,
"[648789755, 264736221]",False,2,Ritterstraße,tertiary,30,10,False,83.004,"LINESTRING (8.3980538 49.0035415, 8.398018 49.0029671, 8.3980074 49.0028635, 8.3980005 49.0027959)",,,
648789755,False,,Ritterstraße,tertiary,30,10,True,54.642,"LINESTRING (8.3980538 49.0035415, 8.3980695 49.0039542, 8.3980749 49.0040327)",,,
4060250,False,2,Markgrafenstraße,residential,50,,True,24.424,"LINESTRING (8.4101568 49.0077417, 8.4100199 49.0077542, 8.4099721 49.0077592, 8.4098257 49.0077744)",,,
"[146037063, 285298570, 146037069, 259736403, 259736405, 259736406]",True,"['3', '1']",Fritz-Erler-Straße,secondary,50,5,False,169.641,"LINESTRING (8.4101568 49.0077417, 8.4101254 49.0078961, 8.4101273 49.0079823, 8.4101521 49.0083397, 8.4101714 49.0085456, 8.4101812 49.0086162, 8.4101869 49.0086567, 8.4102342 49.00905, 8.4102382 49.0090821, 8.4102532 49.0092034, 8.4102605 49.0092628)",,,
"[155005177, 313853066, 223054686]",True,"['2', '1']",Fritz-Erler-Straße,secondary,50,5,False,167.934,"LINESTRING (8.4099855 49.0092767, 8.4099804 49.0092194, 8.4099703 49.0091367, 8.4099652 49.0090996, 8.4099441 49.0088945, 8.4099361 49.0088174, 8.4099346 49.0088026, 8.4099233 49.0087081, 8.4098756 49.0082265, 8.4098317 49.0081256, 8.4098168 49.008062, 8.4098077 49.0079556, 8.4098076 49.0079061, 8.4098257 49.0077744)",,,
223073283,True,1,Kaiserstraße,tertiary,50,5,False,20.117,"LINESTRING (8.4099855 49.0092767, 8.4102427 49.0092637, 8.4102605 49.0092628)",,,
"[866748169, 160501819]",True,"['2', '3']",Fritz-Erler-Straße,secondary,50,,False,25.507,"LINESTRING (8.410169 49.0060853, 8.4101729 49.0060656, 8.410185 49.0060049, 8.4101867 49.0059962, 8.4101919 49.0059666, 8.4101981 49.0059281, 8.4102088 49.005874, 8.4102125 49.0058577)",,,
"[1110073696, 1225301353, 1225301341]",True,"['2', '1']",Kriegsstraße,secondary,50,,False,120.543,"LINESTRING (8.410169 49.0060853, 8.4099489 49.0060483, 8.4099222 49.0060451, 8.4098773 49.006038, 8.4096962 49.0060149, 8.4094756 49.005985, 8.408815 49.0059062, 8.4086438 49.0058834, 8.4085502 49.0058689)",,,
"[146034213, 662347242, 1248883279, 1248883280, 972388562, 342934647]",True,"['2', '3']",Kriegsstraße,secondary,50,,False,145.815,"LINESTRING (8.3980908 49.0053913, 8.3983053 49.0053973, 8.3984229 49.0053982, 8.3987827 49.0054004, 8.3990827 49.0053997, 8.3996233 49.0054005, 8.399785 49.0053993, 8.3998438 49.0053987, 8.3998958 49.005398, 8.4000887 49.005386)",,,
"[230085211, 240537308, 884371983]",False,2,Ritterstraße,tertiary,30,,False,134.46900000000002,"LINESTRING (8.3980908 49.0053913, 8.3980906 49.0053072, 8.3980896 49.0052904, 8.3980891 49.0052514, 8.3980874 49.0051831, 8.3980909 49.0048717, 8.3980902 49.004788, 8.3980841 49.0042341, 8.3980808 49.0041821)",,,
531785377,False,,Herrenstraße,residential,50,,True,59.226,"LINESTRING (8.4013254 49.0113669, 8.4008266 49.0109466)",,,
145344294,True,1,Ritterstraße,tertiary,50,,False,40.259,"LINESTRING (8.3980005 49.0027959, 8.3979695 49.0027411, 8.3979513 49.0026641, 8.397946 49.0025317, 8.3979453 49.0025177, 8.3979445 49.0024983, 8.3979422 49.0024385)",,,
"[648789755, 264736221]",False,2,Ritterstraße,tertiary,30,10,True,83.00399999999999,"LINESTRING (8.3980005 49.0027959, 8.3980074 49.0028635, 8.398018 49.0029671, 8.3980538 49.0035415)",,,
618558300,True,2,Ettlinger Straße,secondary,50,,False,27.549,"LINESTRING (8.4036479 49.0053601, 8.4036543 49.0054509, 8.4036581 49.00548, 8.4036545 49.0055531, 8.4036443 49.0056072)",,,
"[862007332, 669252631]",True,1,Kriegsstraße,secondary,50,,False,286.78999999999996,"LINESTRING (8.4036479 49.0053601, 8.4037914 49.0053773, 8.4038805 49.0053828, 8.4040363 49.0053864, 8.4042592 49.0053869, 8.4045328 49.0053872, 8.4048045 49.0053907, 8.4052249 49.0054011, 8.4055569 49.0054172, 8.4058258 49.0054321, 8.4060762 49.0054487, 8.4061523 49.0054545, 8.4062992 49.0054687, 8.4065661 49.0054983, 8.4069738 49.0055456, 8.4072313 49.0055763, 8.4075521 49.0056126)",,,
764269331,True,1,Baumeisterstraße,tertiary,50,,False,47.782999999999994,"LINESTRING (8.4100062 49.0044307, 8.4099102 49.004422, 8.4096862 49.0044002, 8.4096794 49.0043995, 8.4096116 49.0043927, 8.4095438 49.004386, 8.4094712 49.0043785, 8.4093647 49.0043515)",,,
3430823,False,2,Baumeisterstraße,tertiary,50,,False,8.087,"LINESTRING (8.4051671 49.0039023, 8.4052764 49.0039145)",,,
"[146636912, 251744585, 362290771, 658581319]",True,"['2', '1']",Baumeisterstraße,tertiary,50,,False,127.62900000000002,"LINESTRING (8.4051671 49.0039023, 8.405007 49.0039, 8.4045963 49.0038979, 8.4043613 49.0039121, 8.4042198 49.0039165, 8.4036563 49.0039403, 8.4035683 49.0039447, 8.4034201 49.0039421)",,,
852021800,True,2,Kriegsstraße,secondary,50,,False,14.757,"LINESTRING (8.4034474 49.0053424, 8.4036479 49.0053601)",,,
"[563123578, 146708999, 968805438, 610003263]",True,"['2', '3']",Ettlinger Straße,secondary,50,,False,158.892,"LINESTRING (8.4034474 49.0053424, 8.4034225 49.0052172, 8.403387 49.0049542, 8.4033682 49.0047688, 8.4033604 49.0047187, 8.4033505 49.0046557, 8.4033426 49.0045335, 8.403318 49.0043829, 8.4032725 49.0040371, 8.4032693 49.0040063, 8.4032622 49.003919)",,,
"[155005176, 146794369]",True,2,Waldhornstraße,secondary,50,,False,11.026,"LINESTRING (8.4099942 49.0093757, 8.4099926 49.0093574, 8.4099906 49.0093358, 8.4099895 49.0093231, 8.4099882 49.0093082, 8.4099855 49.0092767)",,,
145344293,True,1,Ritterstraße,tertiary,50,,False,36.946999999999996,"LINESTRING (8.3980444 49.0024653, 8.398032 49.0025096, 8.3980268 49.0025363, 8.3980268 49.0025534, 8.3980158 49.0027038, 8.3980005 49.0027959)",,,
"[261392218, 145344292]",True,2,"['Beiertheimer Allee', 'Mathystraße']",residential,50,,False,8.03,"LINESTRING (8.3980444 49.0024653, 8.397991 49.0024518, 8.3979422 49.0024385)",,,
4068459,False,,Beiertheimer Allee,residential,50,,False,13.504999999999999,"LINESTRING (8.3986243 49.0025136, 8.398554 49.0025407, 8.3985212 49.0025604, 8.3984841 49.0025906)",,,
"[366888341, 366888342, 366888343, 366888344, 534883546, 251351711]",True,"['2', '1']",Beiertheimer Allee,residential,50,,False,148.063,"LINESTRING (8.3986243 49.0025136, 8.3987563 49.0025862, 8.3988008 49.002615, 8.3990549 49.0028453, 8.3991601 49.0029426, 8.3991883 49.0029687, 8.3991863 49.0029946, 8.3991754 49.0030174, 8.3991535 49.0030364, 8.3991397 49.0030428, 8.3991299 49.0030474, 8.399116 49.0030515, 8.3991013 49.0030541, 8.3990863 49.0030554, 8.3990544 49.0030535, 8.3990172 49.0030392, 8.3987697 49.0028231, 8.398596 49.002663, 8.3985461 49.0026263, 8.3984841 49.0025906)",,,
4068459,False,,Beiertheimer Allee,residential,50,,True,68.241,"LINESTRING (8.3986243 49.0025136, 8.3986776 49.0024977, 8.3987361 49.0024845, 8.3987819 49.0024776, 8.3988254 49.0024742, 8.3991883 49.0024566, 8.3995477 49.0024392)",,,
"[174189858, 251744583, 366888345, 155277788, 169999356]",True,"['3', '1']",Hermann-Billing-Straße,tertiary,50,,False,172.353,"LINESTRING (8.4009015 49.003915, 8.4015705 49.0038916, 8.4017176 49.0038848, 8.4018562 49.0038793, 8.4019126 49.0038733, 8.4020047 49.0038599, 8.4021009 49.0038354, 8.4022442 49.0038109, 8.402348 49.0037998, 8.4030386 49.0037678, 8.4030902 49.003765, 8.403176 49.0037631, 8.4032446 49.0037615)",,,
1098186806,False,,Beiertheimer Allee,residential,30,,False,10.014,"LINESTRING (8.4009015 49.003915, 8.4009046 49.003941, 8.4009069 49.0039702, 8.4009096 49.0040049)",,,
"[251351712, 170957251]",True,1,Hermann-Billing-Straße,tertiary,30,,False,61.516,"LINESTRING (8.4009096 49.0040049, 8.400556 49.0040253, 8.4004257 49.0040291, 8.4002886 49.0040308, 8.4000678 49.0040323)",,,
1098186806,False,,Beiertheimer Allee,residential,30,,False,14.440000000000001,"LINESTRING (8.4009096 49.0040049, 8.4009122 49.0040574, 8.4009192 49.0041346)",,,
1098186806,False,,Beiertheimer Allee,residential,30,,True,10.014,"LINESTRING (8.4009096 49.0040049, 8.4009069 49.0039702, 8.4009046 49.003941, 8.4009015 49.003915)",,,
"[155277788, 175152901, 170957254]",True,1,Hermann-Billing-Straße,tertiary,"['50', '30']",,False,92.28200000000001,"LINESTRING (8.3997236 49.0040195, 8.3997491 49.00398, 8.3998262 49.003938, 8.3998883 49.0039076, 8.3999194 49.0038987, 8.3999596 49.0038913, 8.4000111 49.0038849, 8.4000775 49.0038829, 8.4001439 49.0038814, 8.4002226 49.0038801, 8.4002928 49.0038804, 8.4003682 49.0038822, 8.4004507 49.0038868, 8.4005783 49.0038959, 8.4006307 49.0039023, 8.4006942 49.0039097, 8.4007661 49.0039132, 8.4008212 49.0039159, 8.4009015 49.003915)",,,
175152902,False,,Hermann-Billing-Straße,tertiary,30,,False,120.279,"LINESTRING (8.3997236 49.0040195, 8.3996532 49.0040206, 8.3995611 49.0040209, 8.3994874 49.0040211, 8.3994477 49.0040212, 8.3993918 49.0040214, 8.3992145 49.0040219, 8.3991872 49.0040219, 8.3990105 49.0040224, 8.3989832 49.0040225, 8.3987703 49.0040231, 8.3987053 49.0040233, 8.3985537 49.0040237, 8.398529 49.0040242, 8.3980749 49.0040327)",,,
280133960,True,2,Ettlinger Straße,secondary,50,,False,20.67,"LINESTRING (8.4034 49.0037567, 8.4034068 49.003832, 8.4034114 49.0038608, 8.4034201 49.0039421)",,,
"[658581320, 292733410, 256849859]",True,1,Baumeisterstraße,tertiary,50,,False,71.957,"LINESTRING (8.4034 49.0037567, 8.4035481 49.0037546, 8.4036063 49.003754, 8.4038731 49.0037496, 8.4041094 49.0037662, 8.4043824 49.0037909)",,,
146636921,True,1,Hermann-Billing-Straße,tertiary,30,,False,25.284000000000002,"LINESTRING (8.4000678 49.0040323, 8.4000282 49.0040313, 8.3999993 49.0040314, 8.3998449 49.0040316, 8.399795 49.0040317, 8.3997639 49.0040264, 8.3997236 49.0040195)",,,
"[788056835, 901996821]",False,,Badenwerkstraße am Festplatz,residential,30,,True,123.429,"LINESTRING (8.4000678 49.0040323, 8.4000694 49.0040778, 8.4000727 49.0048026, 8.4000733 49.0048948, 8.4000731 49.0051423)",,,
376239878,True,,Zirkel,residential,30,,False,82.149,"LINESTRING (8.4018245 49.0105223, 8.4019175 49.0104919, 8.4021323 49.0104304, 8.4022815 49.0103896, 8.4024788 49.0103426, 8.4027004 49.0102959, 8.4028767 49.010262)",,,
"[1161065370, 154344055]",False,,Zirkel,residential,"['50', '30']",,True,86.97299999999998,"LINESTRING (8.4018245 49.0105223, 8.4017415 49.0105499, 8.4016382 49.0105867, 8.4014951 49.0106389, 8.4013599 49.0106918, 8.4012183 49.0107503, 8.4011011 49.010804, 8.4009711 49.0108661, 8.4008266 49.0109466)",,,
4058931,False,2,Kreuzstraße,residential,50,,True,75.363,"LINESTRING (8.4060314 49.0062871, 8.4060388 49.0062503, 8.4061272 49.0059918, 8.4062254 49.005692, 8.406234 49.0056572, 8.4062421 49.0056238)",,,
"[376239874, 376239875, 376239876, 376239877, 159908038, 159908039, 154343753, 3533995]",False,,"['Zentralhof', 'Herrenstraße', 'Waldstraße']","['residential', 'living_street']","['20', '50', 'DE:walk', 'walk']",4.5,"[False, True]",266.596,"LINESTRING (8.3985099 49.0105554, 8.3983279 49.0104487, 8.3983094 49.0104379, 8.3983556 49.0104046, 8.3984687 49.0103231, 8.3988421 49.0102652, 8.399024 49.0102437, 8.3990541 49.0102401, 8.3991628 49.0102319, 8.3992127 49.0102354, 8.3992555 49.0102424, 8.3992964 49.01026, 8.3993127 49.0102738, 8.3995269 49.0104537, 8.3996162 49.0105287, 8.3996812 49.0105796, 8.3996937 49.0105865, 8.399711 49.010589, 8.3997327 49.0105883, 8.3997609 49.01058, 8.3998279 49.010548, 8.4000526 49.0104351, 8.4001596 49.0103814, 8.4005179 49.0106844, 8.4008266 49.0109466)",,building_passage,
160250927,False,,Zirkel,residential,30,5.5,False,84.32600000000001,"LINESTRING (8.4062738 49.0103242, 8.40655 49.010391, 8.4067078 49.0104345, 8.4068514 49.0104821, 8.4070345 49.0105432, 8.4072526 49.0106257, 8.4073154 49.0106495)",,,
"[191735747, 707478637, 708234062, 708234063, 706975540, 1161065369, 941718906]",False,,Zirkel,residential,30,"['7', '4.2']",True,250.937,"LINESTRING (8.4062738 49.0103242, 8.4062042 49.0103124, 8.4059848 49.0102753, 8.4057072 49.0102384, 8.4051568 49.0101815, 8.4050639 49.0101737, 8.4048928 49.0101592, 8.4046176 49.0101437, 8.404514 49.010139, 8.404435 49.0101372, 8.4042768 49.0101368, 8.4041326 49.0101398, 8.4040119 49.0101428, 8.4039181 49.0101465, 8.4036846 49.0101579, 8.4034587 49.0101734, 8.4033927 49.0101802, 8.4033085 49.0101913, 8.4031839 49.0102093, 8.4029863 49.0102428, 8.4028767 49.010262)",,,
3787216,False,1,Kronenstraße,residential,30,2.8,False,66.16499999999999,"LINESTRING (8.4073154 49.0106495, 8.4072613 49.0106849, 8.4072288 49.0107128, 8.4071894 49.0107493, 8.4070778 49.0108776, 8.4069082 49.0110725, 8.4068791 49.0111046, 8.4068664 49.0111186, 8.4068382 49.0111533)",,,
160250927,False,,Zirkel,residential,30,5.5,True,84.326,"LINESTRING (8.4073154 49.0106495, 8.4072526 49.0106257, 8.4070345 49.0105432, 8.4068514 49.0104821, 8.4067078 49.0104345, 8.40655 49.010391, 8.4062738 49.0103242)",,,
230768934,False,2,Zirkel,residential,30,,False,87.409,"LINESTRING (8.4073154 49.0106495, 8.4073983 49.0106784, 8.4075668 49.0107394, 8.4077578 49.0108139, 8.4079409 49.0108874, 8.4081238 49.0109739, 8.4081647 49.0109931, 8.4082062 49.011015, 8.4083109 49.0110819)",,,
"[160255233, 356659642, 353062908, 353062909]",False,,Kronenstraße,living_street,7,"['3.8', '3.7']",True,146.871,"LINESTRING (8.4073154 49.0106495, 8.4080783 49.009771, 8.4081462 49.0096929, 8.4081547 49.0096831, 8.4081966 49.0096349, 8.4082204 49.0096083, 8.4083147 49.0095028)",,,yes
"[260318340, 1009151269, 260318341, 260318342, 38317407]",False,"['4', '2', '3']",Waldhornstraße,secondary,50,12,False,186.641,"LINESTRING (8.4083109 49.0110819, 8.4084101 49.0110017, 8.4084517 49.0109685, 8.408674 49.0107924, 8.4089668 49.0105704, 8.4090033 49.0105428, 8.4091079 49.0104596, 8.4091529 49.0104255, 8.4092885 49.0103225, 8.4094652 49.0101834, 8.4097528 49.0099461, 8.4099428 49.0097893)",,,
