osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed,bridge,width
933090425,False,,Schillerstraße,residential,True,114.651,"LINESTRING (7.6237799 47.8098851, 7.623823 47.8100232, 7.6239452 47.810356, 7.6239511 47.8103727, 7.6240478 47.8106482, 7.6240783 47.810735, 7.6241322 47.8108886)",,,30,,
27348464,False,,Lessingstraße,residential,True,112.739,"LINESTRING (7.6252443 47.8096388, 7.6250672 47.8096676, 7.6245443 47.8097526, 7.6237799 47.8098851)",,,30,,
27348461,False,,Hügelheimer Straße,residential,True,118.99300000000001,"LINESTRING (7.6220457 47.8112671, 7.6221109 47.8109404, 7.6221983 47.8104633, 7.622252 47.8103284, 7.6223161 47.8102162)",,,,,
27350781,False,,Bismarckstraße,residential,True,161.859,"LINESTRING (7.6220457 47.8112671, 7.6218559 47.8112743, 7.6212473 47.811374, 7.6203011 47.8115564, 7.6202081 47.8115768, 7.6199539 47.8116353)",,,,,
30199357,False,,Bismarckstraße,residential,True,83.08399999999999,"LINESTRING (7.6220457 47.8112671, 7.6222318 47.8112515, 7.6231203 47.8110786)",,,30,,
30666575,False,2,Hügelheimer Straße,residential,False,106.47800000000001,"LINESTRING (7.6220457 47.8112671, 7.6219981 47.8114114, 7.6219653 47.8115073, 7.6218277 47.8118193, 7.6216691 47.8121229, 7.6216353 47.812183)",,,,,
30199357,False,,Bismarckstraße,residential,False,75.122,"LINESTRING (7.6241322 47.8108886, 7.6231638 47.8110715)",,,30,,
933090425,False,,Schillerstraße,residential,False,114.651,"LINESTRING (7.6241322 47.8108886, 7.6240783 47.810735, 7.6240478 47.8106482, 7.6239511 47.8103727, 7.6239452 47.810356, 7.623823 47.8100232, 7.6237799 47.8098851)",,,30,,
934123100,False,,Schillerstraße,residential,True,199.915,"LINESTRING (7.6241322 47.8108886, 7.6244108 47.8115405, 7.624868 47.8125379, 7.6249094 47.8126087)",,,30,,
"[1019925504, 933090426]",False,,Bismarckstraße,residential,True,38.324,"LINESTRING (7.6241322 47.8108886, 7.6242397 47.8108683, 7.6242986 47.8108572, 7.6246262 47.8107952)",,,30,,
