osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,access,width
"[26611986, 983042796, 1038026326, 52518047]","['Burgstraße', 'Marienplatz']",residential,"['20', '30']",False,False,250.71599999999998,"LINESTRING (9.6157438 47.7802181, 9.6154364 47.7801366, 9.6153881 47.7801238, 9.6150325 47.7800294, 9.6148809 47.780013, 9.6148071 47.7800135, 9.614748 47.7800345, 9.6146798 47.7800652, 9.6146178 47.7800959, 9.6141013 47.7804478, 9.6139515 47.7805319, 9.6138397 47.7805628, 9.6136664 47.7805611, 9.6136042 47.7805606, 9.613453 47.7802507, 9.6133019 47.7800754, 9.6132751 47.7800368)",,,,,
"[194026977, 194026978, 308201993, 1258292119]",Marktstraße,residential,20,False,True,135.119,"LINESTRING (9.6157438 47.7802181, 9.6158035 47.7801618, 9.61591 47.780068, 9.6159488 47.7800339, 9.6161328 47.7798762, 9.6163643 47.7796792, 9.6165024 47.7795702, 9.6165304 47.7795478, 9.6166231 47.7794654, 9.6166783 47.7794198, 9.6167358 47.7793742, 9.6168107 47.7793047, 9.6168588 47.7792619)",,,building_passage,,
7246116,Hirschgraben,residential,30,True,False,25.74,"LINESTRING (9.6130428 47.7796464, 9.6127361 47.7797518)",,,,yes,
26193057,Federburgstraße,residential,30,False,False,7.695,"LINESTRING (9.6130428 47.7796464, 9.6131266 47.779657, 9.613144 47.7796592)",,,,,
52518047,Marienplatz,residential,30,False,True,46.763999999999996,"LINESTRING (9.6130428 47.7796464, 9.6131642 47.7798631, 9.6132751 47.7800368)",,,,,
328524260,Seestraße,residential,30,False,True,157.856,"LINESTRING (9.6130428 47.7796464, 9.6126381 47.7790026, 9.6121928 47.7783469)",2,,,,
723082441,Spohnstraße,residential,30,False,True,16.4,"LINESTRING (9.6191037 47.7849394, 9.6189916 47.7848126)",,,,,
"[26089035, 729374239]",Zeppelinstraße,residential,"['50', '30']",False,False,182.675,"LINESTRING (9.6191037 47.7849394, 9.6189451 47.7849585, 9.6181159 47.7850769, 9.6179129 47.785139, 9.6174231 47.785342, 9.6168932 47.7855803)",,,,,
6894597,Frauenstraße,secondary,50,False,False,91.767,"LINESTRING (9.6186809 47.7832153, 9.617883 47.7825879)",2,L 325,,,
530876437,Friedhofstraße,residential,30,False,True,92.568,"LINESTRING (9.6186809 47.7832153, 9.617442 47.7832096)",,,,,
462935202,Frauenstraße,secondary,50,False,False,9.425,"LINESTRING (9.6172628 47.7821073, 9.6171822 47.7820421)",,,,,
6894597,Frauenstraße,secondary,50,False,True,70.74,"LINESTRING (9.6172628 47.7821073, 9.6173621 47.7821839, 9.6174139 47.7822277, 9.617883 47.7825879)",2,L 325,,,
"[1058640168, 336256694]",Wilhelmstraße,primary,50,True,False,210.418,"LINESTRING (9.6172628 47.7821073, 9.6165799 47.7825116, 9.6165295 47.7825414, 9.6161227 47.7827924, 9.615978 47.7828816, 9.6157771 47.7830055, 9.6156266 47.7830905, 9.6153528 47.7832451, 9.6153209 47.7832631, 9.6152468 47.7833159, 9.6152186 47.7833534, 9.6151956 47.7833841)",2,B 32,,,
1034000160,Weinbergstraße,residential,30,True,False,8.829,"LINESTRING (9.6108982 47.7800505, 9.6108732 47.7799729)",,,,,
"[1034006568, 1042339284, 1034010788]",Hirschgraben,residential,30,True,False,161.918,"LINESTRING (9.6108982 47.7800505, 9.6107848 47.7800677, 9.6097946 47.7802169, 9.6094667 47.7802751, 9.6093337 47.7802995, 9.609199 47.7803241, 9.6091395 47.780335, 9.6089736 47.7804045, 9.608852 47.7804766)","['2', '1']",,,,
"[674512002, 5182269, 275524607]",Gartenstraße,secondary,50,False,True,187.7,"LINESTRING (9.6168932 47.7855803, 9.616564 47.7852151, 9.6164526 47.7850978, 9.6162037 47.784822, 9.6160056 47.7845911, 9.6159763 47.7845588, 9.615893 47.7844596, 9.6157453 47.7842969, 9.615605 47.7841313)",2,,,,
"[26089035, 729374239]",Zeppelinstraße,residential,"['50', '30']",False,True,182.675,"LINESTRING (9.6168932 47.7855803, 9.6174231 47.785342, 9.6179129 47.785139, 9.6181159 47.7850769, 9.6189451 47.7849585, 9.6191037 47.7849394)",,,,,
"[22930074, 22930071]","['Rudolfstraße', 'Oberamteigasse']",residential,,False,False,299.017,"LINESTRING (9.6121928 47.7783469, 9.6128722 47.7781614, 9.6132034 47.778071, 9.6134766 47.7785158, 9.6135016 47.7785565, 9.6134819 47.7787083, 9.6134602 47.7788901, 9.6135133 47.7790131, 9.6138111 47.7794322, 9.6132255 47.7796186, 9.613144 47.7796592)",,,,,
27196606,Rudolfstraße,residential,30,False,True,51.364,"LINESTRING (9.6121928 47.7783469, 9.6116257 47.7785161, 9.6115654 47.7785356)",,,,,
328524260,Seestraße,residential,30,False,False,157.856,"LINESTRING (9.6121928 47.7783469, 9.6126381 47.7790026, 9.6130428 47.7796464)",2,,,,
598085546,Seestraße,residential,30,False,True,88.614,"LINESTRING (9.6121928 47.7783469, 9.6121402 47.7782728, 9.6119288 47.7779512, 9.6117105 47.7776189)",,,,,
"[27757772, 1227603805]",Charlottenstraße,residential,,True,False,115.349,"LINESTRING (9.6078307 47.7847643, 9.6079115 47.7847546, 9.609159 47.7844279, 9.6092735 47.7843979)",2,,,,
162665102,Georgstraße,secondary,50,True,False,93.35299999999998,"LINESTRING (9.6078307 47.7847643, 9.6077868 47.7847141, 9.6076934 47.7845836, 9.6075991 47.784452, 9.6074271 47.7841863, 9.6073979 47.7841329, 9.6073708 47.7840834, 9.6073241 47.7839979)",2,,,,
24499800,Charlottenstraße,living_street,,False,False,29.655,"LINESTRING (9.6098196 47.7842671, 9.6100016 47.7842235, 9.6100509 47.7842121, 9.6101935 47.7841776)",,,,,
147176898,Karlstraße,secondary,50,True,False,92.356,"LINESTRING (9.6098196 47.7842671, 9.609876 47.7843651, 9.610241 47.7850479)",2,,,,
907394934,Eisenbahnstraße,living_street,,False,True,7.503,"LINESTRING (9.6134567 47.7828167, 9.6133569 47.7828242)",,,,,
115552923,Marienplatz,living_street,,False,False,64.971,"LINESTRING (9.6134567 47.7828167, 9.6135428 47.7829927, 9.6136178 47.7830822, 9.6137024 47.7831539, 9.6137389 47.7831854, 9.6139172 47.7832987)",,,,,
150694309,Marienplatz,living_street,,False,True,83.706,"LINESTRING (9.6134567 47.7828167, 9.6133653 47.7825907, 9.613349 47.7823676, 9.6133653 47.7822484, 9.6134429 47.7820808)",,,,,
"[115552923, 1169689109, 329518647]",Marienplatz,living_street,,False,False,95.36600000000001,"LINESTRING (9.6139172 47.7832987, 9.6140355 47.7833405, 9.6141961 47.7833757, 9.6144908 47.7832849, 9.6146487 47.7832647, 9.6147363 47.7832581, 9.6148072 47.7832521, 9.6149093 47.7832759, 9.6149998 47.7833067, 9.6150218 47.7833146, 9.6150433 47.7833278, 9.6151007 47.7833492)",,,,,
115552923,Marienplatz,living_street,,False,True,64.971,"LINESTRING (9.6139172 47.7832987, 9.6137389 47.7831854, 9.6137024 47.7831539, 9.6136178 47.7830822, 9.6135428 47.7829927, 9.6134567 47.7828167)",,,,,
"[24499802, 623159590]",Charlottenstraße,living_street,,False,True,58.961000000000006,"LINESTRING (9.6139172 47.7832987, 9.6136217 47.7834034, 9.6132289 47.783514, 9.613202 47.7835216)",,,,,
24573357,Marienplatz,living_street,,True,False,40.008,"LINESTRING (9.6139363 47.7822027, 9.6136958 47.7821752, 9.6136041 47.7821539, 9.6134429 47.7820808)",,,,,
525139890,Kirchstraße,living_street,,True,False,29.104,"LINESTRING (9.6139363 47.7822027, 9.61403 47.7821688, 9.614141 47.7819938)",,,,,
991049028,,living_street,,False,True,3.271,"LINESTRING (9.614141 47.7819938, 9.6141846 47.7819964)",,,,,
"[525967388, 26193077]",Marktstraße,living_street,,True,False,232.938,"LINESTRING (9.614141 47.7819938, 9.6142954 47.7817792, 9.6143478 47.7817134, 9.6144158 47.7816476, 9.6145827 47.7815355, 9.614724 47.7814455, 9.6149741 47.7812484, 9.6149943 47.7812271, 9.615214 47.7809169, 9.6154027 47.7806455, 9.6156635 47.7803188, 9.6157438 47.7802181)",,,,,
217961125,Wilhelmstraße,primary,50,True,False,75.465,"LINESTRING (9.6180059 47.7816481, 9.6179058 47.7817192, 9.6174784 47.7819749, 9.6174337 47.7820016, 9.6172628 47.7821073)",2,B 32,,,
24499798,Eisenbahnstraße,residential,,True,False,61.131,"LINESTRING (9.6073241 47.7839979, 9.6072125 47.7840558, 9.6071109 47.7840841, 9.6068102 47.7841664, 9.6065858 47.7842282)",,,,,3.6
"[162665101, 899256205]",Georgstraße,secondary,50,True,False,129.858,"LINESTRING (9.6073241 47.7839979, 9.6072766 47.7838832, 9.6072167 47.7837387, 9.6071353 47.7835504, 9.6070678 47.7833839, 9.6070308 47.7832856, 9.6068689 47.7828709)",2,,,,
240654370,Eisenbahnstraße,residential,30,False,True,124.019,"LINESTRING (9.6073241 47.7839979, 9.6074145 47.7839715, 9.6074883 47.7839493, 9.6080467 47.7837816, 9.60885 47.7835592)",,,,,
26088782,Jahnstraße,secondary,50,True,False,10.718,"LINESTRING (9.6063086 47.7816941, 9.6062231 47.7816167)",2,,,,
241982710,Georgstraße,secondary,50,True,False,79.315,"LINESTRING (9.6066771 47.7823508, 9.6066236 47.7821638, 9.6064991 47.781871, 9.6064254 47.7818026, 9.6063771 47.7817577, 9.6063086 47.7816941)",2,,,,
591184755,Georgstraße,secondary,50,True,False,38.114000000000004,"LINESTRING (9.6080477 47.7850744, 9.6079777 47.7849833, 9.6079123 47.7848858, 9.6078913 47.7848545, 9.6078307 47.7847643)",2,,,,
24499800,Charlottenstraße,living_street,,False,True,71.813,"LINESTRING (9.6111008 47.7839645, 9.6109203 47.7840046, 9.6105408 47.7840944, 9.6101935 47.7841776)",,,,,
26193071,Untere Breite Straße,living_street,,True,False,96.80000000000001,"LINESTRING (9.6111008 47.7839645, 9.6110266 47.7838937, 9.6106402 47.783154)",,,,,
26599732,Charlottenstraße,living_street,,True,False,71.667,"LINESTRING (9.6111008 47.7839645, 9.6119073 47.7837897, 9.6120189 47.783794)",,,,,
548425293,Obere Breite Straße,living_street,,True,False,61.496,"LINESTRING (9.6120189 47.783794, 9.6123607 47.7842971)",,,,,
548425294,Charlottenstraße,living_street,,True,False,57.43,"LINESTRING (9.6127526 47.7836441, 9.6122739 47.7837516, 9.6121253 47.783785, 9.6120189 47.783794)",,,,,
24499801,Charlottenstraße,living_street,,True,False,8.292,"LINESTRING (9.613202 47.7835216, 9.613101 47.7835525)",,,,,
"[24499802, 623159590]",Charlottenstraße,living_street,,False,False,58.961000000000006,"LINESTRING (9.613202 47.7835216, 9.6132289 47.783514, 9.6136217 47.7834034, 9.6139172 47.7832987)",,,,,
115552933,Bahnhofplatz,residential,,False,True,7.926,"LINESTRING (9.6065858 47.7842282, 9.6065436 47.7841628)",,,,,7.4
115552933,Bahnhofplatz,residential,,False,False,7.926,"LINESTRING (9.6065436 47.7841628, 9.6065858 47.7842282)",,,,,7.4
24499797,Eisenbahnstraße,residential,,True,False,61.90500000000001,"LINESTRING (9.6065436 47.7841628, 9.6067147 47.784117, 9.606777 47.7841173, 9.6070837 47.7840307, 9.607131 47.7840174, 9.607189 47.784001, 9.6073241 47.7839979)",,,,,3.6
115552929,Bahnhofplatz,residential,,True,False,23.777,"LINESTRING (9.6065436 47.7841628, 9.6064816 47.7841274, 9.6064485 47.784103, 9.6064229 47.7840788, 9.6063679 47.7839897)",,,,,4.8
292979154,Karlstraße,secondary,50,True,False,27.012,"LINESTRING (9.6088428 47.7819985, 9.6089297 47.7822343)",2,K 7975,,,
26575121,Adlerstraße,residential,,False,False,101.713,"LINESTRING (9.6088428 47.7819985, 9.6087375 47.7820161, 9.6082862 47.7820873, 9.6082542 47.7820763, 9.6080476 47.7820761, 9.6075077 47.7821337)",,,,,
"[525967386, 24573124, 26193078]","['Herrenstraße', 'Roßbachstraße', 'Gänsbühl']",living_street,,False,"[False, True]",257.411,"LINESTRING (9.615634 47.78128, 9.6156662 47.7811402, 9.6157486 47.7810109, 9.6159205 47.78086, 9.6160102 47.7807921, 9.6162894 47.7806181, 9.6163762 47.780564, 9.6165991 47.7807133, 9.6167921 47.780838, 9.6168714 47.7810012, 9.6171844 47.7812415, 9.6165894 47.7815957)",,,,,
26193078,Roßbachstraße,living_street,,False,True,31.478,"LINESTRING (9.615634 47.78128, 9.6156761 47.7813674, 9.6157151 47.7814298, 9.6157355 47.7814458, 9.6157557 47.7814618, 9.6158344 47.7815238)",,,,,
846359841,Fabrikgasse,living_street,,False,True,28.756,"LINESTRING (9.615634 47.78128, 9.6155201 47.7812932, 9.6152835 47.7813796)",,,,,
991049027,Roßbachstraße,living_street,,False,False,3.507,"LINESTRING (9.6158344 47.7815238, 9.6157922 47.7815376)",,,,,
24573122,Hochstatt,living_street,,False,False,44.031,"LINESTRING (9.6158344 47.7815238, 9.6158688 47.7815465, 9.6162545 47.7818015)",,,,,
26193078,Roßbachstraße,living_street,,False,False,31.477999999999998,"LINESTRING (9.6158344 47.7815238, 9.6157557 47.7814618, 9.6157355 47.7814458, 9.6157151 47.7814298, 9.6156761 47.7813674, 9.615634 47.78128)",,,,,
26193066,Grafengasse,living_street,,False,True,56.718,"LINESTRING (9.6150541 47.7818861, 9.6152293 47.7820888, 9.6154857 47.782304)",,,,destination,2.3
49989422,Ziegelstraße,residential,50,False,False,36.082,"LINESTRING (9.6071611 47.7771126, 9.6070004 47.7774186)",,,,,
678407592,Wilhelm-Hauff-Straße,residential,50,False,True,49.796,"LINESTRING (9.6071611 47.7771126, 9.6070413 47.7770823, 9.6065375 47.7769547)",,,,,
49989422,Ziegelstraße,residential,50,False,True,36.082,"LINESTRING (9.6070004 47.7774186, 9.6071611 47.7771126)",,,,,
26500917,Friedrich-Schiller-Straße,residential,30,False,False,38.76,"LINESTRING (9.6070004 47.7774186, 9.606842 47.7774357, 9.6064908 47.7774833)",,,,,
26500917,Friedrich-Schiller-Straße,residential,30,False,True,52.95399999999999,"LINESTRING (9.6070004 47.7774186, 9.6075923 47.7773283, 9.6076926 47.777317)",,,,,
49989422,Ziegelstraße,residential,50,False,False,77.868,"LINESTRING (9.6070004 47.7774186, 9.6069541 47.7776553, 9.6069275 47.7779675, 9.6069149 47.7781161)",,,,,
26145076,Ziegelstraße,residential,,False,False,115.713,"LINESTRING (9.6066564 47.7802125, 9.6066468 47.7802931, 9.6066421 47.7803325, 9.6066215 47.7805053, 9.6066176 47.7805346, 9.6066095 47.7806272, 9.6065939 47.7808327, 9.6065574 47.781199, 9.6065712 47.78125)",2,,,,
49989422,Ziegelstraße,residential,50,False,True,111.291,"LINESTRING (9.6066564 47.7802125, 9.6066718 47.7801096, 9.6066765 47.7800779, 9.6066895 47.7799913, 9.6067032 47.7798739, 9.6067449 47.7795512, 9.6067671 47.7793533, 9.606783 47.7792153)",,,,,
"[758359322, 1042339285]",Zwergerstraße,secondary,50,True,False,167.93099999999998,"LINESTRING (9.6066564 47.7802125, 9.6067906 47.7802283, 9.6071457 47.78027, 9.6076039 47.7803242, 9.6076945 47.7803351, 9.6079105 47.7803625, 9.6079576 47.7803672, 9.6082556 47.7803968, 9.6084973 47.7804104, 9.608665 47.7804156, 9.6087112 47.7804242, 9.6087982 47.7804404, 9.608852 47.7804766)",2,,,,
26088772,Weinbergstraße,living_street,,True,False,95.92699999999999,"LINESTRING (9.6110388 47.7812103, 9.6109916 47.7809187, 9.6109848 47.7806256, 9.6109549 47.7803501)",,,,,
"[525139888, 273469067, 273469068, 24573055]",Bachstraße,"['living_street', 'residential']",20,False,True,176.597,"LINESTRING (9.6110388 47.7812103, 9.6107977 47.7812028, 9.6105367 47.7812038, 9.6101081 47.7812267, 9.6097527 47.7813124, 9.6094156 47.7813765, 9.6093227 47.7813881, 9.6092376 47.7814005, 9.609174 47.7814125, 9.6090449 47.7814395, 9.608984 47.7814531, 9.6087583 47.7815346)",,,,,
27196606,Rudolfstraße,residential,30,False,False,84.415,"LINESTRING (9.6104599 47.7786919, 9.6115654 47.7785356)",,,,,
26193068,Weinbergstraße,residential,30,False,True,145.751,"LINESTRING (9.6104599 47.7786919, 9.6107004 47.7794372, 9.6108732 47.7799729)",,,,,
27196606,Rudolfstraße,residential,30,False,True,115.24899999999998,"LINESTRING (9.6104599 47.7786919, 9.6103132 47.7787151, 9.6102586 47.7787237, 9.6090997 47.7789068, 9.6089578 47.7789271)",,,,,
49982159,Weinbergstraße,living_street,,False,True,192.621,"LINESTRING (9.6104599 47.7786919, 9.6102465 47.7781326, 9.6098778 47.7770046)",,,,,
1258144909,Adlerstraße,living_street,,False,True,8.36,"LINESTRING (9.6090832 47.7821055, 9.6091908 47.7820849)",,,,,
241116755,Adlerstraße,residential,,True,False,18.432000000000002,"LINESTRING (9.6090832 47.7821055, 9.6089745 47.7821847, 9.6089297 47.7822343)",,,,,
210622770,Obere Breite Straße,residential,50,True,False,11.205,"LINESTRING (9.612767 47.7848495, 9.6127238 47.784946)",,,,,
"[24500104, 713736870, 713737582]",Schussenstraße,primary,50,True,False,192.909,"LINESTRING (9.612767 47.7848495, 9.6129629 47.7847928, 9.613578 47.7846024, 9.6144214 47.784297, 9.6145612 47.7842326, 9.6147061 47.7841547, 9.6148568 47.7840704, 9.6149437 47.7840011, 9.6149742 47.7839768)","['2', '3']",B 32,,,
139925741,Obere Breite Straße,living_street,,False,True,68.55000000000001,"LINESTRING (9.612767 47.7848495, 9.612687 47.7847482, 9.6125406 47.7845627, 9.6125029 47.7845106, 9.6123607 47.7842971)",,,,,
26599731,Grüner-Turm-Straße,living_street,,False,True,55.24,"LINESTRING (9.6123607 47.7842971, 9.6130614 47.7841386)",,,,,
139925741,Obere Breite Straße,living_street,,False,False,68.55,"LINESTRING (9.6123607 47.7842971, 9.6125029 47.7845106, 9.6125406 47.7845627, 9.612687 47.7847482, 9.612767 47.7848495)",,,,,
266608171,Grüner-Turm-Straße,living_street,,False,False,68.442,"LINESTRING (9.6123607 47.7842971, 9.6115727 47.7844921, 9.6114987 47.7845046)",,,,,
26193041,Obere Breite Straße,living_street,,True,False,95.839,"LINESTRING (9.611574 47.7829856, 9.6120189 47.783794)",,,,,
139925744,Obere Breite Straße,living_street,,True,False,93.165,"LINESTRING (9.611574 47.7829856, 9.6111954 47.7821873)",,,,,
1169689110,Eisenbahnstraße,living_street,,True,False,61.123,"LINESTRING (9.611574 47.7829856, 9.6123878 47.7829295)",,,,,
139925748,Roßstraße,living_street,,True,False,59.325,"LINESTRING (9.6134275 47.7840386, 9.6132189 47.7837108, 9.613101 47.7835525)",,,,,
26599731,Grüner-Turm-Straße,living_street,,False,False,55.24,"LINESTRING (9.6130614 47.7841386, 9.6123607 47.7842971)",,,,,
26193046,Rosenstraße,living_street,,True,False,59.638000000000005,"LINESTRING (9.6130614 47.7841386, 9.6127719 47.7836808, 9.6127526 47.7836441)",,,,,
26193071,Untere Breite Straße,living_street,,True,False,67.37299999999999,"LINESTRING (9.6114987 47.7845046, 9.6114486 47.7844699, 9.6111513 47.7840164, 9.6111008 47.7839645)",,,,,
266608171,Grüner-Turm-Straße,living_street,,False,True,68.442,"LINESTRING (9.6114987 47.7845046, 9.6115727 47.7844921, 9.6123607 47.7842971)",,,,,
24499796,Eisenbahnstraße,living_street,,True,False,72.322,"LINESTRING (9.6106402 47.783154, 9.6114357 47.7829992, 9.611574 47.7829856)",,,,,
139925749,Untere Breite Straße,living_street,,True,False,126.154,"LINESTRING (9.6106402 47.783154, 9.6104359 47.7827349, 9.610301 47.7824091, 9.6102381 47.782159, 9.6102498 47.7820576)",,,,,
75509912,Adlerstraße,living_street,,True,False,69.842,"LINESTRING (9.6102498 47.7820576, 9.6095756 47.7820561, 9.6093154 47.7820651)",,,,,
131604993,Rosenstraße,living_street,,True,False,84.108,"LINESTRING (9.6123878 47.7829295, 9.6125699 47.7832292, 9.6127526 47.7836441)",,,,,
"[131604995, 26193069]","['Gerberstraße', 'Rosenstraße']",living_street,,True,False,140.49800000000002,"LINESTRING (9.6123878 47.7829295, 9.612325 47.7828437, 9.6121432 47.7824184, 9.612162 47.7823762, 9.6120907 47.7823446, 9.6118894 47.7823055, 9.6114321 47.7822058, 9.6111954 47.7821873)",,,,,
1169689110,Eisenbahnstraße,living_street,,True,False,37.010000000000005,"LINESTRING (9.6123878 47.7829295, 9.612716 47.7828701, 9.6128708 47.7828606)",,,,,
"[139925744, 75509912]","['Obere Breite Straße', 'Adlerstraße']",living_street,,True,False,84.56400000000001,"LINESTRING (9.6111954 47.7821873, 9.6111839 47.7820547, 9.6102498 47.7820576)",,,,,
26611664,Klosterstraße,living_street,,False,True,56.289,"LINESTRING (9.611804 47.7802416, 9.6119553 47.7807375)",,,,,
26611666,Kohlstraße,living_street,,False,False,64.582,"LINESTRING (9.611804 47.7802416, 9.6109549 47.7803501)",,,,,3
26193050,Kohlstraße,living_street,,True,False,112.81900000000002,"LINESTRING (9.6132751 47.7800368, 9.6131007 47.7800947, 9.6130109 47.7801036, 9.6124236 47.7801611, 9.611804 47.7802416)",,,,,
52518047,Marienplatz,residential,30,False,False,46.763999999999996,"LINESTRING (9.6132751 47.7800368, 9.6131642 47.7798631, 9.6130428 47.7796464)",,,,,
"[26611986, 983042796, 1038026326, 52518047]","['Burgstraße', 'Marienplatz']",residential,"['20', '30']",False,True,250.71599999999998,"LINESTRING (9.6132751 47.7800368, 9.6133019 47.7800754, 9.613453 47.7802507, 9.6136042 47.7805606, 9.6136664 47.7805611, 9.6138397 47.7805628, 9.6139515 47.7805319, 9.6141013 47.7804478, 9.6146178 47.7800959, 9.6146798 47.7800652, 9.614748 47.7800345, 9.6148071 47.7800135, 9.6148809 47.780013, 9.6150325 47.7800294, 9.6153881 47.7801238, 9.6154364 47.7801366, 9.6157438 47.7802181)",,,,,
26611666,Kohlstraße,living_street,,False,True,64.582,"LINESTRING (9.6109549 47.7803501, 9.611804 47.7802416)",,,,,3
"[52584257, 1116890335]",Weinbergstraße,"['living_street', 'residential']",,True,False,33.582,"LINESTRING (9.6109549 47.7803501, 9.6109391 47.7802642, 9.6109067 47.7800949, 9.6108982 47.7800505)",,,,,
525967386,Herrenstraße,living_street,,False,True,33.909,"LINESTRING (9.6162545 47.7818015, 9.6165894 47.7815957)",,,,,
24573122,Hochstatt,living_street,,False,True,44.031,"LINESTRING (9.6162545 47.7818015, 9.6158688 47.7815465, 9.6158344 47.7815238)",,,,,
131608745,Herrenstraße,living_street,,True,False,80.137,"LINESTRING (9.6162545 47.7818015, 9.6158024 47.7820944, 9.6154857 47.782304)",,,,,
525967386,Herrenstraße,living_street,,False,False,33.909,"LINESTRING (9.6165894 47.7815957, 9.6162545 47.7818015)",,,,,
"[525967386, 24573124, 26193078]","['Roßbachstraße', 'Herrenstraße', 'Gänsbühl']",living_street,,False,"[False, True]",257.411,"LINESTRING (9.6165894 47.7815957, 9.6171844 47.7812415, 9.6168714 47.7810012, 9.6167921 47.780838, 9.6165991 47.7807133, 9.6163762 47.780564, 9.6162894 47.7806181, 9.6160102 47.7807921, 9.6159205 47.78086, 9.6157486 47.7810109, 9.6156662 47.7811402, 9.615634 47.78128)",,,,,
"[26193065, 525967387]",Frauenstraße,"['living_street', 'residential']",,False,True,66.528,"LINESTRING (9.6165894 47.7815957, 9.6169116 47.781835, 9.6170352 47.7819302, 9.6170651 47.7819532, 9.6171822 47.7820421)",,,,,
26193066,Grafengasse,living_street,,False,False,56.718,"LINESTRING (9.6154857 47.782304, 9.6152293 47.7820888, 9.6150541 47.7818861)",,,,destination,2.3
"[131608745, 26599730]","['Herrenstraße', 'Kirchstraße']",living_street,,True,False,193.832,"LINESTRING (9.6154857 47.782304, 9.6153733 47.7823713, 9.6148909 47.7826999, 9.6143493 47.7829026, 9.6141078 47.7826343, 9.613984 47.7824241, 9.6139574 47.7823454, 9.6139417 47.7822705, 9.6139363 47.7822027)",,,,,
26193045,Roßstraße,living_street,,True,False,78.746,"LINESTRING (9.6128708 47.7828606, 9.6128999 47.7831006, 9.613202 47.7835216)",,,,,
24499796,Eisenbahnstraße,living_street,,True,False,71.129,"LINESTRING (9.6097321 47.783346, 9.6106402 47.783154)",,,,,
26193072,Mauerstraße,living_street,,True,False,146.082,"LINESTRING (9.6097321 47.783346, 9.609401 47.7824716, 9.609359 47.7823607, 9.6093154 47.7820651)",,,,,
139925740,Eisenbahnstraße,residential,30,False,False,28.057000000000002,"LINESTRING (9.6097321 47.783346, 9.6095771 47.7833715, 9.60954 47.7833776, 9.6093697 47.7834118)",,,,,
26193072,Mauerstraße,living_street,,True,False,98.687,"LINESTRING (9.6101935 47.7841776, 9.6097321 47.783346)",,,,,
24499800,Charlottenstraße,living_street,,False,False,71.81299999999999,"LINESTRING (9.6101935 47.7841776, 9.6105408 47.7840944, 9.6109203 47.7840046, 9.6111008 47.7839645)",,,,,
24499800,Charlottenstraße,living_street,,False,True,29.655,"LINESTRING (9.6101935 47.7841776, 9.6100509 47.7842121, 9.6100016 47.7842235, 9.6098196 47.7842671)",,,,,
