osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,junction,access
"[28254379, 28254380, 28278007]",Rudolf-Breitscheid-Straße,tertiary,50,False,True,73.006,"LINESTRING (12.0333437 50.2491277, 12.0333063 50.2491795, 12.0332881 50.2492048, 12.0332454 50.2492641, 12.0329308 50.2497288)",HO 5,yes,,,
208383828,Schulstraße,residential,30,False,True,60.091,"LINESTRING (12.0337755 50.248496, 12.033002 50.2482783)",,,,,
227973147,Gartenstraße,tertiary,50,False,False,42.963,"LINESTRING (12.0337755 50.248496, 12.0340096 50.2481398)",HO 5,,,,
227973147,Gartenstraße,tertiary,50,False,True,37.642,"LINESTRING (12.0337755 50.248496, 12.0335621 50.2488058)",HO 5,,,,
"[75804928, 28254373, 28254374]",Schulstraße,residential,30,False,False,120.113,"LINESTRING (12.0337755 50.248496, 12.0339478 50.2485424, 12.0340392 50.2485668, 12.0340922 50.2485814, 12.0353166 50.2489382)",,yes,,,
156357726,Bahnhofstraße,residential,30,True,False,62.738,"LINESTRING (12.0353166 50.2489382, 12.0349922 50.2494629)",,,,,
"[75804928, 28254373, 28254374]",Schulstraße,residential,30,False,True,120.113,"LINESTRING (12.0353166 50.2489382, 12.0340922 50.2485814, 12.0340392 50.2485668, 12.0339478 50.2485424, 12.0337755 50.248496)",,yes,,,
28726896,Krötenseestraße,residential,30,False,True,91.586,"LINESTRING (12.0370081 50.2490033, 12.0364823 50.2497552)",,,,,
36805423,Krötenseestraße,residential,30,False,False,47.336,"LINESTRING (12.0370081 50.2490033, 12.0372915 50.2486181)",,,,,
28254296,Wallstraße,residential,30,False,False,115.618,"LINESTRING (12.0370081 50.2490033, 12.0375864 50.2491638, 12.0378132 50.2492268, 12.0384997 50.2494173)",,,,,
28254296,Wallstraße,residential,30,False,True,112.62899999999999,"LINESTRING (12.0370081 50.2490033, 12.0360857 50.2487267, 12.0355681 50.2485815)",,,,,
28254298,Neue Gasse,residential,30,False,False,61.562,"LINESTRING (12.0384997 50.2494173, 12.038289 50.2499543)",,,,,
28254298,Neue Gasse,residential,30,False,True,46.085,"LINESTRING (12.0384997 50.2494173, 12.0386574 50.2490153)",,,,,
28254296,Wallstraße,residential,30,False,True,115.61800000000001,"LINESTRING (12.0384997 50.2494173, 12.0378132 50.2492268, 12.0375864 50.2491638, 12.0370081 50.2490033)",,,,,
28254298,Neue Gasse,residential,30,False,False,46.085,"LINESTRING (12.0386574 50.2490153, 12.0384997 50.2494173)",,,,,
156357992,Schützenstraße,tertiary,50,False,False,50.889,"LINESTRING (12.0386574 50.2490153, 12.0393484 50.2491345)",,,,,
156357992,Schützenstraße,tertiary,50,False,True,76.602,"LINESTRING (12.0386574 50.2490153, 12.0381424 50.2489016, 12.0376667 50.2487486)",,,,,
28254298,Neue Gasse,residential,30,False,True,61.562,"LINESTRING (12.038289 50.2499543, 12.0384997 50.2494173)",,,,,
28726895,Kreuzstraße,residential,30,False,False,59.426,"LINESTRING (12.038289 50.2499543, 12.0375255 50.2497369)",,,,,
28254298,Neue Gasse,residential,30,False,False,73.997,"LINESTRING (12.038289 50.2499543, 12.0381651 50.2502701, 12.0380909 50.2504068, 12.0380192 50.250489, 12.0379083 50.250561)",,,,,
"[28254297, 28726895]","['Fabriksteig', 'Kreuzstraße']",residential,30,False,True,161.668,"LINESTRING (12.038289 50.2499543, 12.03882 50.2501107, 12.0388679 50.2501138, 12.0388981 50.2501115, 12.0389284 50.2500985, 12.0389651 50.2500638, 12.0390799 50.2499048, 12.0391987 50.2496138, 12.0393484 50.2491345)",,,,,
75804932,Fabrikstraße,residential,50,False,False,25.186,"LINESTRING (12.0379083 50.250561, 12.038114 50.2507454)",,,,,
28236714,Fabrikstraße,residential,30,False,True,137.14600000000002,"LINESTRING (12.0379083 50.250561, 12.0372717 50.2501024, 12.0371132 50.2499872, 12.0370236 50.2499403, 12.0369286 50.2499025, 12.0364823 50.2497552)",,,,,
28254298,Neue Gasse,residential,30,False,True,73.997,"LINESTRING (12.0379083 50.250561, 12.0380192 50.250489, 12.0380909 50.2504068, 12.0381651 50.2502701, 12.038289 50.2499543)",,,,,
"[1252449171, 129189631]",Sonnenstraße,secondary,50,False,False,119.298,"LINESTRING (12.0394755 50.2502559, 12.0396161 50.2500977, 12.0397668 50.2498939, 12.0399592 50.2495995, 12.0400524 50.2494423, 12.0401513 50.2492756)",,,3,,
129189631,Sonnenstraße,secondary,50,False,True,110.582,"LINESTRING (12.0394755 50.2502559, 12.0391649 50.2504689, 12.0383798 50.2509614)",,,,,
28254302,Rudolf-Breitscheid-Straße,residential,,False,False,61.854,"LINESTRING (12.0326206 50.2502485, 12.0329308 50.2497288)",,,,,
28254301,Am Bahnhof,residential,,True,False,43.07999999999999,"LINESTRING (12.0326206 50.2502485, 12.032923 50.250368, 12.0329659 50.2503935, 12.0329986 50.250431, 12.0330167 50.2504709, 12.033027 50.2505085)",,,,,
156357649,Am Bahnhof,residential,,False,True,51.205,"LINESTRING (12.033027 50.2505085, 12.0336325 50.2507578)",,,,,
28254300,Am Bahnhof,residential,,True,False,48.108,"LINESTRING (12.033027 50.2505085, 12.0328487 50.2504551, 12.0327735 50.2504241, 12.0325758 50.2503427, 12.032581 50.250313, 12.0326206 50.2502485)",,,,,
75804932,Fabrikstraße,residential,50,False,True,25.186,"LINESTRING (12.038114 50.2507454, 12.0379083 50.250561)",,,,,
27466147,Zehstraße,residential,50,False,True,47.305,"LINESTRING (12.0397359 50.2532524, 12.0400249 50.2536356)",,,,,
"[113570681, 139966073]",Zehstraße,residential,50,True,False,272.582,"LINESTRING (12.0397359 50.2532524, 12.0393966 50.2527783, 12.0391643 50.252397, 12.0389975 50.2521064, 12.0384137 50.2510188, 12.0383798 50.2509614)",,,,,
43978486,Westendstraße,residential,,False,False,134.571,"LINESTRING (12.0286994 50.2466228, 12.0296892 50.2455913)",,,,,
28741239,Gerberstraße,secondary,50,False,False,82.41300000000001,"LINESTRING (12.0286994 50.2466228, 12.0288181 50.2467343, 12.0289865 50.2469207, 12.0290612 50.2469999, 12.0291105 50.2470521, 12.0293369 50.2472404)",,,,,
27466173,Gerberstraße,tertiary,50,False,False,76.38799999999999,"LINESTRING (12.0311061 50.2474969, 12.031406 50.2474857, 12.0314948 50.2474828, 12.0316263 50.2474839, 12.0317979 50.2475067, 12.0321442 50.2476039)",,,,,
