osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,ref
221218228,2,residential,50,False,True,58.099,"LINESTRING (25.8670286 43.594966, 25.8665404 43.5953507)",
221218231,2,residential,50,False,False,18.98,"LINESTRING (25.8670286 43.594966, 25.8671842 43.5950942)",
221218228,2,residential,50,False,False,123.675,"LINESTRING (25.8670286 43.594966, 25.8672056 43.5948223, 25.8672432 43.5947368, 25.86727 43.594628, 25.8672271 43.5944959, 25.8669267 43.5940336, 25.8669121 43.5939616)",
221221272,2,residential,50,False,False,199.979,"LINESTRING (25.8707837 43.5899424, 25.8683268 43.5896821)",
221221272,2,residential,50,False,True,23.654,"LINESTRING (25.8707837 43.5899424, 25.8710734 43.5899774)",
221221275,2,residential,50,False,True,148.538,"LINESTRING (25.8707837 43.5899424, 25.8701292 43.5892935, 25.8696572 43.5888856)",
41078426,2,residential,50,False,False,53.04,"LINESTRING (25.8734758 43.5908854, 25.8741332 43.5908568)",
41078426,2,residential,50,False,True,54.538,"LINESTRING (25.8734758 43.5908854, 25.8727998 43.5909144)",
221221286,2,residential,50,False,False,42.082,"LINESTRING (25.8734758 43.5908854, 25.873482 43.5909837, 25.8736698 43.5912285)",
221221282,2,residential,50,False,False,54.19,"LINESTRING (25.8696572 43.5888856, 25.8691261 43.5891848)",
221221282,2,residential,50,False,True,122.016,"LINESTRING (25.8696572 43.5888856, 25.8708115 43.5881749)",
221221275,2,residential,50,False,False,148.538,"LINESTRING (25.8696572 43.5888856, 25.8701292 43.5892935, 25.8707837 43.5899424)",
221216906,2,residential,50,False,False,118.932,"LINESTRING (25.8662546 43.589153, 25.8673773 43.5884582)",
221216906,2,residential,50,False,True,33.366,"LINESTRING (25.8662546 43.589153, 25.8659396 43.5893479)",
1214764772,2,residential,50,False,False,310.512,"LINESTRING (25.8662546 43.589153, 25.8637985 43.5870005)",
221221284,2,residential,50,False,True,11.464,"LINESTRING (25.8655131 43.5868708, 25.86543 43.5869545)",
221221307,2,residential,50,False,False,231.731,"LINESTRING (25.8655131 43.5868708, 25.8659002 43.5872004, 25.8673773 43.5884582)",
175753430,,tertiary,,True,False,10.079,"LINESTRING (25.8720487 43.5891235, 25.8719622 43.589058)",501
221221295,2,residential,50,True,False,91.9,"LINESTRING (25.8720487 43.5891235, 25.8720122 43.5891653, 25.8714221 43.5898142)",
41078426,2,residential,50,False,False,54.538,"LINESTRING (25.8727998 43.5909144, 25.8734758 43.5908854)",
41078426,2,residential,50,False,True,78.315,"LINESTRING (25.8727998 43.5909144, 25.8718291 43.5909563)",
221221302,2,residential,50,False,False,173.471,"LINESTRING (25.8727998 43.5909144, 25.8727739 43.5907583, 25.8727363 43.5906262, 25.8726827 43.5905252, 25.8726022 43.5904553, 25.8724091 43.5903387, 25.8714221 43.5898142)",
175753430,,tertiary,,True,False,90.737,"LINESTRING (25.8738366 43.590478, 25.873058 43.5898882)",501
221221321,2,residential,50,False,False,11.577,"LINESTRING (25.8738366 43.590478, 25.8739332 43.5904009)",
175753431,,tertiary,,True,False,45.232,"LINESTRING (25.8716845 43.5886646, 25.8720687 43.5889613)",501
221221309,2,residential,50,False,False,14.063,"LINESTRING (25.8716845 43.5886646, 25.8715583 43.588752)",
221221286,2,residential,50,False,True,42.082,"LINESTRING (25.8736698 43.5912285, 25.873482 43.5909837, 25.8734758 43.5908854)",
221221299,2,residential,50,True,False,32.533,"LINESTRING (25.8717225 43.5892935, 25.871916 43.5891034, 25.8719622 43.589058)",
