osmid,highway,oneway,reversed,length,geometry,junction
133132376,residential,False,False,29.093,"LINESTRING (127.4278707 39.1693156, 127.4276569 39.1692258, 127.4275732 39.1691921)",
133132376,residential,False,True,155.502,"LINESTRING (127.4278707 39.1693156, 127.4279998 39.169359, 127.4282453 39.1694331, 127.4294855 39.1696883, 127.429598 39.1697118)",
506543240,residential,False,True,453.51700000000005,"LINESTRING (127.4278707 39.1693156, 127.4276607 39.1701157, 127.4276018 39.1704498, 127.4275722 39.1705737, 127.4274192 39.170993, 127.4273369 39.1712291, 127.4272953 39.1712908, 127.4272289 39.1713173, 127.4270459 39.1713198, 127.4256595 39.1713574, 127.4255786 39.1713559, 127.4254266 39.1713662, 127.4251016 39.1713922, 127.4248055 39.1714023, 127.4246653 39.171416)",
242092510,secondary,False,False,11.215,"LINESTRING (127.4295657 39.1698095, 127.429598 39.1697118)",
242092510,secondary,False,True,119.99900000000001,"LINESTRING (127.4295657 39.1698095, 127.4292657 39.1706213, 127.4292424 39.1707528, 127.4292476 39.1708547)",
506543245,residential,False,True,136.103,"LINESTRING (127.4295657 39.1698095, 127.4296882 39.169832, 127.4299592 39.1698819, 127.4304995 39.1699737, 127.4306196 39.1700059, 127.4307189 39.1700442, 127.4309665 39.170271)",
506543245,residential,False,False,106.974,"LINESTRING (127.4317026 39.1710455, 127.4309665 39.170271)",
179253005,residential,False,False,21.629,"LINESTRING (127.4251065 39.1687826, 127.4248592 39.1687498)",
179253005,residential,False,True,140.09900000000002,"LINESTRING (127.4251065 39.1687826, 127.4259818 39.168873, 127.426153 39.1688761, 127.4263039 39.1688888, 127.426474 39.1689174, 127.4267186 39.1689282)",
506543253,residential,False,True,187.67499999999998,"LINESTRING (127.4251065 39.1687826, 127.4250052 39.1691741, 127.425024 39.1693362, 127.4250802 39.1694423, 127.4252088 39.1695353, 127.425359 39.1696288, 127.4255897 39.1697933, 127.4257388 39.1698881, 127.4261049 39.170062)",
148256104,unclassified,False,False,26.028,"LINESTRING (127.4228646 39.1761554, 127.4227092 39.1759547)",
148256104,unclassified,False,True,20.251,"LINESTRING (127.4228646 39.1761554, 127.4229898 39.1763095)",
573552635,unclassified,False,False,102.581,"LINESTRING (127.4228646 39.1761554, 127.4230513 39.176073, 127.4231864 39.1760369, 127.4233093 39.1760199, 127.4235272 39.1760163, 127.4236777 39.1760457, 127.4237482 39.1760803, 127.4238072 39.1761452, 127.4238499 39.1762554)",
148256085,unclassified,False,False,75.735,"LINESTRING (127.4285629 39.1747322, 127.4290583 39.1752947)",
241560445,secondary,False,False,236.16799999999998,"LINESTRING (127.4285629 39.1747322, 127.4288346 39.1746292, 127.4290783 39.1745343, 127.429207 39.1744615, 127.4293304 39.1743638, 127.4294001 39.1742536, 127.4294703 39.1741197, 127.4295048 39.1739812, 127.4295181 39.1738397, 127.4295557 39.1731723, 127.4295404 39.1729731)",
241560445,secondary,False,True,444.261,"LINESTRING (127.4285629 39.1747322, 127.4283998 39.1747501, 127.4282389 39.1747693, 127.4279013 39.1747921, 127.4277542 39.174839, 127.4260589 39.1753765, 127.4255708 39.1755312, 127.4253696 39.1756063, 127.4244282 39.1760679, 127.4241827 39.1761819, 127.4238499 39.1762554)",
148256087,unclassified,False,False,63.134,"LINESTRING (127.4238671 39.1748373, 127.42433 39.1743973)",
148256087,unclassified,False,True,159.81300000000002,"LINESTRING (127.4238671 39.1748373, 127.4236217 39.1750273, 127.4233704 39.1752444, 127.4227969 39.1758383, 127.4227092 39.1759547)",
133132376,residential,False,False,35.367,"LINESTRING (127.4273183 39.1690937, 127.4269566 39.1689436)",
133132376,residential,False,True,24.548,"LINESTRING (127.4273183 39.1690937, 127.4275732 39.1691921)",
804748826,residential,False,False,84.014,"LINESTRING (127.4273183 39.1690937, 127.427164 39.1693633, 127.42708 39.1695094, 127.4270626 39.1695672, 127.4270804 39.169624, 127.4271026 39.1696808, 127.4271048 39.1697444, 127.4270804 39.1698012)",
804748871,residential,False,False,60.604,"LINESTRING (127.4249306 39.1720865, 127.4248414 39.1721613, 127.424766 39.172256, 127.4247172 39.1723317, 127.424683 39.172404, 127.424661 39.1724916, 127.4246307 39.1725691)",
"[804748872, 804748871]",residential,False,True,79.133,"LINESTRING (127.4249306 39.1720865, 127.4249244 39.1719515, 127.4248171 39.1717744, 127.4247212 39.171628, 127.4246813 39.1715061, 127.4246653 39.171416)",
1080220392,residential,False,False,132.30900000000003,"LINESTRING (127.4249306 39.1720865, 127.4250412 39.1721356, 127.4251597 39.1721598, 127.4252756 39.1721675, 127.4254004 39.1721386, 127.4255227 39.1720925, 127.42584 39.1719703, 127.4259325 39.1719184, 127.4259465 39.1718741, 127.4259292 39.1718226, 127.4258955 39.1717864, 127.4258386 39.1717758, 127.4256545 39.1718128)",
506543240,residential,False,False,231.33200000000002,"LINESTRING (127.4261661 39.1703408, 127.4260592 39.170338, 127.4258138 39.1702881, 127.4256007 39.170211, 127.4254957 39.1701724, 127.4254375 39.1701534, 127.4253763 39.1701479, 127.4253356 39.1701838, 127.425301 39.170275, 127.4252277 39.1703996, 127.4250563 39.1705481, 127.4249449 39.1706485, 127.424835 39.1707402, 127.4247927 39.1708188, 127.424731 39.1709818, 127.4246761 39.1711697, 127.4246567 39.1713234, 127.4246653 39.171416)",
506543240,residential,False,False,453.517,"LINESTRING (127.4246653 39.171416, 127.4248055 39.1714023, 127.4251016 39.1713922, 127.4254266 39.1713662, 127.4255786 39.1713559, 127.4256595 39.1713574, 127.4270459 39.1713198, 127.4272289 39.1713173, 127.4272953 39.1712908, 127.4273369 39.1712291, 127.4274192 39.170993, 127.4275722 39.1705737, 127.4276018 39.1704498, 127.4276607 39.1701157, 127.4278707 39.1693156)",
506543240,residential,False,True,231.332,"LINESTRING (127.4246653 39.171416, 127.4246567 39.1713234, 127.4246761 39.1711697, 127.424731 39.1709818, 127.4247927 39.1708188, 127.424835 39.1707402, 127.4249449 39.1706485, 127.4250563 39.1705481, 127.4252277 39.1703996, 127.425301 39.170275, 127.4253356 39.1701838, 127.4253763 39.1701479, 127.4254375 39.1701534, 127.4254957 39.1701724, 127.4256007 39.170211, 127.4258138 39.1702881, 127.4260592 39.170338, 127.4261661 39.1703408)",
"[804748872, 804748871]",residential,False,False,79.13300000000001,"LINESTRING (127.4246653 39.171416, 127.4246813 39.1715061, 127.4247212 39.171628, 127.4248171 39.1717744, 127.4249244 39.1719515, 127.4249306 39.1720865)",
804748874,residential,False,True,144.40800000000002,"LINESTRING (127.4300659 39.1721575, 127.429768 39.1718784, 127.4297431 39.1718157, 127.4297187 39.1714303, 127.4296916 39.1709458)",
242095505,residential,False,False,39.593,"LINESTRING (127.4296916 39.1709458, 127.4292476 39.1708547)",
242095505,residential,False,True,135.177,"LINESTRING (127.4296916 39.1709458, 127.4297853 39.1709521, 127.429865 39.1709233, 127.4309665 39.170271)",
804748874,residential,False,False,144.408,"LINESTRING (127.4296916 39.1709458, 127.4297187 39.1714303, 127.4297431 39.1718157, 127.429768 39.1718784, 127.4300659 39.1721575)",
804748896,residential,False,True,41.875,"LINESTRING (127.4274277 39.1695514, 127.4275732 39.1691921)",
133132376,residential,False,False,24.548,"LINESTRING (127.4275732 39.1691921, 127.4273183 39.1690937)",
804748896,residential,False,False,41.875,"LINESTRING (127.4275732 39.1691921, 127.4274277 39.1695514)",
133132376,residential,False,True,29.093,"LINESTRING (127.4275732 39.1691921, 127.4276569 39.1692258, 127.4278707 39.1693156)",
241560445,secondary,False,True,236.16799999999998,"LINESTRING (127.4295404 39.1729731, 127.4295557 39.1731723, 127.4295181 39.1738397, 127.4295048 39.1739812, 127.4294703 39.1741197, 127.4294001 39.1742536, 127.4293304 39.1743638, 127.429207 39.1744615, 127.4290783 39.1745343, 127.4288346 39.1746292, 127.4285629 39.1747322)",
1079886267,secondary,True,False,3.634,"LINESTRING (127.4295404 39.1729731, 127.4295184 39.1729611, 127.4295074 39.1729529)",roundabout
1079886267,secondary,True,False,26.087,"LINESTRING (127.4296682 39.1728419, 127.4296881 39.1728641, 127.4296977 39.1728902, 127.429696 39.1729172, 127.4296832 39.1729424, 127.4296606 39.1729631, 127.4296334 39.1729762, 127.4296025 39.1729825, 127.4295705 39.1729814, 127.4295404 39.1729731)",roundabout
1079886267,secondary,True,False,17.306,"LINESTRING (127.4295074 39.1729529, 127.4295011 39.1729452, 127.4294894 39.1729265, 127.4294837 39.1729017, 127.4294878 39.1728768, 127.4295014 39.1728539, 127.4295231 39.1728352, 127.429551 39.1728225)",roundabout
1080220389,residential,False,False,491.816,"LINESTRING (127.4295074 39.1729529, 127.4294247 39.1730111, 127.4289187 39.1732868, 127.4286296 39.1734099, 127.4284925 39.1734619, 127.4282822 39.1735112, 127.4280596 39.1735595, 127.4276177 39.173566, 127.426848 39.1735681, 127.4264887 39.173595, 127.4261588 39.1736154, 127.4257127 39.1737059, 127.4254256 39.1737878, 127.4252301 39.1738444, 127.4248543 39.1740061, 127.424611 39.1741422, 127.42433 39.1743973)",
1080220392,residential,False,True,132.309,"LINESTRING (127.4256545 39.1718128, 127.4258386 39.1717758, 127.4258955 39.1717864, 127.4259292 39.1718226, 127.4259465 39.1718741, 127.4259325 39.1719184, 127.42584 39.1719703, 127.4255227 39.1720925, 127.4254004 39.1721386, 127.4252756 39.1721675, 127.4251597 39.1721598, 127.4250412 39.1721356, 127.4249306 39.1720865)",
1182349433,residential,False,True,110.51,"LINESTRING (127.4291596 39.1726999, 127.4291218 39.1722354, 127.4290575 39.1719171, 127.4290242 39.1718569, 127.4288776 39.1717739)",
804748871,residential,False,True,60.604,"LINESTRING (127.4246307 39.1725691, 127.424661 39.1724916, 127.424683 39.172404, 127.4247172 39.1723317, 127.424766 39.172256, 127.4248414 39.1721613, 127.4249306 39.1720865)",
804748826,residential,False,True,84.014,"LINESTRING (127.4270804 39.1698012, 127.4271048 39.1697444, 127.4271026 39.1696808, 127.4270804 39.169624, 127.4270626 39.1695672, 127.42708 39.1695094, 127.427164 39.1693633, 127.4273183 39.1690937)",
