osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,tunnel,access
478437658,False,,,Karlstraße,residential,30,True,123.33099999999999,"LINESTRING (7.8544688 47.9978184, 7.8545184 47.9978915, 7.8551438 47.9988314)",,,
666529634,True,,,Rheinstraße,residential,30,False,125.192,"LINESTRING (7.8506716 47.9996196, 7.8490465 47.9999114)",,,
"[478639048, 30332613]",False,2,,Merianstraße,residential,30,False,130.03900000000002,"LINESTRING (7.8506716 47.9996196, 7.8505729 47.9993688, 7.8503807 47.9988805, 7.8503482 47.9987974, 7.8502748 47.9986083, 7.8502501 47.998542, 7.8502474 47.9985304, 7.8502326 47.9984877)",,,
"[4565177, 478885271]",False,,,Röderstraße,residential,30,True,131.501,"LINESTRING (7.8518856 47.9994766, 7.8518023 47.9992726, 7.8517949 47.9992544, 7.8517156 47.9990601, 7.8515705 47.9987046, 7.8515549 47.9986664, 7.8514598 47.9984336, 7.8514385 47.9983332)",,,
666529634,True,,,Rheinstraße,residential,30,False,91.716,"LINESTRING (7.8518856 47.9994766, 7.8517125 47.9994969, 7.8515956 47.9995108, 7.8510581 47.9995738, 7.8506716 47.9996196)",,,
4881361,False,,,Rheinstraße,residential,30,False,90.867,"LINESTRING (7.8472786 48.0002356, 7.8460983 48.0004455)",,,
4565179,False,,,Hebelstraße,residential,30,False,148.17200000000003,"LINESTRING (7.8472786 48.0002356, 7.847199 48.0000476, 7.8469217 47.9993927, 7.8469133 47.9993728, 7.8468358 47.9991802, 7.8467491 47.9989511)",,,
4881361,False,,,Rheinstraße,residential,30,True,90.867,"LINESTRING (7.8460983 48.0004455, 7.8472786 48.0002356)",,,
722861394,False,,,Rheinstraße,residential,30,False,44.681000000000004,"LINESTRING (7.8460983 48.0004455, 7.8456017 48.000534, 7.8455226 48.0005104)",,,
722861394,False,,,Rheinstraße,residential,30,True,44.681000000000004,"LINESTRING (7.8455226 48.0005104, 7.8456017 48.000534, 7.8460983 48.0004455)",,,
4565179,False,,,Hebelstraße,residential,30,True,148.172,"LINESTRING (7.8467491 47.9989511, 7.8468358 47.9991802, 7.8469133 47.9993728, 7.8469217 47.9993927, 7.847199 48.0000476, 7.8472786 48.0002356)",,,
"[233466339, 227874537, 30277610, 484159884, 42487867]",True,"['5', '2']",B 3,Friedrichstraße,primary,50,False,192.28900000000002,"LINESTRING (7.8467491 47.9989511, 7.8466225 47.9989705, 7.846282 47.9990278, 7.8462545 47.9990324, 7.8461266 47.9990558, 7.8459723 47.9990841, 7.8457335 47.9991257, 7.8454873 47.9991729, 7.8452871 47.9992096, 7.8451071 47.9992566, 7.8449021 47.9992987, 7.8445953 47.9993542, 7.844492 47.999372, 7.8442637 47.9994212)",,,
4784138,True,,,Am Karlsplatz,residential,30,False,64.45400000000001,"LINESTRING (7.8554385 47.9963309, 7.8557595 47.9967828, 7.855686 47.996845)",,,
"[1090799120, 26963881]",False,,,Hermannstraße,residential,30,True,63.333,"LINESTRING (7.8554385 47.9963309, 7.855368 47.9963629, 7.8550299 47.9965163, 7.8550553 47.9966306, 7.8550608 47.9967542)",,,
4784141,False,,,Herrenstraße,residential,30,False,21.732,"LINESTRING (7.8541528 47.9967652, 7.8542054 47.9968693, 7.8542541 47.9969484)",,,
530684563,False,,,Rosastraße,residential,30,True,45.565,"LINESTRING (7.8450337 47.9982122, 7.8456295 47.9981175)",,,
"[530684563, 240147661]",False,,,Rosastraße,residential,30,False,135.806,"LINESTRING (7.8450337 47.9982122, 7.8438525 47.9984206, 7.8437368 47.9984524, 7.8435414 47.9985228, 7.843515 47.9985323, 7.8434902 47.998541, 7.8433156 47.9986044)",,,
530684563,False,,,Rosastraße,residential,30,False,45.565,"LINESTRING (7.8456295 47.9981175, 7.8450337 47.9982122)",,,
"[728815670, 728815669, 4881246]",True,1,,Colombistraße,residential,30,False,130.139,"LINESTRING (7.8456295 47.9981175, 7.8456242 47.9980672, 7.8455573 47.9974513, 7.8455433 47.9972976, 7.8455194 47.9970704, 7.8455073 47.99695)",,,
530684563,False,,,Rosastraße,residential,30,True,167.689,"LINESTRING (7.8456295 47.9981175, 7.8459764 47.9980726, 7.8462273 47.9980343, 7.8464756 47.9979888, 7.8469123 47.9978897, 7.8477425 47.9977341, 7.8478009 47.9977196)",,,
"[4881245, 801420093]",False,,,Colombistraße,residential,30,True,104.401,"LINESTRING (7.8456295 47.9981175, 7.8457048 47.998699, 7.8457325 47.9988006, 7.8458297 47.999044)",6,,
648450073,False,,,Eisenbahnstraße,residential,30,True,69.73,"LINESTRING (7.8455073 47.99695, 7.8451499 47.997021, 7.8449026 47.9970742, 7.8446152 47.9971416)",,,
"[556505753, 648450074]",False,,,Eisenbahnstraße,residential,30,"[False, True]",89.717,"LINESTRING (7.8455073 47.99695, 7.8460109 47.9968495, 7.846267 47.9968004, 7.8465596 47.9967353, 7.8466598 47.9967133)",,,
4881247,True,1,,Poststraße,residential,30,False,123.108,"LINESTRING (7.8446152 47.9971416, 7.8446404 47.9971974, 7.8448062 47.9975652, 7.8450337 47.9982122)",,,
648450073,False,,,Eisenbahnstraße,residential,30,False,69.73,"LINESTRING (7.8446152 47.9971416, 7.8449026 47.9970742, 7.8451499 47.997021, 7.8455073 47.99695)",,,
"[648450073, 986453781]",False,,,Eisenbahnstraße,residential,30,True,77.117,"LINESTRING (7.8446152 47.9971416, 7.8442453 47.9972194, 7.8440927 47.9972484, 7.8437927 47.9973097, 7.8436884 47.997331, 7.843624 47.9973441)",,,
217644292,False,,,Hans-Sachs-Gasse,residential,30,True,139.07999999999998,"LINESTRING (7.843624 47.9973441, 7.8435964 47.9972864, 7.8435215 47.9971157, 7.8429338 47.9963856, 7.8428553 47.9962103)",5,,
"[648450073, 986453781]",False,,,Eisenbahnstraße,residential,30,False,77.117,"LINESTRING (7.843624 47.9973441, 7.8436884 47.997331, 7.8437927 47.9973097, 7.8440927 47.9972484, 7.8442453 47.9972194, 7.8446152 47.9971416)",,,
"[590596786, 233466337, 233466338, 233466336]",True,"['5', '2', '3']",B 3,Bismarckallee,primary,50,False,67.35300000000001,"LINESTRING (7.8433156 47.9986044, 7.8434329 47.9987418, 7.8434737 47.9987924, 7.8435098 47.9988409, 7.843744 47.9991379)",,,
"[530684563, 240147661]",False,,,Rosastraße,residential,30,True,135.806,"LINESTRING (7.8433156 47.9986044, 7.8434902 47.998541, 7.843515 47.9985323, 7.8435414 47.9985228, 7.8437368 47.9984524, 7.8438525 47.9984206, 7.8450337 47.9982122)",,,
"[30279872, 39223429]",True,2,B 3,Friedrichstraße,primary,50,False,118.67,"LINESTRING (7.8442856 47.9993112, 7.8444587 47.9992823, 7.8446798 47.9992438, 7.8448029 47.9992222, 7.8456164 47.9990797, 7.8458297 47.999044)",,,
"[4096811, 51984038]",True,2,B 3,Friedrichstraße,primary,50,False,80.505,"LINESTRING (7.8474256 47.9987866, 7.847842 47.9987356, 7.8480742 47.9987061, 7.8483029 47.9986664, 7.848382 47.9986458, 7.8484782 47.9986249)",,,
4872330,True,1,,Fahnenbergplatz,residential,50,False,91.569,"LINESTRING (7.8474256 47.9987866, 7.8476085 47.9986689, 7.8477668 47.998537, 7.8478248 47.9984532, 7.8480355 47.9981697, 7.8480757 47.9980991)",,,
"[243604082, 158258859, 243604087]",False,"['2', '3']",,Auf der Zinnen,residential,30,True,93.816,"LINESTRING (7.8531461 47.9973273, 7.8532529 47.9973084, 7.8534037 47.9972886, 7.8535474 47.9972573, 7.8537773 47.9971742, 7.8538585 47.9971372, 7.8541743 47.9969898, 7.8542541 47.9969484)",,,
478437658,False,,,Karlstraße,residential,30,True,80.192,"LINESTRING (7.8551438 47.9988314, 7.8555637 47.9994956)",,,
6176095,False,,,Bernhardstraße,residential,30,False,141.892,"LINESTRING (7.8551438 47.9988314, 7.8545228 47.9989871, 7.8539931 47.999129, 7.8537581 47.9991884, 7.8533591 47.9992805)",,,
478437658,False,,,Karlstraße,residential,30,False,123.33099999999999,"LINESTRING (7.8551438 47.9988314, 7.8545184 47.9978915, 7.8544688 47.9978184)",,,
478437658,False,,,Karlstraße,residential,30,False,80.192,"LINESTRING (7.8555637 47.9994956, 7.8551438 47.9988314)",,,
43846598,False,,,Ludwigstraße,residential,30,False,155.889,"LINESTRING (7.8555637 47.9994956, 7.8554284 47.999545, 7.8553017 47.9995913, 7.8539855 48.0000718, 7.8537746 48.0001134, 7.8536999 48.0001271)",,,
"[4096496, 44111632, 233466343]",True,"['5', '3']",,Stefan-Meier-Straße,secondary,50,False,32.629,"LINESTRING (7.8442978 47.999974, 7.8441778 47.9998998, 7.8441083 47.9998496, 7.8440667 47.9998116, 7.8440061 47.9997563)",,,
674555086,True,,,Raustraße,residential,,False,11.895,"LINESTRING (7.8514385 47.9983332, 7.851427 47.9982265)",,,
"[4565177, 478885271]",False,,,Röderstraße,residential,30,False,131.50099999999998,"LINESTRING (7.8514385 47.9983332, 7.8514598 47.9984336, 7.8515549 47.9986664, 7.8515705 47.9987046, 7.8517156 47.9990601, 7.8517949 47.9992544, 7.8518023 47.9992726, 7.8518856 47.9994766)",,,
30427757,True,2,B 3,Friedrichring,primary,50,False,91.358,"LINESTRING (7.8514385 47.9983332, 7.8513312 47.9983472, 7.8512944 47.9983522, 7.8509633 47.9983929, 7.850343 47.9984723, 7.8502326 47.9984877)",,,
24765202,True,2,,Auf der Zinnen,residential,30,False,10.009,"LINESTRING (7.855552 47.9968371, 7.855686 47.996845)",,,
"[243604084, 160413486]",False,2,,Auf der Zinnen,residential,30,False,38.080999999999996,"LINESTRING (7.855552 47.9968371, 7.8554522 47.9968053, 7.8553069 47.9967752, 7.8551714 47.996756, 7.8550608 47.9967542)",,,
"[27611268, 43837894]",True,1,,Zur Unterführung,secondary_link,50,False,29.311,"LINESTRING (7.8440061 47.9997563, 7.8438616 47.9997243, 7.8437572 47.9997145, 7.8437143 47.9997091, 7.8436263 47.9997285)",,,
"[144908136, 233466342]",True,4,,Stefan-Meier-Straße,secondary,50,False,22.430999999999997,"LINESTRING (7.8440061 47.9997563, 7.8439298 47.9996525, 7.8439193 47.9996351, 7.8439082 47.9996167, 7.8438817 47.9995727)",,,
27611276,True,1,,Stefan-Meier-Straße,primary_link,50,False,30.863,"LINESTRING (7.8442637 47.9994212, 7.8442153 47.9995758, 7.844197 47.9996238, 7.8441849 47.9996934)",,,
30277611,True,4,B 3,Friedrichstraße,primary,50,False,19.031,"LINESTRING (7.8442637 47.9994212, 7.8441196 47.9994631, 7.8440367 47.9994989)",,,
"[30277612, 233466341]",True,2,,Stefan-Meier-Straße,secondary,50,False,32.336,"LINESTRING (7.8441849 47.9996934, 7.8442499 47.9998332, 7.8442852 47.9999368, 7.8442978 47.999974)",,,
"[27611274, 43837886]",True,1,B 3,Friedrichstraße,primary,50,False,44.937,"LINESTRING (7.843744 47.9991379, 7.8439516 47.9992179, 7.8440429 47.9992574, 7.8442856 47.9993112)",,,
30277531,True,4,,Bismarckallee,primary,50,False,31.750999999999998,"LINESTRING (7.843744 47.9991379, 7.8438912 47.9993224, 7.8439441 47.9993901)",,,
1239921374,False,,,Rheinstraße,residential,30,False,42.281,"LINESTRING (7.8532453 47.9993113, 7.8526844 47.9993723)",,,
"[478569866, 30314211, 1034935052]",True,"['2', '1']",B 3,Habsburgerstraße,primary,50,False,130.402,"LINESTRING (7.8532453 47.9993113, 7.8531679 47.9991311, 7.8530869 47.9988844, 7.852926 47.9984933, 7.8528813 47.9983702, 7.8528557 47.9983145, 7.85284 47.9982409, 7.8528305 47.9981735)",,,
6176095,False,,,Bernhardstraße,residential,30,True,141.892,"LINESTRING (7.8533591 47.9992805, 7.8537581 47.9991884, 7.8539931 47.999129, 7.8545228 47.9989871, 7.8551438 47.9988314)",,,
"[529186112, 529186113]",True,1,B 3,Habsburgerstraße,primary,50,False,97.494,"LINESTRING (7.8533591 47.9992805, 7.8536677 48.0000416, 7.8536999 48.0001271)",,,
660517976,True,2,B 3,Habsburgerstraße,primary,,False,13.279,"LINESTRING (7.8528305 47.9981735, 7.8528271 47.9980541)",,,
"[660517977, 51984075, 30313669]",True,"['2', '3']",B 3,Friedrichring,primary,"['50', '30']",False,105.104,"LINESTRING (7.8528305 47.9981735, 7.8527457 47.9981805, 7.852641 47.9981891, 7.8523689 47.9982212, 7.8514385 47.9983332)",,,
43846598,False,,,Ludwigstraße,residential,30,True,155.88899999999998,"LINESTRING (7.8536999 48.0001271, 7.8537746 48.0001134, 7.8539855 48.0000718, 7.8553017 47.9995913, 7.8554284 47.999545, 7.8555637 47.9994956)",,,
"[478657380, 923122988]",True,1,B 3,Habsburgerstraße,primary,50,False,94.966,"LINESTRING (7.8535753 48.0001363, 7.8535478 48.0000658, 7.8533383 47.9995509, 7.8532453 47.9993113)",,,
705529847,True,2,B 3,Friedrichring,primary,50,False,6.559,"LINESTRING (7.8484782 47.9986249, 7.848562 47.9986066)",,,
30332005,True,1,,Fahnenbergplatz,residential,30,False,65.832,"LINESTRING (7.8484782 47.9986249, 7.8484206 47.9985609, 7.848317 47.9984538, 7.8482308 47.9983287, 7.8481706 47.998244, 7.8480757 47.9980991)",,,
189769944,True,1,,,primary_link,50,False,11.329,"LINESTRING (7.8544073 47.9977252, 7.8544688 47.9978184)",,,
"[51984032, 243604093, 43837895]",True,"['4', '2']",,Leopoldring,primary,50,False,87.099,"LINESTRING (7.8544073 47.9977252, 7.8545491 47.9976826, 7.8545778 47.9976755, 7.8550104 47.997549, 7.8554764 47.9974064)",,,
711037669,True,2,,Fahnenbergplatz,residential,,False,11.173,"LINESTRING (7.848562 47.9986066, 7.8485445 47.9987064)",,,
"[709687306, 709687307, 709687309, 709687310, 51984056]",True,"['2', '3']",B 3,Friedrichring,primary,50,False,124.662,"LINESTRING (7.848562 47.9986066, 7.8486835 47.9985794, 7.8489159 47.9985464, 7.8491108 47.9985273, 7.8493059 47.9985153, 7.8495133 47.9984991, 7.8499204 47.9984479, 7.8500663 47.9984301, 7.8502091 47.9984115)",,,
60491103,True,4,B 3,Zur Unterführung,primary,50,False,14.154,"LINESTRING (7.8440367 47.9994989, 7.8438817 47.9995727)",,,
"[233466340, 60491741]",True,2,,Stefan-Meier-Straße,secondary,50,False,24.317999999999998,"LINESTRING (7.8440367 47.9994989, 7.8441024 47.9995713, 7.8441298 47.999612, 7.8441849 47.9996934)",,,
60491098,True,3,,Friedrichstraße,primary,50,False,12.467,"LINESTRING (7.8438143 47.999461, 7.8439441 47.9993901)",,,
60491739,True,4,,Bismarckallee,primary,50,False,13.922,"LINESTRING (7.8439441 47.9993901, 7.8440367 47.9994989)",,,
"[30277616, 60491102]",True,2,,Friedrichstraße,primary,50,False,26.96,"LINESTRING (7.8439441 47.9993901, 7.8440511 47.9993562, 7.8442856 47.9993112)",,,
147324558,True,1,,Auf der Zinnen,residential,30,False,31.875999999999998,"LINESTRING (7.8557766 47.9970796, 7.8556963 47.9969711, 7.8556506 47.996919, 7.855552 47.9968371)",,,
51984119,True,3,,Leopoldring,primary,50,False,9.775,"LINESTRING (7.8559228 47.9972776, 7.8560435 47.9972429)",,,
147324558,True,1,,Auf der Zinnen,residential,30,False,24.569,"LINESTRING (7.8559228 47.9972776, 7.855848 47.9971839, 7.8557766 47.9970796)",,,
51984098,True,2,,Leopoldring,primary,50,False,8.43,"LINESTRING (7.8561091 47.9973425, 7.8560664 47.9973551, 7.8560055 47.9973732)",,,
639326052,True,1,,Fahnenbergplatz,residential,20,False,7.396,"LINESTRING (7.8484323 47.9981278, 7.8483334 47.9981345)",,,
"[108954938, 420025151]",False,,,Friedrichring,residential,20,"[False, True]",103.64699999999999,"LINESTRING (7.8484323 47.9981278, 7.8485279 47.9981316, 7.8487804 47.9981538, 7.8490959 47.9981863, 7.8491168 47.9981888, 7.8492267 47.9982017, 7.8493598 47.9982158, 7.8493937 47.9982194, 7.8494367 47.9982239, 7.8494706 47.9982267, 7.8495128 47.9982302, 7.8495439 47.9982328, 7.8497766 47.9982521, 7.8498118 47.9982546)",,,
217644292,False,,,Hans-Sachs-Gasse,residential,30,False,139.08,"LINESTRING (7.8428553 47.9962103, 7.8429338 47.9963856, 7.8435215 47.9971157, 7.8435964 47.9972864, 7.843624 47.9973441)",5,,
371507583,False,2,,Merianstraße,residential,30,True,8.652,"LINESTRING (7.8502091 47.9984115, 7.8502326 47.9984877)",,,
478631862,True,2,B 3,Friedrichring,primary,50,False,92.959,"LINESTRING (7.8502091 47.9984115, 7.8503024 47.9984002, 7.850691 47.9983467, 7.8508875 47.9983189, 7.8510757 47.9982863, 7.8512571 47.9982553, 7.8513316 47.9982415, 7.851427 47.9982265)",,,
371507583,False,2,,Merianstraße,residential,30,False,8.652,"LINESTRING (7.8502326 47.9984877, 7.8502091 47.9984115)",,,
"[478639048, 30332613]",False,2,,Merianstraße,residential,30,True,130.03900000000002,"LINESTRING (7.8502326 47.9984877, 7.8502474 47.9985304, 7.8502501 47.998542, 7.8502748 47.9986083, 7.8503482 47.9987974, 7.8503807 47.9988805, 7.8505729 47.9993688, 7.8506716 47.9996196)",,,
"[619107578, 30333086]",True,3,B 3,Friedrichring,primary,50,False,127.94099999999999,"LINESTRING (7.8502326 47.9984877, 7.8500974 47.9985065, 7.8495598 47.9985748, 7.8490326 47.998642, 7.8487169 47.9986817, 7.8485445 47.9987064)",,,
761326849,False,1,,Katharinenstraße,residential,30,False,49.218999999999994,"LINESTRING (7.8488722 47.9994844, 7.848914 47.9995868, 7.8489591 47.9996973, 7.8490465 47.9999114)",,,
948275885,True,3,B 3,Friedrichring,primary,,False,8.478,"LINESTRING (7.8528271 47.9980541, 7.8528587 47.9980546, 7.8528979 47.9980552, 7.8529087 47.9980553, 7.852941 47.9980558)",,,
"[503397045, 639326047]",True,1,,Fahnenbergplatz,residential,30,False,46.922,"LINESTRING (7.8480757 47.9980991, 7.8479135 47.9978582, 7.8478009 47.9977196)",,,
"[660517978, 948275886, 478631862]",True,"['2', '3']",B 3,Friedrichring,primary,50,False,106.175,"LINESTRING (7.851427 47.9982265, 7.8517352 47.9981753, 7.8525785 47.9980617, 7.8526127 47.9980584, 7.8526452 47.9980568, 7.8527421 47.9980534, 7.8528271 47.9980541)",,,
"[30332804, 157116842, 157116844, 245072077, 674555086, 51984045, 505790512, 442936885, 42021078, 442783320, 4784125, 4784126]",True,"['2', '1']",,"['Merianstraße', 'Wasserstraße', 'Raustraße']",residential,30,False,329.027,"LINESTRING (7.851427 47.9982265, 7.8514251 47.9981998, 7.851434 47.9981609, 7.8514451 47.9981458, 7.8514657 47.9981151, 7.851501 47.9980738, 7.8515256 47.9980435, 7.8515534 47.9980122, 7.8515912 47.9979889, 7.8517407 47.9979323, 7.8519817 47.9978434, 7.8519699 47.9978022, 7.8519462 47.9977863, 7.8518692 47.9976967, 7.8518154 47.9976268, 7.8515476 47.9973344, 7.8509774 47.9975643, 7.8507947 47.9976267, 7.8506599 47.9976709, 7.8506184 47.9976843, 7.8505304 47.9977137, 7.8502339 47.9977755, 7.8499396 47.9978311, 7.8500685 47.9980724, 7.8501481 47.998239, 7.8501538 47.9982509, 7.8501561 47.9982522, 7.8501738 47.9983071, 7.8501821 47.998332, 7.8501949 47.9983703, 7.8502091 47.9984115)",,building_passage,
"[639326050, 438440326, 618309770, 503397043, 4881747]",True,"['2', '1']",,"['Rotteckring', 'Am Predigertor', 'Fahnenbergplatz']",residential,30,False,200.21900000000002,"LINESTRING (7.8467852 47.9966724, 7.8468084 47.9966991, 7.8469907 47.9968807, 7.8471646 47.9970451, 7.8474934 47.997315, 7.8476488 47.9974417, 7.847678 47.9974639, 7.8478727 47.9976271, 7.8479084 47.9976559, 7.847964 47.9977002, 7.8480967 47.9978027, 7.8481413 47.9978501, 7.8483334 47.9981345)",,,
556505755,False,,,,residential,30,True,10.391,"LINESTRING (7.8467852 47.9966724, 7.8467539 47.9966846, 7.8467198 47.9966955, 7.8466598 47.9967133)",,,
616625780,True,1,,Rotteckring,residential,30,False,54.608000000000004,"LINESTRING (7.8460576 47.9954843, 7.846232 47.9958441, 7.8462415 47.9959012, 7.8462536 47.995956)",,,destination
516620587,True,1,,Rotteckring,residential,30,False,12.937000000000001,"LINESTRING (7.8461153 47.9959858, 7.8460886 47.9959582, 7.8460364 47.9958824)",,,destination
553147234,True,,,,residential,30,False,10.815,"LINESTRING (7.8461153 47.9959858, 7.8461729 47.9959722, 7.8462088 47.995965, 7.8462536 47.995956)",,,yes
"[524907900, 616625780, 438440326]",True,1,,Rotteckring,residential,30,False,89.01,"LINESTRING (7.8462536 47.995956, 7.8463141 47.9960567, 7.8466874 47.9965372, 7.8467352 47.9966119, 7.8467852 47.9966724)",,,destination
530684563,False,,,Rosastraße,residential,30,False,167.689,"LINESTRING (7.8478009 47.9977196, 7.8477425 47.9977341, 7.8469123 47.9978897, 7.8464756 47.9979888, 7.8462273 47.9980343, 7.8459764 47.9980726, 7.8456295 47.9981175)",,,
"[536508979, 442777164]",True,1,,Rotteckring,residential,30,False,140.731,"LINESTRING (7.8478009 47.9977196, 7.8477111 47.9976366, 7.8476146 47.9975562, 7.8475838 47.9975309, 7.8471951 47.997211, 7.8468201 47.9968884, 7.8467164 47.9967948, 7.8466598 47.9967133)",4,,
"[516620587, 451394179, 442777164]",True,1,,Rotteckring,residential,30,False,90.654,"LINESTRING (7.8466598 47.9967133, 7.8466156 47.9966357, 7.8465935 47.9966015, 7.8465391 47.9965287, 7.846501 47.9964704, 7.8463297 47.9962333, 7.8462704 47.9961522, 7.846198 47.9960666, 7.8461153 47.9959858)",,,destination
"[556505753, 648450074]",False,,,Eisenbahnstraße,residential,30,"[False, True]",89.71700000000001,"LINESTRING (7.8466598 47.9967133, 7.8465596 47.9967353, 7.846267 47.9968004, 7.8460109 47.9968495, 7.8455073 47.99695)",,,
556505755,False,,,,residential,30,False,10.391,"LINESTRING (7.8466598 47.9967133, 7.8467198 47.9966955, 7.8467539 47.9966846, 7.8467852 47.9966724)",,,
"[30313858, 651622053, 479888638]",True,1,B 3,Habsburgerstraße,primary,50,False,127.91300000000001,"LINESTRING (7.8529503 47.9981649, 7.8529597 47.998226, 7.8529727 47.9983019, 7.852985 47.9983548, 7.8530438 47.9985061, 7.8530673 47.9985672, 7.8531697 47.9988197, 7.8532169 47.9989321, 7.8532335 47.9989757, 7.8532869 47.9991136, 7.8533591 47.9992805)",5.5,,
651622058,True,2,,Friedrichring,primary,30,False,8.965,"LINESTRING (7.8529503 47.9981649, 7.8529128 47.9981676, 7.8528305 47.9981735)",,,
"[639326050, 51984037, 709687302]",True,2,,Fahnenbergplatz,residential,,False,55.830999999999996,"LINESTRING (7.8483334 47.9981345, 7.8483977 47.9982225, 7.8484308 47.9982692, 7.84851 47.9983947, 7.8485285 47.9984278, 7.8485459 47.9984693, 7.8485563 47.9985316, 7.848562 47.9986066)",,,
"[240147658, 23021266, 240147660]",True,2,B 3,Friedrichstraße,primary,50,False,136.344,"LINESTRING (7.8485445 47.9987064, 7.8484111 47.9987262, 7.8477849 47.9988047, 7.8475707 47.9988324, 7.8468533 47.9989359, 7.8467491 47.9989511)",,,
30327459,True,1,,Fahnenbergplatz,residential,,False,10.33,"LINESTRING (7.8485445 47.9987064, 7.8485189 47.9986702, 7.8484782 47.9986249)",,,
619105387,True,1,,Katharinenstraße,residential,30,False,89.881,"LINESTRING (7.8485445 47.9987064, 7.8485748 47.9987768, 7.8486447 47.9989391, 7.8486935 47.9990525, 7.8487236 47.9991232, 7.8488722 47.9994844)",,,
