osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,bridge,access
328052340,L 15,Mühlenstraße,secondary,30,False,False,114.48,"LINESTRING (12.892167 53.0980294, 12.8922018 53.0979758, 12.8922256 53.0979143, 12.8922698 53.0977966, 12.8922877 53.0976968, 12.8922885 53.0975795, 12.8922694 53.0974871, 12.8921679 53.0971877, 12.8921421 53.0970165)",,2,,
"[865359928, 23905798]",L 15,Mühlenstraße,secondary,30,False,True,145.31,"LINESTRING (12.892167 53.0980294, 12.8921187 53.0980856, 12.8915247 53.0986169, 12.8912893 53.0988288, 12.8912715 53.0988438, 12.8912472 53.098903, 12.8912467 53.0989499, 12.8912793 53.0990632, 12.8913098 53.0991693)",6.4,2,,
32637339,,Kurt-Tucholsky-Straße,residential,,False,True,95.125,"LINESTRING (12.8916119 53.10145, 12.8930094 53.1012832)",,,,
"[321977297, 26237887]",,Kurt-Tucholsky-Straße,residential,,False,False,155.219,"LINESTRING (12.8916119 53.10145, 12.8914446 53.1014697, 12.8896545 53.1016804, 12.8895692 53.101872)","['6', '3.9']",,,permissive
"[34262579, 1211556189]",B 122,"['Dr.-Martin-Henning-Straße', 'Königstraße']",primary,50,False,True,149.847,"LINESTRING (12.8916119 53.10145, 12.8917859 53.1020018, 12.8918192 53.1020784, 12.8919048 53.1022038, 12.8920403 53.1023604, 12.892108 53.1024433, 12.8923356 53.1027132)",,2,,
1191613008,B 122,Königstraße,primary,50,False,False,119.475,"LINESTRING (12.8916119 53.10145, 12.8914554 53.1009516, 12.8913231 53.1005145, 12.8913024 53.1003921)",,,,
28472005,,Paulshorster Straße,residential,30,True,False,78.796,"LINESTRING (12.8974356 53.0984007, 12.8971175 53.0977183)",,,,
23906025,L 15,Schloßstraße,secondary,50,False,True,140.41,"LINESTRING (12.8974356 53.0984007, 12.8967581 53.0984728, 12.8962377 53.0985339, 12.8953692 53.0986351)",,,,
216524447,,Paulshorster Straße,residential,50,True,False,49.388999999999996,"LINESTRING (12.8974356 53.0984007, 12.8975463 53.0985087, 12.8976374 53.0988213)",,1,,
34263052,,Poststraße,residential,50,False,True,190.606,"LINESTRING (12.8965206 53.1017003, 12.8962655 53.1013752, 12.896165 53.1012247, 12.8960745 53.1010892, 12.8960358 53.1009986, 12.8959937 53.1008697, 12.8959775 53.10082, 12.89577 53.100059)",,,,
"[217519752, 1198828009, 26238123]",,"['Am Negepfuhl', 'Feldstraße']",residential,,False,"[False, True]",328.05499999999995,"LINESTRING (12.8936659 53.1026613, 12.8933219 53.1019168, 12.8935084 53.1018521, 12.8937632 53.1018081, 12.8940161 53.1017982, 12.8942728 53.1018048, 12.8943059 53.1018897, 12.8946908 53.1027229, 12.8942022 53.1027561, 12.8936659 53.1026613)",,,,
"[217519752, 1198828009, 26238123]",,"['Am Negepfuhl', 'Feldstraße']",residential,,False,"[False, True]",328.055,"LINESTRING (12.8936659 53.1026613, 12.8942022 53.1027561, 12.8946908 53.1027229, 12.8943059 53.1018897, 12.8942728 53.1018048, 12.8940161 53.1017982, 12.8937632 53.1018081, 12.8935084 53.1018521, 12.8933219 53.1019168, 12.8936659 53.1026613)",,,,
26238124,,Feldstraße,residential,30,False,False,93.187,"LINESTRING (12.8936659 53.1026613, 12.893437 53.1026675, 12.8932843 53.1027462, 12.893134 53.1027607, 12.8930385 53.1027664, 12.892419 53.1026977, 12.8923356 53.1027132)",,,,
359895175,B 122,Berliner Straße,primary,,False,False,186.034,"LINESTRING (12.8967892 53.0970464, 12.8953952 53.098495)",,,,
359895175,B 122,Berliner Straße,primary,,False,True,11.207,"LINESTRING (12.8967892 53.0970464, 12.8968748 53.0969597)",,,,
33512445,,Lange Straße,residential,,False,False,141.466,"LINESTRING (12.8946619 53.1000141, 12.8942693 53.0987639)",,,,
321971914,,Seestraße,residential,,False,True,134.6,"LINESTRING (12.8946619 53.1000141, 12.8926815 53.1002408)",,,,
"[32637338, 32637339]",,"['Kurt-Tucholsky-Straße', 'Lange Straße']",residential,,False,False,252.039,"LINESTRING (12.8946619 53.1000141, 12.8949682 53.1010695, 12.8930094 53.1012832)",,,,
33512445,,Lange Straße,residential,,False,True,141.466,"LINESTRING (12.8942693 53.0987639, 12.8946619 53.1000141)",,,,
216957720,B 122; L 15,Schloßstraße,primary,30,False,True,74.819,"LINESTRING (12.8942693 53.0987639, 12.8953692 53.0986351)",,2,,
34144514,,Lange Straße,residential,,False,False,201.01600000000002,"LINESTRING (12.8942693 53.0987639, 12.8941973 53.0984864, 12.8939149 53.0975995, 12.8937115 53.0969876)",,,,
328053642,B 122; L 15,Schloßstraße,primary,30,False,False,119.999,"LINESTRING (12.8942693 53.0987639, 12.8928501 53.0989254, 12.8925022 53.0989608)",7.9,,,
34144550,,Damaschkeweg,residential,,False,True,174.801,"LINESTRING (12.895684 53.0954274, 12.8956353 53.0955218, 12.8955863 53.0956167, 12.895506 53.0957724, 12.8954641 53.0958927, 12.8953109 53.0963322, 12.895199 53.0967011, 12.8951093 53.0969595)",,,,
"[987689312, 321971914]",,Seestraße,residential,,False,False,93.182,"LINESTRING (12.8893377 53.1006151, 12.8894643 53.1006015, 12.8907092 53.1004597)",,,,
34144496,,Kirchstraße,residential,,False,True,51.444,"LINESTRING (12.8925447 53.0997855, 12.8926815 53.1002408)",,,,
23905799,,Rhinstraße,residential,,False,False,8.182,"LINESTRING (12.8949868 53.0969616, 12.8951093 53.0969595)",5.4,,,
23905799,,Rhinstraße,residential,,False,True,85.199,"LINESTRING (12.8949868 53.0969616, 12.8937115 53.0969876)",5.4,,,
34263052,,Poststraße,residential,50,False,False,190.606,"LINESTRING (12.89577 53.100059, 12.8959775 53.10082, 12.8959937 53.1008697, 12.8960358 53.1009986, 12.8960745 53.1010892, 12.896165 53.1012247, 12.8962655 53.1013752, 12.8965206 53.1017003)",,,,
34263052,,Poststraße,residential,50,False,True,160.583,"LINESTRING (12.89577 53.100059, 12.8956183 53.0995583, 12.8954828 53.0990592, 12.8953692 53.0986351)",,,,
34263053,,Rudolf-Breitscheid-Straße,residential,,False,False,173.565,"LINESTRING (12.89577 53.100059, 12.8964271 53.0999987, 12.8977575 53.0998766, 12.8983388 53.0998192)",,,,
34263053,,Rudolf-Breitscheid-Straße,residential,,False,True,173.565,"LINESTRING (12.8983388 53.0998192, 12.8977575 53.0998766, 12.8964271 53.0999987, 12.89577 53.100059)",,,,
"[358980736, 794288833, 216524446]",,Paulshorster Straße,residential,30,False,True,122.81299999999999,"LINESTRING (12.8983388 53.0998192, 12.8981714 53.0996775, 12.8979067 53.0994407, 12.8978606 53.0993977, 12.8977814 53.0992893, 12.8977168 53.0990977, 12.8976765 53.098978, 12.8976374 53.0988213)",,,,
32637339,,Kurt-Tucholsky-Straße,residential,,False,False,95.125,"LINESTRING (12.8930094 53.1012832, 12.8916119 53.10145)",,,,
34144496,,Kirchstraße,residential,,False,False,117.959,"LINESTRING (12.8930094 53.1012832, 12.8926815 53.1002408)",,,,
"[32637338, 32637339]",,"['Lange Straße', 'Kurt-Tucholsky-Straße']",residential,,False,True,252.039,"LINESTRING (12.8930094 53.1012832, 12.8949682 53.1010695, 12.8946619 53.1000141)",,,,
34144496,,Kirchstraße,residential,,False,False,51.444,"LINESTRING (12.8926815 53.1002408, 12.8925447 53.0997855)",,,,
34144496,,Kirchstraße,residential,,False,True,117.959,"LINESTRING (12.8926815 53.1002408, 12.8930094 53.1012832)",,,,
321971914,,Seestraße,residential,,False,False,134.6,"LINESTRING (12.8926815 53.1002408, 12.8946619 53.1000141)",,,,
321971914,,Seestraße,residential,,False,True,93.598,"LINESTRING (12.8926815 53.1002408, 12.8918704 53.1003294, 12.8913024 53.1003921)",,,,
23905799,,Rhinstraße,residential,,False,False,85.199,"LINESTRING (12.8937115 53.0969876, 12.8949868 53.0969616)",5.4,,,
23905799,,Rhinstraße,residential,,False,True,104.844,"LINESTRING (12.8937115 53.0969876, 12.893672 53.0969882, 12.892875 53.0970078, 12.8928091 53.0970099, 12.8921421 53.0970165)",5.4,,,
34144514,,Lange Straße,residential,,False,True,201.01600000000002,"LINESTRING (12.8937115 53.0969876, 12.8939149 53.0975995, 12.8941973 53.0984864, 12.8942693 53.0987639)",,,,
23905799,,Rhinstraße,residential,,False,True,8.182,"LINESTRING (12.8951093 53.0969595, 12.8949868 53.0969616)",5.4,,,
23905799,,Rhinstraße,residential,,False,False,117.887,"LINESTRING (12.8951093 53.0969595, 12.8957391 53.0969541, 12.8963533 53.0969571, 12.8968748 53.0969597)",5.4,,,
34144550,,Damaschkeweg,residential,,False,False,174.80100000000002,"LINESTRING (12.8951093 53.0969595, 12.895199 53.0967011, 12.8953109 53.0963322, 12.8954641 53.0958927, 12.895506 53.0957724, 12.8955863 53.0956167, 12.8956353 53.0955218, 12.895684 53.0954274)",,,,
"[24505400, 508496820]",,Fontaneplatz,residential,30,False,True,54.453,"LINESTRING (12.8908186 53.0947402, 12.8907371 53.0947809, 12.8904934 53.094894, 12.8902431 53.0949939, 12.890195 53.0950472)",,,,
34144519,,Fontaneplatz,residential,30,False,True,61.303999999999995,"LINESTRING (12.8908186 53.0947402, 12.8907654 53.0948775, 12.890621 53.0951935, 12.8906073 53.0952235, 12.890547 53.0952602)",,,,
217270860,,Lindenallee,residential,30,False,False,29.89,"LINESTRING (12.8908186 53.0947402, 12.8909195 53.0945957, 12.8909917 53.0944923)",,,,
217153267,B 122,Berliner Straße,primary,,False,False,112.50800000000001,"LINESTRING (12.8977306 53.0960881, 12.897626 53.0961946, 12.8968748 53.0969597)",,,,
28472005,,Paulshorster Straße,residential,30,True,False,77.861,"LINESTRING (12.8971175 53.0977183, 12.8967892 53.0970464)",,,,
1007308639,,Schwanower Straße,residential,30,False,True,40.406,"LINESTRING (12.8907423 53.0941835, 12.89078 53.094356, 12.8908276 53.0944096, 12.8909917 53.0944923)",,,,
216957701,B 122,Dr.-Martin-Henning-Straße,primary,50,False,False,8.833,"LINESTRING (12.8923969 53.1027836, 12.8923356 53.1027132)",,2,,
217270860,,Lindenallee,residential,30,False,True,29.89,"LINESTRING (12.8909917 53.0944923, 12.8909195 53.0945957, 12.8908186 53.0947402)",,,,
843685498,,An den Rhingärten,residential,,False,False,76.301,"LINESTRING (12.8909917 53.0944923, 12.8910554 53.0945258, 12.8911229 53.0945246, 12.8914176 53.0943944, 12.8915534 53.0943217, 12.8918006 53.0941892, 12.8918139 53.0941875, 12.8919094 53.094175)",,,,
1007308639,,Schwanower Straße,residential,30,False,False,40.406,"LINESTRING (12.8909917 53.0944923, 12.8908276 53.0944096, 12.89078 53.094356, 12.8907423 53.0941835)",,,,
34144519,,Fontaneplatz,residential,30,False,False,61.304,"LINESTRING (12.890547 53.0952602, 12.8906073 53.0952235, 12.890621 53.0951935, 12.8907654 53.0948775, 12.8908186 53.0947402)",,,,
133050006,L 15,Fontanepromenade,secondary,50,False,False,34.524,"LINESTRING (12.890547 53.0952602, 12.8904775 53.0951843, 12.8903855 53.0951105, 12.8903011 53.0950735, 12.890195 53.0950472)",,,,
"[23905800, 50379854, 50379853, 320795662]",L 15,Parkstraße,secondary,50,False,True,238.95700000000002,"LINESTRING (12.890547 53.0952602, 12.8906196 53.0954398, 12.8907033 53.0956674, 12.8907832 53.0957854, 12.89087 53.0958905, 12.8910355 53.0960141, 12.8911661 53.0960809, 12.891418 53.0961607, 12.8916608 53.0962393, 12.8917964 53.0962889, 12.891938 53.0963661, 12.8920328 53.0964472, 12.892105 53.0965515, 12.8921309 53.0967015, 12.892137 53.0968225, 12.8921421 53.0970165)",,2,yes,
26238119,,Paulshorster Straße,residential,50,True,False,50.069,"LINESTRING (12.8976374 53.0988213, 12.8975041 53.0986836, 12.8974766 53.0986553, 12.8974258 53.0985245, 12.8974356 53.0984007)",,1,,
"[358980736, 794288833, 216524446]",,Paulshorster Straße,residential,30,False,False,122.81300000000002,"LINESTRING (12.8976374 53.0988213, 12.8976765 53.098978, 12.8977168 53.0990977, 12.8977814 53.0992893, 12.8978606 53.0993977, 12.8979067 53.0994407, 12.8981714 53.0996775, 12.8983388 53.0998192)",,,,
358980723,L 15,Parkstraße,secondary,50,False,False,212.17699999999996,"LINESTRING (12.8884614 53.0951008, 12.8872004 53.0951999, 12.8868744 53.0952253, 12.8855045 53.0953211, 12.8853576 53.0953344, 12.8853087 53.0953388)",,,,
"[46507184, 1212034812]",L 15,Fontanepromenade,secondary,50,False,True,116.775,"LINESTRING (12.8884614 53.0951008, 12.8886 53.09509, 12.888666 53.095084, 12.8888845 53.0950672, 12.8892194 53.0950465, 12.8895966 53.0950175, 12.8898936 53.0950125, 12.8900509 53.0950226, 12.890195 53.0950472)",,,,
"[1212034814, 942742231]",,Braunsberger Straße,residential,,False,True,150.294,"LINESTRING (12.8884614 53.0951008, 12.8884036 53.0950481, 12.8882896 53.0949927, 12.8880898 53.0949117, 12.8878237 53.0948239, 12.8872275 53.0946089, 12.8865772 53.0943739)",,,,
359895175,B 122,Berliner Straße,primary,,False,True,186.034,"LINESTRING (12.8953952 53.098495, 12.8967892 53.0970464)",,,,
26238121,,Poststraße,residential,50,True,False,175.077,"LINESTRING (12.8953952 53.098495, 12.8952584 53.0984051, 12.8951131 53.0976846, 12.8949868 53.0969616)",,,,
359895175,B 122,Berliner Straße,primary,,False,False,16.606,"LINESTRING (12.8953952 53.098495, 12.8953461 53.098544, 12.8953692 53.0986351)",,,,
"[321977297, 26237887]",,Kurt-Tucholsky-Straße,residential,,False,True,155.21900000000002,"LINESTRING (12.8895692 53.101872, 12.8896545 53.1016804, 12.8914446 53.1014697, 12.8916119 53.10145)","['6', '3.9']",,,permissive
321971914,,Seestraße,residential,,False,False,40.311,"LINESTRING (12.8907092 53.1004597, 12.8913024 53.1003921)",,,,
"[987689312, 321971914]",,Seestraße,residential,,False,True,93.182,"LINESTRING (12.8907092 53.1004597, 12.8894643 53.1006015, 12.8893377 53.1006151)",,,,
843685498,,An den Rhingärten,residential,,False,True,76.301,"LINESTRING (12.8919094 53.094175, 12.8918139 53.0941875, 12.8918006 53.0941892, 12.8915534 53.0943217, 12.8914176 53.0943944, 12.8911229 53.0945246, 12.8910554 53.0945258, 12.8909917 53.0944923)",,,,
76213218,,Lindenpark,residential,,False,True,138.851,"LINESTRING (12.8865772 53.0943739, 12.8864624 53.0944372, 12.8863671 53.0945725, 12.8862236 53.0947062, 12.8861033 53.094795, 12.8859646 53.0948597, 12.8857787 53.0949557, 12.8856432 53.0950626, 12.8856248 53.0950771, 12.8853869 53.0952385, 12.8853415 53.0952671, 12.8853087 53.0953388)",,,,
"[1212034814, 942742231]",,Braunsberger Straße,residential,,False,False,150.294,"LINESTRING (12.8865772 53.0943739, 12.8872275 53.0946089, 12.8878237 53.0948239, 12.8880898 53.0949117, 12.8882896 53.0949927, 12.8884036 53.0950481, 12.8884614 53.0951008)",,,,
76213218,,Lindenpark,residential,,False,False,138.85100000000003,"LINESTRING (12.8853087 53.0953388, 12.8853415 53.0952671, 12.8853869 53.0952385, 12.8856248 53.0950771, 12.8856432 53.0950626, 12.8857787 53.0949557, 12.8859646 53.0948597, 12.8861033 53.094795, 12.8862236 53.0947062, 12.8863671 53.0945725, 12.8864624 53.0944372, 12.8865772 53.0943739)",,,,
358980723,L 15,Parkstraße,secondary,50,False,True,212.177,"LINESTRING (12.8853087 53.0953388, 12.8853576 53.0953344, 12.8855045 53.0953211, 12.8868744 53.0952253, 12.8872004 53.0951999, 12.8884614 53.0951008)",,,,
"[34144529, 359895242]",,Mühlenstraße,residential,,True,False,106.25800000000001,"LINESTRING (12.8925022 53.0989608, 12.8922978 53.0983862, 12.8922389 53.0981491, 12.8922114 53.0980791, 12.892167 53.0980294)",,,,
328053642,B 122; L 15,Schloßstraße,primary,30,False,True,119.999,"LINESTRING (12.8925022 53.0989608, 12.8928501 53.0989254, 12.8942693 53.0987639)",7.9,,,
"[10421663, 865359927]",B 122; L 15,Schloßstraße,primary,30,False,True,84.629,"LINESTRING (12.8925022 53.0989608, 12.8924648 53.098965, 12.8922371 53.0989902, 12.8917064 53.099049, 12.891484 53.0990826, 12.8913745 53.0991235, 12.8913098 53.0991693)",,,,
