osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,tunnel,bridge
5024390,1,,Große Kirchgasse,residential,,6,False,True,46.417,"LINESTRING (13.0663526 50.6556846, 13.066232 50.6556512, 13.0657482 50.655519)",,
"[183626744, 26438366]",1,,"['Markt', 'Marktstraße']",residential,,6,False,False,70.063,"LINESTRING (13.0663526 50.6556846, 13.0666511 50.6557872, 13.0667669 50.6558304, 13.067215 50.6559976)",,
"[60500336, 40989409, 529813502, 532825040]",1,,Bahnhofstraße,residential,50,5,True,False,76.931,"LINESTRING (13.0663526 50.6556846, 13.0663315 50.6557169, 13.066223 50.6558834, 13.0660808 50.6561174, 13.065936 50.6563239)",building_passage,
"[21371457, 5024391, 337873610, 529813485, 529813486, 337887920, 532825042, 44590974, 337882302, 113302495]","['2', '1']",K 8151,Annaberger Straße,tertiary,"['50', '100']","['7', '8']",False,False,707.4219999999998,"LINESTRING (13.0599027 50.6543034, 13.0599873 50.6543081, 13.0603737 50.6543461, 13.0605754 50.6543629, 13.0614266 50.6544515, 13.0615599 50.6544923, 13.0616421 50.6545316, 13.0617417 50.6545975, 13.0618689 50.6547685, 13.0619305 50.6548512, 13.0620143 50.6548779, 13.0620713 50.6548747, 13.0621246 50.6548636, 13.0621803 50.6548408, 13.0622072 50.6548114, 13.0622151 50.654781, 13.0622039 50.6547419, 13.0621539 50.6546759, 13.0620168 50.6544985, 13.0620014 50.6544763, 13.061987 50.6544494, 13.0619854 50.6544185, 13.0619985 50.6543995, 13.0620231 50.6543849, 13.0620837 50.654362, 13.0621234 50.654355, 13.0621841 50.6543549, 13.0622268 50.6543645, 13.0622708 50.6543844, 13.0623102 50.6544163, 13.0623511 50.6544546, 13.062463 50.6545759, 13.0626084 50.6547284, 13.0629632 50.6550465, 13.0631182 50.6552555, 13.0631959 50.6554073, 13.0633741 50.6560276, 13.0634434 50.6561749, 13.0634939 50.656257, 13.0635861 50.656352, 13.0638969 50.6566577, 13.0639102 50.6567065, 13.0639132 50.6567468, 13.0639103 50.6567853, 13.0638949 50.6568379, 13.0638295 50.6569295, 13.0637284 50.6571001, 13.0636793 50.6572105, 13.0636665 50.6572706, 13.0636591 50.6573397, 13.0636736 50.6574086, 13.0637163 50.6574791, 13.0637789 50.6575486, 13.0639666 50.6577556, 13.0641941 50.6579753, 13.0642272 50.6580066)",,yes
142029735,2,B 101,Wolkensteiner Straße,primary,50,8,False,True,109.22000000000001,"LINESTRING (13.0599027 50.6543034, 13.0599264 50.6539661, 13.0599609 50.6538564, 13.0600418 50.6537458, 13.060169 50.6536109, 13.0602829 50.6535387, 13.0604663 50.6534415)",,
5024392,1,,Bahnhofstraße,residential,50,5,False,False,104.023,"LINESTRING (13.0650069 50.657558, 13.0656457 50.6567147)",,
136607880,2,K 8151,Annaberger Straße,tertiary,50,,False,True,114.893,"LINESTRING (13.0650069 50.657558, 13.0649427 50.6575681, 13.0648841 50.6575842, 13.0648279 50.657618, 13.0647986 50.6576558, 13.0647764 50.6577088, 13.0647988 50.6579422, 13.0648036 50.6580298, 13.064776 50.6580719, 13.0647311 50.6581003, 13.0646811 50.6581246, 13.0646249 50.6581461, 13.0645553 50.658154, 13.0644726 50.6581521, 13.0643732 50.6581223, 13.0643052 50.6580803, 13.0642272 50.6580066)",,
"[532825034, 367308050, 337884581, 136607879]",2,K 8151,Annaberger Straße,tertiary,50,,False,"[False, True]",215.97200000000004,"LINESTRING (13.0650069 50.657558, 13.0650845 50.6575631, 13.0651365 50.6575857, 13.0651836 50.6576156, 13.0652038 50.6576391, 13.0652254 50.6576708, 13.0652385 50.6577192, 13.0653243 50.6581149, 13.0653591 50.6582849, 13.0653753 50.658328, 13.0654119 50.6583784, 13.0654617 50.6584155, 13.0655258 50.6584529, 13.0656026 50.65847, 13.0656752 50.6584768, 13.0657585 50.6584735, 13.0658206 50.6584639, 13.0658603 50.6584516, 13.0658967 50.6584343, 13.0661445 50.6582889, 13.0664123 50.6581344, 13.0665081 50.6580762, 13.0665873 50.6580191, 13.0666468 50.6579561)",,
"[388263193, 25762694, 1125614565, 60229774]",,,Turnerstraße,residential,,,False,True,293.638,"LINESTRING (13.0701489 50.6533601, 13.0696965 50.6537812, 13.0695736 50.6539159, 13.0695021 50.6539897, 13.0694171 50.6540395, 13.0692496 50.6541192, 13.0690006 50.6542118, 13.0688764 50.6542567, 13.0687574 50.6542769, 13.0686829 50.654305, 13.0686569 50.6543403, 13.0686162 50.6545786, 13.0685983 50.6546454, 13.0685524 50.654817, 13.0684523 50.6550945, 13.0683867 50.6552762, 13.0683406 50.6554264, 13.0682904 50.6555541)",,
142029735,2,B 101,Wolkensteiner Straße,primary,50,8,False,False,109.22,"LINESTRING (13.0604663 50.6534415, 13.0602829 50.6535387, 13.060169 50.6536109, 13.0600418 50.6537458, 13.0599609 50.6538564, 13.0599264 50.6539661, 13.0599027 50.6543034)",,
25762613,,,Schulstraße,residential,,,False,False,66.14,"LINESTRING (13.0691544 50.6557614, 13.0691034 50.655724, 13.0690336 50.6556955, 13.0689082 50.6556665, 13.0687662 50.6556344, 13.0684208 50.6555691, 13.0682904 50.6555541)",,
532825032,1,,Marienberger Straße,tertiary,50,5,False,False,111.59299999999999,"LINESTRING (13.0691544 50.6557614, 13.0690005 50.6558253, 13.0689117 50.6558998, 13.0688052 50.6559752, 13.0685986 50.6561129, 13.0684818 50.6561864, 13.0683142 50.6562542, 13.0682449 50.6562646, 13.0680597 50.6562495, 13.067893 50.6562737)",,
"[337889193, 23759295]",,,Heidelbachstraße,"['residential', 'living_street']",5,,False,False,280.61,"LINESTRING (13.0642272 50.6580066, 13.0639128 50.6581848, 13.0633813 50.6584838, 13.0626224 50.6588548, 13.0618787 50.6591452, 13.0610833 50.6595466)",,
"[21371457, 5024391, 337873610, 529813485, 529813486, 337887920, 532825042, 337882302, 44590974, 113302495]","['2', '1']",K 8151,Annaberger Straße,tertiary,"['50', '100']","['7', '8']",False,True,707.4219999999999,"LINESTRING (13.0642272 50.6580066, 13.0641941 50.6579753, 13.0639666 50.6577556, 13.0637789 50.6575486, 13.0637163 50.6574791, 13.0636736 50.6574086, 13.0636591 50.6573397, 13.0636665 50.6572706, 13.0636793 50.6572105, 13.0637284 50.6571001, 13.0638295 50.6569295, 13.0638949 50.6568379, 13.0639103 50.6567853, 13.0639132 50.6567468, 13.0639102 50.6567065, 13.0638969 50.6566577, 13.0635861 50.656352, 13.0634939 50.656257, 13.0634434 50.6561749, 13.0633741 50.6560276, 13.0631959 50.6554073, 13.0631182 50.6552555, 13.0629632 50.6550465, 13.0626084 50.6547284, 13.062463 50.6545759, 13.0623511 50.6544546, 13.0623102 50.6544163, 13.0622708 50.6543844, 13.0622268 50.6543645, 13.0621841 50.6543549, 13.0621234 50.654355, 13.0620837 50.654362, 13.0620231 50.6543849, 13.0619985 50.6543995, 13.0619854 50.6544185, 13.061987 50.6544494, 13.0620014 50.6544763, 13.0620168 50.6544985, 13.0621539 50.6546759, 13.0622039 50.6547419, 13.0622151 50.654781, 13.0622072 50.6548114, 13.0621803 50.6548408, 13.0621246 50.6548636, 13.0620713 50.6548747, 13.0620143 50.6548779, 13.0619305 50.6548512, 13.0618689 50.6547685, 13.0617417 50.6545975, 13.0616421 50.6545316, 13.0615599 50.6544923, 13.0614266 50.6544515, 13.0605754 50.6543629, 13.0603737 50.6543461, 13.0599873 50.6543081, 13.0599027 50.6543034)",,yes
136607880,2,K 8151,Annaberger Straße,tertiary,50,,False,False,114.89299999999999,"LINESTRING (13.0642272 50.6580066, 13.0643052 50.6580803, 13.0643732 50.6581223, 13.0644726 50.6581521, 13.0645553 50.658154, 13.0646249 50.6581461, 13.0646811 50.6581246, 13.0647311 50.6581003, 13.064776 50.6580719, 13.0648036 50.6580298, 13.0647988 50.6579422, 13.0647764 50.6577088, 13.0647986 50.6576558, 13.0648279 50.657618, 13.0648841 50.6575842, 13.0649427 50.6575681, 13.0650069 50.657558)",,
"[337889193, 23759295]",,,Heidelbachstraße,"['living_street', 'residential']",5,,False,True,280.61,"LINESTRING (13.0610833 50.6595466, 13.0618787 50.6591452, 13.0626224 50.6588548, 13.0633813 50.6584838, 13.0639128 50.6581848, 13.0642272 50.6580066)",,
25762613,,,Schulstraße,residential,,,False,True,66.13999999999999,"LINESTRING (13.0682904 50.6555541, 13.0684208 50.6555691, 13.0687662 50.6556344, 13.0689082 50.6556665, 13.0690336 50.6556955, 13.0691034 50.655724, 13.0691544 50.6557614)",,
"[388263193, 60229774, 1125614565, 25762694]",,,Turnerstraße,residential,,,False,False,293.63800000000003,"LINESTRING (13.0682904 50.6555541, 13.0683406 50.6554264, 13.0683867 50.6552762, 13.0684523 50.6550945, 13.0685524 50.654817, 13.0685983 50.6546454, 13.0686162 50.6545786, 13.0686569 50.6543403, 13.0686829 50.654305, 13.0687574 50.6542769, 13.0688764 50.6542567, 13.0690006 50.6542118, 13.0692496 50.6541192, 13.0694171 50.6540395, 13.0695021 50.6539897, 13.0695736 50.6539159, 13.0696965 50.6537812, 13.0701489 50.6533601)",,
25762694,,,Turnerstraße,residential,,,False,True,85.156,"LINESTRING (13.0682904 50.6555541, 13.0682107 50.6557139, 13.068184 50.6557588, 13.0680296 50.6559965, 13.0679915 50.6560942, 13.0679545 50.6562075, 13.067893 50.6562737)",,
25883519,1,,Berggasse,residential,,,True,False,75.81500000000001,"LINESTRING (13.0682904 50.6555541, 13.0682153 50.655529, 13.0681653 50.6554659, 13.0681353 50.6554202, 13.0681077 50.6553558, 13.0680548 50.6553026, 13.0679798 50.6552812, 13.0679053 50.6552818, 13.0676349 50.655311, 13.0674698 50.655303)",,
"[142029064, 111311225, 433831439]",1,,"['Kleine Kirchgasse', 'Schloßplatz']",residential,,,False,False,112.69500000000001,"LINESTRING (13.0667173 50.6553018, 13.0666653 50.6553059, 13.0666243 50.6553064, 13.0665926 50.6553068, 13.0664286 50.6552982, 13.0663033 50.6552755, 13.0661216 50.65524, 13.0657499 50.6551834, 13.0657161 50.6551857, 13.0656705 50.6551887, 13.0656356 50.6552069, 13.0652304 50.6553714)",,
5024390,1,,Große Kirchgasse,residential,,6,False,False,46.417,"LINESTRING (13.0657482 50.655519, 13.066232 50.6556512, 13.0663526 50.6556846)",,
"[25883527, 60500319]",,,Hinter der Kirche,residential,,,False,True,120.435,"LINESTRING (13.0657482 50.655519, 13.0657241 50.6555702, 13.0656815 50.6556717, 13.0656095 50.655808, 13.0655651 50.6558454, 13.0655018 50.6558593, 13.0654353 50.6558562, 13.0653374 50.6558439, 13.0651192 50.6557834, 13.0650911 50.6557597, 13.065077 50.6557355, 13.0650921 50.655681, 13.0651399 50.6555719, 13.0651596 50.6554759, 13.0651801 50.6554321, 13.0652304 50.6553714)",,
497523917,1,,Schloßplatz,residential,,4,False,True,40.023,"LINESTRING (13.0657482 50.655519, 13.065585 50.6554714, 13.0652304 50.6553714)",,
25883519,1,,Berggasse,residential,,,True,False,53.598,"LINESTRING (13.0674698 50.655303, 13.0672301 50.6552813, 13.067057 50.6552684, 13.0669837 50.6552733, 13.0667173 50.6553018)",,
26438338,,,Lohngasse,residential,,,False,False,80.386,"LINESTRING (13.0674698 50.655303, 13.0674404 50.6554215, 13.0674151 50.6556236, 13.0674 50.6557418, 13.0673357 50.6558443, 13.067215 50.6559976)",,
26438338,,,Lohngasse,residential,,,False,True,80.386,"LINESTRING (13.067215 50.6559976, 13.0673357 50.6558443, 13.0674 50.6557418, 13.0674151 50.6556236, 13.0674404 50.6554215, 13.0674698 50.655303)",,
"[183626744, 26438366]",1,,"['Markt', 'Marktstraße']",residential,,6,False,True,70.063,"LINESTRING (13.067215 50.6559976, 13.0667669 50.6558304, 13.0666511 50.6557872, 13.0663526 50.6556846)",,
532825035,1,,Marktstraße,residential,,6,False,False,56.959,"LINESTRING (13.067215 50.6559976, 13.0674379 50.6560678, 13.067893 50.6562737)",,
5024392,1,,Bahnhofstraße,residential,50,5,False,True,104.023,"LINESTRING (13.0656457 50.6567147, 13.0650069 50.657558)",,
"[438286494, 123938775]",1,,An der Butterleithe,residential,,6,False,False,153.88,"LINESTRING (13.071442 50.6601367, 13.0715949 50.6600759, 13.0720202 50.6599068, 13.0720784 50.659874, 13.0721281 50.6598193, 13.0722518 50.6596202, 13.0722718 50.6595691, 13.0720424 50.6594432, 13.0719835 50.659392, 13.0718318 50.6590906)",,
532825026,1,,Badstraße,residential,30,5,False,True,54.423,"LINESTRING (13.071442 50.6601367, 13.0711623 50.6599977, 13.0709508 50.6598916, 13.0708342 50.6598349)",,
438286494,,,An der Butterleithe,residential,,,False,False,177.103,"LINESTRING (13.0718318 50.6590906, 13.0716159 50.6586769, 13.0715609 50.6585504, 13.0715615 50.6584863, 13.0715923 50.6584266, 13.071643 50.6583763, 13.0717087 50.6583339, 13.0717565 50.6583217, 13.071844 50.6582931, 13.0719288 50.6582888, 13.0720136 50.6582862, 13.0721421 50.6583209, 13.0728477 50.6585168)",,
826573134,,,An der Butterleithe,residential,,,False,False,95.985,"LINESTRING (13.0718318 50.6590906, 13.0719685 50.6590282, 13.0728477 50.6585168)",,
"[438286494, 123938775]",1,,An der Butterleithe,residential,,6,False,True,153.88000000000002,"LINESTRING (13.0718318 50.6590906, 13.0719835 50.659392, 13.0720424 50.6594432, 13.0722718 50.6595691, 13.0722518 50.6596202, 13.0721281 50.6598193, 13.0720784 50.659874, 13.0720202 50.6599068, 13.0715949 50.6600759, 13.071442 50.6601367)",,
"[31293628, 529813503]",,,Niedergraben,residential,50,2.3,False,True,118.20700000000001,"LINESTRING (13.0675229 50.6565784, 13.0673847 50.6565358, 13.0673408 50.656528, 13.0673021 50.6565269, 13.0672619 50.6565318, 13.0671423 50.656547, 13.0670572 50.6565502, 13.0670005 50.6565515, 13.0668738 50.6565352, 13.066814 50.6565201, 13.0665452 50.6564421, 13.0663658 50.6563954, 13.0661397 50.6563825, 13.065936 50.6563239)",,
367308049,1,K 8151,Annaberger Straße,tertiary,50,6,False,False,43.583999999999996,"LINESTRING (13.0675229 50.6565784, 13.0677181 50.6563651, 13.067796 50.6563102, 13.067893 50.6562737)",,
367308049,1,K 8151,Annaberger Straße,tertiary,50,6,False,True,168.359,"LINESTRING (13.0675229 50.6565784, 13.0672209 50.6568751, 13.0669853 50.6570974, 13.0668879 50.6572161, 13.0668545 50.6572697, 13.0668236 50.6573575, 13.0667906 50.6575061, 13.0667465 50.6577368, 13.0667258 50.6578157, 13.066693 50.6578874, 13.0666468 50.6579561)",,
31293629,,,Annaberger Straße,residential,,,False,False,42.778000000000006,"LINESTRING (13.0666468 50.6579561, 13.0668387 50.6579908, 13.0669958 50.6579949, 13.0671922 50.6579719, 13.0672389 50.65796)",,
367308049,1,K 8151,Annaberger Straße,tertiary,50,6,False,False,168.359,"LINESTRING (13.0666468 50.6579561, 13.066693 50.6578874, 13.0667258 50.6578157, 13.0667465 50.6577368, 13.0667906 50.6575061, 13.0668236 50.6573575, 13.0668545 50.6572697, 13.0668879 50.6572161, 13.0669853 50.6570974, 13.0672209 50.6568751, 13.0675229 50.6565784)",,
"[532825034, 367308050, 337884581, 136607879]",2,K 8151,Annaberger Straße,tertiary,50,,False,"[False, True]",215.972,"LINESTRING (13.0666468 50.6579561, 13.0665873 50.6580191, 13.0665081 50.6580762, 13.0664123 50.6581344, 13.0661445 50.6582889, 13.0658967 50.6584343, 13.0658603 50.6584516, 13.0658206 50.6584639, 13.0657585 50.6584735, 13.0656752 50.6584768, 13.0656026 50.65847, 13.0655258 50.6584529, 13.0654617 50.6584155, 13.0654119 50.6583784, 13.0653753 50.658328, 13.0653591 50.6582849, 13.0653243 50.6581149, 13.0652385 50.6577192, 13.0652254 50.6576708, 13.0652038 50.6576391, 13.0651836 50.6576156, 13.0651365 50.6575857, 13.0650845 50.6575631, 13.0650069 50.657558)",,
29472575,1,,Badstraße,residential,30,5,False,False,209.697,"LINESTRING (13.0700325 50.6580284, 13.0701001 50.658244, 13.0702529 50.6587549, 13.0703769 50.659055, 13.0704009 50.659113, 13.0704502 50.6592176, 13.0705479 50.6594252, 13.0706464 50.6596169, 13.0707971 50.6597941, 13.0708342 50.6598349)",,
29472575,1,,Badstraße,residential,30,5,False,True,112.209,"LINESTRING (13.0700325 50.6580284, 13.0699367 50.6576827, 13.0698561 50.6573582, 13.0698186 50.6571071, 13.0698549 50.6570332)",,
1168897089,,,Annaberger Straße,residential,,,False,True,93.98400000000001,"LINESTRING (13.0700325 50.6580284, 13.0697298 50.6580399, 13.0689411 50.6579604, 13.0687178 50.6579219)",,
111310687,1,,Bahnhofstraße,residential,50,5,True,False,48.033,"LINESTRING (13.065936 50.6563239, 13.0656457 50.6567147)",,
"[31293628, 529813503]",,,Niedergraben,residential,50,2.3,False,False,118.207,"LINESTRING (13.065936 50.6563239, 13.0661397 50.6563825, 13.0663658 50.6563954, 13.0665452 50.6564421, 13.066814 50.6565201, 13.0668738 50.6565352, 13.0670005 50.6565515, 13.0670572 50.6565502, 13.0671423 50.656547, 13.0672619 50.6565318, 13.0673021 50.6565269, 13.0673408 50.656528, 13.0673847 50.6565358, 13.0675229 50.6565784)",,
29472575,1,,Badstraße,residential,30,5,False,True,209.697,"LINESTRING (13.0708342 50.6598349, 13.0707971 50.6597941, 13.0706464 50.6596169, 13.0705479 50.6594252, 13.0704502 50.6592176, 13.0704009 50.659113, 13.0703769 50.659055, 13.0702529 50.6587549, 13.0701001 50.658244, 13.0700325 50.6580284)",,
532825026,1,,Badstraße,residential,30,5,False,False,54.423,"LINESTRING (13.0708342 50.6598349, 13.0709508 50.6598916, 13.0711623 50.6599977, 13.071442 50.6601367)",,
826573134,,,An der Butterleithe,residential,,,False,True,33.242,"LINESTRING (13.0732497 50.6584318, 13.0731581 50.658411, 13.073087 50.658405, 13.073046 50.6584102, 13.0729927 50.6584318, 13.0728477 50.6585168)",,
438286494,,,An der Butterleithe,residential,,,False,True,177.103,"LINESTRING (13.0728477 50.6585168, 13.0721421 50.6583209, 13.0720136 50.6582862, 13.0719288 50.6582888, 13.071844 50.6582931, 13.0717565 50.6583217, 13.0717087 50.6583339, 13.071643 50.6583763, 13.0715923 50.6584266, 13.0715615 50.6584863, 13.0715609 50.6585504, 13.0716159 50.6586769, 13.0718318 50.6590906)",,
826573134,,,An der Butterleithe,residential,,,False,True,95.985,"LINESTRING (13.0728477 50.6585168, 13.0719685 50.6590282, 13.0718318 50.6590906)",,
826573134,,,An der Butterleithe,residential,,,False,False,33.242,"LINESTRING (13.0728477 50.6585168, 13.0729927 50.6584318, 13.073046 50.6584102, 13.073087 50.658405, 13.0731581 50.658411, 13.0732497 50.6584318)",,
1168897089,,,Annaberger Straße,residential,,,False,False,93.98400000000001,"LINESTRING (13.0687178 50.6579219, 13.0689411 50.6579604, 13.0697298 50.6580399, 13.0700325 50.6580284)",,
31293629,,,Annaberger Straße,residential,,,False,True,42.778000000000006,"LINESTRING (13.0672389 50.65796, 13.0671922 50.6579719, 13.0669958 50.6579949, 13.0668387 50.6579908, 13.0666468 50.6579561)",,
