osmid,highway,maxspeed,access,oneway,reversed,length,name,geometry,bridge,ref,service
"[277007500, 619281781]",unclassified,30,permissive,False,False,166.148,,"LINESTRING (10.8609761 53.9383356, 10.8609141 53.9382734, 10.8607796 53.9381374, 10.8606522 53.9380263, 10.8605211 53.9379373, 10.8603307 53.9378702, 10.8601557 53.9378544, 10.8600366 53.9378583, 10.8598767 53.9378775, 10.8597466 53.9379008, 10.859631 53.9379239, 10.8590624 53.9380647, 10.8589291 53.9381212)",yes,,
"[128042010, 277007483]",unclassified,30,permissive,False,False,212.03400000000002,,"LINESTRING (10.8598639 53.9421118, 10.8598204 53.9420437, 10.8597285 53.9418909, 10.8596756 53.9418147, 10.8595958 53.9417086, 10.8595461 53.9416553, 10.8593839 53.9415645, 10.8591961 53.9415156, 10.8587529 53.9414713, 10.8587008 53.9414641, 10.8586759 53.9414607, 10.8586523 53.9414086, 10.8586308 53.9412634, 10.858596 53.9410707, 10.8585557 53.9409144, 10.8585063 53.9406183)",yes,,
"[277007522, 149185423]",unclassified,30,permissive,False,True,257.051,,"LINESTRING (10.8603097 53.9371837, 10.8596386 53.9368939, 10.8593081 53.9368645, 10.8590087 53.9369418, 10.858293 53.9374198, 10.8586744 53.9378182, 10.8589291 53.9381212)",yes,,yard
149185419,unclassified,,permissive,False,True,87.59299999999999,,"LINESTRING (10.8563922 53.9405521, 10.8559601 53.940726, 10.8559031 53.940749, 10.8558397 53.9407745, 10.855756 53.9408082, 10.8556659 53.9408419, 10.8555721 53.9408837, 10.8555476 53.9409066, 10.8555521 53.9409407, 10.8554775 53.9410744)",,,
"[149185400, 277060236]",unclassified,30,permissive,True,False,39.449,Skandinavienkai,"LINESTRING (10.8563922 53.9405521, 10.8568011 53.9405366, 10.8568572 53.940556, 10.8569675 53.9405941)",,,
149185408,unclassified,30,permissive,False,False,25.351,Skandinavienkai,"LINESTRING (10.8585063 53.9406183, 10.8588882 53.9405803)",,,
149185413,unclassified,,permissive,True,False,101.817,,"LINESTRING (10.8585063 53.9406183, 10.8584267 53.9406523, 10.8583415 53.9406758, 10.8569805 53.940721)",,,
"[128042010, 277007483]",unclassified,30,permissive,False,True,212.034,,"LINESTRING (10.8585063 53.9406183, 10.8585557 53.9409144, 10.858596 53.9410707, 10.8586308 53.9412634, 10.8586523 53.9414086, 10.8586759 53.9414607, 10.8587008 53.9414641, 10.8587529 53.9414713, 10.8591961 53.9415156, 10.8593839 53.9415645, 10.8595461 53.9416553, 10.8595958 53.9417086, 10.8596756 53.9418147, 10.8597285 53.9418909, 10.8598204 53.9420437, 10.8598639 53.9421118)",yes,,
63036080,unclassified,30,permissive,False,True,14.136,,"LINESTRING (10.8569805 53.940721, 10.8569675 53.9405941)",,,
63036080,unclassified,30,permissive,False,False,114.84700000000001,,"LINESTRING (10.8569805 53.940721, 10.8568769 53.9407826, 10.8559389 53.9411374, 10.855656 53.941139, 10.8554775 53.9410744)",,,
277007500,unclassified,30,permissive,False,False,280.96999999999997,,"LINESTRING (10.8589291 53.9381212, 10.8588731 53.938145, 10.8588274 53.9382092, 10.8588213 53.9383125, 10.8588669 53.9383868, 10.8590281 53.9385512, 10.8591265 53.9386547, 10.8593973 53.9389184, 10.8596731 53.9391868, 10.8599052 53.9394128, 10.8601493 53.9396549, 10.860236 53.9397664, 10.8602482 53.9398416, 10.8602402 53.9399166, 10.8602093 53.9399806, 10.8601516 53.9400429, 10.8600309 53.9401021, 10.8598606 53.9401708, 10.8596629 53.9402363)",,,
"[277007500, 619281781]",unclassified,30,permissive,False,True,166.148,,"LINESTRING (10.8589291 53.9381212, 10.8590624 53.9380647, 10.859631 53.9379239, 10.8597466 53.9379008, 10.8598767 53.9378775, 10.8600366 53.9378583, 10.8601557 53.9378544, 10.8603307 53.9378702, 10.8605211 53.9379373, 10.8606522 53.9380263, 10.8607796 53.9381374, 10.8609141 53.9382734, 10.8609761 53.9383356)",yes,,
"[277007522, 149185423]",unclassified,30,permissive,False,False,257.051,,"LINESTRING (10.8589291 53.9381212, 10.8586744 53.9378182, 10.858293 53.9374198, 10.8590087 53.9369418, 10.8593081 53.9368645, 10.8596386 53.9368939, 10.8603097 53.9371837)",yes,,yard
"[276781728, 624376106, 197841302]",unclassified,50,permissive,False,"[False, True]",235.00300000000001,Skandinavienkai,"LINESTRING (10.8531751 53.9394613, 10.8533498 53.939561, 10.8538948 53.9399135, 10.8546845 53.9404135, 10.855225 53.9409052, 10.8554775 53.9410744)",,K 20,
