osmid,name,highway,width,oneway,reversed,length,bridge,geometry,maxspeed,lanes,ref
354001315,Rumburger Straße,living_street,,False,False,52.534000000000006,,"LINESTRING (14.6126934 50.9333242, 14.6127451 50.9333321, 14.6127903 50.9333376, 14.6129641 50.9333516, 14.6130155 50.9333559, 14.6130673 50.9333612, 14.6131261 50.9333676, 14.6131805 50.9333744, 14.6132373 50.9333818, 14.613428 50.9334147)",,,
354001315,Rumburger Straße,living_street,,False,True,85.444,,"LINESTRING (14.6126934 50.9333242, 14.6126451 50.9333145, 14.6125937 50.9333022, 14.612413 50.9332534, 14.6123632 50.9332423, 14.6123049 50.9332321, 14.6122568 50.9332249, 14.6122085 50.9332191, 14.6121595 50.9332164, 14.6121151 50.9332167, 14.6120709 50.9332203, 14.6120205 50.9332275, 14.6119741 50.9332363, 14.6115348 50.9333357)",,,
"[25047395, 399383540]",Bahnhofstraße,residential,,False,True,137.21499999999997,,"LINESTRING (14.6126934 50.9333242, 14.6126543 50.933426, 14.6128916 50.9337113, 14.6130421 50.9339053, 14.6130681 50.9339448, 14.6130897 50.9339835, 14.6131043 50.9340237, 14.613116 50.9340668, 14.6131207 50.9341123, 14.6131227 50.9341456, 14.613099 50.9344888)",,,
25047404,Otto-Simm-Straße,residential,,False,False,122.447,,"LINESTRING (14.6163226 50.9333444, 14.6163057 50.9333567, 14.6162942 50.9333685, 14.6162861 50.9333786, 14.6162798 50.9333894, 14.6162725 50.9334078, 14.6162683 50.9334262, 14.6162655 50.9334461, 14.6162488 50.9336203, 14.616245 50.9336483, 14.6161947 50.9339551, 14.6160673 50.934428)",50,,
281022244,Rumburger Straße,living_street,,False,True,41.18000000000001,,"LINESTRING (14.6163226 50.9333444, 14.6160694 50.9333646, 14.6157403 50.9333941)",,,
24937663,Rosa-Luxemburg-Straße,residential,,False,False,285.076,,"LINESTRING (14.6112822 50.9346419, 14.6112125 50.9357152, 14.6111607 50.9368401, 14.611317 50.9371907)",,,
"[229207352, 527260833]",Nordstraße,secondary,,False,False,118.70600000000003,,"LINESTRING (14.6112822 50.9346419, 14.6117033 50.9346432, 14.612035 50.9346453, 14.6120934 50.9346445, 14.6121477 50.9346419, 14.6122073 50.9346366, 14.6122545 50.9346311, 14.6123106 50.9346229, 14.6123507 50.934616, 14.612376 50.9346113, 14.6124248 50.9346006, 14.6124689 50.9345901, 14.6124993 50.9345819, 14.6126166 50.9345517, 14.6126734 50.934539, 14.6127302 50.9345273, 14.6127932 50.9345148, 14.6128465 50.9345056, 14.6128942 50.9344984, 14.612939 50.9344931)",50,2,S 139
527260833,Nordstraße,secondary,,False,True,299.119,,"LINESTRING (14.6112822 50.9346419, 14.6112182 50.9346427, 14.61114 50.9346457, 14.611072 50.9346501, 14.6110038 50.934656, 14.6109262 50.9346648, 14.6108475 50.9346757, 14.6105693 50.93472, 14.6103794 50.9347502, 14.6103267 50.9347591, 14.610274 50.9347709, 14.6102258 50.9347832, 14.6101685 50.9348004, 14.6100992 50.9348222, 14.6099605 50.9348699, 14.609862 50.9349025, 14.609769 50.9349329, 14.6096911 50.934957, 14.6096042 50.9349833, 14.6092159 50.9350941, 14.6091637 50.9351101, 14.6087525 50.9352465, 14.6086741 50.9352735, 14.6084228 50.9353596, 14.6078542 50.9355677, 14.6078015 50.9355864, 14.6074151 50.9357239)",50,2,S 139
24937663,Rosa-Luxemburg-Straße,residential,,False,False,118.864,,"LINESTRING (14.611317 50.9371907, 14.6115672 50.9376655, 14.6118492 50.9382057)",,,
24937663,Rosa-Luxemburg-Straße,residential,,False,True,285.076,,"LINESTRING (14.611317 50.9371907, 14.6111607 50.9368401, 14.6112125 50.9357152, 14.6112822 50.9346419)",,,
419420061,,living_street,,False,False,73.831,,"LINESTRING (14.611317 50.9371907, 14.611057 50.9372215, 14.6109593 50.9372405, 14.6109407 50.9372728, 14.6110826 50.9376611)",,,
24937663,Rosa-Luxemburg-Straße,residential,,False,True,88.793,,"LINESTRING (14.6122398 50.9389653, 14.6122089 50.938897, 14.6118492 50.9382057)",,,
"[27153985, 74169809, 448881647]",Gründelstraße,secondary,,False,False,346.6210000000001,,"LINESTRING (14.6122398 50.9389653, 14.6126385 50.9386895, 14.6131739 50.9384378, 14.6135488 50.9383014, 14.6140881 50.9381183, 14.6148487 50.9378612, 14.61503 50.9378018, 14.6154632 50.9376551, 14.6154918 50.9376445, 14.6155205 50.9376331, 14.6155508 50.9376202, 14.6155806 50.9376059, 14.6156115 50.9375908, 14.6157772 50.937501, 14.6157955 50.9374902, 14.6158153 50.9374777, 14.6158348 50.9374624, 14.6158578 50.9374427, 14.6158838 50.9374188, 14.615905 50.9373955, 14.6159237 50.9373737, 14.6161122 50.9371286)",50,2,S 140
"[25047395, 399383540]",Bahnhofstraße,residential,,False,False,137.215,,"LINESTRING (14.613099 50.9344888, 14.6131227 50.9341456, 14.6131207 50.9341123, 14.613116 50.9340668, 14.6131043 50.9340237, 14.6130897 50.9339835, 14.6130681 50.9339448, 14.6130421 50.9339053, 14.6128916 50.9337113, 14.6126543 50.933426, 14.6126934 50.9333242)",,,
60067093,Nordstraße,secondary,,False,False,121.576,,"LINESTRING (14.613099 50.9344888, 14.6141032 50.9345494, 14.6141358 50.9345514, 14.6144531 50.9345673, 14.6145341 50.9345667, 14.6148265 50.934547)",50,2,S 139
60067093,Nordstraße,secondary,,False,True,11.251,,"LINESTRING (14.613099 50.9344888, 14.6130614 50.9344873, 14.6130207 50.9344877, 14.6129819 50.9344895, 14.612939 50.9344931)",50,2,S 139
"[25047396, 1203067182]",Bahnhofstraße,residential,,False,False,146.909,,"LINESTRING (14.612939 50.9344931, 14.612963 50.934616, 14.6129693 50.9346394, 14.6129779 50.9346606, 14.6129895 50.9346806, 14.6130057 50.9346996, 14.6130237 50.9347144, 14.6130446 50.9347291, 14.6135814 50.9350207, 14.613612 50.9350398, 14.6136484 50.9350643, 14.6136836 50.9350911, 14.6137142 50.9351151, 14.6138417 50.9352291, 14.6141797 50.935517)",50,,
60067093,Nordstraße,secondary,,False,False,11.251000000000001,,"LINESTRING (14.612939 50.9344931, 14.6129819 50.9344895, 14.6130207 50.9344877, 14.6130614 50.9344873, 14.613099 50.9344888)",50,2,S 139
"[229207352, 527260833]",Nordstraße,secondary,,False,True,118.706,,"LINESTRING (14.612939 50.9344931, 14.6128942 50.9344984, 14.6128465 50.9345056, 14.6127932 50.9345148, 14.6127302 50.9345273, 14.6126734 50.934539, 14.6126166 50.9345517, 14.6124993 50.9345819, 14.6124689 50.9345901, 14.6124248 50.9346006, 14.612376 50.9346113, 14.6123507 50.934616, 14.6123106 50.9346229, 14.6122545 50.9346311, 14.6122073 50.9346366, 14.6121477 50.9346419, 14.6120934 50.9346445, 14.612035 50.9346453, 14.6117033 50.9346432, 14.6112822 50.9346419)",50,2,S 139
25047397,Poststraße,residential,,False,False,39.63,,"LINESTRING (14.6141797 50.935517, 14.6141993 50.9355297, 14.6142194 50.9355399, 14.6142427 50.9355476, 14.614267 50.9355526, 14.6142931 50.9355559, 14.6143212 50.9355577, 14.6143479 50.9355584, 14.614374 50.9355565, 14.6144013 50.9355531, 14.6144306 50.9355478, 14.6144599 50.9355414, 14.6144891 50.9355333, 14.6145164 50.9355239, 14.6145437 50.9355119, 14.6145682 50.9354994, 14.6145884 50.9354864, 14.6146026 50.9354716, 14.6146147 50.9354512, 14.6146267 50.9354246)",50,,
25895577,Bahnhofstraße,residential,,False,False,37.99300000000001,,"LINESTRING (14.6141797 50.935517, 14.6142976 50.9356345, 14.6143143 50.9356491, 14.6143322 50.935662, 14.6143517 50.9356729, 14.614373 50.9356828, 14.614401 50.9356939, 14.614512 50.9357357, 14.6145316 50.9357448, 14.6145515 50.9357559)",50,,
"[25047396, 1203067182]",Bahnhofstraße,residential,,False,True,146.90900000000002,,"LINESTRING (14.6141797 50.935517, 14.6138417 50.9352291, 14.6137142 50.9351151, 14.6136836 50.9350911, 14.6136484 50.9350643, 14.613612 50.9350398, 14.6135814 50.9350207, 14.6130446 50.9347291, 14.6130237 50.9347144, 14.6130057 50.9346996, 14.6129895 50.9346806, 14.6129779 50.9346606, 14.6129693 50.9346394, 14.612963 50.934616, 14.612939 50.9344931)",50,,
1186585358,Poststraße,residential,,False,True,37.214,,"LINESTRING (14.6146267 50.9354246, 14.6145515 50.9357559)",50,,
25047397,Poststraße,residential,,False,True,39.629999999999995,,"LINESTRING (14.6146267 50.9354246, 14.6146147 50.9354512, 14.6146026 50.9354716, 14.6145884 50.9354864, 14.6145682 50.9354994, 14.6145437 50.9355119, 14.6145164 50.9355239, 14.6144891 50.9355333, 14.6144599 50.9355414, 14.6144306 50.9355478, 14.6144013 50.9355531, 14.614374 50.9355565, 14.6143479 50.9355584, 14.6143212 50.9355577, 14.6142931 50.9355559, 14.614267 50.9355526, 14.6142427 50.9355476, 14.6142194 50.9355399, 14.6141993 50.9355297, 14.6141797 50.935517)",50,,
60070732,Poststraße,residential,7,False,False,98.92000000000002,,"LINESTRING (14.6146267 50.9354246, 14.6148105 50.9348386, 14.6148341 50.9346281, 14.6148265 50.934547)",50,,
60067093,Nordstraße,secondary,,False,True,121.576,,"LINESTRING (14.6148265 50.934547, 14.6145341 50.9345667, 14.6144531 50.9345673, 14.6141358 50.9345514, 14.6141032 50.9345494, 14.613099 50.9344888)",50,2,S 139
