osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,width
1124393338,Brennerstraße,residential,30,False,False,125.72500000000001,,"LINESTRING (9.0667572 48.7971874, 9.0666498 48.7971723, 9.0662281 48.7970657, 9.0660872 48.7970301, 9.0656276 48.7969138, 9.0655648 48.7968831, 9.0655233 48.7968361, 9.0655081 48.7968036, 9.0655105 48.7967688, 9.0656107 48.7966205)",,
1124393389,Brennerstraße,residential,30,False,True,157.011,,"LINESTRING (9.0667572 48.7971874, 9.0669362 48.7972082, 9.068854 48.7974804)",,
149673775,Goethestraße,residential,30,False,False,139.04,,"LINESTRING (9.0683022 48.7993561, 9.0686694 48.7981293)",,
149673775,Goethestraße,residential,30,False,True,92.606,,"LINESTRING (9.0683022 48.7993561, 9.0680671 48.8001744)",,
149673792,Karlsbader Straße,residential,30,False,False,69.123,,"LINESTRING (9.0683022 48.7993561, 9.0692275 48.7994784)",,
149673792,Karlsbader Straße,residential,30,False,True,60.872,,"LINESTRING (9.0683022 48.7993561, 9.0674916 48.7992353)",,
149673757,Bettäckerstraße,residential,30,False,True,68.1,,"LINESTRING (9.0686694 48.7981293, 9.067759 48.798005)",,
149673775,Goethestraße,residential,30,False,False,27.509,,"LINESTRING (9.0686694 48.7981293, 9.0687502 48.7978877)",,
149673775,Goethestraße,residential,30,False,True,139.04,,"LINESTRING (9.0686694 48.7981293, 9.0683022 48.7993561)",,
38570505,Mathildenstraße,residential,30,False,True,63.186,,"LINESTRING (9.0680671 48.8001744, 9.0672251 48.8000507)",,
149673775,Goethestraße,residential,30,False,False,92.606,,"LINESTRING (9.0680671 48.8001744, 9.0683022 48.7993561)",,
38570505,Mathildenstraße,residential,30,False,False,74.582,,"LINESTRING (9.0680671 48.8001744, 9.0685679 48.8002452, 9.0690627 48.8003152)",,
149673775,Goethestraße,residential,30,False,True,99.508,,"LINESTRING (9.0680671 48.8001744, 9.067803 48.8010041, 9.067786 48.8010499)",,
149673757,Bettäckerstraße,residential,30,False,False,68.1,,"LINESTRING (9.067759 48.798005, 9.0686694 48.7981293)",,
149673786,Hölderlinstraße,residential,,False,False,137.904,,"LINESTRING (9.067759 48.798005, 9.0673989 48.7992223)",,
149673757,Bettäckerstraße,residential,30,False,True,66.902,,"LINESTRING (9.067759 48.798005, 9.0669018 48.7978867, 9.0668651 48.7978814)",,
149673786,Hölderlinstraße,residential,,False,True,137.904,,"LINESTRING (9.0673989 48.7992223, 9.067759 48.798005)",,
149673792,Karlsbader Straße,residential,30,False,False,6.942,,"LINESTRING (9.0673989 48.7992223, 9.0674916 48.7992353)",,
149673792,Karlsbader Straße,residential,30,False,True,47.117,,"LINESTRING (9.0673989 48.7992223, 9.0667739 48.799122)",,
149673792,Karlsbader Straße,residential,30,False,False,60.872,,"LINESTRING (9.0674916 48.7992353, 9.0683022 48.7993561)",,
149673792,Karlsbader Straße,residential,30,False,True,6.942,,"LINESTRING (9.0674916 48.7992353, 9.0673989 48.7992223)",,
149673873,Schubartstraße,residential,30,False,True,92.746,,"LINESTRING (9.0674916 48.7992353, 9.0672251 48.8000507)",,
149673775,Goethestraße,residential,30,False,True,27.509,,"LINESTRING (9.0687502 48.7978877, 9.0686694 48.7981293)",,
413298489,Goethestraße,residential,30,False,False,45.923,,"LINESTRING (9.0687502 48.7978877, 9.068854 48.7974804)",,
38570505,Mathildenstraße,residential,30,False,False,10.685,,"LINESTRING (9.0690627 48.8003152, 9.0692058 48.8003339)",,
38570505,Mathildenstraße,residential,30,False,True,74.582,,"LINESTRING (9.0690627 48.8003152, 9.0685679 48.8002452, 9.0680671 48.8001744)",,
101073059,Gartenstraße,residential,,False,False,38.26,,"LINESTRING (9.0662459 48.7959672, 9.0657773 48.7958152)",,
125106700,Gartenstraße,living_street,,False,False,91.24499999999999,,"LINESTRING (9.0662459 48.7959672, 9.0660518 48.7962353, 9.0659339 48.7964019, 9.0658304 48.7965438, 9.0657938 48.7965855, 9.0657509 48.7966115, 9.0656924 48.7966263, 9.0656566 48.7966268, 9.0656107 48.7966205)",,
149673769,Gartenstraße,residential,30,False,False,208.63199999999998,,"LINESTRING (9.0662459 48.7959672, 9.0668349 48.7960641, 9.0671943 48.7961233, 9.0674408 48.796185, 9.0675526 48.7962124, 9.0676795 48.7962435, 9.0681085 48.7963488, 9.0685232 48.7964506, 9.0685563 48.7964587, 9.0685996 48.7964693, 9.0689658 48.7965062)",,
413095572,Leonberger Straße,secondary,50,False,False,61.446,K 1657,"LINESTRING (9.0582569 48.8007448, 9.0589799 48.8004645)",2,
413095572,Leonberger Straße,secondary,50,False,True,58.978,K 1657,"LINESTRING (9.0582569 48.8007448, 9.0575597 48.8010102)",2,
149673813,Mühlstraße,residential,30,False,False,151.878,,"LINESTRING (9.0582569 48.8007448, 9.0585387 48.8011052, 9.0588172 48.8013822, 9.0592584 48.8019392)",,
149673813,Mühlstraße,residential,30,False,True,52.614,,"LINESTRING (9.0596404 48.8024215, 9.0593081 48.802002)",,
551433231,Silcherstraße,residential,30,False,True,86.149,,"LINESTRING (9.0596404 48.8024215, 9.0585952 48.8027769)",,
551433231,Silcherstraße,residential,30,False,False,125.803,,"LINESTRING (9.0596404 48.8024215, 9.0608964 48.8019837, 9.0610038 48.8019682, 9.0610143 48.8019664, 9.0611898 48.8019592)",,
21877610,Ditzinger Straße,secondary,40,False,True,93.80799999999999,L 1141,"LINESTRING (9.061235 48.8011293, 9.0614183 48.8012181, 9.0617589 48.8013865, 9.0618272 48.8014205, 9.0620433 48.8015281, 9.0622366 48.8016531)",,7
149673783,Hauptstraße,secondary,30,False,False,84.22200000000001,,"LINESTRING (9.061235 48.8011293, 9.0613097 48.8010214, 9.0613831 48.8009508, 9.0614686 48.8008794, 9.0615371 48.8008183, 9.0616811 48.8006945, 9.0618739 48.8005286, 9.061893 48.8005112)",,
413095574,Leonberger Straße,secondary,50,False,True,162.273,K 1657,"LINESTRING (9.061235 48.8011293, 9.0610264 48.8010751, 9.0607835 48.8010216, 9.0603743 48.8008639, 9.0602274 48.8007857, 9.0600463 48.8006893, 9.0598328 48.8005478, 9.0596397 48.8003897, 9.0595438 48.8003217, 9.0595076 48.8002952, 9.059479 48.8002838)",2,
413293685,Weilimdorfer Straße,secondary,30,False,True,42.77,L 2255,"LINESTRING (9.0654175 48.8001857, 9.0658869 48.8004145)",2,
24471514,Weilimdorfer Straße,secondary,30,False,False,96.13399999999999,L 2255,"LINESTRING (9.0654175 48.8001857, 9.0646869 48.7998016, 9.0646135 48.7997566, 9.0644203 48.7996254)",2,
413274799,Christophstraße,residential,30,False,False,107.961,,"LINESTRING (9.0654175 48.8001857, 9.0653911 48.8002077, 9.0647743 48.8007333, 9.064532 48.8009616)",,7.5
21402240,Christophstraße,residential,30,False,True,107.28699999999999,,"LINESTRING (9.0629471 48.802279, 9.0630133 48.8022487, 9.0631225 48.8021593, 9.0638674 48.8015312)",,7.5
413251959,Christophstraße,residential,30,False,False,71.359,,"LINESTRING (9.0629471 48.802279, 9.0628617 48.802307, 9.0620594 48.8025434)",,5.5
"[21877610, 617399412]",Ditzinger Straße,secondary,"['50', '40']",False,False,87.102,L 1141,"LINESTRING (9.0629471 48.802279, 9.0628668 48.8021967, 9.0626841 48.8020244, 9.0624981 48.8018529, 9.0623679 48.801738, 9.0622366 48.8016531)",,7
149673788,Jakobstraße,residential,30,False,True,92.59799999999998,,"LINESTRING (9.0612435 48.8027912, 9.0612277 48.8025472, 9.0611898 48.8019592)",,
413251959,Christophstraße,residential,30,False,True,65.834,,"LINESTRING (9.0612435 48.8027912, 9.061392 48.8027538, 9.0620594 48.8025434)",,5.5
21402237,Gerteisenstraße,residential,30,False,False,51.031,,"LINESTRING (9.0585952 48.8027769, 9.0584034 48.8023357)",,
551433231,Silcherstraße,residential,30,False,False,86.149,,"LINESTRING (9.0585952 48.8027769, 9.0596404 48.8024215)",,
413251959,Christophstraße,residential,30,False,False,65.834,,"LINESTRING (9.0620594 48.8025434, 9.061392 48.8027538, 9.0612435 48.8027912)",,5.5
413251959,Christophstraße,residential,30,False,True,71.359,,"LINESTRING (9.0620594 48.8025434, 9.0628617 48.802307, 9.0629471 48.802279)",,5.5
21402236,Hermann-Dreher-Straße,residential,30,False,True,153.57999999999998,,"LINESTRING (9.0561086 48.799276, 9.0562194 48.7993336, 9.0563666 48.7995006, 9.0566598 48.7998728, 9.0571324 48.8004726)",,
149673779,Hans-Keil-Straße,residential,30,False,False,81.254,,"LINESTRING (9.0561086 48.799276, 9.0562079 48.7992504, 9.0571539 48.7990314)",,
110989222,Meterstraße,residential,30,False,True,113.883,,"LINESTRING (9.0605558 48.7983306, 9.0597124 48.799191)",2,
23167677,Hasenbergstraße,residential,30,False,False,46.519999999999996,,"LINESTRING (9.0605558 48.7983306, 9.0608721 48.7980182, 9.0609302 48.7979989)",2,
23622153,Beim Brückentor,residential,30,False,True,96.24900000000001,,"LINESTRING (9.0605558 48.7983306, 9.0600966 48.798059, 9.05997 48.7979823, 9.0598612 48.7978967, 9.0596777 48.7976962)",,5.3
149673913,Urbanstraße,residential,30,False,False,152.98100000000002,,"LINESTRING (9.0605558 48.7983306, 9.0607039 48.7984138, 9.0608499 48.798469, 9.0615712 48.798643, 9.0617486 48.798699, 9.0618357 48.7987309, 9.0619036 48.7987639, 9.0619867 48.7988168, 9.0620604 48.7989347, 9.0621073 48.7990305, 9.0621834 48.7990871)",1,
149673913,Urbanstraße,residential,30,False,True,152.98100000000002,,"LINESTRING (9.0621834 48.7990871, 9.0621073 48.7990305, 9.0620604 48.7989347, 9.0619867 48.7988168, 9.0619036 48.7987639, 9.0618357 48.7987309, 9.0617486 48.798699, 9.0615712 48.798643, 9.0608499 48.798469, 9.0607039 48.7984138, 9.0605558 48.7983306)",1,
"[196000054, 644311015]",Hauptstraße,secondary,"['20', '30']",True,False,69.052,L 2255,"LINESTRING (9.0621834 48.7990871, 9.0623068 48.7989808, 9.0624021 48.7988948, 9.0624431 48.7988578, 9.0624852 48.798807, 9.0625076 48.7987807, 9.0625832 48.7986917, 9.0626862 48.7985951, 9.0627091 48.7985729)",1,
23141703,Rosenstraße,residential,30,False,True,58.286,,"LINESTRING (9.0590102 48.7998691, 9.0590691 48.7999246, 9.0594459 48.8002059, 9.0594661 48.8002382, 9.059479 48.8002838)",2,6
110989220,Rosenstraße,residential,,False,False,144.16199999999998,,"LINESTRING (9.0590102 48.7998691, 9.0589504 48.7998186, 9.0587628 48.7996484, 9.0582273 48.7992462, 9.0578516 48.7989356, 9.0577619 48.7988677)",,
110989222,Meterstraße,residential,30,False,False,91.81,,"LINESTRING (9.0590102 48.7998691, 9.059061 48.7998508, 9.059116 48.799808, 9.0597124 48.799191)",2,
149673811,Meterstraße,residential,30,False,True,76.7,,"LINESTRING (9.0590102 48.7998691, 9.0589316 48.7998959, 9.0580626 48.8001626)",,
149673779,Hans-Keil-Straße,residential,30,False,True,48.109,,"LINESTRING (9.0577619 48.7988677, 9.0571539 48.7990314)",,
23141704,Vesouler Straße,residential,30,False,False,106.959,,"LINESTRING (9.0577619 48.7988677, 9.0578472 48.7987958, 9.0578617 48.7987648, 9.0578481 48.7986431, 9.0577635 48.798474, 9.0575463 48.7981442, 9.057433 48.7979819)",,
110989220,Rosenstraße,residential,,False,True,144.16199999999998,,"LINESTRING (9.0577619 48.7988677, 9.0578516 48.7989356, 9.0582273 48.7992462, 9.0587628 48.7996484, 9.0589504 48.7998186, 9.0590102 48.7998691)",,
21400514,Stahlerstraße,residential,30,False,False,34.696,,"LINESTRING (9.059671 48.7945712, 9.0598867 48.7942934)",,
24538269,Stahlerstraße,living_street,,False,False,77.594,,"LINESTRING (9.059671 48.7945712, 9.0592729 48.7951732, 9.0592383 48.7952075)",,
149673836,Otto-Weddigen-Straße,residential,30,False,True,188.838,,"LINESTRING (9.059671 48.7945712, 9.0599778 48.7947518, 9.0600148 48.7947733, 9.0604218 48.7950101, 9.0607087 48.795208, 9.0609934 48.7953884, 9.061661 48.7956328)",,
149673759,Boelckestraße,residential,30,False,False,68.93,,"LINESTRING (9.0622181 48.7951332, 9.061661 48.7956328)",,
24538508,Ludwigstraße,residential,30,False,False,140.824,,"LINESTRING (9.0622181 48.7951332, 9.0608539 48.7943776, 9.0607745 48.7943015)",,
24538508,Ludwigstraße,residential,30,False,True,104.27100000000002,,"LINESTRING (9.0622181 48.7951332, 9.0629783 48.795483, 9.0633875 48.7956679)",,
24538508,Ludwigstraße,residential,30,False,True,140.824,,"LINESTRING (9.0607745 48.7943015, 9.0608539 48.7943776, 9.0622181 48.7951332)",,
149673811,Meterstraße,residential,30,False,True,76.354,,"LINESTRING (9.0580626 48.8001626, 9.0571324 48.8004726)",,
149673789,Johannes-Rebmann-Straße,residential,30,False,False,142.313,,"LINESTRING (9.0580626 48.8001626, 9.0573547 48.799292, 9.0571539 48.7990314)",,
149673811,Meterstraße,residential,30,False,False,76.7,,"LINESTRING (9.0580626 48.8001626, 9.0589316 48.7998959, 9.0590102 48.7998691)",,
149673779,Hans-Keil-Straße,residential,30,False,False,48.109,,"LINESTRING (9.0571539 48.7990314, 9.0577619 48.7988677)",,
149673779,Hans-Keil-Straße,residential,30,False,True,81.254,,"LINESTRING (9.0571539 48.7990314, 9.0562079 48.7992504, 9.0561086 48.799276)",,
149673789,Johannes-Rebmann-Straße,residential,30,False,True,142.313,,"LINESTRING (9.0571539 48.7990314, 9.0573547 48.799292, 9.0580626 48.8001626)",,
149673811,Meterstraße,residential,30,False,False,76.354,,"LINESTRING (9.0571324 48.8004726, 9.0580626 48.8001626)",,
21402236,Hermann-Dreher-Straße,residential,30,False,False,153.58,,"LINESTRING (9.0571324 48.8004726, 9.0566598 48.7998728, 9.0563666 48.7995006, 9.0562194 48.7993336, 9.0561086 48.799276)",,
413095570,Hermann-Dreher-Straße,residential,30,False,True,67.48100000000001,,"LINESTRING (9.0571324 48.8004726, 9.0571605 48.8005076, 9.0572894 48.8006682, 9.0574152 48.8008249, 9.0575268 48.8009639, 9.0575597 48.8010102)",,6
5209134,Hauptstraße,secondary,30,False,False,111.917,L 1141,"LINESTRING (9.0635861 48.7976473, 9.0643141 48.7967624)",,
5209134,Hauptstraße,secondary,30,False,True,37.274,L 1141,"LINESTRING (9.0635861 48.7976473, 9.063328 48.7979362)",,
"[110989227, 14875541]","['Jahnstraße', 'Hasenbergstraße']",residential,30,False,True,248.06400000000002,,"LINESTRING (9.0635861 48.7976473, 9.0635001 48.7976179, 9.0630255 48.7974693, 9.0621841 48.7972451, 9.0620577 48.7972114, 9.0625942 48.7966402, 9.0627375 48.7964983, 9.0627612 48.7964749, 9.0629445 48.7962413)",,
5209134,Hauptstraße,secondary,30,False,False,34.185,L 1141,"LINESTRING (9.0630886 48.7982001, 9.0631606 48.7981206, 9.06319 48.7980881, 9.0631965 48.798081, 9.0632259 48.7980485, 9.0632705 48.7979993, 9.063328 48.7979362)",,
5209134,Hauptstraße,secondary,30,False,True,18.143,L 1141,"LINESTRING (9.0630886 48.7982001, 9.0630319 48.7982653, 9.0629612 48.79834)",,
413353311,Kupferwiesenstraße,residential,30,False,True,50.419,,"LINESTRING (9.069187 48.8014958, 9.0691388 48.801528, 9.0690898 48.8015725, 9.0689482 48.8019132)",,
413447713,Weilimdorfer Straße,secondary,50,False,False,46.75,,"LINESTRING (9.069187 48.8014958, 9.0689755 48.8013497, 9.0689237 48.8012839, 9.0688899 48.8012309, 9.0688786 48.8012002, 9.0688704 48.8011451)",,
149673765,Eltinger Straße,living_street,,False,True,71.333,,"LINESTRING (9.0605153 48.7995541, 9.0597124 48.799191)",,
23141702,Bildstraße,living_street,,False,True,111.107,,"LINESTRING (9.0605153 48.7995541, 9.0595546 48.8002316, 9.059479 48.8002838)",,
