osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,width,ref,junction,bridge
"[59180369, 22811201]",1,Georg-Pingler-Straße,residential,True,False,94.547,30,"LINESTRING (8.4688563 50.1850217, 8.4689006 50.1850543, 8.4690025 50.1852286, 8.4689931 50.1853961, 8.4688764 50.1853961, 8.468871 50.1853534, 8.4688335 50.1850543, 8.4688563 50.1850217)",,,,
208623220,,Kirchstraße,residential,False,True,11.208,30,"LINESTRING (8.466193 50.1842022, 8.4660916 50.1841251)",,,,
22811205,1,Limburger Straße,residential,True,False,215.63199999999998,30,"LINESTRING (8.466193 50.1842022, 8.4662364 50.1842498, 8.4663395 50.1843303, 8.4665414 50.1845109, 8.4667879 50.1847164, 8.4669213 50.1849199, 8.4670036 50.1851004, 8.4670447 50.1852902, 8.4670691 50.1853716, 8.4670816 50.1854811, 8.4670864 50.1856318, 8.4670888 50.1859868)",3,,,
"[1204512541, 22811206]",,Herzog-Adolph-Straße,residential,False,False,68.794,30,"LINESTRING (8.4655951 50.184904, 8.4655983 50.1848783, 8.4656108 50.1847783, 8.4656185 50.1847161, 8.4656463 50.1845558, 8.4656717 50.184376, 8.4656802 50.1843327, 8.4656851 50.1842881)",,,,
22811206,,Herzog-Adolph-Straße,residential,False,True,104.16900000000001,30,"LINESTRING (8.4655951 50.184904, 8.4655756 50.1849758, 8.4655588 50.185038, 8.4655279 50.1851431, 8.465509 50.1852075, 8.4652814 50.1853846, 8.4648855 50.1856927)",,,,
"[1204511786, 255271830, 209461382, 209461383]",,Gerichtstraße,living_street,False,True,164.437,,"LINESTRING (8.4655951 50.184904, 8.4653993 50.1847911, 8.4649772 50.1845452, 8.4649063 50.1845077, 8.4646766 50.1843844, 8.4643014 50.1841584, 8.4641706 50.1840796, 8.4641365 50.1840581, 8.464004 50.1839884, 8.4638959 50.1839047)","['2.5', '4']",,,
"[22811209, 208991514, 22811204]",,"['Hauptstraße', 'Kirchstraße']","['residential', 'living_street']",False,False,152.07500000000002,30,"LINESTRING (8.4657349 50.1838396, 8.4655969 50.1836562, 8.4655468 50.1835735, 8.4655368 50.1835569, 8.4655145 50.1835201, 8.4654397 50.1833965, 8.4653709 50.1832955, 8.4652489 50.1831164, 8.465091 50.1828845, 8.4650496 50.1828237, 8.4650033 50.1827578, 8.464728 50.1828242)","['4', '5']",,,
208623220,,Kirchstraße,residential,False,False,40.656,30,"LINESTRING (8.4657349 50.1838396, 8.4657723 50.1838705, 8.4660916 50.1841251)",,,,
208980483,1,Herzog-Adolph-Straße,residential,True,False,49.997,30,"LINESTRING (8.4656851 50.1842881, 8.4657349 50.1838396)",4,,,
"[1204512541, 22811206]",,Herzog-Adolph-Straße,residential,False,True,68.79400000000001,30,"LINESTRING (8.4656851 50.1842881, 8.4656802 50.1843327, 8.4656717 50.184376, 8.4656463 50.1845558, 8.4656185 50.1847161, 8.4656108 50.1847783, 8.4655983 50.1848783, 8.4655951 50.184904)",,,,
22811217,,Gerichtstraße,living_street,True,False,9.482,,"LINESTRING (8.4635485 50.1831422, 8.4635569 50.1832273)",4,,,
22811446,,,living_street,False,False,14.588999999999999,,"LINESTRING (8.4635485 50.1831422, 8.4634949 50.1831937, 8.4633919 50.183215)",3,,,
22811452,,Sackgasse,living_street,False,False,54.543000000000006,,"LINESTRING (8.4635485 50.1831422, 8.4633249 50.1830826, 8.4631578 50.1827647)",2.5,,,
208989679,,Hauptstraße,living_street,True,False,49.054,,"LINESTRING (8.4641875 50.1829773, 8.4635485 50.1831422)",5,,,
22811215,,Vordere Schloßgasse,living_street,False,True,86.71200000000002,,"LINESTRING (8.4641875 50.1829773, 8.4639075 50.1826167, 8.4638091 50.1825406, 8.4636964 50.1824749, 8.463505 50.1823421)",2,,,
22811209,,Hauptstraße,living_street,False,False,4.725,,"LINESTRING (8.464728 50.1828242, 8.4646676 50.1828418)",5,,,
"[22811209, 208991514, 22811204]",,"['Hauptstraße', 'Kirchstraße']","['living_street', 'residential']",False,True,152.075,30,"LINESTRING (8.464728 50.1828242, 8.4650033 50.1827578, 8.4650496 50.1828237, 8.465091 50.1828845, 8.4652489 50.1831164, 8.4653709 50.1832955, 8.4654397 50.1833965, 8.4655145 50.1835201, 8.4655368 50.1835569, 8.4655468 50.1835735, 8.4655969 50.1836562, 8.4657349 50.1838396)","['4', '5']",,,
