osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,area,bridge,width
835700705,,,Hochstraße,residential,,False,True,70.381,"LINESTRING (12.4076946 49.0046231, 12.4076306 49.0045772, 12.4075318 49.0045267, 12.4073934 49.0044848, 12.4072261 49.0044582, 12.4068082 49.0044293)",,,
30106864,,,Arberstraße,residential,,False,False,146.762,"LINESTRING (12.404747 49.004446, 12.4046466 49.0044014, 12.4045328 49.004098, 12.4044861 49.0040649, 12.404404 49.0040522, 12.4043282 49.0040634, 12.4041539 49.0041849, 12.4038326 49.0044382, 12.4035475 49.0046467)",,,
227035926,,,Arberstraße,residential,,False,False,100.58999999999999,"LINESTRING (12.404747 49.004446, 12.4046248 49.0045927, 12.4045209 49.0047502, 12.4043328 49.0050886, 12.4042271 49.0052822)",,,
227035926,,,Arberstraße,residential,,False,True,150.525,"LINESTRING (12.404747 49.004446, 12.4048347 49.0043456, 12.404936 49.0042364, 12.4052219 49.0039476, 12.4053186 49.0038598, 12.4054062 49.0037667, 12.4054777 49.0036755, 12.4055542 49.0035548, 12.4055974 49.0034721, 12.4056111 49.0034035, 12.405605 49.0033441, 12.4055706 49.00329, 12.405522 49.0032658)",,,
30106864,,,Arberstraße,residential,,False,True,146.762,"LINESTRING (12.4035475 49.0046467, 12.4038326 49.0044382, 12.4041539 49.0041849, 12.4043282 49.0040634, 12.404404 49.0040522, 12.4044861 49.0040649, 12.4045328 49.004098, 12.4046466 49.0044014, 12.404747 49.004446)",,,
24647106,,R 7,Hochbergstraße,tertiary,,False,True,38.7,"LINESTRING (12.4079591 49.0006402, 12.4078392 49.0006579, 12.4077318 49.0006654, 12.4074322 49.0006647)",,,
30106867,,,Schußhütte,residential,,False,False,126.09,"LINESTRING (12.4079591 49.0006402, 12.4079941 49.000677, 12.408132 49.000717, 12.4082592 49.000734, 12.4083594 49.0007368, 12.4086952 49.0007434, 12.408823 49.0007549, 12.4089317 49.000772, 12.4090503 49.0008058, 12.4091702 49.0008533, 12.4092638 49.0009026, 12.409364 49.0009742, 12.4094143 49.0010266, 12.409445 49.0010699)",,,
30106867,,,Schußhütte,residential,,False,False,235.01600000000002,"LINESTRING (12.409445 49.0010699, 12.4094572 49.0011146, 12.4094518 49.0011703, 12.409426 49.0012476, 12.4093113 49.0014928, 12.4093014 49.0015592, 12.4092992 49.0016009, 12.4093231 49.0016667, 12.4093805 49.0017111, 12.4098212 49.0020644, 12.4098814 49.0021342, 12.4099023 49.0022056, 12.4098829 49.0022857, 12.4097864 49.0023606, 12.4096352 49.0024386, 12.4095222 49.00249, 12.4091785 49.0026072, 12.4089624 49.0027234)",,,
30106867,,,Schußhütte,residential,,False,True,126.09,"LINESTRING (12.409445 49.0010699, 12.4094143 49.0010266, 12.409364 49.0009742, 12.4092638 49.0009026, 12.4091702 49.0008533, 12.4090503 49.0008058, 12.4089317 49.000772, 12.408823 49.0007549, 12.4086952 49.0007434, 12.4083594 49.0007368, 12.4082592 49.000734, 12.408132 49.000717, 12.4079941 49.000677, 12.4079591 49.0006402)",,,
"[943150672, 30106931]",,,Schußhütte,residential,,False,False,169.041,"LINESTRING (12.409445 49.0010699, 12.4094841 49.0010662, 12.4095504 49.0010823, 12.4099522 49.001276, 12.4101972 49.0013772, 12.4104386 49.0014432, 12.4106881 49.0014953, 12.4108185 49.0015362, 12.4109546 49.0016441, 12.4109971 49.0018077, 12.4109291 49.0019007, 12.4108072 49.0019249)",,,
30106867,,,Schußhütte,residential,,False,True,235.016,"LINESTRING (12.4089624 49.0027234, 12.4091785 49.0026072, 12.4095222 49.00249, 12.4096352 49.0024386, 12.4097864 49.0023606, 12.4098829 49.0022857, 12.4099023 49.0022056, 12.4098814 49.0021342, 12.4098212 49.0020644, 12.4093805 49.0017111, 12.4093231 49.0016667, 12.4092992 49.0016009, 12.4093014 49.0015592, 12.4093113 49.0014928, 12.409426 49.0012476, 12.4094518 49.0011703, 12.4094572 49.0011146, 12.409445 49.0010699)",,,
"[1215513978, 25809027]","['2', '3']",St 2125,Straubinger Straße,secondary,,False,False,117.53899999999999,"LINESTRING (12.4073243 48.9978704, 12.4071791 48.9980547, 12.406987 48.9982935, 12.4068274 48.9984594, 12.4066878 48.9985799, 12.40664 48.9986134, 12.4065638 48.9986668, 12.4064291 48.9987372)",,,
30107002,,,Hungersdorfer Straße,residential,,False,False,103.728,"LINESTRING (12.4073243 48.9978704, 12.4074822 48.9978739, 12.4080461 48.9978501, 12.4081699 48.9978408, 12.4084013 48.9978235, 12.4087392 48.9977922)",,,
1079847595,2,St 2125,Straubinger Straße,secondary,,False,True,87.36599999999999,"LINESTRING (12.4073243 48.9978704, 12.4073383 48.9978394, 12.4074159 48.9976673, 12.4074257 48.997584, 12.4074191 48.9975337, 12.4074129 48.9974861, 12.4072541 48.9971081)",,,
33387316,,,Petersplatz,residential,,False,True,80.542,"LINESTRING (12.4060252 49.0006834, 12.4061747 49.0007588, 12.4063582 49.0008131, 12.4066119 49.0008199, 12.4067725 49.0008602, 12.4069944 49.000981)",no,,
"[24763580, 24763564]",,,"['Taxisstraße', 'Ludwigstraße']","['living_street', 'tertiary']",,False,False,454.43600000000004,"LINESTRING (12.4011451 49.0018617, 12.4012008 49.0019587, 12.4013728 49.0022618, 12.4014184 49.0022915, 12.4014751 49.0022942, 12.4018643 49.0021979, 12.402197 49.0021198, 12.4024117 49.0020712, 12.402603 49.0020279, 12.4028249 49.0019782, 12.4034207 49.0018259, 12.4037331 49.0017571, 12.4040497 49.0016994, 12.4042726 49.0016784, 12.4045801 49.00167, 12.4052065 49.0016775, 12.4064008 49.0016832, 12.4067721 49.0016607)",,,
24763564,,,Ludwigstraße,living_street,,False,True,146.487,"LINESTRING (12.4011451 49.0018617, 12.4010163 49.0016288, 12.400928 49.001471, 12.400901 49.0014215, 12.4007596 49.0011723, 12.4004659 49.000622)",,,
226993375,,,Herrngasse,residential,,False,True,363.35499999999996,"LINESTRING (12.4011451 49.0018617, 12.4008859 49.0019253, 12.4008223 49.0019242, 12.4005148 49.0020008, 12.4003398 49.0020532, 12.4001527 49.0021428, 12.4000132 49.0022305, 12.3999325 49.0023153, 12.399857 49.0024452, 12.3998065 49.0025848, 12.3997639 49.0028083, 12.3997211 49.0029728, 12.3996278 49.0032017, 12.3995405 49.0034246, 12.3995095 49.0035439, 12.3994898 49.0038035, 12.399465 49.0041043, 12.3994755 49.0042678, 12.3995585 49.0045996)",,,
226993375,,,Herrngasse,residential,,False,False,363.3550000000001,"LINESTRING (12.3995585 49.0045996, 12.3994755 49.0042678, 12.399465 49.0041043, 12.3994898 49.0038035, 12.3995095 49.0035439, 12.3995405 49.0034246, 12.3996278 49.0032017, 12.3997211 49.0029728, 12.3997639 49.0028083, 12.3998065 49.0025848, 12.399857 49.0024452, 12.3999325 49.0023153, 12.4000132 49.0022305, 12.4001527 49.0021428, 12.4003398 49.0020532, 12.4005148 49.0020008, 12.4008223 49.0019242, 12.4008859 49.0019253, 12.4011451 49.0018617)",,,
114933411,,,,residential,,False,True,81.86,"LINESTRING (12.4080226 49.0017711, 12.4079175 49.0017892, 12.4078325 49.0018102, 12.4075092 49.0019269, 12.4074143 49.0019506, 12.4073084 49.0019671, 12.4069661 49.0019842)",,,
114933411,,,,residential,,False,False,81.85999999999999,"LINESTRING (12.4069661 49.0019842, 12.4073084 49.0019671, 12.4074143 49.0019506, 12.4075092 49.0019269, 12.4078325 49.0018102, 12.4079175 49.0017892, 12.4080226 49.0017711)",,,
114933412,2,St 2146,Bayerwaldstraße,secondary,,False,False,38.691,"LINESTRING (12.4069661 49.0019842, 12.4069341 49.0019198, 12.4068413 49.0017842, 12.4067721 49.0016607)",,,
"[1095457524, 1215513975]",2,St 2146,Bayerwaldstraße,secondary,,False,True,202.232,"LINESTRING (12.4069661 49.0019842, 12.4069829 49.0020466, 12.4069841 49.0021095, 12.4069659 49.0021708, 12.4069355 49.0022465, 12.406745 49.0026155, 12.406707 49.0027382, 12.4066865 49.0027784, 12.406641 49.0028841, 12.4066025 49.0029853, 12.4064934 49.0032084, 12.4062392 49.0037284)",,,
115248904,,,Lerchenhaube,residential,,False,True,143.66500000000002,"LINESTRING (12.3977995 49.0014839, 12.3982311 49.0014655, 12.3986276 49.0014502, 12.3987616 49.0014528, 12.3988798 49.0014631, 12.3990062 49.0014876, 12.399109 49.0015176, 12.3992474 49.0016016, 12.3994004 49.001767, 12.3994902 49.0018528)",,,
115248912,,,Sandmüllerwiese,residential,,False,True,98.593,"LINESTRING (12.4007827 48.9989513, 12.4009709 48.9989046, 12.4014134 48.9988017, 12.4020504 48.9986441)",,,
24188737,,St 2125,Straubinger Straße,secondary,50,False,False,108.422,"LINESTRING (12.4022178 48.9991023, 12.4018701 48.9991957, 12.4010848 48.9994342, 12.4010071 48.9994729, 12.4009526 48.9995164, 12.4009155 48.9995488)",,,
24188737,,St 2125,Straubinger Straße,secondary,50,False,True,111.245,"LINESTRING (12.4022178 48.9991023, 12.4024902 48.9990412, 12.4028276 48.9989683, 12.4030936 48.9989214, 12.4032799 48.9988931, 12.4034589 48.9988716, 12.403658 48.9988552, 12.4036902 48.9988523)",,,
115248909,,,Sandmüllerwiese,residential,,False,False,52.44799999999999,"LINESTRING (12.4022178 48.9991023, 12.4021841 48.9990251, 12.4021632 48.9989491, 12.402133 48.9988393, 12.4020504 48.9986441)",,,
115248910,,,Zur Lerchenhaube,residential,,False,True,26.322,"LINESTRING (12.3986163 49.0009717, 12.3987839 49.0009334, 12.3989625 49.0009062)",,,
"[115248905, 1079847598]",,,Kapellenweg,residential,,False,True,371.921,"LINESTRING (12.403438 48.9980009, 12.4033248 48.998002, 12.4022527 48.9982229, 12.4021641 48.9981563, 12.4018022 48.9975966, 12.4021659 48.9975035, 12.4027541 48.9973654, 12.4032135 48.9972677, 12.4033616 48.9972489, 12.4034013 48.9973995, 12.4034285 48.9976204, 12.403438 48.9980009)",,,
"[115248905, 1079847598]",,,Kapellenweg,residential,,False,False,371.921,"LINESTRING (12.403438 48.9980009, 12.4034285 48.9976204, 12.4034013 48.9973995, 12.4033616 48.9972489, 12.4032135 48.9972677, 12.4027541 48.9973654, 12.4021659 48.9975035, 12.4018022 48.9975966, 12.4021641 48.9981563, 12.4022527 48.9982229, 12.4033248 48.998002, 12.403438 48.9980009)",,,
1079847598,,,Kapellenweg,residential,,False,True,39.251999999999995,"LINESTRING (12.403438 48.9980009, 12.4034405 48.9981823, 12.4034527 48.9983537)",,,
115248909,,,Sandmüllerwiese,residential,,False,True,52.44800000000001,"LINESTRING (12.4020504 48.9986441, 12.402133 48.9988393, 12.4021632 48.9989491, 12.4021841 48.9990251, 12.4022178 48.9991023)",,,
115248912,,,Sandmüllerwiese,residential,,False,False,98.593,"LINESTRING (12.4020504 48.9986441, 12.4014134 48.9988017, 12.4009709 48.9989046, 12.4007827 48.9989513)",,,
115248912,,,Sandmüllerwiese,residential,,False,True,107.281,"LINESTRING (12.4020504 48.9986441, 12.4021604 48.9986189, 12.4034527 48.9983537)",,,
115248912,,,Sandmüllerwiese,residential,,False,False,107.281,"LINESTRING (12.4034527 48.9983537, 12.4021604 48.9986189, 12.4020504 48.9986441)",,,
1079847598,,,Kapellenweg,residential,,False,False,39.251999999999995,"LINESTRING (12.4034527 48.9983537, 12.4034405 48.9981823, 12.403438 48.9980009)",,,
1079847599,,,Kapellenweg,residential,,False,True,58.263000000000005,"LINESTRING (12.4034527 48.9983537, 12.4036856 48.9988028, 12.4036902 48.9988523)",,,
115248904,,,Lerchenhaube,residential,,False,False,143.665,"LINESTRING (12.3994902 49.0018528, 12.3994004 49.001767, 12.3992474 49.0016016, 12.399109 49.0015176, 12.3990062 49.0014876, 12.3988798 49.0014631, 12.3987616 49.0014528, 12.3986276 49.0014502, 12.3982311 49.0014655, 12.3977995 49.0014839)",,,
117334351,,,Lerchenhaube,residential,,False,False,120.63999999999999,"LINESTRING (12.3994902 49.0018528, 12.3995228 49.0017805, 12.3995462 49.0017091, 12.3995556 49.0016125, 12.3995265 49.0014981, 12.3994782 49.0013987, 12.3993933 49.0012859, 12.3993223 49.0012212, 12.3992387 49.0011634, 12.3991178 49.0011091, 12.3990453 49.0010696, 12.3989846 49.0010032, 12.3989649 49.0009575, 12.3989625 49.0009062)",,,
"[24188744, 117334351]",,,Lerchenhaube,residential,,False,True,124.268,"LINESTRING (12.3994902 49.0018528, 12.3994568 49.0019154, 12.3992644 49.0021834, 12.3992016 49.0024879, 12.3991777 49.0026103, 12.3991807 49.0027427, 12.3992349 49.0028217, 12.3993253 49.0029087)",,,
