osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,tunnel
4645416,True,,Neuturmstraße,residential,30,False,76.878,"LINESTRING (11.5811 48.1376213, 11.5809048 48.1369423)",,
93833576,True,,Neuturmstraße,residential,30,False,77.536,"LINESTRING (11.5811 48.1376213, 11.5811352 48.1380397, 11.5811389 48.1380836, 11.5811166 48.1383174)",,
3926024,False,,Hochbrückenstraße,residential,30,False,17.535,"LINESTRING (11.580683 48.1368879, 11.5809048 48.1369423)",,
3926024,False,,Hochbrückenstraße,residential,30,True,64.375,"LINESTRING (11.580683 48.1368879, 11.5805076 48.1368092, 11.5801124 48.1365822, 11.5799869 48.1365495)",,
4564466,False,,Marienstraße,residential,30,False,117.786,"LINESTRING (11.580683 48.1368879, 11.5807823 48.1367017, 11.5808829 48.136582, 11.580982 48.1365106, 11.581025 48.1364818, 11.5810799 48.136447, 11.5816703 48.1360838)",,
"[143652213, 143652215]",True,,"['Bräuhausstraße', 'Münzstraße']",residential,30,False,191.027,"LINESTRING (11.580683 48.1368879, 11.580638 48.1369554, 11.5804346 48.1371295, 11.5803247 48.1372034, 11.5795937 48.1375977, 11.5786383 48.1378665)",,
24061194,True,,Hochbrückenstraße,residential,30,False,82.549,"LINESTRING (11.5814249 48.136925, 11.5816693 48.1371289, 11.5818902 48.1373096, 11.582008 48.1374059, 11.5821032 48.1375121)",6,
4645410,True,,Hildegardstraße,residential,30,False,35.67,"LINESTRING (11.5815748 48.1375712, 11.5811 48.1376213)",,
38332819,False,2,Maximilianstraße,residential,50,True,34.4,"LINESTRING (11.5817287 48.1387829, 11.5812827 48.1388673)",,
4645411,True,,Falckenbergstraße,residential,30,False,135.327,"LINESTRING (11.5817287 48.1387829, 11.5817264 48.1387681, 11.5817311 48.1387113, 11.5816842 48.1384482, 11.5816347 48.1381706, 11.5816205 48.1380286, 11.581599 48.1378134, 11.5815748 48.1375712)",,
"[163316371, 137269175]",False,2,Oberanger,residential,50,False,152.29,"LINESTRING (11.5716559 48.1351309, 11.5717871 48.1351816, 11.5718763 48.1352111, 11.5719629 48.1352308, 11.5719961 48.1352377, 11.5721068 48.1352556, 11.5722316 48.1352733, 11.5722447 48.1352755, 11.5722805 48.1352814, 11.5724171 48.135304, 11.5725102 48.1353274, 11.5726188 48.1353716, 11.5726886 48.1354, 11.5727785 48.1354446, 11.5728736 48.1354897, 11.573097 48.1355951, 11.5732811 48.1356858, 11.5734454 48.1357649)",,
163316371,False,2,Oberanger,residential,50,True,156.20100000000002,"LINESTRING (11.5716559 48.1351309, 11.57152 48.1350661, 11.5713853 48.1349994, 11.5712617 48.1349265, 11.5711423 48.1348525, 11.5710909 48.1348201, 11.5710111 48.134764, 11.5709555 48.134725, 11.5706648 48.1344906, 11.5704553 48.1343212, 11.5702771 48.1341722, 11.5702018 48.1341241)",,
172593386,False,,Hermann-Sack-Straße,residential,30,False,64.11699999999999,"LINESTRING (11.5716559 48.1351309, 11.5716042 48.1351789, 11.571152 48.1355993)",,
3927774,False,,Eisenmannstraße,residential,30,False,18.829,"LINESTRING (11.5690622 48.1375213, 11.5690808 48.1375711, 11.5691236 48.1376856)",,
143301065,True,,Altheimer Eck,residential,30,False,167.89099999999996,"LINESTRING (11.5690622 48.1375213, 11.5692 48.1374948, 11.569793 48.137364, 11.5699471 48.1373394, 11.5701027 48.1373146, 11.5701458 48.1373164, 11.5701936 48.1373359, 11.5703713 48.1374309, 11.5704672 48.1374486, 11.5706334 48.1374438, 11.5711688 48.1373768, 11.5712067 48.1373718)",,
257683431,False,,Färbergraben,residential,30,False,28.854,"LINESTRING (11.5713783 48.1372517, 11.5716333 48.1370558)",,
3927546,True,,Hotterstraße,residential,30,False,160.47000000000003,"LINESTRING (11.5713783 48.1372517, 11.5709364 48.1369581, 11.5706521 48.1367603, 11.5705616 48.1366973, 11.5704671 48.1366315, 11.5703247 48.1364711, 11.5702493 48.1363861, 11.5700608 48.1361256)",,
23374338,False,,Westenriederstraße,residential,30,False,140.082,"LINESTRING (11.581484 48.1350523, 11.5812696 48.1350311, 11.5806517 48.1349804, 11.5804424 48.1349752, 11.5802296 48.1350005, 11.5799271 48.1350323, 11.5796159 48.135071)",,
"[436996282, 26695828]",True,2,Tal,residential,"['50', '30']",False,29.391000000000005,"LINESTRING (11.581484 48.1350523, 11.5815137 48.1349733, 11.5815518 48.1349146, 11.5815841 48.1348649, 11.5816166 48.1348415, 11.581657 48.1348228)",,
"[72546417, 102604795]",True,1,Tal,residential,30,False,39.599,"LINESTRING (11.5818751 48.1353156, 11.5817696 48.1353311, 11.5816953 48.1353418, 11.5815324 48.1353619, 11.5813515 48.1353841)",,
3926687,False,,Klosterhofstraße,residential,30,False,87.619,"LINESTRING (11.5712108 48.1337332, 11.5711308 48.1337659, 11.5706727 48.133876, 11.5704152 48.13401, 11.5702989 48.1340722, 11.5702018 48.1341241)",,
30750675,False,2,Sparkassenstraße,residential,30,True,55.351,"LINESTRING (11.5786383 48.1378665, 11.5782984 48.1374234)",6,
30750675,False,2,Sparkassenstraße,residential,30,False,71.826,"LINESTRING (11.5786383 48.1378665, 11.5786815 48.1379283, 11.5790727 48.1384437)",6,
120333567,False,2,Maximilianstraße,residential,50,False,17.645,"LINESTRING (11.5799449 48.1391224, 11.580174 48.1390799)",,
3812984,False,2,Maximilianstraße,residential,50,True,82.071,"LINESTRING (11.5799449 48.1391224, 11.5793781 48.1392301, 11.578882 48.1393265)",,
"[3792252, 1080327301]",False,2,Falkenturmstraße,residential,30,False,43.05,"LINESTRING (11.5799449 48.1391224, 11.5799342 48.1391096, 11.579884 48.1390507, 11.5796596 48.1387853)",,
