osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,access,junction
231226556,Hauskoppelberg,residential,False,True,119.235,"LINESTRING (10.4043358 53.6086473, 10.4042745 53.6086676, 10.4039288 53.6087822, 10.4037274 53.6088849, 10.403572 53.6090023, 10.4034014 53.6091522, 10.4032599 53.6092415, 10.4030295 53.6093668)",,30,,,
25721359,Anne-Frank-Straße,living_street,False,True,116.625,"LINESTRING (10.4002339 53.6075424, 10.3993314 53.60762, 10.3985055 53.6077531)",,,,,
162614792,Helmut-Ahrens-Straße,residential,False,True,44.013999999999996,"LINESTRING (10.4002339 53.6075424, 10.4002967 53.6078475, 10.4003148 53.6079353)",,30,,,
25721358,Peter-Fechter-Straße,residential,False,True,45.559,"LINESTRING (10.3985055 53.6077531, 10.3986867 53.6080653, 10.3987303 53.6081405)",,,,,
25721359,Anne-Frank-Straße,living_street,False,False,116.625,"LINESTRING (10.3985055 53.6077531, 10.3993314 53.60762, 10.4002339 53.6075424)",,,,,
25728473,Hauskoppelberg,residential,False,False,15.621,"LINESTRING (10.4042792 53.6083123, 10.404074 53.6083824)",,30,,,
25728473,Hauskoppelberg,residential,False,True,71.652,"LINESTRING (10.4042792 53.6083123, 10.4052306 53.6080015)",,30,,,
231226556,Hauskoppelberg,residential,False,True,50.758,"LINESTRING (10.4042792 53.6083123, 10.4045473 53.6085866, 10.4043358 53.6086473)",,30,,,
"[25832648, 892479617, 892479618, 25728999]",Kirchenstraße,residential,False,False,282.44300000000004,"LINESTRING (10.4047893 53.6110503, 10.4052922 53.6111935, 10.4057239 53.6113161, 10.4061049 53.6114165, 10.4064103 53.6113636, 10.4067283 53.6112853, 10.4071069 53.611331, 10.40748 53.6113779, 10.4080407 53.6117635, 10.4081077 53.6118006, 10.4081712 53.6118323, 10.4082365 53.611872, 10.4083158 53.611947, 10.408409 53.6119939)",,,,,
159170778,Kirchenstraße,secondary,False,False,27.252000000000002,"LINESTRING (10.4047893 53.6110503, 10.4046512 53.6111596, 10.4045476 53.611249)",L 93,50,,,
159170778,Kirchenstraße,secondary,False,True,221.55100000000002,"LINESTRING (10.4047893 53.6110503, 10.4050302 53.6108816, 10.4053866 53.610632, 10.4055901 53.6105025, 10.4056992 53.610433, 10.405752 53.6104043, 10.4059744 53.6102836, 10.4060835 53.6102245, 10.4061879 53.6101678, 10.406555 53.6099686, 10.4067095 53.6098847, 10.40682 53.6098288, 10.4069481 53.6097671, 10.4071796 53.6096573)",L 93,50,,,
154843905,Kirchenstraße,secondary,False,False,123.447,"LINESTRING (10.4045476 53.611249, 10.4041833 53.6115937, 10.4041335 53.6116408, 10.4039156 53.6119784, 10.4038826 53.6120559, 10.4037973 53.6122559)",L 93,30,,,
159170778,Kirchenstraße,secondary,False,True,27.252000000000002,"LINESTRING (10.4045476 53.611249, 10.4046512 53.6111596, 10.4047893 53.6110503)",L 93,50,,,
"[162614803, 368694646]",Zum Riden,residential,False,"[False, True]",201.17,"LINESTRING (10.4045476 53.611249, 10.4039146 53.6109635, 10.4038784 53.6109473, 10.4033016 53.6106974, 10.402949 53.6105471, 10.4029 53.6104803, 10.4028887 53.6104121, 10.4029282 53.6102507, 10.4030204 53.6099306)",,30,,,
25729004,Zum Bugenhagenheim,residential,False,False,79.169,"LINESTRING (10.4037973 53.6122559, 10.4040508 53.612313, 10.4041946 53.612364, 10.4044287 53.612642, 10.404478 53.6127799)",,,,,
154843905,Kirchenstraße,secondary,False,False,138.098,"LINESTRING (10.4037973 53.6122559, 10.4037265 53.6124038, 10.4036215 53.6125104, 10.4031231 53.6128564, 10.4029173 53.6129939, 10.4027255 53.6131517, 10.4026434 53.6132735)",L 93,30,,,
154843905,Kirchenstraße,secondary,False,True,123.447,"LINESTRING (10.4037973 53.6122559, 10.4038826 53.6120559, 10.4039156 53.6119784, 10.4041335 53.6116408, 10.4041833 53.6115937, 10.4045476 53.611249)",L 93,30,,,
25729004,Zum Bugenhagenheim,residential,False,True,38.489000000000004,"LINESTRING (10.4045255 53.6131242, 10.4045019 53.6128468, 10.404478 53.6127799)",,,,,
"[25832648, 892479617, 892479618, 25728999]",Kirchenstraße,residential,False,True,282.443,"LINESTRING (10.408409 53.6119939, 10.4083158 53.611947, 10.4082365 53.611872, 10.4081712 53.6118323, 10.4081077 53.6118006, 10.4080407 53.6117635, 10.40748 53.6113779, 10.4071069 53.611331, 10.4067283 53.6112853, 10.4064103 53.6113636, 10.4061049 53.6114165, 10.4057239 53.6113161, 10.4052922 53.6111935, 10.4047893 53.6110503)",,,,,
"[1234912824, 159170785]",,secondary,True,False,16.183,"LINESTRING (10.4074479 53.6095289, 10.4074665 53.6095504, 10.4074761 53.6095738, 10.4074763 53.609598, 10.4074668 53.6096217, 10.4074481 53.6096434, 10.4074214 53.6096619)",,50,,,roundabout
159170778,Kirchenstraße,secondary,False,False,221.55100000000002,"LINESTRING (10.4071796 53.6096573, 10.4069481 53.6097671, 10.40682 53.6098288, 10.4067095 53.6098847, 10.406555 53.6099686, 10.4061879 53.6101678, 10.4060835 53.6102245, 10.4059744 53.6102836, 10.405752 53.6104043, 10.4056992 53.610433, 10.4055901 53.6105025, 10.4053866 53.610632, 10.4050302 53.6108816, 10.4047893 53.6110503)",L 93,50,,,
1234912822,,secondary,True,False,19.641000000000002,"LINESTRING (10.4071796 53.6096573, 10.4071463 53.609628, 10.4071319 53.6095937, 10.4071378 53.6095586, 10.4071635 53.6095267, 10.4072059 53.6095019)",,50,,,roundabout
4325268,Alter Markt,living_street,False,False,208.76899999999998,"LINESTRING (10.4026329 53.6138644, 10.4024804 53.6138793, 10.4022142 53.6139328, 10.4018527 53.6140636, 10.4016901 53.6141774, 10.4015161 53.6144684, 10.4013757 53.6146849, 10.4012348 53.6146701, 10.4008196 53.6146552, 10.4002366 53.6146367)",,,,,
159170744,Bahnhofstraße,secondary,False,True,65.96600000000001,"LINESTRING (10.4026329 53.6138644, 10.4026007 53.6134398, 10.4026434 53.6132735)",L 93,30,,,
159170749,Bahnhofstraße,secondary,False,True,194.276,"LINESTRING (10.4026329 53.6138644, 10.4026437 53.6142248, 10.4026447 53.6142594, 10.4026488 53.6143958, 10.4026608 53.6148002, 10.4026674 53.615021, 10.4026736 53.6152611, 10.4026847 53.6156113)",L 93,30,,,
162614790,Hauskoppelberg,residential,False,False,138.32699999999997,"LINESTRING (10.4025724 53.6080073, 10.402596 53.6080995, 10.4025598 53.6081735, 10.4023732 53.6082716, 10.4022436 53.6083696, 10.4020399 53.6086872, 10.4019558 53.6088682, 10.4019395 53.6089547, 10.4019913 53.6090461, 10.4020624 53.6091258)",,30,,,
162614790,Hauskoppelberg,residential,False,True,33.154,"LINESTRING (10.4025724 53.6080073, 10.4024919 53.6078819, 10.4024066 53.6077898, 10.4023561 53.6077391)",,30,,,
221342158,Zum Bugenhagenheim,residential,False,True,104.79899999999999,"LINESTRING (10.4051534 53.6131765, 10.4052767 53.6127724, 10.4052472 53.6127151, 10.4051802 53.6126944, 10.4049012 53.6127087, 10.404478 53.6127799)",,,,,
25729004,Zum Bugenhagenheim,residential,False,False,38.489000000000004,"LINESTRING (10.404478 53.6127799, 10.4045019 53.6128468, 10.4045255 53.6131242)",,,,,
25729004,Zum Bugenhagenheim,residential,False,True,79.16900000000001,"LINESTRING (10.404478 53.6127799, 10.4044287 53.612642, 10.4041946 53.612364, 10.4040508 53.612313, 10.4037973 53.6122559)",,,,,
221342158,Zum Bugenhagenheim,residential,False,False,104.79899999999999,"LINESTRING (10.404478 53.6127799, 10.4049012 53.6127087, 10.4051802 53.6126944, 10.4052472 53.6127151, 10.4052767 53.6127724, 10.4051534 53.6131765)",,,,,
25721357,Rodelberg,living_street,False,True,154.06999999999996,"LINESTRING (10.3989367 53.6085035, 10.3990382 53.6085729, 10.3991531 53.608597, 10.3992714 53.6086012, 10.3994008 53.6085909, 10.3996162 53.6085412, 10.3997963 53.6085296, 10.399962 53.6085469, 10.4002069 53.6084715, 10.4002801 53.6084198, 10.4003581 53.6083327, 10.4003694 53.6082513, 10.4003271 53.6079894, 10.4003148 53.6079353)",,,,,
231226557,Rosenaustieg,living_street,False,True,92.671,"LINESTRING (10.4007243 53.6089644, 10.4014069 53.6096928)",,,,,
231226554,Bestmannweg,residential,False,False,76.453,"LINESTRING (10.4020624 53.6091258, 10.4014069 53.6096928)",,,,,
162614790,Hauskoppelberg,residential,False,False,69.573,"LINESTRING (10.4020624 53.6091258, 10.4028591 53.6092988, 10.4029772 53.6093396, 10.4030295 53.6093668)",,30,,,
162614790,Hauskoppelberg,residential,False,True,138.327,"LINESTRING (10.4020624 53.6091258, 10.4019913 53.6090461, 10.4019395 53.6089547, 10.4019558 53.6088682, 10.4020399 53.6086872, 10.4022436 53.6083696, 10.4023732 53.6082716, 10.4025598 53.6081735, 10.402596 53.6080995, 10.4025724 53.6080073)",,30,,,
162614790,Hauskoppelberg,residential,False,True,69.57300000000001,"LINESTRING (10.4030295 53.6093668, 10.4029772 53.6093396, 10.4028591 53.6092988, 10.4020624 53.6091258)",,30,,,
231226556,Hauskoppelberg,residential,False,False,119.235,"LINESTRING (10.4030295 53.6093668, 10.4032599 53.6092415, 10.4034014 53.6091522, 10.403572 53.6090023, 10.4037274 53.6088849, 10.4039288 53.6087822, 10.4042745 53.6086676, 10.4043358 53.6086473)",,30,,,
368694646,Zum Riden,residential,False,False,63.919,"LINESTRING (10.4030295 53.6093668, 10.403064 53.6094214, 10.4030845 53.6094828, 10.4031057 53.6095713, 10.4031127 53.6096403, 10.4030204 53.6099306)",,30,,,
231226554,Bestmannweg,residential,False,True,76.453,"LINESTRING (10.4014069 53.6096928, 10.4020624 53.6091258)",,,,,
231226557,Rosenaustieg,living_street,False,False,92.671,"LINESTRING (10.4014069 53.6096928, 10.4007243 53.6089644)",,,,,
231226554,Bestmannweg,residential,False,False,52.342,"LINESTRING (10.4014069 53.6096928, 10.4011533 53.6099268, 10.4009669 53.6100844)",,,,,
231226564,Scharnbergstieg,living_street,False,True,106.492,"LINESTRING (10.4014069 53.6096928, 10.4017619 53.6100218, 10.401888 53.6101529, 10.4019928 53.6102505, 10.4021027 53.6103528, 10.401837 53.6104378)",,,,,
231226564,Scharnbergstieg,living_street,False,False,106.492,"LINESTRING (10.401837 53.6104378, 10.4021027 53.6103528, 10.4019928 53.6102505, 10.401888 53.6101529, 10.4017619 53.6100218, 10.4014069 53.6096928)",,,,,
231226554,Bestmannweg,residential,False,False,16.076999999999998,"LINESTRING (10.4009669 53.6100844, 10.400936 53.6101352, 10.40095 53.6102254)",,,,,
231226554,Bestmannweg,residential,False,True,52.342,"LINESTRING (10.4009669 53.6100844, 10.4011533 53.6099268, 10.4014069 53.6096928)",,,,,
366393187,Steenfadtberg,living_street,False,False,138.332,"LINESTRING (10.4009669 53.6100844, 10.4004971 53.6099229, 10.4001082 53.6097702, 10.3998968 53.6096965, 10.3997726 53.6096639, 10.3996033 53.6096372, 10.3993935 53.6096061, 10.3991894 53.6095948, 10.3991059 53.6096374)",,,,,
231226554,Bestmannweg,residential,False,True,16.076999999999998,"LINESTRING (10.40095 53.6102254, 10.400936 53.6101352, 10.4009669 53.6100844)",,,,,
366393187,Steenfadtberg,living_street,False,True,138.332,"LINESTRING (10.3991059 53.6096374, 10.3991894 53.6095948, 10.3993935 53.6096061, 10.3996033 53.6096372, 10.3997726 53.6096639, 10.3998968 53.6096965, 10.4001082 53.6097702, 10.4004971 53.6099229, 10.4009669 53.6100844)",,,,,
25728473,Hauskoppelberg,residential,False,False,71.652,"LINESTRING (10.4052306 53.6080015, 10.4042792 53.6083123)",,30,,,
25728473,Hauskoppelberg,residential,False,True,80.09100000000001,"LINESTRING (10.4052306 53.6080015, 10.4061019 53.6077168, 10.4062907 53.6076506)",,30,,,
368694643,Hinter den Höfen,living_street,False,True,144.815,"LINESTRING (10.4049475 53.6095735, 10.404578 53.6097712, 10.40425 53.6099481, 10.4041302 53.6099848, 10.4039964 53.6099997, 10.403846 53.6099891, 10.4036458 53.6099755, 10.4032252 53.6099389, 10.4030204 53.6099306)",,,,,
368694643,Hinter den Höfen,living_street,False,False,144.815,"LINESTRING (10.4030204 53.6099306, 10.4032252 53.6099389, 10.4036458 53.6099755, 10.403846 53.6099891, 10.4039964 53.6099997, 10.4041302 53.6099848, 10.40425 53.6099481, 10.404578 53.6097712, 10.4049475 53.6095735)",,,,,
"[162614803, 368694646]",Zum Riden,residential,False,"[False, True]",201.17000000000002,"LINESTRING (10.4030204 53.6099306, 10.4029282 53.6102507, 10.4028887 53.6104121, 10.4029 53.6104803, 10.402949 53.6105471, 10.4033016 53.6106974, 10.4038784 53.6109473, 10.4039146 53.6109635, 10.4045476 53.611249)",,30,,,
368694646,Zum Riden,residential,False,True,63.919,"LINESTRING (10.4030204 53.6099306, 10.4031127 53.6096403, 10.4031057 53.6095713, 10.4030845 53.6094828, 10.403064 53.6094214, 10.4030295 53.6093668)",,30,,,
658250800,Wanderweg,living_street,False,False,70.012,"LINESTRING (10.4003245 53.6106365, 10.3995413 53.6110614)",,,2,yes,
"[25713677, 4619735]",Ziegelbergweg,unclassified,False,False,187.264,"LINESTRING (10.4003149 53.6118691, 10.3998793 53.611745, 10.3990104 53.6114902, 10.3984096 53.611275, 10.3982342 53.6112121, 10.3978403 53.6110499)",,,,,
4619735,Ziegelbergweg,unclassified,False,True,228.57399999999996,"LINESTRING (10.4003149 53.6118691, 10.4003807 53.6118878, 10.4006438 53.6119451, 10.4009563 53.6120664, 10.4012 53.6123011, 10.4014433 53.6126371, 10.401675 53.612892, 10.401827 53.6129743, 10.4018971 53.6130123, 10.4019531 53.6130426, 10.4024165 53.6131932, 10.4026434 53.6132735)",,,,,
658250803,Furtbektal,living_street,False,True,133.319,"LINESTRING (10.4003149 53.6118691, 10.4004379 53.611726, 10.4006409 53.6115244, 10.4005547 53.6114603, 10.3995413 53.6110614)",,,2,yes,
658250800,Wanderweg,living_street,False,True,70.012,"LINESTRING (10.3995413 53.6110614, 10.4003245 53.6106365)",,,2,yes,
658250803,Furtbektal,living_street,False,False,133.319,"LINESTRING (10.3995413 53.6110614, 10.4005547 53.6114603, 10.4006409 53.6115244, 10.4004379 53.611726, 10.4003149 53.6118691)",,,2,yes,
"[658250801, 658250803]",Furtbektal,living_street,False,True,159.326,"LINESTRING (10.3995413 53.6110614, 10.3983806 53.61057, 10.3982868 53.6105963, 10.3978921 53.6110019, 10.3978403 53.6110499)",,,2,yes,
625792306,Großenseer Straße,secondary,True,False,44.59700000000001,"LINESTRING (10.3969779 53.6153561, 10.3969886 53.6153259, 10.397011 53.615298, 10.3970439 53.6152742, 10.3970856 53.6152557, 10.3971334 53.6152437, 10.3971848 53.6152388, 10.3972366 53.6152414, 10.3972859 53.6152512, 10.3973298 53.6152677, 10.3973657 53.61529, 10.3973916 53.6153168, 10.397406 53.6153464, 10.3974077 53.6153773)",L 93,50,1,,roundabout
"[781605568, 159170772, 625792303]",Großenseer Straße,secondary,False,True,349.219,"LINESTRING (10.3974077 53.6153773, 10.3978382 53.6154094, 10.3980726 53.6154187, 10.3993641 53.6154812, 10.3994997 53.6154878, 10.4001203 53.6155129, 10.4002255 53.6155176, 10.400527 53.6155298, 10.4018659 53.615602, 10.402038 53.6156087, 10.4023442 53.6156161, 10.4026847 53.6156113)",L 93,50,,,
781751664,Großenseer Straße,secondary,True,False,44.589999999999996,"LINESTRING (10.3974077 53.6153773, 10.3973975 53.6154071, 10.3973756 53.6154346, 10.3973434 53.6154583, 10.3973027 53.6154768, 10.3972558 53.6154891, 10.3972053 53.6154945, 10.3971541 53.6154926, 10.3971051 53.6154836, 10.3970596 53.6154673, 10.3970221 53.615445, 10.3969951 53.6154178, 10.39698 53.6153876, 10.3969779 53.6153561)",L 93,50,1,,roundabout
