osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,access
34217060,,,Demetriusstraße,residential,,False,True,33.495000000000005,"LINESTRING (8.3447333 47.8843468, 8.3445537 47.8844427, 8.3444678 47.8845159, 8.344423 47.8845609)",,,
34930227,,,Demetriusstraße,residential,,False,True,85.68,"LINESTRING (8.3447333 47.8843468, 8.3445965 47.8843199, 8.3444731 47.8842875, 8.3443498 47.8842533, 8.3441566 47.884167, 8.3439984 47.8840572, 8.343801 47.8839234)",,,
34217060,,,Demetriusstraße,residential,,False,True,38.14,"LINESTRING (8.3450954 47.884116, 8.3450499 47.8841837, 8.3449881 47.8842267, 8.3448758 47.8842846, 8.3447333 47.8843468)",,,
144672623,,,Rathausplatz,residential,,False,True,37.104,"LINESTRING (8.3450954 47.884116, 8.3450684 47.8840391, 8.3450249 47.8839749, 8.344962 47.8838993, 8.3449262 47.8838639, 8.3448648 47.8838277)",,,
161081626,2,L 170,Rathausplatz,secondary,30,False,True,91.667,"LINESTRING (8.3450954 47.884116, 8.3449155 47.8840667, 8.3446441 47.8840193, 8.3443031 47.8839577, 8.3441811 47.8839342, 8.3441092 47.8839148, 8.3440259 47.8838773, 8.3439655 47.8838268)",,,
"[161081631, 1153058351]",2,L 170,"['Rathausplatz', 'Obere Hauptstraße']",secondary,30,False,False,33.17,"LINESTRING (8.3450954 47.884116, 8.3451581 47.8841405, 8.3452176 47.8841795, 8.3453906 47.8843348)",,,
34210797,,,Fürstenbergstraße,residential,30,False,True,80.44699999999999,"LINESTRING (8.3505978 47.886482, 8.3506125 47.8865407, 8.3506651 47.8865939, 8.3508145 47.8867229, 8.3507891 47.8868144, 8.350668 47.8868815, 8.3505059 47.8869159, 8.3503245 47.8869417)",,,
34217061,,,Alemannenstraße,residential,,False,False,194.97699999999998,"LINESTRING (8.3505978 47.886482, 8.3504942 47.8864812, 8.3503975 47.8864813, 8.3502588 47.8864794, 8.3500611 47.8864323, 8.3498667 47.8863661, 8.3496737 47.8862899, 8.3495381 47.8862374, 8.3495121 47.8862253, 8.349393 47.8861588, 8.3491008 47.8859793, 8.3486315 47.8856865, 8.3484636 47.8855683)",,,
34217061,,,Alemannenstraße,residential,,False,True,21.639000000000003,"LINESTRING (8.3505978 47.886482, 8.3506706 47.8864134, 8.3507422 47.8863625, 8.3507836 47.8863331)",,,
34217061,,,Alemannenstraße,residential,,False,False,445.253,"LINESTRING (8.3484636 47.8855683, 8.3483549 47.8855321, 8.3482257 47.8854236, 8.3480563 47.885284, 8.3479425 47.8852102, 8.3478235 47.8851545, 8.3476266 47.8850974, 8.3475023 47.8850686, 8.3471138 47.8849934, 8.3469339 47.8849745, 8.3468061 47.8849831, 8.3467722 47.8849845, 8.3466689 47.8849994, 8.3465349 47.8850178, 8.3463767 47.8850443, 8.3461834 47.8850788, 8.3459647 47.885119, 8.3458546 47.8851352, 8.3457536 47.8851501, 8.3455497 47.8851753, 8.3453233 47.8852357, 8.3450872 47.885351, 8.3448845 47.8854591, 8.3447324 47.885535, 8.3446154 47.8856069, 8.3445442 47.8856392, 8.3444471 47.8857008, 8.3443056 47.8858009, 8.3441884 47.8858942, 8.3440782 47.8859917, 8.3439347 47.8861281, 8.3437973 47.8863022, 8.3437402 47.8863715, 8.3436957 47.8864256, 8.3436786 47.8864458)",,,
