osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,tunnel
"[986149396, 4644365]",,Brünnsteinstraße,"['residential', 'living_street']",30,False,False,212.97500000000002,"LINESTRING (11.7691296 48.1055366, 11.7691715 48.1056098, 11.7691823 48.1056287, 11.7692846 48.105838, 11.7693031 48.1058758, 11.7695481 48.1063862, 11.7696706 48.1066414, 11.7700148 48.1073583)",,,
492694565,,Wendelsteinstraße,residential,30,False,False,87.02199999999999,"LINESTRING (11.7691296 48.1055366, 11.7692837 48.1054629, 11.7696592 48.1052972, 11.7699083 48.1052022, 11.7701229 48.1051226)",,,
"[976554896, 976554895]",,Ramsauer Weg,living_street,,False,False,57.964999999999996,"LINESTRING (11.7700148 48.1073583, 11.7701079 48.1073243, 11.7705927 48.1071471, 11.7706607 48.1071435, 11.7707142 48.1071407)",,,
"[976554896, 976554924, 4644366]",,Ramsauer Weg,"['living_street', 'residential']",30,False,True,44.915,"LINESTRING (11.7700148 48.1073583, 11.769932 48.1073908, 11.7696225 48.1075124, 11.7696001 48.1075212, 11.7694934 48.1075631)",,,
"[986149396, 4644365]",,Brünnsteinstraße,"['living_street', 'residential']",30,False,True,212.97499999999997,"LINESTRING (11.7700148 48.1073583, 11.7696706 48.1066414, 11.7695481 48.1063862, 11.7693031 48.1058758, 11.7692846 48.105838, 11.7691823 48.1056287, 11.7691715 48.1056098, 11.7691296 48.1055366)",,,
1120787233,,Bahnhofstraße,residential,30,False,False,17.172,"LINESTRING (11.7694934 48.1075631, 11.7696454 48.1076795)",6,,
1120787233,,Bahnhofstraße,residential,30,False,True,61.114,"LINESTRING (11.7694934 48.1075631, 11.7689424 48.1071548)",6,,
"[976554896, 976554924, 4644366]",,Ramsauer Weg,"['residential', 'living_street']",30,False,False,44.915,"LINESTRING (11.7694934 48.1075631, 11.7696001 48.1075212, 11.7696225 48.1075124, 11.769932 48.1073908, 11.7700148 48.1073583)",,,
4644367,,Wachtelweg,residential,30,False,True,59.503,"LINESTRING (11.7666443 48.10863, 11.766913 48.1084897, 11.7672393 48.1082729)",,,
4644371,2,Fasanenstraße,residential,30,False,True,104.19300000000001,"LINESTRING (11.7666443 48.10863, 11.7666124 48.1086202, 11.7665497 48.1086139, 11.7661815 48.1086097, 11.765884 48.1086056, 11.7658217 48.1085992, 11.7657801 48.1085899, 11.76573 48.1085736, 11.7653566 48.1083761)",,,
1120787298,2,Fasanenstraße,residential,30,False,False,114.36699999999999,"LINESTRING (11.7666443 48.10863, 11.7669411 48.108782, 11.7670558 48.1088421, 11.7674824 48.1090656, 11.7678065 48.1092353, 11.7678554 48.1092653)",,,
4644371,2,Fasanenstraße,residential,30,False,False,67.989,"LINESTRING (11.7646509 48.1079872, 11.7647157 48.1080145, 11.7650615 48.1082119, 11.7653566 48.1083761)",,,
"[975560089, 25028225]",,Birkhahnweg,residential,30,False,False,50.832,"LINESTRING (11.7646509 48.1079872, 11.7646909 48.1079496, 11.7647133 48.1079316, 11.7649653 48.1077297, 11.7651132 48.1076534)","['4.3', '4.2']",,
4648244,,Dompfaffweg,residential,30,False,True,170.471,"LINESTRING (11.7650933 48.1064953, 11.7657652 48.1060165, 11.7662473 48.1056166, 11.7665779 48.105379, 11.7666179 48.1053503)",,,
