osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,ref,bridge,width,junction
"[407517297, 23088491, 407525739]",False,Bahnhofstraße,residential,True,250.858,"['50', '30']","LINESTRING (8.7758505 47.8575517, 8.7757921 47.8575464, 8.7757543 47.8575433, 8.7756034 47.8575306, 8.7753182 47.8573684, 8.7752771 47.857345, 8.7750584 47.8572104, 8.7749227 47.8571268, 8.7747431 47.8570163, 8.7745655 47.8569026, 8.7744651 47.856845, 8.7743543 47.8567839, 8.7740765 47.8566133, 8.7736423 47.8563639, 8.7734989 47.8562798, 8.7734349 47.8562443, 8.773388 47.8562182, 8.7733489 47.8561964, 8.773267 47.8561509)",,,,,
407446890,False,Aacher Straße,primary,False,33.918,30,"LINESTRING (8.7758505 47.8575517, 8.775869 47.8574981, 8.7759143 47.8574523, 8.7759938 47.8574083, 8.7761722 47.8573693)",2,B 491,,,
148347907,False,Zum Franzosenwäldle,residential,False,14.437,30,"LINESTRING (8.764591 47.8548263, 8.7644058 47.8548639)",,,,,
24986387,False,Maierhalde,residential,False,142.79500000000002,30,"LINESTRING (8.764591 47.8548263, 8.764618 47.8548834, 8.7647067 47.8549912, 8.7648116 47.8550919, 8.7653974 47.8554874, 8.7658674 47.8557658)",,,,,
109725590,False,Maierhalde,residential,True,181.648,30,"LINESTRING (8.764591 47.8548263, 8.7646269 47.8547469, 8.7647326 47.8546131, 8.764914 47.8543277, 8.7650269 47.8541123, 8.7651944 47.8537689, 8.7653083 47.8534808, 8.7653822 47.8534061, 8.7654905 47.8533215)",,,,,
24855323,False,Am Schranken,residential,True,76.568,30,"LINESTRING (8.7742405 47.8545511, 8.7738077 47.854597, 8.7736875 47.8546126, 8.7735092 47.8546183, 8.7734306 47.8546029, 8.7732336 47.8545644)",,,,,
24855325,False,Am Schranken,residential,True,109.864,30,"LINESTRING (8.7742405 47.8545511, 8.7742028 47.8544737, 8.7741213 47.854409, 8.7740089 47.8543555, 8.7737846 47.8542941, 8.7735133 47.8542197, 8.7732137 47.8541524, 8.7729835 47.8541183)",,,,,
"[24861258, 1091084949]",False,"['Jahnstraße', 'Am Schranken']",residential,False,175.11599999999999,30,"LINESTRING (8.7742405 47.8545511, 8.7746251 47.8545317, 8.7748684 47.8545219, 8.775238 47.8544781, 8.7754675 47.8544355, 8.7755508 47.8544187, 8.775817 47.8543696, 8.7758974 47.854354, 8.7761405 47.8543068, 8.7763612 47.8542653, 8.776533 47.8542427)",,,,,
24855323,False,Am Schranken,residential,False,63.462999999999994,30,"LINESTRING (8.7729835 47.8541183, 8.772914 47.8541428, 8.7728846 47.8541671, 8.7728651 47.8541958, 8.7728794 47.8542449, 8.7729306 47.8543179, 8.7730197 47.8544178, 8.7731377 47.8545226, 8.7732336 47.8545644)",,,,,
24855325,False,Am Schranken,residential,False,109.864,30,"LINESTRING (8.7729835 47.8541183, 8.7732137 47.8541524, 8.7735133 47.8542197, 8.7737846 47.8542941, 8.7740089 47.8543555, 8.7741213 47.854409, 8.7742028 47.8544737, 8.7742405 47.8545511)",,,,,
104124217,False,Am Maxenbuck,residential,True,490.496,30,"LINESTRING (8.7729835 47.8541183, 8.7729908 47.8538792, 8.772994 47.8537898, 8.7729707 47.8537392, 8.7728998 47.85368, 8.7724986 47.8533664, 8.772454 47.8533223, 8.7723476 47.8532172, 8.7723103 47.8531804, 8.7722839 47.8531544, 8.7721083 47.8530047, 8.7720962 47.8529944, 8.7720564 47.8529545, 8.7720533 47.8529514, 8.7720185 47.8529166, 8.7719904 47.8528884, 8.7719334 47.8528313, 8.7718767 47.8527593, 8.7718474 47.852702, 8.7718358 47.8526688, 8.7718299 47.8526128, 8.7718372 47.8525787, 8.7718647 47.8525142, 8.7719851 47.8524034, 8.772067 47.8523124, 8.7720989 47.8522507, 8.7721044 47.85224, 8.7721053 47.8522298, 8.7721104 47.852175, 8.7720965 47.8521225, 8.7720907 47.8521008, 8.7719251 47.8519052, 8.7718583 47.851816, 8.7718481 47.8517981, 8.7718144 47.8517386, 8.7717888 47.851683, 8.7717689 47.851624, 8.7717555 47.8515414, 8.7717554 47.8514874, 8.771783 47.8514051, 8.7718727 47.8511383, 8.7718998 47.8509783, 8.7718968 47.850829, 8.7718893 47.8507129, 8.7718733 47.8506637, 8.7718227 47.8505605, 8.7717791 47.8504977, 8.7716627 47.8503435, 8.7716337 47.8503137, 8.7716004 47.8502734, 8.7714811 47.8501359)",,,,,
24867628,False,Peterstraße,living_street,False,168.984,,"LINESTRING (8.7714619 47.8530989, 8.7713961 47.8531253, 8.7713392 47.8531518, 8.7713237 47.8532049, 8.7713291 47.8532579, 8.7714163 47.8535404, 8.7714437 47.8536336, 8.7714495 47.8536533, 8.7714581 47.8536825, 8.77149 47.853791, 8.7715863 47.8539964, 8.7716967 47.8542862, 8.7716912 47.8543283, 8.7716655 47.8543587, 8.7716517 47.8543751, 8.7714528 47.8544636)",,,,,
"[51358168, 147044906, 103435926, 51358167]",False,Ballenbergstraße,residential,False,102.344,50,"LINESTRING (8.7703236 47.8549783, 8.7704395 47.8549513, 8.7706915 47.8548049, 8.7708129 47.8547469, 8.7708721 47.8547207, 8.7714528 47.8544636)",1,,yes,2.1,
"[1001164196, 71239404, 71239407, 114306238, 114306462]",False,Ballenbergstraße,residential,True,117.53,30,"LINESTRING (8.7703236 47.8549783, 8.7702028 47.855021, 8.7699551 47.8551604, 8.7698571 47.8552305, 8.7697905 47.8552939, 8.7697497 47.8553332, 8.7696388 47.8554345, 8.7696076 47.8554626, 8.7695202 47.855541, 8.7693262 47.8557755)",3,,yes,,
"[1001164201, 1001164202, 1001164203, 1001164199]",False,Hegaustraße,secondary,False,228.849,50,"LINESTRING (8.7703236 47.8549783, 8.7699176 47.8545641, 8.7697498 47.8543929, 8.76951 47.8541479, 8.769266 47.8539191, 8.7691708 47.8538089, 8.7688686 47.8534119, 8.7687572 47.8532159)","['2', '3']",L 191,,,
"[24882569, 1001164204]",False,Hegaustraße,secondary,True,193.785,50,"LINESTRING (8.7703236 47.8549783, 8.7706831 47.8552813, 8.7710868 47.8555774, 8.7711933 47.8556493, 8.7712085 47.8556595, 8.771306 47.8557307, 8.7713536 47.8557622, 8.771526 47.8558727, 8.7721299 47.8562248)","['2', '3']",L 191,,,
24867628,False,Peterstraße,living_street,True,168.984,,"LINESTRING (8.7714528 47.8544636, 8.7716517 47.8543751, 8.7716655 47.8543587, 8.7716912 47.8543283, 8.7716967 47.8542862, 8.7715863 47.8539964, 8.77149 47.853791, 8.7714581 47.8536825, 8.7714495 47.8536533, 8.7714437 47.8536336, 8.7714163 47.8535404, 8.7713291 47.8532579, 8.7713237 47.8532049, 8.7713392 47.8531518, 8.7713961 47.8531253, 8.7714619 47.8530989)",,,,,
"[114306280, 24882734, 103435823, 23809528, 114306237]",False,Schillerstraße,residential,False,254.767,"['50', '30']","LINESTRING (8.7714528 47.8544636, 8.7713426 47.8543998, 8.770933 47.8541627, 8.7708849 47.854134, 8.7706265 47.8539799, 8.7700809 47.8536538, 8.7698856 47.8535388, 8.7698103 47.8534957, 8.7697376 47.8534542, 8.769733 47.8534511, 8.7694916 47.8532888, 8.7693921 47.8532451, 8.7693433 47.8532256, 8.7692983 47.85321, 8.7691743 47.8531754, 8.7689062 47.853186, 8.7687572 47.8532159)",2,,yes,,
"[51358168, 147044906, 103435926, 51358167]",False,Ballenbergstraße,residential,True,102.344,50,"LINESTRING (8.7714528 47.8544636, 8.7708721 47.8547207, 8.7708129 47.8547469, 8.7706915 47.8548049, 8.7704395 47.8549513, 8.7703236 47.8549783)",1,,yes,2.1,
"[147044905, 147044916]",False,"['Schillerstraße', 'Bahnhofstraße']",residential,"[False, True]",103.842,30,"LINESTRING (8.7714528 47.8544636, 8.77183 47.8547025, 8.771843 47.854715, 8.7718925 47.8547626, 8.772082 47.8550275, 8.7721367 47.855104, 8.7721915 47.8551707, 8.7722478 47.8552143)",,,,,
24882569,False,Hegaustraße,secondary,False,185.702,50,"LINESTRING (8.7736394 47.8575155, 8.773611 47.8574382, 8.7734402 47.857195, 8.773246 47.8569735, 8.7731335 47.8568757, 8.7729201 47.8566903, 8.7725414 47.8564393, 8.7721299 47.8562248)",2,L 191,,,
923303279,True,,secondary,False,16.0,50,"LINESTRING (8.7736394 47.8575155, 8.7736919 47.8575172, 8.7737407 47.8575303, 8.7737804 47.8575534, 8.7738074 47.8575869)",1,,,,roundabout
24976662,False,Ballenbergstraße,residential,True,158.616,30,"LINESTRING (8.7693262 47.8557755, 8.7692575 47.8559187, 8.7692385 47.8559988, 8.7692147 47.856087, 8.7691863 47.8561712, 8.7691494 47.8562432, 8.7689805 47.8565749, 8.768892 47.8567362, 8.7688555 47.8567888, 8.7687487 47.8569559, 8.7686198 47.8571144)",,,,,
24986964,False,Hewenstraße,residential,True,197.977,30,"LINESTRING (8.7693262 47.8557755, 8.7693946 47.8558005, 8.7696044 47.855877, 8.769707 47.8559063, 8.7697904 47.8559301, 8.7699858 47.8559902, 8.7702016 47.8560556, 8.7702663 47.8560765, 8.7703263 47.8560941, 8.7703971 47.8561149, 8.7705339 47.8561551, 8.7705495 47.8561601, 8.770778 47.8562332, 8.7710398 47.8563246, 8.7711856 47.8563941, 8.7713413 47.8564684, 8.771649 47.856622)",,,,,
"[114306462, 1001164196, 71239404, 71239407, 114306238]",False,Ballenbergstraße,residential,False,117.52999999999999,30,"LINESTRING (8.7693262 47.8557755, 8.7695202 47.855541, 8.7696076 47.8554626, 8.7696388 47.8554345, 8.7697497 47.8553332, 8.7697905 47.8552939, 8.7698571 47.8552305, 8.7699551 47.8551604, 8.7702028 47.855021, 8.7703236 47.8549783)",3,,yes,,
"[71239420, 539736333]",False,Hewenstraße,residential,False,192.29200000000003,30,"LINESTRING (8.7693262 47.8557755, 8.7692744 47.8557563, 8.7689837 47.8556487, 8.7688759 47.8556058, 8.7686236 47.8554768, 8.768361 47.8553514, 8.7682892 47.8553107, 8.767802 47.855035, 8.7677693 47.8550165, 8.7676575 47.8549573, 8.7674965 47.854872, 8.7673701 47.854805, 8.7672588 47.8547497)",,,,,
"[1021897371, 24930628]",False,Seestraße,residential,True,454.57499999999993,30,"LINESTRING (8.7762641 47.8522761, 8.7761412 47.8522461, 8.7760703 47.8522413, 8.7752898 47.852188, 8.7747875 47.8521628, 8.7740703 47.8521302, 8.7737124 47.8520808, 8.7734625 47.8520095, 8.7733705 47.8519503, 8.7732662 47.8518747, 8.7731816 47.8517797, 8.773072 47.8516023, 8.7730268 47.8515115, 8.7729533 47.8513639, 8.7729337 47.8513245, 8.7729133 47.8512945, 8.7728944 47.8512669, 8.7728663 47.8512152, 8.7728325 47.8511622, 8.7726436 47.8507972, 8.7726306 47.8507708, 8.7727484 47.8501936, 8.7726957 47.8501055, 8.7726106 47.8499928)",,,,,
"[1056083368, 1056082132, 24932740, 1056083367]",False,Eduard-Presser-Straße,residential,True,140.83700000000002,30,"LINESTRING (8.7726106 47.8499928, 8.7725461 47.8498557, 8.7724362 47.8496972, 8.7723652 47.8495968, 8.7722343 47.8494117, 8.772186 47.8492997, 8.7721447 47.849204, 8.7721251 47.8490969, 8.7721112 47.8490207, 8.7720814 47.8487905)",,,,,
150037131,False,Vögtleshalde,residential,False,47.084,30,"LINESTRING (8.7726106 47.8499928, 8.7727998 47.8499727, 8.7730255 47.8499319, 8.7732261 47.8499014)",,,,,
150037131,False,Vögtleshalde,residential,True,87.46499999999997,30,"LINESTRING (8.7726106 47.8499928, 8.7723529 47.8500016, 8.7720955 47.8500048, 8.7720789 47.8500057, 8.7720506 47.8500072, 8.7719778 47.8500109, 8.7719209 47.8500137, 8.771791 47.8500308, 8.7717504 47.8500401, 8.7716741 47.8500598, 8.7715424 47.8501061, 8.7715131 47.8501182, 8.7714811 47.8501359)",,,,,
"[1021897371, 24930628]",False,Seestraße,residential,False,454.5749999999999,30,"LINESTRING (8.7726106 47.8499928, 8.7726957 47.8501055, 8.7727484 47.8501936, 8.7726306 47.8507708, 8.7726436 47.8507972, 8.7728325 47.8511622, 8.7728663 47.8512152, 8.7728944 47.8512669, 8.7729133 47.8512945, 8.7729337 47.8513245, 8.7729533 47.8513639, 8.7730268 47.8515115, 8.773072 47.8516023, 8.7731816 47.8517797, 8.7732662 47.8518747, 8.7733705 47.8519503, 8.7734625 47.8520095, 8.7737124 47.8520808, 8.7740703 47.8521302, 8.7747875 47.8521628, 8.7752898 47.852188, 8.7760703 47.8522413, 8.7761412 47.8522461, 8.7762641 47.8522761)",,,,,
147297432,False,Am Maxenbuck,residential,True,9.686,30,"LINESTRING (8.7714811 47.8501359, 8.7714277 47.8500565)",,,,,
104124217,False,Am Maxenbuck,residential,False,490.496,30,"LINESTRING (8.7714811 47.8501359, 8.7716004 47.8502734, 8.7716337 47.8503137, 8.7716627 47.8503435, 8.7717791 47.8504977, 8.7718227 47.8505605, 8.7718733 47.8506637, 8.7718893 47.8507129, 8.7718968 47.850829, 8.7718998 47.8509783, 8.7718727 47.8511383, 8.771783 47.8514051, 8.7717554 47.8514874, 8.7717555 47.8515414, 8.7717689 47.851624, 8.7717888 47.851683, 8.7718144 47.8517386, 8.7718481 47.8517981, 8.7718583 47.851816, 8.7719251 47.8519052, 8.7720907 47.8521008, 8.7720965 47.8521225, 8.7721104 47.852175, 8.7721053 47.8522298, 8.7721044 47.85224, 8.7720989 47.8522507, 8.772067 47.8523124, 8.7719851 47.8524034, 8.7718647 47.8525142, 8.7718372 47.8525787, 8.7718299 47.8526128, 8.7718358 47.8526688, 8.7718474 47.852702, 8.7718767 47.8527593, 8.7719334 47.8528313, 8.7719904 47.8528884, 8.7720185 47.8529166, 8.7720533 47.8529514, 8.7720564 47.8529545, 8.7720962 47.8529944, 8.7721083 47.8530047, 8.7722839 47.8531544, 8.7723103 47.8531804, 8.7723476 47.8532172, 8.772454 47.8533223, 8.7724986 47.8533664, 8.7728998 47.85368, 8.7729707 47.8537392, 8.772994 47.8537898, 8.7729908 47.8538792, 8.7729835 47.8541183)",,,,,
150037131,False,Vögtleshalde,residential,False,87.465,30,"LINESTRING (8.7714811 47.8501359, 8.7715131 47.8501182, 8.7715424 47.8501061, 8.7716741 47.8500598, 8.7717504 47.8500401, 8.771791 47.8500308, 8.7719209 47.8500137, 8.7719778 47.8500109, 8.7720506 47.8500072, 8.7720789 47.8500057, 8.7720955 47.8500048, 8.7723529 47.8500016, 8.7726106 47.8499928)",,,,,
24930635,False,Siedlung,residential,False,121.159,30,"LINESTRING (8.7732261 47.8499014, 8.7731707 47.8496511, 8.7731154 47.849375, 8.7730508 47.8491228, 8.7729856 47.8488239)",,,,,
147297595,False,Vögtleshalde,residential,False,134.20000000000002,30,"LINESTRING (8.7732261 47.8499014, 8.7732918 47.8499039, 8.7733615 47.8499222, 8.7734024 47.8499426, 8.7734579 47.8499819, 8.7736181 47.8501018, 8.7740279 47.8503944, 8.7743005 47.8505357, 8.7744756 47.8506094, 8.7746073 47.8506339)",,,,,
150037131,False,Vögtleshalde,residential,True,47.084,30,"LINESTRING (8.7732261 47.8499014, 8.7730255 47.8499319, 8.7727998 47.8499727, 8.7726106 47.8499928)",,,,,
24930635,False,Siedlung,residential,True,121.159,30,"LINESTRING (8.7729856 47.8488239, 8.7730508 47.8491228, 8.7731154 47.849375, 8.7731707 47.8496511, 8.7732261 47.8499014)",,,,,
24930650,False,Vögtleshalde,residential,False,75.90700000000001,30,"LINESTRING (8.7753959 47.8505678, 8.7758353 47.850493, 8.776079 47.8504515, 8.7761155 47.8504508, 8.7762711 47.8504479, 8.7763004 47.8504474, 8.7763914 47.8504457)",,,,,
147297595,False,Vögtleshalde,residential,True,59.754999999999995,30,"LINESTRING (8.7753959 47.8505678, 8.775183 47.8506018, 8.7748306 47.8506414, 8.7746425 47.8506405, 8.7746073 47.8506339)",,,,,
24930641,False,Hohenkrähenstraße,residential,False,183.20500000000004,30,"LINESTRING (8.7765372 47.8502668, 8.7763289 47.8501967, 8.7759255 47.8500784, 8.7759081 47.8500733, 8.775707 47.8500368, 8.7755265 47.8499865, 8.7753259 47.8499464, 8.77519 47.8499279, 8.7750191 47.8499023, 8.7748871 47.8498695, 8.7747492 47.8498172, 8.774706 47.849784, 8.7746508 47.8497234, 8.7746183 47.8496505, 8.7745989 47.8495769, 8.7745872 47.8495161, 8.7745838 47.8494831)",,,,,
24930643,False,Schorenstraße,residential,True,22.674,30,"LINESTRING (8.7765372 47.8502668, 8.776512 47.8502978, 8.7764175 47.8504136, 8.7764096 47.8504234, 8.7763914 47.8504457)",,,,,
24930641,False,Hohenkrähenstraße,residential,True,183.20499999999998,30,"LINESTRING (8.7745838 47.8494831, 8.7745872 47.8495161, 8.7745989 47.8495769, 8.7746183 47.8496505, 8.7746508 47.8497234, 8.774706 47.849784, 8.7747492 47.8498172, 8.7748871 47.8498695, 8.7750191 47.8499023, 8.77519 47.8499279, 8.7753259 47.8499464, 8.7755265 47.8499865, 8.775707 47.8500368, 8.7759081 47.8500733, 8.7759255 47.8500784, 8.7763289 47.8501967, 8.7765372 47.8502668)",,,,,
"[24932738, 1056080763]",False,Eduard-Presser-Straße,residential,False,78.33,30,"LINESTRING (8.7707082 47.8489783, 8.7708334 47.8489555, 8.7712562 47.8488707, 8.7717284 47.848818)",,,,,
"[147297432, 147297433]",False,Am Maxenbuck,residential,False,134.951,30,"LINESTRING (8.7707082 47.8489783, 8.7708237 47.8490394, 8.7708656 47.8490794, 8.7709051 47.8491252, 8.7711352 47.8494094, 8.7711462 47.849423, 8.7711996 47.8495008, 8.7712835 47.8496232, 8.7713904 47.8497699, 8.7713823 47.8499373, 8.7714277 47.8500565)",,,,,
"[147297433, 24847778, 111986443]",False,Am Maxenbuck,residential,True,41.260999999999996,30,"LINESTRING (8.7707082 47.8489783, 8.7706113 47.8489454, 8.7705169 47.8489252, 8.7702526 47.8488907, 8.7701787 47.8488788)",,,,,
1056080763,False,Eduard-Presser-Straße,residential,False,26.518,30,"LINESTRING (8.7717284 47.848818, 8.7720814 47.8487905)",,,,,
"[24932738, 1056080763]",False,Eduard-Presser-Straße,residential,True,78.33,30,"LINESTRING (8.7717284 47.848818, 8.7712562 47.8488707, 8.7708334 47.8489555, 8.7707082 47.8489783)",,,,,
149957855,False,,residential,True,21.544,30,"LINESTRING (8.7720814 47.8487905, 8.7723693 47.848776)",,,,,
1056080763,False,Eduard-Presser-Straße,residential,True,26.518,30,"LINESTRING (8.7720814 47.8487905, 8.7717284 47.848818)",,,,,
"[1056083368, 24932740, 1056082132, 1056083367]",False,Eduard-Presser-Straße,residential,False,140.837,30,"LINESTRING (8.7720814 47.8487905, 8.7721112 47.8490207, 8.7721251 47.8490969, 8.7721447 47.849204, 8.772186 47.8492997, 8.7722343 47.8494117, 8.7723652 47.8495968, 8.7724362 47.8496972, 8.7725461 47.8498557, 8.7726106 47.8499928)",,,,,
149957855,False,,residential,False,21.544,30,"LINESTRING (8.7723693 47.848776, 8.7720814 47.8487905)",,,,,
"[24861258, 1091084949]",False,"['Jahnstraße', 'Am Schranken']",residential,True,175.11599999999999,30,"LINESTRING (8.776533 47.8542427, 8.7763612 47.8542653, 8.7761405 47.8543068, 8.7758974 47.854354, 8.775817 47.8543696, 8.7755508 47.8544187, 8.7754675 47.8544355, 8.775238 47.8544781, 8.7748684 47.8545219, 8.7746251 47.8545317, 8.7742405 47.8545511)",,,,,
24975923,False,Im Hugenberg,residential,False,73.101,30,"LINESTRING (8.7649596 47.8505408, 8.7649429 47.8505624, 8.7649114 47.8506053, 8.7648943 47.8506286, 8.7645236 47.8510011, 8.7643979 47.8510738)",,,,,
"[103640265, 72500075, 78083374, 72500080, 1046351964]",False,"['Goethestraße', 'Sportplatzstraße']",residential,"[False, True]",428.92900000000003,30,"LINESTRING (8.7649596 47.8505408, 8.7651962 47.8505781, 8.7653246 47.8505887, 8.7655401 47.8506112, 8.7656589 47.8506323, 8.7659035 47.8506916, 8.7661231 47.8507837, 8.7663413 47.8509778, 8.7664163 47.8510793, 8.7666711 47.8514308, 8.7667856 47.8515953, 8.7667936 47.8516357, 8.7668043 47.8516894, 8.7668173 47.8517774, 8.7668288 47.8518946, 8.7668271 47.852061, 8.7668057 47.8521901, 8.7668049 47.8521952, 8.7667952 47.8522532, 8.7667854 47.8523122, 8.7667552 47.8524179, 8.7667328 47.8524722, 8.7666956 47.8525624, 8.7666716 47.8526034, 8.7666231 47.8526864, 8.7665319 47.8527469, 8.7664085 47.852818, 8.7659232 47.8530858, 8.7656594 47.8532295, 8.7656355 47.8532425, 8.7654905 47.8533215)",,,,,
24975923,False,Im Hugenberg,residential,True,73.101,30,"LINESTRING (8.7643979 47.8510738, 8.7645236 47.8510011, 8.7648943 47.8506286, 8.7649114 47.8506053, 8.7649429 47.8505624, 8.7649596 47.8505408)",,,,,
24975946,False,Heinrich-Heine-Ring,residential,False,52.406,30,"LINESTRING (8.7643979 47.8510738, 8.7644191 47.8511029, 8.7647073 47.8514969)",,,,,
24975924,False,Friedrich-Hölderlin-Straße,residential,True,105.341,30,"LINESTRING (8.7654905 47.8533215, 8.7652746 47.8532083, 8.7650156 47.8530871, 8.7649875 47.8530739, 8.7647755 47.8529229, 8.7644487 47.8526883)",,,,,
109725590,False,Maierhalde,residential,False,181.648,30,"LINESTRING (8.7654905 47.8533215, 8.7653822 47.8534061, 8.7653083 47.8534808, 8.7651944 47.8537689, 8.7650269 47.8541123, 8.764914 47.8543277, 8.7647326 47.8546131, 8.7646269 47.8547469, 8.764591 47.8548263)",,,,,
"[103640265, 72500075, 78083374, 72500080, 1046351964]",False,"['Goethestraße', 'Sportplatzstraße']",residential,"[False, True]",428.92900000000003,30,"LINESTRING (8.7654905 47.8533215, 8.7656355 47.8532425, 8.7656594 47.8532295, 8.7659232 47.8530858, 8.7664085 47.852818, 8.7665319 47.8527469, 8.7666231 47.8526864, 8.7666716 47.8526034, 8.7666956 47.8525624, 8.7667328 47.8524722, 8.7667552 47.8524179, 8.7667854 47.8523122, 8.7667952 47.8522532, 8.7668049 47.8521952, 8.7668057 47.8521901, 8.7668271 47.852061, 8.7668288 47.8518946, 8.7668173 47.8517774, 8.7668043 47.8516894, 8.7667936 47.8516357, 8.7667856 47.8515953, 8.7666711 47.8514308, 8.7664163 47.8510793, 8.7663413 47.8509778, 8.7661231 47.8507837, 8.7659035 47.8506916, 8.7656589 47.8506323, 8.7655401 47.8506112, 8.7653246 47.8505887, 8.7651962 47.8505781, 8.7649596 47.8505408)",,,,,
"[1091082353, 128675772, 539736332, 28801247]",False,Ludwig-Finckh-Straße,residential,False,194.188,30,"LINESTRING (8.7654905 47.8533215, 8.7656352 47.8534313, 8.7656575 47.853452, 8.7656803 47.853473, 8.7657809 47.8535661, 8.7658919 47.853658, 8.7660221 47.8537941, 8.7661259 47.8539256, 8.7662189 47.8540722, 8.7662725 47.8541773, 8.7663207 47.8542962, 8.7663936 47.8544875, 8.7664135 47.8545376, 8.7664379 47.854618, 8.7664554 47.8546666, 8.7664701 47.8547072, 8.7665097 47.8548085, 8.766576 47.8548785)",,,,,
24975956,False,Hewenstraße,residential,False,52.924,30,"LINESTRING (8.766576 47.8548785, 8.7667834 47.8548413, 8.7668701 47.8548258, 8.7672588 47.8547497)",,,,,
