osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge,access
"[96849002, 96849003, 96848022]","['Kurze Straße', 'Gartenstraße', 'Blumenstraße']",residential,False,False,220.878,"LINESTRING (12.8826891 51.6364341, 12.8825108 51.6367968, 12.8825111 51.6368284, 12.8825387 51.6368508, 12.8834592 51.637102, 12.8834762 51.6371212, 12.8834755 51.6371455, 12.8829395 51.6378941, 12.8828538 51.637917)",,,,4,,destination
764306551,August-Bebel-Straße,residential,False,False,74.82100000000001,"LINESTRING (12.8826891 51.6364341, 12.8820953 51.6363203, 12.8818021 51.6362641, 12.8816612 51.6362228)",,,,,,
764306551,August-Bebel-Straße,residential,False,True,255.45699999999997,"LINESTRING (12.8826891 51.6364341, 12.8828636 51.6364664, 12.8832416 51.6365363, 12.883469 51.6365681, 12.8837271 51.6365752, 12.8851526 51.6365682, 12.8856967 51.6365811, 12.8858947 51.636591, 12.8861732 51.6366224, 12.8863509 51.6366464)",,,,,,
34413968,Bahnhofstraße,residential,False,False,107.982,"LINESTRING (12.8816612 51.6362228, 12.8815015 51.6360066, 12.8813775 51.635985, 12.8803887 51.6357609)",,,,,,
96848031,Rudolf-Breitscheid-Straße,residential,False,False,140.125,"LINESTRING (12.8816612 51.6362228, 12.8816194 51.6363435, 12.8814988 51.6365917, 12.8812572 51.6369721, 12.8809531 51.637401)",,,,5,,
764306551,August-Bebel-Straße,residential,False,True,74.821,"LINESTRING (12.8816612 51.6362228, 12.8818021 51.6362641, 12.8820953 51.6363203, 12.8826891 51.6364341)",,,,,,
"[25160229, 30849814]",Bahnhofstraße,residential,False,False,276.41700000000003,"LINESTRING (12.8803887 51.6357609, 12.8802166 51.635879, 12.8801131 51.6359589, 12.8800615 51.6359987, 12.8799783 51.6361424, 12.8798988 51.6362931, 12.8797504 51.6364165, 12.8794596 51.6366313, 12.8793606 51.6367225, 12.8792682 51.6368563, 12.8791921 51.637037, 12.8789969 51.6373845, 12.8786574 51.6379643)",,,,,,
34413968,Bahnhofstraße,residential,False,True,107.982,"LINESTRING (12.8803887 51.6357609, 12.8813775 51.635985, 12.8815015 51.6360066, 12.8816612 51.6362228)",,,,,,
25024220,Elbstraße,secondary,False,True,52.488,"LINESTRING (12.8841216 51.6400162, 12.8839894 51.6399569, 12.8838489 51.6398862, 12.8837086 51.6398042, 12.8836463 51.6397386, 12.8836134 51.6396792)",2,S 16,,,,
27365195,Sandstraße,residential,False,False,49.998999999999995,"LINESTRING (12.8841216 51.6400162, 12.8840306 51.640126, 12.8838074 51.6404213)",,,,,,
53471674,Elbstraße,secondary,False,False,62.793000000000006,"LINESTRING (12.8841216 51.6400162, 12.8843047 51.6400948, 12.8849075 51.6402997)",2,S 16,,,,
205189172,Straße des Friedens,residential,False,True,6.608,"LINESTRING (12.8767511 51.6417208, 12.876765 51.641662)",,,,,,
27365196,Dübener Straße,residential,False,False,129.93099999999998,"LINESTRING (12.8767511 51.6417208, 12.8770761 51.6417183, 12.8773969 51.6417451, 12.8785803 51.6419626)",,,,,,
205189172,Straße des Friedens,residential,False,False,63.557,"LINESTRING (12.8767511 51.6417208, 12.8766946 51.6420189, 12.8766426 51.6422884)",,,,,,
65089528,Pretzscher Straße,primary,False,True,76.884,"LINESTRING (12.8824068 51.6399537, 12.8818285 51.6405447)",2,B 182,,,,
34334358,Pretzscher Straße,primary,False,False,72.664,"LINESTRING (12.8824068 51.6399537, 12.8827136 51.6396448, 12.8828619 51.6394956, 12.8829713 51.6394024)",1,B 182,,,,
34334620,Kirchstraße,residential,False,False,109.78,"LINESTRING (12.8824068 51.6399537, 12.8825099 51.6399893, 12.8827403 51.6400689, 12.8832226 51.6402336, 12.8835493 51.6403452, 12.8838074 51.6404213)",,,,,,
27365196,Dübener Straße,residential,False,False,110.168,"LINESTRING (12.8785803 51.6419626, 12.8789897 51.6420411, 12.879349 51.6421247, 12.879612 51.6421862, 12.879858 51.6422698, 12.8800467 51.6423433)",,,,,,
27365196,Dübener Straße,residential,False,True,129.931,"LINESTRING (12.8785803 51.6419626, 12.8773969 51.6417451, 12.8770761 51.6417183, 12.8767511 51.6417208)",,,,,,
"[210204979, 210204978, 205210315]",Platz am Mühltor,residential,False,False,179.379,"LINESTRING (12.8785803 51.6419626, 12.8786092 51.6419177, 12.878712 51.6417283, 12.8787642 51.6415354, 12.8788254 51.6413091, 12.8789388 51.6410307, 12.878954 51.6410026, 12.8789921 51.6409323, 12.8790575 51.6408283, 12.8791142 51.6407556, 12.8793204 51.6404228)",,,,,yes,
27365195,Sandstraße,residential,False,True,49.998999999999995,"LINESTRING (12.8838074 51.6404213, 12.8840306 51.640126, 12.8841216 51.6400162)",,,,,,
34334620,Kirchstraße,residential,False,True,109.78,"LINESTRING (12.8838074 51.6404213, 12.8835493 51.6403452, 12.8832226 51.6402336, 12.8827403 51.6400689, 12.8825099 51.6399893, 12.8824068 51.6399537)",,,,,,
53471675,Sandstraße,residential,False,False,163.379,"LINESTRING (12.8838074 51.6404213, 12.8828764 51.641571, 12.8827191 51.6417253)",,,,,,
53471675,Sandstraße,residential,False,True,126.70400000000001,"LINESTRING (12.8802552 51.6421371, 12.8804192 51.6422144, 12.8806289 51.6423165, 12.8807489 51.6423436, 12.8809389 51.6423237, 12.8817796 51.642172, 12.8819294 51.6421251)",,,,,,
65089528,Pretzscher Straße,primary,False,False,127.84199999999998,"LINESTRING (12.8802552 51.6421371, 12.8804381 51.6419447, 12.8807042 51.6416647, 12.8808606 51.6415053, 12.8812023 51.641149)",2,B 182,,,,
"[45846800, 197753955, 197753956]",Pretzscher Straße,primary,False,True,27.074999999999996,"LINESTRING (12.8802552 51.6421371, 12.8802071 51.6421878, 12.8800849 51.6423037, 12.8800467 51.6423433)",2,B 182,,,yes,
53471674,Elbstraße,secondary,False,True,62.793000000000006,"LINESTRING (12.8849075 51.6402997, 12.8843047 51.6400948, 12.8841216 51.6400162)",2,S 16,,,,
"[205210305, 255391892]","['Straße der Jugend', 'Martinikirchhof']",residential,False,False,318.29999999999995,"LINESTRING (12.8849075 51.6402997, 12.8849526 51.6402798, 12.8850296 51.6402805, 12.8853744 51.6403777, 12.8854901 51.6403966, 12.8855981 51.6403947, 12.8856656 51.6403759, 12.8857426 51.6403337, 12.8858465 51.6402589, 12.8859111 51.6402076, 12.8860066 51.6401125, 12.8861846 51.6398412, 12.8863248 51.6396257, 12.8865247 51.6393361, 12.8867281 51.6391203, 12.8868138 51.6390881, 12.8869598 51.6390085, 12.8875202 51.6383493)",,,,,,
"[96848027, 255042951]",Querstraße,residential,False,True,274.84499999999997,"LINESTRING (12.8797402 51.6356995, 12.8792783 51.636014, 12.8784477 51.6366066, 12.8783017 51.6367489, 12.8781637 51.6368636, 12.8773458 51.6374928, 12.8772315 51.637614)",,,,4,,
65089528,Pretzscher Straße,primary,False,False,76.884,"LINESTRING (12.8818285 51.6405447, 12.8824068 51.6399537)",2,B 182,,,,
65089528,Pretzscher Straße,primary,False,True,79.89,"LINESTRING (12.8818285 51.6405447, 12.8812023 51.641149)",2,B 182,,,,
"[96849001, 96848026]","['Stadtgraben', 'Grüne Straße']",residential,False,True,298.34000000000003,"LINESTRING (12.8818285 51.6405447, 12.8810182 51.6402635, 12.8802125 51.6399987, 12.8801615 51.63998, 12.8801263 51.6399638, 12.8801039 51.6399391, 12.8800956 51.639915, 12.880097 51.6398862, 12.8801069 51.6398603, 12.8812513 51.6386903)",,,,4,,
34334357,Leipziger Straße,secondary,False,False,73.94,"LINESTRING (12.8812513 51.6386903, 12.8810383 51.6386072, 12.8807759 51.6385055, 12.8803122 51.638373)",2,S 16,50,,,
34334357,Leipziger Straße,secondary,False,True,142.70600000000002,"LINESTRING (12.8812513 51.6386903, 12.8816771 51.6388733, 12.8822657 51.6391239, 12.8829713 51.6394024)",2,S 16,50,,,
"[96849001, 96848026]","['Stadtgraben', 'Grüne Straße']",residential,False,False,298.34000000000003,"LINESTRING (12.8812513 51.6386903, 12.8801069 51.6398603, 12.880097 51.6398862, 12.8800956 51.639915, 12.8801039 51.6399391, 12.8801263 51.6399638, 12.8801615 51.63998, 12.8802125 51.6399987, 12.8810182 51.6402635, 12.8818285 51.6405447)",,,,4,,
96848031,Rudolf-Breitscheid-Straße,residential,False,False,116.781,"LINESTRING (12.8809531 51.637401, 12.8803122 51.638373)",,,,5,,
96848031,Rudolf-Breitscheid-Straße,residential,False,True,140.125,"LINESTRING (12.8809531 51.637401, 12.8812572 51.6369721, 12.8814988 51.6365917, 12.8816194 51.6363435, 12.8816612 51.6362228)",,,,5,,
96849002,Blumenstraße,residential,False,True,143.17000000000002,"LINESTRING (12.8809531 51.637401, 12.8819433 51.6376685, 12.8828538 51.637917)",,,,4,,destination
30849813,Leipziger Straße,secondary,False,False,51.181,"LINESTRING (12.8772315 51.637614, 12.8770056 51.6375523, 12.8768385 51.6375031, 12.8765586 51.6374206)",2,S 16,50,,,
30849813,Leipziger Straße,secondary,False,True,105.831,"LINESTRING (12.8772315 51.637614, 12.8774371 51.6376644, 12.8783923 51.6378988, 12.8786574 51.6379643)",2,S 16,50,,,
"[96848027, 255042951]",Querstraße,residential,False,False,274.845,"LINESTRING (12.8772315 51.637614, 12.8773458 51.6374928, 12.8781637 51.6368636, 12.8783017 51.6367489, 12.8784477 51.6366066, 12.8792783 51.636014, 12.8797402 51.6356995)",,,,4,,
97240456,Platz am Sandtor,residential,False,True,32.529,"LINESTRING (12.8829236 51.6420342, 12.8825579 51.6418496)",,,,,,
97240455,Platz am Sandtor,residential,False,True,37.353,"LINESTRING (12.8829236 51.6420342, 12.8826769 51.6422558, 12.8826228 51.6423133)",,,,,,
97240456,Platz am Sandtor,residential,False,False,80.27799999999999,"LINESTRING (12.8829236 51.6420342, 12.8831195 51.6421496, 12.8832664 51.6422697, 12.8829131 51.6423117, 12.8827494 51.6423164, 12.8826228 51.6423133)",,,,,,
97240455,Platz am Sandtor,residential,False,False,9.738,"LINESTRING (12.8819294 51.6421251, 12.882014 51.6421952)",,,,,,
53471675,Sandstraße,residential,False,False,126.70399999999998,"LINESTRING (12.8819294 51.6421251, 12.8817796 51.642172, 12.8809389 51.6423237, 12.8807489 51.6423436, 12.8806289 51.6423165, 12.8804192 51.6422144, 12.8802552 51.6421371)",,,,,,
53471675,Sandstraße,residential,False,True,53.366,"LINESTRING (12.8819294 51.6421251, 12.8822762 51.6420025, 12.8825579 51.6418496)",,,,,,
97240456,Platz am Sandtor,residential,False,False,32.529,"LINESTRING (12.8825579 51.6418496, 12.8829236 51.6420342)",,,,,,
53471675,Sandstraße,residential,False,False,53.366,"LINESTRING (12.8825579 51.6418496, 12.8822762 51.6420025, 12.8819294 51.6421251)",,,,,,
53471675,Sandstraße,residential,False,True,17.781,"LINESTRING (12.8825579 51.6418496, 12.8826531 51.6417846, 12.8827191 51.6417253)",,,,,,
97240455,Platz am Sandtor,residential,False,False,37.353,"LINESTRING (12.8826228 51.6423133, 12.8826769 51.6422558, 12.8829236 51.6420342)",,,,,,
97240456,Platz am Sandtor,residential,False,True,80.278,"LINESTRING (12.8826228 51.6423133, 12.8827494 51.6423164, 12.8829131 51.6423117, 12.8832664 51.6422697, 12.8831195 51.6421496, 12.8829236 51.6420342)",,,,,,
97240455,Platz am Sandtor,residential,False,True,23.509999999999998,"LINESTRING (12.8826228 51.6423133, 12.8825279 51.6424027, 12.8824069 51.6424752)",,,,,,
97240455,Platz am Sandtor,residential,False,True,41.285,"LINESTRING (12.8824069 51.6424752, 12.882014 51.6421952)",,,,,,
97240455,Platz am Sandtor,residential,False,False,23.509999999999998,"LINESTRING (12.8824069 51.6424752, 12.8825279 51.6424027, 12.8826228 51.6423133)",,,,,,
259222683,Platz am Sandtor,residential,False,True,106.49499999999999,"LINESTRING (12.8824069 51.6424752, 12.8824299 51.6425317, 12.8824843 51.6427174, 12.8825192 51.6428325, 12.8826138 51.6430776, 12.8825996 51.6432655, 12.8825736 51.6434181)",,,,,,
65089528,Pretzscher Straße,primary,False,False,79.89,"LINESTRING (12.8812023 51.641149, 12.8818285 51.6405447)",2,B 182,,,,
129381341,Ratsgasse,residential,False,False,122.726,"LINESTRING (12.8812023 51.641149, 12.8827191 51.6417253)",,,,,,
65089528,Pretzscher Straße,primary,False,True,127.842,"LINESTRING (12.8812023 51.641149, 12.8808606 51.6415053, 12.8807042 51.6416647, 12.8804381 51.6419447, 12.8802552 51.6421371)",2,B 182,,,,
129381341,Ratsgasse,residential,False,True,122.726,"LINESTRING (12.8827191 51.6417253, 12.8812023 51.641149)",,,,,,
53471675,Sandstraße,residential,False,False,17.781,"LINESTRING (12.8827191 51.6417253, 12.8826531 51.6417846, 12.8825579 51.6418496)",,,,,,
53471675,Sandstraße,residential,False,True,163.379,"LINESTRING (12.8827191 51.6417253, 12.8828764 51.641571, 12.8838074 51.6404213)",,,,,,
205189158,Straße des Friedens,residential,False,True,16.493,"LINESTRING (12.8766426 51.6422884, 12.87677 51.6423038, 12.8768772 51.6423168)",,,,,,
205189172,Straße des Friedens,residential,False,True,63.557,"LINESTRING (12.8766426 51.6422884, 12.8766946 51.6420189, 12.8767511 51.6417208)",,,,,,
205189158,Straße des Friedens,residential,False,False,16.493,"LINESTRING (12.8768772 51.6423168, 12.87677 51.6423038, 12.8766426 51.6422884)",,,,,,
34334359,Wittenberger Straße,primary,False,False,19.733,"LINESTRING (12.8798877 51.6424908, 12.8800467 51.6423433)",2,B 182,50,,,
34334359,Wittenberger Straße,primary,False,True,102.088,"LINESTRING (12.8798877 51.6424908, 12.879792 51.6425773, 12.8795517 51.6427687, 12.8793265 51.6429499, 12.8789767 51.6432138)",2,B 182,50,,,
205189183,Friedhofstraße,residential,False,True,234.868,"LINESTRING (12.8798877 51.6424908, 12.8799425 51.6425187, 12.8801834 51.6427665, 12.8807696 51.6433272, 12.8811631 51.6436925, 12.8813226 51.6438347, 12.8814001 51.6439691, 12.8814381 51.644142, 12.8814774 51.6443209)",,,,,,
205189168,Zur Anhöhe,residential,False,False,43.332,"LINESTRING (12.8784503 51.6430296, 12.8780548 51.6433323)",,,,,,
205189174,Zur Anhöhe,residential,False,False,105.413,"LINESTRING (12.8784503 51.6430296, 12.8776187 51.6427352, 12.8775818 51.6427552, 12.8773613 51.6430483)",,,,,,
205189174,Zur Anhöhe,residential,False,True,41.754999999999995,"LINESTRING (12.8784503 51.6430296, 12.8788795 51.643171, 12.8789767 51.6432138)",,,,,,
205189174,Zur Anhöhe,residential,False,True,105.413,"LINESTRING (12.8773613 51.6430483, 12.8775818 51.6427552, 12.8776187 51.6427352, 12.8784503 51.6430296)",,,,,,
34334359,Wittenberger Straße,primary,False,False,102.08800000000001,"LINESTRING (12.8789767 51.6432138, 12.8793265 51.6429499, 12.8795517 51.6427687, 12.879792 51.6425773, 12.8798877 51.6424908)",2,B 182,50,,,
34334359,Wittenberger Straße,primary,False,True,176.031,"LINESTRING (12.8789767 51.6432138, 12.8788557 51.6433094, 12.8785843 51.6435149, 12.8782135 51.6437878, 12.8778369 51.6440475, 12.8773518 51.6443463, 12.8772778 51.6443928)",2,B 182,50,,,
205189174,Zur Anhöhe,residential,False,False,41.754999999999995,"LINESTRING (12.8789767 51.6432138, 12.8788795 51.643171, 12.8784503 51.6430296)",,,,,,
205189168,Zur Anhöhe,residential,False,True,43.332,"LINESTRING (12.8780548 51.6433323, 12.8784503 51.6430296)",,,,,,
34334359,Wittenberger Straße,primary,False,False,176.031,"LINESTRING (12.8772778 51.6443928, 12.8773518 51.6443463, 12.8778369 51.6440475, 12.8782135 51.6437878, 12.8785843 51.6435149, 12.8788557 51.6433094, 12.8789767 51.6432138)",2,B 182,50,,,
205210307,Straße der Jugend,residential,False,True,24.591,"LINESTRING (12.887653 51.6374888, 12.887503 51.6376894)",,,,,,
205210306,Straße der Jugend,residential,False,False,34.455,"LINESTRING (12.887503 51.6376894, 12.887946 51.6378323)",,,,,,
205210307,Straße der Jugend,residential,False,False,24.591,"LINESTRING (12.887503 51.6376894, 12.887653 51.6374888)",,,,,,
205210307,Straße der Jugend,residential,False,True,53.965,"LINESTRING (12.887503 51.6376894, 12.8872257 51.638053, 12.8871365 51.6381149)",,,,,,
255391892,Straße der Jugend,residential,False,True,14.635,"LINESTRING (12.8880425 51.6377151, 12.887946 51.6378323)",,,,,,
205210306,Straße der Jugend,residential,False,True,34.455,"LINESTRING (12.887946 51.6378323, 12.887503 51.6376894)",,,,,,
255391892,Straße der Jugend,residential,False,False,14.635,"LINESTRING (12.887946 51.6378323, 12.8880425 51.6377151)",,,,,,
255391892,Straße der Jugend,residential,False,True,64.562,"LINESTRING (12.887946 51.6378323, 12.8875202 51.6383493)",,,,,,
25160228,Straße der Jugend,residential,False,False,42.919,"LINESTRING (12.8871365 51.6381149, 12.8871166 51.6381971, 12.8871402 51.6382353, 12.8875202 51.6383493)",,,,,,
25160228,Straße der Jugend,residential,False,True,185.792,"LINESTRING (12.8871365 51.6381149, 12.8871019 51.6380569, 12.886354 51.6378188, 12.8863241 51.6377585, 12.8864529 51.6375909, 12.8866153 51.6373733, 12.8868431 51.6370438, 12.8868499 51.6369573, 12.8868168 51.6369015, 12.8867412 51.6368199)",,,,,,
205210307,Straße der Jugend,residential,False,False,53.965,"LINESTRING (12.8871365 51.6381149, 12.8872257 51.638053, 12.887503 51.6376894)",,,,,,
34334357,Leipziger Straße,secondary,False,True,8.511,"LINESTRING (12.880198 51.6383441, 12.8803122 51.638373)",2,S 16,50,,,
205210312,Zum Stadtpark,residential,False,False,127.71,"LINESTRING (12.880198 51.6383441, 12.8792915 51.6393454)",,,,,,
34334357,Leipziger Straße,secondary,False,False,114.42099999999999,"LINESTRING (12.880198 51.6383441, 12.8793667 51.6381283, 12.8786574 51.6379643)",2,S 16,50,,,
255391892,Straße der Jugend,residential,False,False,64.562,"LINESTRING (12.8875202 51.6383493, 12.887946 51.6378323)",,,,,,
25160228,Straße der Jugend,residential,False,True,42.919000000000004,"LINESTRING (12.8875202 51.6383493, 12.8871402 51.6382353, 12.8871166 51.6381971, 12.8871365 51.6381149)",,,,,,
"[205210305, 255391892]","['Straße der Jugend', 'Martinikirchhof']",residential,False,True,318.3,"LINESTRING (12.8875202 51.6383493, 12.8869598 51.6390085, 12.8868138 51.6390881, 12.8867281 51.6391203, 12.8865247 51.6393361, 12.8863248 51.6396257, 12.8861846 51.6398412, 12.8860066 51.6401125, 12.8859111 51.6402076, 12.8858465 51.6402589, 12.8857426 51.6403337, 12.8856656 51.6403759, 12.8855981 51.6403947, 12.8854901 51.6403966, 12.8853744 51.6403777, 12.8850296 51.6402805, 12.8849526 51.6402798, 12.8849075 51.6402997)",,,,,,
205210312,Zum Stadtpark,residential,False,True,127.71,"LINESTRING (12.8792915 51.6393454, 12.880198 51.6383441)",,,,,,
"[210204978, 210204979, 205210315]",Platz am Mühltor,residential,False,True,179.37900000000005,"LINESTRING (12.8793204 51.6404228, 12.8791142 51.6407556, 12.8790575 51.6408283, 12.8789921 51.6409323, 12.878954 51.6410026, 12.8789388 51.6410307, 12.8788254 51.6413091, 12.8787642 51.6415354, 12.878712 51.6417283, 12.8786092 51.6419177, 12.8785803 51.6419626)",,,,,yes,
205189172,Straße des Friedens,residential,False,False,6.608,"LINESTRING (12.876765 51.641662, 12.8767511 51.6417208)",,,,,,
259222683,Platz am Sandtor,residential,False,False,106.49499999999999,"LINESTRING (12.8825736 51.6434181, 12.8825996 51.6432655, 12.8826138 51.6430776, 12.8825192 51.6428325, 12.8824843 51.6427174, 12.8824299 51.6425317, 12.8824069 51.6424752)",,,,,,
315633026,zum Wiesengrund,residential,False,True,165.898,"LINESTRING (12.8756581 51.6386694, 12.8754703 51.6385379, 12.8754623 51.6384863, 12.8761569 51.6378171, 12.8765586 51.6374206)",,,,,,
315633025,Platz am Sandtor,residential,False,True,69.73400000000001,"LINESTRING (12.8818218 51.6427625, 12.8817167 51.6426262, 12.8817056 51.6425963, 12.8817197 51.6425618, 12.88175 51.6425296, 12.8818352 51.642413, 12.882014 51.6421952)",,,,,,
30849813,Leipziger Straße,secondary,False,True,51.181,"LINESTRING (12.8765586 51.6374206, 12.8768385 51.6375031, 12.8770056 51.6375523, 12.8772315 51.637614)",2,S 16,50,,,
315633026,zum Wiesengrund,residential,False,False,165.89800000000002,"LINESTRING (12.8765586 51.6374206, 12.8761569 51.6378171, 12.8754623 51.6384863, 12.8754703 51.6385379, 12.8756581 51.6386694)",,,,,,
97240455,Platz am Sandtor,residential,False,False,41.285,"LINESTRING (12.882014 51.6421952, 12.8824069 51.6424752)",,,,,,
97240455,Platz am Sandtor,residential,False,True,9.738,"LINESTRING (12.882014 51.6421952, 12.8819294 51.6421251)",,,,,,
315633025,Platz am Sandtor,residential,False,False,69.734,"LINESTRING (12.882014 51.6421952, 12.8818352 51.642413, 12.88175 51.6425296, 12.8817197 51.6425618, 12.8817056 51.6425963, 12.8817167 51.6426262, 12.8818218 51.6427625)",,,,,,
205189183,Friedhofstraße,residential,False,False,234.86800000000002,"LINESTRING (12.8814774 51.6443209, 12.8814381 51.644142, 12.8814001 51.6439691, 12.8813226 51.6438347, 12.8811631 51.6436925, 12.8807696 51.6433272, 12.8801834 51.6427665, 12.8799425 51.6425187, 12.8798877 51.6424908)",,,,,,
96849002,Blumenstraße,residential,False,False,143.17000000000002,"LINESTRING (12.8828538 51.637917, 12.8819433 51.6376685, 12.8809531 51.637401)",,,,4,,destination
"[96849002, 96849003, 96848022]","['Kurze Straße', 'Gartenstraße', 'Blumenstraße']",residential,False,True,220.87800000000001,"LINESTRING (12.8828538 51.637917, 12.8829395 51.6378941, 12.8834755 51.6371455, 12.8834762 51.6371212, 12.8834592 51.637102, 12.8825387 51.6368508, 12.8825111 51.6368284, 12.8825108 51.6367968, 12.8826891 51.6364341)",,,,4,,destination
1053811816,Blumenstraße,unclassified,False,False,25.631999999999998,"LINESTRING (12.8828538 51.637917, 12.8829086 51.6379674, 12.8831527 51.6380439)",,,,,,
1053811816,Blumenstraße,unclassified,False,True,25.631999999999998,"LINESTRING (12.8831527 51.6380439, 12.8829086 51.6379674, 12.8828538 51.637917)",,,,,,
