osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,junction,bridge
306864334,,,Brockhäger Straße,residential,20,,False,False,79.143,"LINESTRING (8.2264885 51.9622049, 8.2265129 51.9622777, 8.2266127 51.9624493, 8.2267358 51.9625696, 8.2268318 51.9626389, 8.2269868 51.9627096, 8.2271396 51.9627513)",,
"[172230215, 1235183215]",,,Kirchplatz,residential,20,,False,False,59.54900000000001,"LINESTRING (8.2264885 51.9622049, 8.2264246 51.9622036, 8.2262518 51.9621861, 8.2261774 51.9621882, 8.2259971 51.9622278, 8.2258446 51.9622374, 8.225747 51.9622286, 8.2256426 51.9622032)",,
31743723,,,Alter Markt,living_street,,,False,False,47.653,"LINESTRING (8.226067 51.9614685, 8.2263761 51.9610846)",,
"[858684898, 842733075, 858684899]",,,Münsterstraße,residential,20,,False,True,102.894,"LINESTRING (8.226067 51.9614685, 8.2252206 51.9612337, 8.2251804 51.9612232, 8.2251468 51.9612135, 8.2247053 51.9610787)",,
"[33489506, 1235183214]",,,Münsterstraße,residential,20,,False,False,94.756,"LINESTRING (8.226067 51.9614685, 8.2261704 51.9615078, 8.226258 51.9615505, 8.2263954 51.9616535, 8.2264831 51.9617415, 8.2265322 51.9618336, 8.2265487 51.9619, 8.22655 51.9619479, 8.2265148 51.9620733, 8.2264885 51.9622049)",,
129464204,2,,Gütersloher Straße,residential,30,,False,False,144.22,"LINESTRING (8.2313057 51.9595146, 8.2309902 51.9596395, 8.230703 51.9597587, 8.230193 51.9599729, 8.229552 51.9602317)",,
"[842733082, 120163222, 32704975]",2,,Gütersloher Straße,residential,30,,False,True,82.07300000000001,"LINESTRING (8.2313057 51.9595146, 8.2319843 51.9592386, 8.232068 51.9592046, 8.2323045 51.9591072)",,
1056782090,,,August-Claas-Straße,residential,30,,False,False,168.269,"LINESTRING (8.2313057 51.9595146, 8.2312489 51.9594735, 8.2311067 51.9594335, 8.2302616 51.9595231, 8.2297592 51.95958, 8.2289438 51.959713)",,
25054995,,,August-Claas-Straße,residential,30,,False,False,10.321,"LINESTRING (8.2271745 51.9598265, 8.2270284 51.9598491)",,
1056782090,,,August-Claas-Straße,residential,30,,False,True,9.181,"LINESTRING (8.2271745 51.9598265, 8.2273083 51.9598221)",,
26751634,2,,Clarholzer Straße,tertiary,30,,False,False,121.685,"LINESTRING (8.2271745 51.9598265, 8.2271595 51.9597715, 8.2271544 51.9596793, 8.227164 51.9595614, 8.2271906 51.9594524, 8.2273411 51.9589298, 8.2273942 51.9587454)",,
"[1056782089, 476722314]",2,,Clarholzer Straße,tertiary,30,,False,True,68.721,"LINESTRING (8.2271745 51.9598265, 8.2272138 51.9599298, 8.2272964 51.9601034, 8.2273041 51.9601206, 8.2273765 51.960263, 8.2274463 51.9604212)",,
25054995,,,August-Claas-Straße,residential,30,,False,False,107.40299999999999,"LINESTRING (8.2240672 51.9601857, 8.2231018 51.9603371, 8.2229793 51.9603801, 8.2229307 51.9604069, 8.2228935 51.9604502, 8.2228817 51.9604754, 8.2228601 51.9605217, 8.2228311 51.9606217)",,
25054995,,,August-Claas-Straße,residential,30,,False,True,69.61,"LINESTRING (8.2240672 51.9601857, 8.2241233 51.9601768, 8.2245903 51.9601137, 8.2247311 51.9600933, 8.2249366 51.9600365, 8.2250434 51.9600202)",,
31743645,,,August-Claas-Straße,residential,,,False,False,106.328,"LINESTRING (8.2240672 51.9601857, 8.2239885 51.9599754, 8.2233111 51.9595328, 8.2231565 51.9596242)",,
25054995,,,August-Claas-Straße,residential,30,,False,True,107.403,"LINESTRING (8.2228311 51.9606217, 8.2228601 51.9605217, 8.2228817 51.9604754, 8.2228935 51.9604502, 8.2229307 51.9604069, 8.2229793 51.9603801, 8.2231018 51.9603371, 8.2240672 51.9601857)",,
31731354,,,Am Pfingstknapp,residential,,,False,False,88.483,"LINESTRING (8.2228311 51.9606217, 8.2228029 51.9607243, 8.2226157 51.9614063)",,
41278155,,,Münsterstraße,residential,30,,False,True,101.367,"LINESTRING (8.2228311 51.9606217, 8.2225235 51.9605651, 8.221715 51.9604499, 8.221507 51.9604162, 8.2213976 51.9603976)",,
129464211,,,Münsterstraße,residential,30,,False,False,123.63199999999999,"LINESTRING (8.2228311 51.9606217, 8.2230296 51.960664, 8.2235009 51.9607682, 8.2238267 51.9608484, 8.224055 51.9609103, 8.2242966 51.96098, 8.224371 51.9610015, 8.2244738 51.961064)",,
26838416,,,,tertiary,30,,True,False,15.249,"LINESTRING (8.2274887 51.9629632, 8.2275362 51.9629453, 8.2275918 51.9629446, 8.2276403 51.9629613, 8.2276685 51.9629909)",roundabout,
31624667,2,,Brockhäger Straße,tertiary,30,,False,True,33.992999999999995,"LINESTRING (8.2274887 51.9629632, 8.2272151 51.9628224, 8.2271666 51.9627892, 8.2271396 51.9627513)",,
26838416,,,,tertiary,30,,True,False,14.085,"LINESTRING (8.2275274 51.9630691, 8.2274855 51.9630508, 8.2274624 51.9630225, 8.2274636 51.9629908, 8.2274887 51.9629632)",roundabout,
120163217,,,Hesselteicher Straße,residential,50,,False,True,102.386,"LINESTRING (8.2275274 51.9630691, 8.2274904 51.9631334, 8.2274422 51.963228, 8.2273108 51.9637311, 8.2272713 51.9638131, 8.227185 51.9639622)",,
"[31731497, 1214402395, 48346465]",,,Dechant-Budde-Weg,residential,,,False,False,212.80999999999997,"LINESTRING (8.2268844 51.9644201, 8.2263736 51.9641849, 8.2256699 51.9638769, 8.2251554 51.9636466, 8.2246443 51.9634064, 8.2245794 51.9633715, 8.2243829 51.9632862)",,
120163217,,,Hesselteicher Straße,residential,50,,False,False,54.923,"LINESTRING (8.2268844 51.9644201, 8.2269282 51.9643529, 8.227185 51.9639622)",,
120163217,,,Hesselteicher Straße,residential,50,,False,True,138.468,"LINESTRING (8.2268844 51.9644201, 8.2266328 51.9649217, 8.2265 51.9652117, 8.2263962 51.965476, 8.2263363 51.9656183)",,
28740206,,,Lütgenbrede,residential,30,,False,True,64.32900000000001,"LINESTRING (8.2287306 51.9662009, 8.2285338 51.9661467, 8.2281831 51.9660504, 8.2278694 51.9659705)",,
120163217,,,Hesselteicher Straße,residential,50,,False,False,138.46800000000002,"LINESTRING (8.2263363 51.9656183, 8.2263962 51.965476, 8.2265 51.9652117, 8.2266328 51.9649217, 8.2268844 51.9644201)",,
"[631617953, 28740206]",,,Lütgenbrede,residential,30,,False,False,38.194,"LINESTRING (8.2263363 51.9656183, 8.2266225 51.9656718, 8.2268692 51.9657192)",,
31731353,1,,Am Pfingstknapp,residential,,,False,False,99.38400000000001,"LINESTRING (8.2226157 51.9614063, 8.2224127 51.9613657, 8.2215332 51.9611709, 8.2212568 51.9610952)",,
31731354,,,Am Pfingstknapp,residential,,,False,False,105.444,"LINESTRING (8.2226157 51.9614063, 8.2226079 51.9614427, 8.2225362 51.9615673, 8.2223653 51.9617226, 8.2217643 51.96212, 8.2217106 51.9621555)",,
31731354,,,Am Pfingstknapp,residential,,,False,True,88.483,"LINESTRING (8.2226157 51.9614063, 8.2228029 51.9607243, 8.2228311 51.9606217)",,
31731353,1,,Am Pfingstknapp,residential,,,False,True,99.384,"LINESTRING (8.2212568 51.9610952, 8.2215332 51.9611709, 8.2224127 51.9613657, 8.2226157 51.9614063)",,
31731354,,,Am Pfingstknapp,residential,,,False,True,105.444,"LINESTRING (8.2217106 51.9621555, 8.2217643 51.96212, 8.2223653 51.9617226, 8.2225362 51.9615673, 8.2226079 51.9614427, 8.2226157 51.9614063)",,
"[48346465, 1214402395, 31731497]",,,Dechant-Budde-Weg,residential,,,False,True,212.81,"LINESTRING (8.2243829 51.9632862, 8.2245794 51.9633715, 8.2246443 51.9634064, 8.2251554 51.9636466, 8.2256699 51.9638769, 8.2263736 51.9641849, 8.2268844 51.9644201)",,
987503022,,,Kirchplatz,living_street,,,True,False,16.294,"LINESTRING (8.2256426 51.9622032, 8.2254645 51.9621061)",,
"[1235183215, 172230215]",,,Kirchplatz,residential,20,,False,True,59.549,"LINESTRING (8.2256426 51.9622032, 8.225747 51.9622286, 8.2258446 51.9622374, 8.2259971 51.9622278, 8.2261774 51.9621882, 8.2262518 51.9621861, 8.2264246 51.9622036, 8.2264885 51.9622049)",,
"[32803185, 32917814]",,,Brückenweg,residential,,,False,True,148.753,"LINESTRING (8.2198944 51.9606223, 8.2199554 51.9606739, 8.2203306 51.9608954, 8.2205303 51.9611833, 8.2206237 51.9614346, 8.2206407 51.9616283, 8.2203471 51.9616825)",,
"[129464208, 82084343, 842701199]",2,B 513,Münsterstraße,primary,50,7,False,True,77.146,"LINESTRING (8.2198944 51.9606223, 8.2199414 51.9606031, 8.2201707 51.9605145, 8.2206411 51.9603172, 8.2208312 51.9602376)",,yes
31743352,,,Place des Andelys,residential,,,False,False,56.736999999999995,"LINESTRING (8.2244738 51.961064, 8.2242682 51.9613299, 8.2241227 51.9615261)",,
129464211,,,Münsterstraße,residential,30,,False,True,123.632,"LINESTRING (8.2244738 51.961064, 8.224371 51.9610015, 8.2242966 51.96098, 8.224055 51.9609103, 8.2238267 51.9608484, 8.2235009 51.9607682, 8.2230296 51.960664, 8.2228311 51.9606217)",,
"[33489522, 1235183213]",,,Münsterstraße,residential,20,,False,False,16.009,"LINESTRING (8.2244738 51.961064, 8.224536 51.9610666, 8.2246097 51.9610666, 8.2247053 51.9610787)",,
31743352,,,Place des Andelys,residential,,,False,True,56.736999999999995,"LINESTRING (8.2241227 51.9615261, 8.2242682 51.9613299, 8.2244738 51.961064)",,
31743645,,,August-Claas-Straße,residential,,,False,True,106.32800000000002,"LINESTRING (8.2231565 51.9596242, 8.2233111 51.9595328, 8.2239885 51.9599754, 8.2240672 51.9601857)",,
25054995,,,August-Claas-Straße,residential,30,,False,False,69.60999999999999,"LINESTRING (8.2250434 51.9600202, 8.2249366 51.9600365, 8.2247311 51.9600933, 8.2245903 51.9601137, 8.2241233 51.9601768, 8.2240672 51.9601857)",,
25054995,,,August-Claas-Straße,residential,30,,False,True,138.25,"LINESTRING (8.2250434 51.9600202, 8.2251475 51.9600122, 8.2252645 51.9599759, 8.2254114 51.9599468, 8.225527 51.9599296, 8.2256276 51.9599201, 8.2257931 51.9599111, 8.2260434 51.9598975, 8.2261606 51.9598892, 8.2263988 51.9598685, 8.2265161 51.9598635, 8.2266262 51.9598598, 8.2268601 51.959859, 8.2270284 51.9598491)",,
31743646,,,Achtermannstraße,residential,30,,False,False,48.7,"LINESTRING (8.2250434 51.9600202, 8.2252409 51.9601372, 8.2255167 51.9603459)",,
32572836,,,Achtermannstraße,residential,30,,False,True,84.965,"LINESTRING (8.2250434 51.9600202, 8.224811 51.9598923, 8.2242465 51.9594381)",,
31743646,,,Achtermannstraße,residential,30,,False,True,48.7,"LINESTRING (8.2255167 51.9603459, 8.2252409 51.9601372, 8.2250434 51.9600202)",,
32886559,,,Dr.-Zurbrüggen-Straße,living_street,,,False,False,81.081,"LINESTRING (8.2255167 51.9603459, 8.2255597 51.9603447, 8.2262916 51.9603199, 8.2266671 51.9604171)",,
32886575,,,Achtermannstraße,living_street,,,False,False,87.792,"LINESTRING (8.2255167 51.9603459, 8.2255463 51.9603713, 8.2261659 51.9609019, 8.2262368 51.9609251, 8.2263202 51.960945)",,
"[137648041, 31743647]",,,Brentrups Garten,"['residential', 'living_street']",30,,False,True,100.535,"LINESTRING (8.2255167 51.9603459, 8.2251534 51.9605308, 8.2249845 51.9607346, 8.2248403 51.9608975, 8.2247053 51.9610787)",,
31743724,,,Marienstraße,living_street,,,False,False,45.624,"LINESTRING (8.2263202 51.960945, 8.2263941 51.9608408, 8.2265131 51.9606507, 8.2265674 51.9605641)",,
31743724,,,Marienstraße,living_street,,,False,True,16.101,"LINESTRING (8.2263202 51.960945, 8.2263357 51.9610193, 8.2263761 51.9610846)",,
32886575,,,Achtermannstraße,living_street,,,False,True,87.792,"LINESTRING (8.2263202 51.960945, 8.2262368 51.9609251, 8.2261659 51.9609019, 8.2255463 51.9603713, 8.2255167 51.9603459)",,
31743724,,,Marienstraße,living_street,,,False,True,17.716,"LINESTRING (8.2266671 51.9604171, 8.2266013 51.9605142, 8.2265674 51.9605641)",,
32572090,,,Marienstraße,living_street,,,False,False,68.083,"LINESTRING (8.2266671 51.9604171, 8.2268854 51.9601171, 8.22698 51.9599653, 8.2270181 51.9599039, 8.2270284 51.9598491)",,
32886559,,,Dr.-Zurbrüggen-Straße,living_street,,,False,True,81.081,"LINESTRING (8.2266671 51.9604171, 8.2262916 51.9603199, 8.2255597 51.9603447, 8.2255167 51.9603459)",,
135912010,,,Dr.-Zurbrüggen-Straße,living_street,,,False,False,21.818,"LINESTRING (8.2266671 51.9604171, 8.2267123 51.9604272, 8.2269574 51.9604975)",,
31743723,,,Alter Markt,living_street,,,False,True,47.653,"LINESTRING (8.2263761 51.9610846, 8.226067 51.9614685)",,
31743724,,,Marienstraße,living_street,,,False,False,16.101,"LINESTRING (8.2263761 51.9610846, 8.2263357 51.9610193, 8.2263202 51.960945)",,
"[31743725, 85150838]",,,Alter Markt,living_street,,,False,True,85.19299999999998,"LINESTRING (8.2263761 51.9610846, 8.2267866 51.9609857, 8.227252 51.9608735, 8.2274517 51.9608245, 8.2275391 51.9608187)",,
28740206,,,Lütgenbrede,residential,30,,False,False,39.22,"LINESTRING (8.2268692 51.9657192, 8.2274011 51.9658496)",,
"[631617953, 28740206]",,,Lütgenbrede,residential,30,,False,True,38.194,"LINESTRING (8.2268692 51.9657192, 8.2266225 51.9656718, 8.2263363 51.9656183)",,
28740206,,,Lütgenbrede,residential,30,,False,False,34.786,"LINESTRING (8.2274011 51.9658496, 8.2278694 51.9659705)",,
28740206,,,Lütgenbrede,residential,30,,False,True,39.22,"LINESTRING (8.2274011 51.9658496, 8.2268692 51.9657192)",,
32652161,,,Grüner Grund,residential,30,,False,True,124.777,"LINESTRING (8.2274011 51.9658496, 8.2275514 51.9656141, 8.2276898 51.9654573, 8.2277328 51.9654085, 8.2279225 51.9652279, 8.2281409 51.9650311, 8.2283064 51.9648809)",,
32571954,,,Marienfelder Weg,residential,,,False,False,151.877,"LINESTRING (8.2312634 51.9581804, 8.2303211 51.9588289, 8.2299172 51.959052, 8.2297183 51.9591566)",,
32571954,,,Marienfelder Weg,residential,,,False,True,75.868,"LINESTRING (8.2312634 51.9581804, 8.2313418 51.9581139, 8.2319146 51.9576286)",,
32596008,,,Kreuzstraße,residential,,,False,False,133.021,"LINESTRING (8.2312634 51.9581804, 8.2305871 51.9579033, 8.230195 51.9577508, 8.2300463 51.9576704, 8.2299642 51.9575854, 8.2299218 51.9575197, 8.2298879 51.957403)",,
32596008,,,Kreuzstraße,residential,,,False,True,119.405,"LINESTRING (8.2312634 51.9581804, 8.2315604 51.9583444, 8.2319007 51.9585445, 8.2321308 51.9587495, 8.2321569 51.9587727, 8.2322424 51.9588704, 8.2322708 51.9589028, 8.2323406 51.9590072)",,
32571954,,,Marienfelder Weg,residential,,,False,True,83.672,"LINESTRING (8.2289438 51.959713, 8.228998 51.9595876, 8.2291538 51.959453, 8.2292808 51.959376, 8.2297183 51.9591566)",,
1056782090,,,August-Claas-Straße,residential,30,,False,False,48.382000000000005,"LINESTRING (8.2289438 51.959713, 8.228406 51.9598144, 8.2282661 51.9598346)",,
1056782090,,,August-Claas-Straße,residential,30,,False,True,168.269,"LINESTRING (8.2289438 51.959713, 8.2297592 51.95958, 8.2302616 51.9595231, 8.2311067 51.9594335, 8.2312489 51.9594735, 8.2313057 51.9595146)",,
32571954,,,Marienfelder Weg,residential,,,False,False,83.672,"LINESTRING (8.2297183 51.9591566, 8.2292808 51.959376, 8.2291538 51.959453, 8.228998 51.9595876, 8.2289438 51.959713)",,
32571954,,,Marienfelder Weg,residential,,,False,True,151.877,"LINESTRING (8.2297183 51.9591566, 8.2299172 51.959052, 8.2303211 51.9588289, 8.2312634 51.9581804)",,
32571958,,,Villebrink,residential,,,False,False,49.529999999999994,"LINESTRING (8.2297183 51.9591566, 8.2293905 51.9587978, 8.2293627 51.9587688)",,
32571958,,,Villebrink,residential,,,False,False,141.22299999999998,"LINESTRING (8.2293627 51.9587688, 8.2292521 51.9586482, 8.2289732 51.9583312, 8.2288496 51.9581866, 8.2286876 51.9579722, 8.2285851 51.957687, 8.2285545 51.9576104)",,
32571958,,,Villebrink,residential,,,False,True,49.529999999999994,"LINESTRING (8.2293627 51.9587688, 8.2293905 51.9587978, 8.2297183 51.9591566)",,
32571962,,,Brinkstraße,residential,,,False,True,184.423,"LINESTRING (8.2293627 51.9587688, 8.2293064 51.9587884, 8.2286647 51.9591845, 8.2281264 51.9595168, 8.2279933 51.9595616, 8.2273083 51.9598221)",,
32571958,,,Villebrink,residential,,,False,True,141.22299999999998,"LINESTRING (8.2285545 51.9576104, 8.2285851 51.957687, 8.2286876 51.9579722, 8.2288496 51.9581866, 8.2289732 51.9583312, 8.2292521 51.9586482, 8.2293627 51.9587688)",,
476722312,2,B 513,Südring,primary,50,7,False,False,45.897999999999996,"LINESTRING (8.2285545 51.9576104, 8.2280787 51.9576738, 8.2278998 51.9576976)",,
476722312,2,B 513,Südring,primary,50,7,False,True,94.23500000000001,"LINESTRING (8.2285545 51.9576104, 8.2296606 51.957439, 8.2298879 51.957403)",,
1056782090,,,August-Claas-Straße,residential,30,,False,False,9.181,"LINESTRING (8.2273083 51.9598221, 8.2271745 51.9598265)",,
32571962,,,Brinkstraße,residential,,,False,False,184.423,"LINESTRING (8.2273083 51.9598221, 8.2279933 51.9595616, 8.2281264 51.9595168, 8.2286647 51.9591845, 8.2293064 51.9587884, 8.2293627 51.9587688)",,
1056782090,,,August-Claas-Straße,residential,30,,False,True,65.922,"LINESTRING (8.2273083 51.9598221, 8.2276039 51.959812, 8.2278862 51.959803, 8.2282661 51.9598346)",,
32596008,,,Kreuzstraße,residential,,,False,True,133.02100000000002,"LINESTRING (8.2298879 51.957403, 8.2299218 51.9575197, 8.2299642 51.9575854, 8.2300463 51.9576704, 8.230195 51.9577508, 8.2305871 51.9579033, 8.2312634 51.9581804)",,
476722312,2,B 513,Südring,primary,50,7,False,False,94.23500000000001,"LINESTRING (8.2298879 51.957403, 8.2296606 51.957439, 8.2285545 51.9576104)",,
354146839,,,Pöppelmannstraße,residential,,,False,True,90.602,"LINESTRING (8.2267083 51.9587018, 8.2262163 51.9594581)",,
32572143,,,Am Rottkamp,residential,,,False,True,47.464,"LINESTRING (8.2267083 51.9587018, 8.2270448 51.9587028, 8.2273942 51.9587454)",,
32572159,,,Am Rottkamp,residential,,,False,False,191.076,"LINESTRING (8.2267083 51.9587018, 8.2262562 51.9587376, 8.2257252 51.9588345, 8.2254506 51.9589158, 8.2249637 51.9591002, 8.2242465 51.9594381)",,
32572159,,,Am Rottkamp,residential,,,False,True,191.076,"LINESTRING (8.2242465 51.9594381, 8.2249637 51.9591002, 8.2254506 51.9589158, 8.2257252 51.9588345, 8.2262562 51.9587376, 8.2267083 51.9587018)",,
32572836,,,Achtermannstraße,residential,30,,False,False,84.965,"LINESTRING (8.2242465 51.9594381, 8.224811 51.9598923, 8.2250434 51.9600202)",,
32572836,,,Achtermannstraße,residential,30,,False,True,107.553,"LINESTRING (8.2242465 51.9594381, 8.2237293 51.9589241, 8.2236441 51.9588412, 8.2236324 51.9588299, 8.2234747 51.9586777, 8.2234125 51.9586187)",,
354146839,,,Pöppelmannstraße,residential,,,False,False,90.602,"LINESTRING (8.2262163 51.9594581, 8.2267083 51.9587018)",,
26751634,2,,Clarholzer Straße,tertiary,30,,False,False,80.523,"LINESTRING (8.2273942 51.9587454, 8.2275217 51.9584063, 8.2275521 51.9583364, 8.2276776 51.9580427)",,
26751634,2,,Clarholzer Straße,tertiary,30,,False,True,121.685,"LINESTRING (8.2273942 51.9587454, 8.2273411 51.9589298, 8.2271906 51.9594524, 8.227164 51.9595614, 8.2271544 51.9596793, 8.2271595 51.9597715, 8.2271745 51.9598265)",,
32572143,,,Am Rottkamp,residential,,,False,False,47.464,"LINESTRING (8.2273942 51.9587454, 8.2270448 51.9587028, 8.2267083 51.9587018)",,
32572550,,,Theo-Claas-Damm,residential,,,False,False,71.136,"LINESTRING (8.2324347 51.9591343, 8.2324599 51.959227, 8.2324869 51.9597725)",,
476722313,1,,,residential,,,True,False,10.033,"LINESTRING (8.2324347 51.9591343, 8.2323862 51.9591375, 8.2323399 51.9591279, 8.2323045 51.9591072)",roundabout,
32572550,,,Theo-Claas-Damm,residential,,,False,True,71.136,"LINESTRING (8.2324869 51.9597725, 8.2324599 51.959227, 8.2324347 51.9591343)",,
27519838,2,B 513,Südring,primary,50,7,False,False,242.031,"LINESTRING (8.2234125 51.9586187, 8.2232386 51.9587274, 8.2230538 51.9588487, 8.2230336 51.958863, 8.2226531 51.9591325, 8.2223488 51.9593375, 8.2222131 51.9594277, 8.2215731 51.9598338, 8.2214999 51.9598748, 8.2211277 51.9600865, 8.2209521 51.9601776)",,
27519838,2,B 513,Südring,primary,50,7,False,True,46.412,"LINESTRING (8.2234125 51.9586187, 8.2236615 51.9584651, 8.2239116 51.9583372)",,
32572836,,,Achtermannstraße,residential,30,,False,False,107.553,"LINESTRING (8.2234125 51.9586187, 8.2234747 51.9586777, 8.2236324 51.9588299, 8.2236441 51.9588412, 8.2237293 51.9589241, 8.2242465 51.9594381)",,
32571954,,,Marienfelder Weg,residential,,,False,False,75.868,"LINESTRING (8.2319146 51.9576286, 8.2313418 51.9581139, 8.2312634 51.9581804)",,
