osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access,tunnel
102008914,False,,,Hauptstraße,unclassified,20,True,68.237,"LINESTRING (8.7971308 49.3949943, 8.797173 49.3950186, 8.7972092 49.3950303, 8.7972835 49.3950523, 8.7973749 49.3950663, 8.797498 49.3950721, 8.7975529 49.3950649, 8.7977298 49.3950203, 8.7979816 49.3949124)",,,
"[25916224, 31098858, 246938608, 123521848, 246901855]",False,,,"['Schiffgasse', 'Am Hanfmarkt']",residential,,False,210.69699999999997,"LINESTRING (8.7971308 49.3949943, 8.7970835 49.3950509, 8.7970354 49.395124, 8.7970014 49.3951892, 8.797011 49.3952394, 8.7970575 49.395301, 8.7971351 49.3953597, 8.7971715 49.3953852, 8.7972754 49.39545, 8.7973245 49.395481, 8.7972328 49.3954899, 8.7971671 49.3955083, 8.7968282 49.3956423, 8.7966283 49.3956708, 8.7965508 49.3956884, 8.7963718 49.3956947, 8.7963428 49.3956849, 8.7963456 49.3956609, 8.7963751 49.3954066, 8.7964013 49.3952808, 8.7964387 49.3952163, 8.796475 49.3950703)",,,
800358816,False,,,Hauptstraße,unclassified,20,False,12.067,"LINESTRING (8.7971308 49.3949943, 8.7970792 49.3949559, 8.7970137 49.3949173)",,,
"[224625699, 24949607, 184132398, 24918640, 26441714]",False,1,,Mühlgasse,residential,"['20', '30']",False,440.82,"LINESTRING (8.7970137 49.3949173, 8.7970862 49.3947511, 8.7972878 49.3944302, 8.7974884 49.3940706, 8.7975994 49.3938569, 8.7976628 49.393722, 8.7976923 49.393629, 8.7977001 49.3935974, 8.7977438 49.3934453, 8.7977803 49.3933769, 8.798121 49.3928526, 8.7981455 49.3927935, 8.7981715 49.3927195, 8.7981901 49.3926476, 8.798196 49.392584, 8.7981925 49.3925316, 8.798175 49.3924048, 8.7981687 49.3923074, 8.7981723 49.3922348, 8.7981896 49.3921389, 8.7982112 49.3919868, 8.7982326 49.3918807, 8.7982578 49.3917505, 8.7982703 49.3916632, 8.7982748 49.3915969, 8.7982748 49.3915485, 8.7982686 49.3914677, 8.7982523 49.3913662, 8.7982277 49.3912703, 8.7981867 49.3911333, 8.7981776 49.3910948)",,,
155888441,False,,,Hauptstraße,unclassified,20,False,21.145000000000003,"LINESTRING (8.7970137 49.3949173, 8.7969217 49.3948659, 8.7968568 49.3948385, 8.7967737 49.3948105)",,,
800358816,False,,,Hauptstraße,unclassified,20,True,12.067,"LINESTRING (8.7970137 49.3949173, 8.7970792 49.3949559, 8.7971308 49.3949943)",,,
"[25731144, 24574230]",False,,,Alter Postweg,unclassified,30,"[False, True]",84.742,"LINESTRING (8.8017144 49.3922047, 8.8017376 49.3921479, 8.8017562 49.3920953, 8.8017667 49.3920696, 8.8017796 49.3920489, 8.8018066 49.3920207, 8.8018311 49.3920061, 8.8018655 49.3919945, 8.8019147 49.3919878, 8.8019583 49.3919873, 8.8020114 49.3919904, 8.8021706 49.3920062, 8.8024158 49.3920344, 8.8026528 49.392067)",,,
"[27637809, 122721571, 27637814, 296478559]",False,2,K 4163,Julius-Menzer-Straße,tertiary,50,False,155.33400000000003,"LINESTRING (8.8017144 49.3922047, 8.8018107 49.3922209, 8.80191 49.3922409, 8.801969 49.3922564, 8.8020313 49.3922763, 8.8021065 49.3923095, 8.8021748 49.3923484, 8.8022242 49.3923819, 8.8022663 49.3924172, 8.8022968 49.3924473, 8.802325 49.3924845, 8.8023577 49.3925369, 8.8023667 49.392559, 8.8023795 49.3925949, 8.8023874 49.3926243, 8.8023924 49.3926496, 8.8023967 49.3926849, 8.8023979 49.3927177, 8.8023971 49.3927714, 8.8023923 49.392814, 8.8023874 49.3928457, 8.8023841 49.3928846, 8.8023795 49.3929353, 8.8023812 49.3929841, 8.8023852 49.3930201, 8.8023942 49.3930637, 8.8024053 49.3930998, 8.8024216 49.393134, 8.8024432 49.3931665, 8.8024831 49.393209, 8.8025388 49.3932533, 8.8025777 49.3932765, 8.80265 49.3933048)",,,
"[122702088, 27637814, 186122287]",False,2,K 4163,Julius-Menzer-Straße,tertiary,50,True,74.586,"LINESTRING (8.8017144 49.3922047, 8.8015041 49.3921771, 8.8013832 49.3921615, 8.8012451 49.3921421, 8.8011798 49.3921292, 8.8011059 49.3921077, 8.8010551 49.3920836, 8.8010111 49.3920568, 8.8009888 49.3920391, 8.8009712 49.3920205, 8.8009534 49.3919949, 8.8009417 49.3919733, 8.8009304 49.3919448, 8.8009268 49.3919251, 8.8009265 49.3918884)",,,
24918641,True,1,,Hauptstraße,unclassified,20,False,51.392,"LINESTRING (8.7979296 49.3948875, 8.7979706 49.3948279, 8.7982427 49.3944968, 8.7982578 49.3944778)",,,
25916209,False,,,Pfarrgasse,residential,,False,63.165000000000006,"LINESTRING (8.7979296 49.3948875, 8.7977797 49.3948151, 8.7977611 49.394774, 8.7980162 49.394406)",,,
"[24918641, 131683742]",True,1,,Hauptstraße,"['unclassified', 'living_street']",20,False,41.68,"LINESTRING (8.7986152 49.3941118, 8.7987702 49.3939907, 8.7990119 49.3938409)",,,
32881169,False,,,Pfarrgasse,residential,,True,82.30900000000001,"LINESTRING (8.7986152 49.3941118, 8.798562 49.3940875, 8.7982691 49.3939704, 8.7981753 49.3940621, 8.7981859 49.3941038, 8.7980991 49.3942606, 8.7980162 49.394406)",,,
131683744,False,2,,Wiesenbacher Straße,unclassified,30,True,6.692,"LINESTRING (8.8009265 49.3918884, 8.8008341 49.3918862)",,,
"[122480944, 25920300]",False,,K 4163,Wiesenbacher Straße,tertiary,50,False,42.322,"LINESTRING (8.8009265 49.3918884, 8.8009633 49.3918067, 8.8009923 49.3917616, 8.8010891 49.3916736, 8.8012246 49.391567)",,,
"[122702088, 27637814, 186122287]",False,2,K 4163,Julius-Menzer-Straße,tertiary,50,False,74.586,"LINESTRING (8.8009265 49.3918884, 8.8009268 49.3919251, 8.8009304 49.3919448, 8.8009417 49.3919733, 8.8009534 49.3919949, 8.8009712 49.3920205, 8.8009888 49.3920391, 8.8010111 49.3920568, 8.8010551 49.3920836, 8.8011059 49.3921077, 8.8011798 49.3921292, 8.8012451 49.3921421, 8.8013832 49.3921615, 8.8015041 49.3921771, 8.8017144 49.3922047)",,,
"[25731144, 24574230]",False,,,Alter Postweg,unclassified,30,"[False, True]",84.74199999999998,"LINESTRING (8.8026528 49.392067, 8.8024158 49.3920344, 8.8021706 49.3920062, 8.8020114 49.3919904, 8.8019583 49.3919873, 8.8019147 49.3919878, 8.8018655 49.3919945, 8.8018311 49.3920061, 8.8018066 49.3920207, 8.8017796 49.3920489, 8.8017667 49.3920696, 8.8017562 49.3920953, 8.8017376 49.3921479, 8.8017144 49.3922047)",,,
"[25916216, 25916218]",True,,,Kirchgasse,living_street,,False,64.30000000000001,"LINESTRING (8.7996089 49.3942511, 8.799462 49.394065, 8.7992893 49.3939079, 8.7990891 49.3937898)",,,
25997028,True,1,,Neckarstraße,unclassified,20,False,141.19000000000003,"LINESTRING (8.7996089 49.3942511, 8.7990841 49.3944563, 8.7986446 49.3946988, 8.7984825 49.3947853, 8.7983318 49.3948432, 8.7981139 49.3949145, 8.7980093 49.3949185, 8.7979816 49.3949124)",,,
24717408,False,,,Carl-Thilo-Weg,residential,,True,31.372,"LINESTRING (8.802516 49.3911577, 8.80283 49.3909632)",,,
33043909,False,,,Carl-Thilo-Weg,residential,,False,37.018,"LINESTRING (8.802516 49.3911577, 8.8021339 49.3909364)",,,
24717408,False,,,Carl-Thilo-Weg,residential,,False,20.246000000000002,"LINESTRING (8.802516 49.3911577, 8.8024527 49.3912165, 8.8023424 49.3913002)",,,
24717408,False,,,Carl-Thilo-Weg,residential,,False,31.372,"LINESTRING (8.80283 49.3909632, 8.802516 49.3911577)",,,
24717408,False,,,Carl-Thilo-Weg,residential,,True,20.246000000000002,"LINESTRING (8.8023424 49.3913002, 8.8024527 49.3912165, 8.802516 49.3911577)",,,
122480944,False,,K 4163,Wiesenbacher Straße,tertiary,50,False,96.18900000000001,"LINESTRING (8.8012246 49.391567, 8.8014434 49.3914267, 8.8021339 49.3909364)",,,
"[122480944, 25920300]",False,,K 4163,Wiesenbacher Straße,tertiary,50,True,42.322,"LINESTRING (8.8012246 49.391567, 8.8010891 49.3916736, 8.8009923 49.3917616, 8.8009633 49.3918067, 8.8009265 49.3918884)",,,
28763401,False,1,,Wiesenbacher Straße,unclassified,30,False,12.224,"LINESTRING (8.8003714 49.3922155, 8.8004699 49.3921262)",,,
24882967,False,1,,Am Katzenbuckel,residential,30,False,92.41,"LINESTRING (8.8003714 49.3922155, 8.8004248 49.3922518, 8.8005687 49.3923497, 8.8004764 49.3924336, 8.8004385 49.392505, 8.8004561 49.3925555, 8.8004882 49.3925887, 8.8008543 49.392879)",,,
"[224625699, 24949607, 184132398, 24918640, 26441714]",False,1,,Mühlgasse,residential,"['20', '30']",True,440.82000000000005,"LINESTRING (8.7981776 49.3910948, 8.7981867 49.3911333, 8.7982277 49.3912703, 8.7982523 49.3913662, 8.7982686 49.3914677, 8.7982748 49.3915485, 8.7982748 49.3915969, 8.7982703 49.3916632, 8.7982578 49.3917505, 8.7982326 49.3918807, 8.7982112 49.3919868, 8.7981896 49.3921389, 8.7981723 49.3922348, 8.7981687 49.3923074, 8.798175 49.3924048, 8.7981925 49.3925316, 8.798196 49.392584, 8.7981901 49.3926476, 8.7981715 49.3927195, 8.7981455 49.3927935, 8.798121 49.3928526, 8.7977803 49.3933769, 8.7977438 49.3934453, 8.7977001 49.3935974, 8.7976923 49.393629, 8.7976628 49.393722, 8.7975994 49.3938569, 8.7974884 49.3940706, 8.7972878 49.3944302, 8.7970862 49.3947511, 8.7970137 49.3949173)",,,
131683743,True,1,,Hauptstraße,unclassified,20,False,29.625,"LINESTRING (8.7992645 49.3936262, 8.7994097 49.3933771)",,,
"[25916208, 25916206]",False,,,"['Brückengasse', 'Marktplatz']","['living_street', 'residential']",,False,73.26599999999999,"LINESTRING (8.7992645 49.3936262, 8.799536 49.3937061, 8.7997075 49.3937709, 8.7998303 49.3938469, 8.8000637 49.3940137)",,,
"[155888434, 155888437, 155888439]",False,,,"['Hauptstraße', 'Bahnhofstraße']",unclassified,"['20', '30']",False,42.658,"LINESTRING (8.7965237 49.3947583, 8.7965183 49.3947573, 8.7963709 49.3947294, 8.7963156 49.3947215, 8.796298 49.394719, 8.7960275 49.3946926, 8.7959767 49.3946894, 8.7959458 49.3946869)",yes,,
155888441,False,,,Hauptstraße,unclassified,20,True,19.017,"LINESTRING (8.7965237 49.3947583, 8.7966436 49.3947797, 8.7967737 49.3948105)",,,
116411762,False,,,Bahnhofstraße,unclassified,30,True,12.563,"LINESTRING (8.7957737 49.3946721, 8.7959458 49.3946869)",,,
"[24959235, 33531764, 24959229, 31098870]",True,1,,Bürgermeister-Müßig-Straße,"['residential', 'living_street']",30,False,213.76999999999998,"LINESTRING (8.7957737 49.3946721, 8.7957939 49.3940049, 8.795796 49.3939206, 8.7958054 49.3938696, 8.7958241 49.3938153, 8.7958692 49.393734, 8.7959487 49.3936499, 8.7960193 49.3935889, 8.7961786 49.3934686, 8.7963441 49.3933509, 8.7964027 49.3932985, 8.7964717 49.3932129, 8.7964958 49.3931671, 8.7965072 49.3931252, 8.7965053 49.3930954, 8.796501 49.3930589, 8.7964923 49.3929996, 8.7964694 49.3928952)",,,
276075240,False,,,Bahnhofstraße,unclassified,30,False,79.86600000000001,"LINESTRING (8.7957737 49.3946721, 8.7950821 49.3946366, 8.7947793 49.3946318, 8.7946724 49.3946301)",,,
"[184132378, 24959234, 31098867]",False,,,Bürgermeister-Müßig-Straße,living_street,,False,139.998,"LINESTRING (8.7964694 49.3928952, 8.7964689 49.3928539, 8.7964849 49.3927718, 8.7964909 49.3927466, 8.796516 49.3926407, 8.7965295 49.3925247, 8.7965387 49.392386, 8.7965569 49.3922927, 8.7965812 49.3922329, 8.7966229 49.3921661, 8.7966611 49.3921425, 8.7967033 49.3921219, 8.796753 49.3921053, 8.7968029 49.3920941, 8.7968609 49.3920915, 8.7969094 49.3920941, 8.7969965 49.3921, 8.7970706 49.3921005, 8.797104 49.3920958, 8.7971296 49.3920852, 8.7971503 49.3920678, 8.7971651 49.3920452, 8.7971767 49.3920147, 8.7971815 49.3919875, 8.7971824 49.3919298)",,,
116411762,False,,,Bahnhofstraße,unclassified,30,False,12.563,"LINESTRING (8.7959458 49.3946869, 8.7957737 49.3946721)",,,
175817114,False,,,Elsenzweg,residential,,True,34.791,"LINESTRING (8.7959458 49.3946869, 8.7958945 49.394998)",,,
"[155888434, 155888437, 155888439]",False,,,"['Bahnhofstraße', 'Hauptstraße']",unclassified,"['20', '30']",True,42.658,"LINESTRING (8.7959458 49.3946869, 8.7959767 49.3946894, 8.7960275 49.3946926, 8.796298 49.394719, 8.7963156 49.3947215, 8.7963709 49.3947294, 8.7965183 49.3947573, 8.7965237 49.3947583)",yes,,
"[25048450, 1084189236]",False,,,,residential,,True,40.854,"LINESTRING (8.795711 49.3960867, 8.7954763 49.3961447, 8.7954459 49.3961626, 8.7952392 49.3961135, 8.7951893 49.396103)",,,
"[33488428, 33488431]",False,,,,residential,,True,97.653,"LINESTRING (8.7951893 49.396103, 8.7951716 49.396129, 8.7951437 49.3961515, 8.7951018 49.3961752, 8.7950196 49.3962083, 8.7949179 49.3962387, 8.7948383 49.3962541, 8.7947802 49.3962624, 8.7947317 49.3962641, 8.794677 49.3962575, 8.7946415 49.3962391, 8.794613 49.3962169, 8.7945819 49.396179, 8.7945647 49.3961398, 8.7945411 49.3960532, 8.7945124 49.3959219, 8.7944975 49.3958922, 8.794459 49.3958522, 8.7944114 49.3958166)",,,
"[25048450, 1084189236]",False,,,,residential,,False,40.854,"LINESTRING (8.7951893 49.396103, 8.7952392 49.3961135, 8.7954459 49.3961626, 8.7954763 49.3961447, 8.795711 49.3960867)",,,
24568229,True,2,B 37;B 45,An der Friedensbrücke,primary,50,False,41.384,"LINESTRING (8.7944328 49.3952685, 8.7945458 49.3955142, 8.7945474 49.3956299)",,,
1230728824,False,1,,,residential,,False,38.194,"LINESTRING (8.7944328 49.3952685, 8.7945722 49.3953062, 8.7946227 49.3953371, 8.7946536 49.3953754, 8.7946785 49.3954284, 8.7947092 49.3954793, 8.7947429 49.3955206)",,,
25048441,False,,,Falltorstraße,residential,30,False,100.427,"LINESTRING (8.7944114 49.3958166, 8.7940294 49.3958551, 8.7938594 49.395872, 8.7936166 49.3958806, 8.793164 49.395853, 8.7930338 49.3958412)",,,
"[33488428, 33488431]",False,,,,residential,,False,97.65300000000002,"LINESTRING (8.7944114 49.3958166, 8.794459 49.3958522, 8.7944975 49.3958922, 8.7945124 49.3959219, 8.7945411 49.3960532, 8.7945647 49.3961398, 8.7945819 49.396179, 8.794613 49.3962169, 8.7946415 49.3962391, 8.794677 49.3962575, 8.7947317 49.3962641, 8.7947802 49.3962624, 8.7948383 49.3962541, 8.7949179 49.3962387, 8.7950196 49.3962083, 8.7951018 49.3961752, 8.7951437 49.3961515, 8.7951716 49.396129, 8.7951893 49.396103)",,,
"[25048449, 118796910, 277128654]",False,,,,residential,,True,38.686,"LINESTRING (8.7944114 49.3958166, 8.7943954 49.3957945, 8.7943701 49.3957448, 8.7943164 49.3956282, 8.794317 49.3955868, 8.7943457 49.3955431, 8.7944058 49.395497)",,,
25048432,True,,,Lessingstraße,residential,30,False,123.89099999999999,"LINESTRING (8.7911919 49.3956627, 8.791407 49.394611, 8.7914056 49.3945578)",,,
25048441,False,,,Falltorstraße,residential,30,True,100.427,"LINESTRING (8.7930338 49.3958412, 8.793164 49.395853, 8.7936166 49.3958806, 8.7938594 49.395872, 8.7940294 49.3958551, 8.7944114 49.3958166)",,,
25048478,True,,,Falltorstraße,residential,30,False,134.798,"LINESTRING (8.7930338 49.3958412, 8.7927057 49.3958177, 8.7919098 49.3957432, 8.7911919 49.3956627)",,,
125696213,True,2,B 37,Bahnhofstraße,primary,50,False,80.472,"LINESTRING (8.7914056 49.3945578, 8.791219 49.3945525, 8.7904215 49.3945413, 8.7903027 49.3945112)",,,
"[155875331, 184132381, 25048470, 25048471]",False,,,Elisabeth-Walter-Straße,residential,30,False,52.24900000000001,"LINESTRING (8.7963955 49.3919615, 8.7962923 49.3919697, 8.7961448 49.3919805, 8.7960706 49.3919724, 8.7959845 49.391963, 8.7958447 49.3919466, 8.7958028 49.391942, 8.7957674 49.3919427, 8.7956883 49.3919663)",,,
"[1092913040, 31098865, 26399971, 122702084]",False,4,B 45,Bammentaler Straße,primary,50,False,295.791,"LINESTRING (8.7963955 49.3919615, 8.7963827 49.3922179, 8.796371 49.3923805, 8.796339 49.3925701, 8.7963067 49.3927111, 8.7962514 49.3928685, 8.7962111 49.3929676, 8.7961668 49.3930584, 8.7961127 49.3931431, 8.7960413 49.3932469, 8.7960098 49.3932959, 8.7959556 49.3933683, 8.7958967 49.3934337, 8.7958477 49.3934987, 8.7956926 49.3936595, 8.7955063 49.3938047, 8.7953586 49.3939076, 8.7952152 49.3939902, 8.7949688 49.3941089, 8.7946839 49.3942215)",,,
122702093,False,,K 4200,,secondary,50,False,32.88,"LINESTRING (8.7963955 49.3919615, 8.7965451 49.3919497, 8.7967075 49.3919434, 8.796848 49.3919363)",,,
"[122710081, 1092913041, 262309748]",False,4,B 45,Bammentaler Straße,primary,50,True,67.02,"LINESTRING (8.7963955 49.3919615, 8.7963972 49.391843, 8.7963981 49.3916947, 8.7963939 49.3915477, 8.7963575 49.3913603)",,,
"[33531765, 25048461]",False,,,Elisabeth-Walter-Straße,residential,30,False,173.282,"LINESTRING (8.7956883 49.3919663, 8.7955509 49.3919991, 8.795434 49.3920144, 8.7953526 49.3920208, 8.7951419 49.3920152, 8.7945012 49.3919746, 8.7944637 49.3919722, 8.7942233 49.3919583, 8.793923 49.3919313, 8.7937616 49.3919185, 8.7934638 49.3918887, 8.7933234 49.3918627)",,,
"[155875331, 184132381, 25048470, 25048471]",False,,,Elisabeth-Walter-Straße,residential,30,True,52.248999999999995,"LINESTRING (8.7956883 49.3919663, 8.7957674 49.3919427, 8.7958028 49.391942, 8.7958447 49.3919466, 8.7959845 49.391963, 8.7960706 49.3919724, 8.7961448 49.3919805, 8.7962923 49.3919697, 8.7963955 49.3919615)",,,
"[25048465, 25048454]",False,,,"['Waldstraße', 'Luisenstraße']",residential,30,False,217.196,"LINESTRING (8.7923759 49.3937894, 8.7924069 49.3927125, 8.7921449 49.3926696, 8.7916488 49.3926322, 8.791075 49.3925952)",,,
"[25048460, 25048463]",False,1,,Banngartenstraße,residential,30,True,320.303,"LINESTRING (8.7923759 49.3937894, 8.7926583 49.3937766, 8.7928332 49.3937601, 8.7929479 49.3937444, 8.7930755 49.3937169, 8.7932278 49.393676, 8.7933705 49.3936305, 8.7934899 49.393587, 8.7937366 49.3934821, 8.7939751 49.3933745, 8.7940997 49.3933127, 8.7942076 49.393256, 8.7942598 49.3932273, 8.7944392 49.3931457, 8.7946614 49.3930248, 8.7948574 49.3928938, 8.7951546 49.3926787, 8.7953255 49.3925332, 8.7955224 49.3923459, 8.7955755 49.3922718, 8.7956189 49.3921807, 8.7956561 49.3920733)",,,
"[25048464, 1148585100]",False,,,Banngartenstraße,residential,30,False,104.687,"LINESTRING (8.7923759 49.3937894, 8.7918502 49.3937802, 8.7916052 49.3937721, 8.7914225 49.3937588, 8.7910862 49.3937306, 8.7909343 49.3937227)",,,
25048459,False,,,Schützenhausstraße,residential,30,True,24.55,"LINESTRING (8.7909343 49.3937227, 8.7908636 49.3936357, 8.7907758 49.3935275)",,,
"[25048466, 25048467, 551463510, 551463511, 551463512]",False,2,,Vordere Schützenhausstraße,residential,30,False,196.41700000000003,"LINESTRING (8.7909343 49.3937227, 8.7909698 49.3938327, 8.7910042 49.3939392, 8.7910733 49.3940926, 8.7911765 49.3942097, 8.7913232 49.3943007, 8.791476 49.3943584, 8.7916399 49.3943892, 8.7918167 49.3943852, 8.7919701 49.3943582, 8.7920508 49.3943351, 8.7922524 49.3942819, 8.7923426 49.3942633, 8.7924535 49.3942546, 8.7925458 49.3942546, 8.7925951 49.3942618, 8.792635 49.3942783, 8.7926811 49.3943037, 8.7927308 49.394348, 8.7927436 49.3943712, 8.7928013 49.3944618)",yes,,
"[25048464, 1148585100]",False,,,Banngartenstraße,residential,30,True,104.687,"LINESTRING (8.7909343 49.3937227, 8.7910862 49.3937306, 8.7914225 49.3937588, 8.7916052 49.3937721, 8.7918502 49.3937802, 8.7923759 49.3937894)",,,
"[25048456, 1148583177]",False,,,Hildastraße,residential,30,True,105.916,"LINESTRING (8.791075 49.3925952, 8.7909891 49.3928882, 8.7909242 49.3930933, 8.7908259 49.3933714, 8.7907758 49.3935275)",,,
"[25048465, 25048454]",False,,,"['Waldstraße', 'Luisenstraße']",residential,30,True,217.196,"LINESTRING (8.791075 49.3925952, 8.7916488 49.3926322, 8.7921449 49.3926696, 8.7924069 49.3927125, 8.7923759 49.3937894)",,,
25048459,False,,,Schützenhausstraße,residential,30,False,24.55,"LINESTRING (8.7907758 49.3935275, 8.7908636 49.3936357, 8.7909343 49.3937227)",,,
"[25048456, 1148583177]",False,,,Hildastraße,residential,30,False,105.916,"LINESTRING (8.7907758 49.3935275, 8.7908259 49.3933714, 8.7909242 49.3930933, 8.7909891 49.3928882, 8.791075 49.3925952)",,,
"[33531765, 25048461]",False,,,Elisabeth-Walter-Straße,residential,30,True,173.282,"LINESTRING (8.7933234 49.3918627, 8.7934638 49.3918887, 8.7937616 49.3919185, 8.793923 49.3919313, 8.7942233 49.3919583, 8.7944637 49.3919722, 8.7945012 49.3919746, 8.7951419 49.3920152, 8.7953526 49.3920208, 8.795434 49.3920144, 8.7955509 49.3919991, 8.7956883 49.3919663)",,,
343509071,False,2,B 37;B 45,An der Friedensbrücke,primary,50,False,3.032,"LINESTRING (8.7958623 49.3976176, 8.7958763 49.3976433)",,,
"[384801067, 199833196, 25057411, 38110598]",False,3,B 37;B 45,An der Friedensbrücke,primary,50,True,240.64499999999998,"LINESTRING (8.7958623 49.3976176, 8.7958249 49.3975575, 8.7953661 49.3968519, 8.7948951 49.3961393, 8.7946461 49.3957703, 8.7945474 49.3956299)",yes,,
343508209,True,1,B 37;B 45,,primary,50,False,35.367000000000004,"LINESTRING (8.7958623 49.3976176, 8.7960341 49.3976806, 8.7963028 49.3977542)",,,
25099684,False,1,,Fahrgasse,residential,,False,47.167,"LINESTRING (8.7969604 49.3971173, 8.7970129 49.3971813, 8.7970616 49.3972502, 8.7971102 49.3973499, 8.7971547 49.3974616, 8.7971757 49.3975157)",,,
25099683,False,,,Uferstraße,residential,,False,74.814,"LINESTRING (8.7976203 49.3968414, 8.797636 49.3968362, 8.7981271 49.3966731, 8.7983334 49.3966045, 8.7985451 49.3965409)",,,
25099683,False,,,Uferstraße,residential,,True,74.814,"LINESTRING (8.7985451 49.3965409, 8.7983334 49.3966045, 8.7981271 49.3966731, 8.797636 49.3968362, 8.7976203 49.3968414)",,,
"[25099688, 276075254]",False,,,Uferstraße,residential,30,False,174.051,"LINESTRING (8.7985451 49.3965409, 8.7988083 49.3964695, 8.7991085 49.3964023, 8.7992568 49.3963866, 8.7993379 49.3963828, 8.7996824 49.3963837, 8.799947 49.3963966, 8.8004445 49.3964333, 8.800644 49.3964474, 8.8006982 49.3964553, 8.8007338 49.3964631, 8.8007686 49.3964752, 8.8007985 49.3964909, 8.8008184 49.3965084, 8.8008408 49.3965413)",,,
25099684,False,1,,Fahrgasse,residential,,True,47.167,"LINESTRING (8.7971757 49.3975157, 8.7971547 49.3974616, 8.7971102 49.3973499, 8.7970616 49.3972502, 8.7970129 49.3971813, 8.7969604 49.3971173)",,,
29109253,False,2,B 37;B 45,Ziegelhäuser Straße,primary,50,False,60.727000000000004,"LINESTRING (8.7971757 49.3975157, 8.7972794 49.3974898, 8.7974325 49.3974572, 8.7975664 49.397432, 8.7977192 49.3974105, 8.7979861 49.3973789)",,,
"[384801268, 29109253]",False,"['2', '3']",B 37;B 45,Ziegelhäuser Straße,primary,50,True,48.385000000000005,"LINESTRING (8.7971757 49.3975157, 8.7970435 49.3975498, 8.7965641 49.3976913)",,,
33485858,False,,,Fahrgasse,residential,30,False,79.274,"LINESTRING (8.7971757 49.3975157, 8.7972052 49.3976189, 8.7972594 49.3978103, 8.797295 49.39787, 8.7973326 49.3979144, 8.7973738 49.3979519, 8.7974239 49.3979906, 8.7974994 49.3980271, 8.7976271 49.3980818, 8.7976821 49.3981022)",,,
