osmid,oneway,ref,name,highway,reversed,length,maxspeed,bridge,geometry,width,lanes,access
"[26976113, 47324966, 47324951]",False,,Schulstraße,residential,True,104.977,,yes,"LINESTRING (9.6178269 49.2957003, 9.6178809 49.2960272, 9.6178845 49.2960521, 9.617933 49.2961975, 9.6180542 49.2965611, 9.6180635 49.2965875, 9.6180768 49.2966289)",,,
26459282,False,,Pfarrgasse,residential,False,23.028,,,"LINESTRING (9.6155019 49.2954901, 9.6154832 49.295445, 9.6154651 49.2953841, 9.6154083 49.295293)",,,
26459282,False,,Pfarrgasse,residential,True,101.825,,,"LINESTRING (9.6155019 49.2954901, 9.615588 49.2956495, 9.6156573 49.2956914, 9.6158118 49.2957249, 9.6159704 49.295763, 9.6160178 49.2957681, 9.6161227 49.2957795, 9.6163039 49.2957919, 9.6165341 49.2957905, 9.6166859 49.2957872)",,,
"[853808217, 655141942]",False,,Mittelgasse,residential,True,66.475,,,"LINESTRING (9.6155019 49.2954901, 9.6156545 49.2954501, 9.6158902 49.2953841, 9.6162744 49.2953943, 9.6163856 49.2953937)",,,
26366864,False,L 1044,Hauptstraße,secondary,True,19.738,,,"LINESTRING (9.6154083 49.295293, 9.6151721 49.2953812)",,,
26459282,False,,Pfarrgasse,residential,True,23.028,,,"LINESTRING (9.6154083 49.295293, 9.6154651 49.2953841, 9.6154832 49.295445, 9.6155019 49.2954901)",,,
27388519,False,,Bachwiesenstraße,residential,False,16.506,,,"LINESTRING (9.6193079 49.2948179, 9.6194287 49.294812, 9.6195311 49.294793)",,,
171469564,False,L 1044,Neufelser Straße,secondary,True,97.834,,,"LINESTRING (9.6193079 49.2948179, 9.6193155 49.2947919, 9.6193138 49.294759, 9.6192863 49.2946325, 9.6192541 49.2945398, 9.6191881 49.2943789, 9.6191767 49.2943485, 9.6191433 49.2942729, 9.6191171 49.2942135, 9.619087 49.2941602, 9.6190545 49.2940791, 9.619038 49.2940379, 9.6190114 49.2939638)",,,
725890831,False,L 1044,Neufelser Straße,secondary,False,29.857999999999997,,,"LINESTRING (9.6193079 49.2948179, 9.619264 49.2948585, 9.6191921 49.2948925, 9.6190955 49.2949098, 9.6189508 49.294925)",,,
"[342493307, 26756643]",False,,Am Forellenbach,residential,False,99.91499999999999,30,,"LINESTRING (9.6180768 49.2966289, 9.6174955 49.2967482, 9.6173953 49.296771, 9.6171385 49.2968295, 9.6167805 49.2969309)",,,
26756643,False,,Am Forellenbach,residential,True,96.03,30,,"LINESTRING (9.6180768 49.2966289, 9.6186533 49.2964947, 9.6193294 49.2963488)",,,
"[26976113, 47324966, 47324951]",False,,Schulstraße,residential,False,104.977,,yes,"LINESTRING (9.6180768 49.2966289, 9.6180635 49.2965875, 9.6180542 49.2965611, 9.617933 49.2961975, 9.6178845 49.2960521, 9.6178809 49.2960272, 9.6178269 49.2957003)",,,
26976113,False,,Schulstraße,residential,True,111.354,,,"LINESTRING (9.6180768 49.2966289, 9.6182884 49.2969733, 9.6183218 49.2970277, 9.6184538 49.2972058, 9.6184779 49.2972389, 9.6186667 49.2974889, 9.6187031 49.2975371, 9.6187063 49.2975416)",,,
"[26756643, 342493307]",False,,Am Forellenbach,residential,True,99.915,30,,"LINESTRING (9.6167805 49.2969309, 9.6171385 49.2968295, 9.6173953 49.296771, 9.6174955 49.2967482, 9.6180768 49.2966289)",,,
"[737531041, 47324967, 644570513, 644570514, 47324956]",False,,Brückenwiesenweg,residential,False,211.12599999999998,30,yes,"LINESTRING (9.6167805 49.2969309, 9.6167108 49.2968644, 9.616664 49.2968283, 9.6166089 49.2967857, 9.6165578 49.2967443, 9.6165066 49.2967066, 9.6163314 49.296578, 9.616195 49.2964793, 9.6160956 49.2963997, 9.6160464 49.2963615, 9.61591 49.296261, 9.6158012 49.2961871, 9.6157354 49.2961272, 9.6153967 49.295832, 9.6153013 49.2956895, 9.615225 49.2955193, 9.6151721 49.2953812)",,,
292953198,False,L 1044,Hauptstraße,secondary,False,54.260999999999996,,,"LINESTRING (9.6171339 49.2947526, 9.6173639 49.2947778, 9.6174707 49.2947962, 9.6178619 49.2948634)",,,
292953198,False,L 1044,Hauptstraße,secondary,True,58.331999999999994,,,"LINESTRING (9.6171339 49.2947526, 9.616949 49.29476, 9.6167687 49.294782, 9.6165948 49.2948212, 9.6163772 49.2949037)",,,
853808494,False,,Alte Postgasse,residential,False,65.11,,,"LINESTRING (9.6171339 49.2947526, 9.6171089 49.295279, 9.6170941 49.2953371)",,,
"[26776379, 853813117]",False,,Alte Postgasse,residential,True,46.619,,,"LINESTRING (9.6171339 49.2947526, 9.6171711 49.2946142, 9.6172134 49.2945474, 9.6173463 49.29436)",,,
"[853808217, 26776380]",False,,Mittelgasse,residential,False,51.79899999999999,,,"LINESTRING (9.6170941 49.2953371, 9.6166396 49.2953819, 9.6165605 49.2953856, 9.6163856 49.2953937)",,,
26976115,False,,Mittelgasse,residential,False,54.07299999999999,,,"LINESTRING (9.6170941 49.2953371, 9.6173171 49.2953996, 9.617513 49.2953852, 9.6178174 49.2953661)",,,
853808494,False,,Alte Postgasse,residential,True,65.11,,,"LINESTRING (9.6170941 49.2953371, 9.6171089 49.295279, 9.6171339 49.2947526)",,,
47324951,False,,Schulstraße,residential,True,55.991,,,"LINESTRING (9.6178619 49.2948634, 9.6178174 49.2953661)",,,
292953198,False,L 1044,Hauptstraße,secondary,False,79.69000000000001,,,"LINESTRING (9.6178619 49.2948634, 9.6181437 49.2949002, 9.6183559 49.2949229, 9.6185104 49.2949326, 9.6187706 49.2949361, 9.6189508 49.294925)",,,
292953198,False,L 1044,Hauptstraße,secondary,True,54.260999999999996,,,"LINESTRING (9.6178619 49.2948634, 9.6174707 49.2947962, 9.6173639 49.2947778, 9.6171339 49.2947526)",,,
26976114,False,,Amtsgasse,residential,False,49.178,,,"LINESTRING (9.6163856 49.2953937, 9.6163671 49.2951658, 9.6162998 49.2949563)",,,
26976114,False,,Amtsgasse,residential,True,49.418000000000006,,,"LINESTRING (9.6163856 49.2953937, 9.6164933 49.2955261, 9.6166387 49.2956626, 9.6166859 49.2957872)",,,
"[853808217, 655141942]",False,,Mittelgasse,residential,False,66.475,,,"LINESTRING (9.6163856 49.2953937, 9.6162744 49.2953943, 9.6158902 49.2953841, 9.6156545 49.2954501, 9.6155019 49.2954901)",,,
"[853808217, 26776380]",False,,Mittelgasse,residential,True,51.799,,,"LINESTRING (9.6163856 49.2953937, 9.6165605 49.2953856, 9.6166396 49.2953819, 9.6170941 49.2953371)",,,
292953198,False,L 1044,Hauptstraße,secondary,True,21.379,,,"LINESTRING (9.6162998 49.2949563, 9.6160233 49.295023)",,,
26976114,False,,Amtsgasse,residential,True,49.178,,,"LINESTRING (9.6162998 49.2949563, 9.6163671 49.2951658, 9.6163856 49.2953937)",,,
292953198,False,L 1044,Hauptstraße,secondary,False,8.190999999999999,,,"LINESTRING (9.6162998 49.2949563, 9.6163299 49.2949398, 9.6163495 49.2949193, 9.6163772 49.2949037)",,,
47324951,False,,Schulstraße,residential,False,55.991,,,"LINESTRING (9.6178174 49.2953661, 9.6178619 49.2948634)",,,
26976115,False,,Mittelgasse,residential,False,84.725,,,"LINESTRING (9.6178174 49.2953661, 9.617917 49.2953978, 9.6182611 49.2954081, 9.6184605 49.2953754, 9.6188356 49.2953533, 9.6189663 49.295357)",,,
26976115,False,,Mittelgasse,residential,True,54.07299999999999,,,"LINESTRING (9.6178174 49.2953661, 9.617513 49.2953852, 9.6173171 49.2953996, 9.6170941 49.2953371)",,,
47324951,False,,Schulstraße,residential,True,37.185,,,"LINESTRING (9.6178174 49.2953661, 9.6178162 49.2955836, 9.6178269 49.2957003)",,,
27196872,False,L 1044,Bahnhofstraße,secondary,True,148.995,,,"LINESTRING (9.6178494 49.2938737, 9.6183322 49.2940415, 9.6184596 49.294147, 9.6185932 49.2942577, 9.6186633 49.2943481, 9.6188369 49.2947115, 9.6189508 49.294925)",,,
31022004,False,,Bahnhofstraße,residential,False,118.45500000000001,,,"LINESTRING (9.6178494 49.2938737, 9.6177608 49.2937553, 9.6171328 49.2929164)",,,
479815894,False,L 1044,Warrweg,secondary,True,85.572,30,,"LINESTRING (9.6178494 49.2938737, 9.6176478 49.2938712, 9.6169634 49.2938377, 9.6166722 49.2938234)",,,
31022004,False,,Bahnhofstraße,residential,True,118.45500000000001,,,"LINESTRING (9.6171328 49.2929164, 9.6177608 49.2937553, 9.6178494 49.2938737)",,,
27268766,False,,Keltergasse,residential,False,109.53500000000001,,,"LINESTRING (9.6151871 49.2949089, 9.615176 49.2947764, 9.6151846 49.2946518, 9.6155227 49.2946774, 9.6156775 49.2947098, 9.6157208 49.2947216, 9.615966 49.2947526, 9.6161796 49.2947953, 9.616268 49.2948135)",2,,
292953198,False,L 1044,Hauptstraße,secondary,False,21.379,,,"LINESTRING (9.6160233 49.295023, 9.6162998 49.2949563)",,,
292953197,True,L 1044,Hauptstraße,secondary,False,53.796,,,"LINESTRING (9.6160233 49.295023, 9.615887 49.2950836, 9.6158732 49.2950898, 9.6157754 49.29514, 9.6154083 49.295293)",,,
"[853805920, 853805316]",False,,"['Hintere Gasse', 'Zwerchgasse']",residential,"[False, True]",108.196,,,"LINESTRING (9.6151168 49.2941558, 9.6154816 49.2941501, 9.6159189 49.2941533, 9.6166049 49.2942002)",3,,
27268763,False,,Hintere Gasse,residential,False,8.124,,,"LINESTRING (9.6166049 49.2942002, 9.6167096 49.2942262)",,,
"[853805920, 853805316]",False,,"['Hintere Gasse', 'Zwerchgasse']",residential,"[False, True]",108.19600000000001,,,"LINESTRING (9.6166049 49.2942002, 9.6159189 49.2941533, 9.6154816 49.2941501, 9.6151168 49.2941558)",3,,
"[27268762, 853805427]",False,,Hintere Gasse,residential,False,42.244,,,"LINESTRING (9.6166049 49.2942002, 9.616604 49.2941683, 9.6166327 49.2940678, 9.6166335 49.2940607, 9.6166486 49.2939641, 9.6166604 49.2938879, 9.6166643 49.2938707, 9.6166722 49.2938234)",,,
"[27268762, 853805427]",False,,Hintere Gasse,residential,True,42.244,,,"LINESTRING (9.6166722 49.2938234, 9.6166643 49.2938707, 9.6166604 49.2938879, 9.6166486 49.2939641, 9.6166335 49.2940607, 9.6166327 49.2940678, 9.616604 49.2941683, 9.6166049 49.2942002)",,,
479815894,False,L 1044,Warrweg,secondary,False,85.572,30,,"LINESTRING (9.6166722 49.2938234, 9.6169634 49.2938377, 9.6176478 49.2938712, 9.6178494 49.2938737)",,,
"[27288531, 479815894]",False,L 1044,Warrweg,secondary,True,128.103,"['50', '30']",,"LINESTRING (9.6166722 49.2938234, 9.616288 49.2937788, 9.6158551 49.2937299, 9.6158281 49.2937268, 9.6154998 49.293689, 9.6154689 49.2936854, 9.6151125 49.2936695, 9.6150183 49.2936871, 9.614942 49.2937176)",,,
27268763,False,,Hintere Gasse,residential,True,8.124,,,"LINESTRING (9.6167096 49.2942262, 9.6166049 49.2942002)",,,
27268764,False,,Hintere Gasse,residential,False,48.513000000000005,,,"LINESTRING (9.6167096 49.2942262, 9.6172284 49.2943332, 9.6173463 49.29436)",,,
"[853803862, 27268767]",True,,Rauthausgäßle,residential,False,92.32600000000001,,,"LINESTRING (9.6167096 49.2942262, 9.6166284 49.2944851, 9.6162933 49.2944695, 9.6162593 49.2945734, 9.6162505 49.2946488, 9.616268 49.2948135)",2,,
"[26776379, 853813117]",False,,Alte Postgasse,residential,False,46.619,,,"LINESTRING (9.6173463 49.29436, 9.6172134 49.2945474, 9.6171711 49.2946142, 9.6171339 49.2947526)",,,
27268764,False,,Hintere Gasse,residential,False,79.67200000000001,,,"LINESTRING (9.6173463 49.29436, 9.6174947 49.2943939, 9.6177427 49.2944338, 9.6179944 49.2944703, 9.618282 49.294497, 9.6184196 49.2944982)",,,
27268764,False,,Hintere Gasse,residential,True,48.513000000000005,,,"LINESTRING (9.6173463 49.29436, 9.6172284 49.2943332, 9.6167096 49.2942262)",,,
27388514,False,,Steige,residential,False,71.417,,,"LINESTRING (9.6194605 49.2922777, 9.6194995 49.2924824, 9.6194937 49.292517, 9.6194844 49.292573, 9.619434 49.292714, 9.6193837 49.2928046, 9.6193049 49.2928947)",,,
27388514,False,,Steige,residential,False,109.751,,,"LINESTRING (9.6193049 49.2928947, 9.6193031 49.2929809, 9.619288 49.2930766, 9.6192477 49.2932327, 9.6192225 49.2933989, 9.6192125 49.2935298, 9.6191974 49.2936557, 9.6191974 49.2937363, 9.6191823 49.2938773)",,,
27388514,False,,Steige,residential,True,71.417,,,"LINESTRING (9.6193049 49.2928947, 9.6193837 49.2928046, 9.619434 49.292714, 9.6194844 49.292573, 9.6194937 49.292517, 9.6194995 49.2924824, 9.6194605 49.2922777)",,,
27388515,False,,Ziegelweg,residential,False,89.65200000000002,,,"LINESTRING (9.6193049 49.2928947, 9.6192576 49.2928345, 9.6191558 49.2927359, 9.6190441 49.2926472, 9.6189652 49.2925388, 9.6188831 49.2924567, 9.6187879 49.2923713, 9.618732 49.292322, 9.6186696 49.292299, 9.6185604 49.2922817)",,,
27388514,False,,Steige,residential,False,15.740000000000002,,,"LINESTRING (9.6191823 49.2938773, 9.6191167 49.2939035, 9.6190114 49.2939638)",,,
27388514,False,,Steige,residential,True,109.75100000000002,,,"LINESTRING (9.6191823 49.2938773, 9.6191974 49.2937363, 9.6191974 49.2936557, 9.6192125 49.2935298, 9.6192225 49.2933989, 9.6192477 49.2932327, 9.619288 49.2930766, 9.6193031 49.2929809, 9.6193049 49.2928947)",,,
27388516,False,,Steige,residential,False,17.792,,,"LINESTRING (9.6191823 49.2938773, 9.6192412 49.2938626, 9.6193003 49.2938528, 9.6193561 49.2938265, 9.6193824 49.2937969)",,,
38777025,False,L 1044,Neufelser Straße,secondary,True,40.883,,,"LINESTRING (9.6190114 49.2939638, 9.6188664 49.2936085)",,,
27388514,False,,Steige,residential,True,15.740000000000002,,,"LINESTRING (9.6190114 49.2939638, 9.6191167 49.2939035, 9.6191823 49.2938773)",,,
171469564,False,L 1044,Neufelser Straße,secondary,False,97.83399999999999,,,"LINESTRING (9.6190114 49.2939638, 9.619038 49.2940379, 9.6190545 49.2940791, 9.619087 49.2941602, 9.6191171 49.2942135, 9.6191433 49.2942729, 9.6191767 49.2943485, 9.6191881 49.2943789, 9.6192541 49.2945398, 9.6192863 49.2946325, 9.6193138 49.294759, 9.6193155 49.2947919, 9.6193079 49.2948179)",,,
38777025,False,L 1044,Neufelser Straße,secondary,False,47.397,,,"LINESTRING (9.6185604 49.2922817, 9.6185778 49.2927078)",,,
27388515,False,,Ziegelweg,residential,True,89.65200000000002,,,"LINESTRING (9.6185604 49.2922817, 9.6186696 49.292299, 9.618732 49.292322, 9.6187879 49.2923713, 9.6188831 49.2924567, 9.6189652 49.2925388, 9.6190441 49.2926472, 9.6191558 49.2927359, 9.6192576 49.2928345, 9.6193049 49.2928947)",,,
"[38777025, 173677999]",False,L 1044,Neufelser Straße,secondary,True,331.879,,,"LINESTRING (9.6185604 49.2922817, 9.6185497 49.2920825, 9.618487 49.2918745, 9.6184099 49.2917253, 9.6182949 49.2915732, 9.6181956 49.2914597, 9.6180866 49.2913561, 9.617948 49.2912368, 9.6178412 49.2911663, 9.6177123 49.2910681, 9.6176742 49.2910264, 9.6176485 49.2909942, 9.6176446 49.2909581, 9.6176782 49.290922, 9.6177375 49.2909026, 9.6178106 49.2908987, 9.617881 49.2909172, 9.617955 49.29094, 9.6180247 49.2909728, 9.6187958 49.2914618, 9.6193104 49.2917868, 9.6193429 49.291808)",,,
27388516,False,,Steige,residential,False,117.15,,,"LINESTRING (9.6193824 49.2937969, 9.6193988 49.2937246, 9.6195148 49.2934849, 9.6197569 49.2933567, 9.619885 49.2932845, 9.6199572 49.2932254, 9.6200569 49.2931145, 9.6197661 49.2930216)",,,
27388516,False,,Steige,residential,True,17.792,,,"LINESTRING (9.6193824 49.2937969, 9.6193561 49.2938265, 9.6193003 49.2938528, 9.6192412 49.2938626, 9.6191823 49.2938773)",,,
27388517,False,,Mühlsee,residential,False,351.984,,,"LINESTRING (9.6193824 49.2937969, 9.6196059 49.2937568, 9.6199481 49.2935784, 9.6203091 49.2934149, 9.6206088 49.2932106, 9.6209834 49.2929994, 9.6213989 49.2927951, 9.6218212 49.2925567, 9.6221413 49.2924, 9.6225841 49.2921412, 9.6231971 49.2918688)",,,
27388517,False,,Mühlsee,residential,True,351.984,,,"LINESTRING (9.6231971 49.2918688, 9.6225841 49.2921412, 9.6221413 49.2924, 9.6218212 49.2925567, 9.6213989 49.2927951, 9.6209834 49.2929994, 9.6206088 49.2932106, 9.6203091 49.2934149, 9.6199481 49.2935784, 9.6196059 49.2937568, 9.6193824 49.2937969)",,,
27268767,True,,Rauthausgäßle,residential,False,12.779,,,"LINESTRING (9.616268 49.2948135, 9.6163772 49.2949037)",2,,
27268766,False,,Keltergasse,residential,True,109.535,,,"LINESTRING (9.616268 49.2948135, 9.6161796 49.2947953, 9.615966 49.2947526, 9.6157208 49.2947216, 9.6156775 49.2947098, 9.6155227 49.2946774, 9.6151846 49.2946518, 9.615176 49.2947764, 9.6151871 49.2949089)",2,,
292953198,False,L 1044,Hauptstraße,secondary,False,58.331999999999994,,,"LINESTRING (9.6163772 49.2949037, 9.6165948 49.2948212, 9.6167687 49.294782, 9.616949 49.29476, 9.6171339 49.2947526)",,,
292953198,False,L 1044,Hauptstraße,secondary,True,8.190999999999999,,,"LINESTRING (9.6163772 49.2949037, 9.6163495 49.2949193, 9.6163299 49.2949398, 9.6162998 49.2949563)",,,
27268764,False,,Hintere Gasse,residential,True,79.67200000000001,,,"LINESTRING (9.6184196 49.2944982, 9.618282 49.294497, 9.6179944 49.2944703, 9.6177427 49.2944338, 9.6174947 49.2943939, 9.6173463 49.29436)",,,
26756642,False,,Gerberstraße,residential,True,9.366,,,"LINESTRING (9.6189734 49.2954411, 9.6189663 49.295357)",,,
26459282,False,,Pfarrgasse,residential,False,57.209999999999994,,,"LINESTRING (9.6189734 49.2954411, 9.6188863 49.2954814, 9.6188539 49.2955764, 9.6188397 49.2956156, 9.6187689 49.2956301, 9.6183738 49.2956549)",,,
"[737531040, 26756642, 47324964]",False,,Gerberstraße,residential,False,104.301,,yes,"LINESTRING (9.6189734 49.2954411, 9.6190183 49.2956129, 9.6191524 49.2959664, 9.6192854 49.2962394, 9.6193168 49.2963141, 9.6193294 49.2963488)",,,
27388519,False,,Bachwiesenstraße,residential,False,18.811999999999998,,,"LINESTRING (9.6195311 49.294793, 9.6196486 49.2947671, 9.6197743 49.2947343)",,,
27388519,False,,Bachwiesenstraße,residential,True,16.506,,,"LINESTRING (9.6195311 49.294793, 9.6194287 49.294812, 9.6193079 49.2948179)",,,
27388520,False,,Hörnlesweg,residential,False,183.16500000000002,,,"LINESTRING (9.6195311 49.294793, 9.6195659 49.2948361, 9.6195689 49.29489, 9.6195433 49.2950036, 9.6194961 49.2951838, 9.6194602 49.295329, 9.6194241 49.2955321, 9.6194126 49.2956161, 9.6194079 49.2956896, 9.6194182 49.2957581, 9.6194824 49.2958462, 9.6194992 49.295873, 9.6195146 49.2958974, 9.6195369 49.2960933, 9.619531 49.296161, 9.6195211 49.2962315, 9.6195012 49.2962766, 9.6194484 49.2963058, 9.6193294 49.2963488)",,,
27388519,False,,Bachwiesenstraße,residential,False,12.222,,,"LINESTRING (9.6197743 49.2947343, 9.6199374 49.2947066)",,,
27388519,False,,Bachwiesenstraße,residential,True,18.811999999999998,,,"LINESTRING (9.6197743 49.2947343, 9.6196486 49.2947671, 9.6195311 49.294793)",,,
328059289,False,,Bachmühle,residential,False,117.78,,,"LINESTRING (9.6197743 49.2947343, 9.6196572 49.2945295, 9.6196501 49.2943577, 9.6196613 49.2942609, 9.6196916 49.2940883, 9.6197627 49.2939903, 9.6198352 49.293923, 9.6201101 49.2938189)",,,
27388519,False,,Bachwiesenstraße,residential,True,12.222,,,"LINESTRING (9.6199374 49.2947066, 9.6197743 49.2947343)",,,
27388519,False,,Bachwiesenstraße,residential,False,74.883,,,"LINESTRING (9.6199374 49.2947066, 9.6204627 49.2945854, 9.6209063 49.2944739)",,,
654868533,False,,Bachwiesenstraße,residential,False,138.015,,,"LINESTRING (9.6199374 49.2947066, 9.6197889 49.2944377, 9.6207625 49.2942094, 9.6209063 49.2944739)",,,
27388519,False,,Bachwiesenstraße,residential,True,2.634,,,"LINESTRING (9.6209402 49.2944654, 9.6209063 49.2944739)",,,
27388519,False,,Bachwiesenstraße,residential,False,34.575,,,"LINESTRING (9.6209402 49.2944654, 9.6212798 49.2943462, 9.6213626 49.2943214)",,,
27388521,False,,Braunsbergweg,residential,False,151.519,,,"LINESTRING (9.6209402 49.2944654, 9.6209461 49.2946382, 9.6208448 49.2947812, 9.6204814 49.2951566, 9.6202251 49.2954247, 9.6201565 49.2955155, 9.6200404 49.295669)",,,
27388521,False,,Braunsbergweg,residential,True,151.51899999999998,,,"LINESTRING (9.6200404 49.295669, 9.6201565 49.2955155, 9.6202251 49.2954247, 9.6204814 49.2951566, 9.6208448 49.2947812, 9.6209461 49.2946382, 9.6209402 49.2944654)",,,
27388519,False,,Bachwiesenstraße,residential,True,72.811,,,"LINESTRING (9.6222749 49.2940482, 9.6216373 49.2942449, 9.6213626 49.2943214)",,,
27388519,False,,Bachwiesenstraße,residential,False,72.811,,,"LINESTRING (9.6213626 49.2943214, 9.6216373 49.2942449, 9.6222749 49.2940482)",,,
27388519,False,,Bachwiesenstraße,residential,True,34.575,,,"LINESTRING (9.6213626 49.2943214, 9.6212798 49.2943462, 9.6209402 49.2944654)",,,
"[38777025, 173677999]",False,L 1044,Neufelser Straße,secondary,False,331.8790000000001,,,"LINESTRING (9.6193429 49.291808, 9.6193104 49.2917868, 9.6187958 49.2914618, 9.6180247 49.2909728, 9.617955 49.29094, 9.617881 49.2909172, 9.6178106 49.2908987, 9.6177375 49.2909026, 9.6176782 49.290922, 9.6176446 49.2909581, 9.6176485 49.2909942, 9.6176742 49.2910264, 9.6177123 49.2910681, 9.6178412 49.2911663, 9.617948 49.2912368, 9.6180866 49.2913561, 9.6181956 49.2914597, 9.6182949 49.2915732, 9.6184099 49.2917253, 9.618487 49.2918745, 9.6185497 49.2920825, 9.6185604 49.2922817)",,,
644574622,False,,Haalstraße,residential,False,17.252000000000002,,,"LINESTRING (9.6117997 49.292534, 9.6116947 49.2925725, 9.6115918 49.2926094)",,,
"[644570496, 644574625, 644574626, 936492099, 40447553, 804725940]",False,L 1045,Weißbacher Straße,secondary,True,396.016,50,,"LINESTRING (9.6117997 49.292534, 9.6121439 49.2929678, 9.6125295 49.2935442, 9.6129835 49.2941758, 9.613257 49.2945405, 9.6135965 49.2949404, 9.6137669 49.2951197, 9.6139105 49.2952595, 9.6140622 49.2954072, 9.6141617 49.2955194, 9.6142441 49.295618, 9.6143056 49.2956925)",,"['2', '3']",
27391307,False,,Haalstraße,residential,False,68.74000000000001,,,"LINESTRING (9.6119702 49.2931761, 9.6116396 49.2926726, 9.6115918 49.2926094)",,,
644574621,False,,Haalstraße,residential,False,420.25000000000006,,,"LINESTRING (9.6119702 49.2931761, 9.612073 49.293372, 9.6121968 49.2936202, 9.6123155 49.2939466, 9.612408 49.2943282, 9.6124896 49.2947913, 9.612499 49.2948929, 9.6124907 49.2952874, 9.6124825 49.2956006, 9.6124819 49.2957289, 9.6125023 49.2958812, 9.6125858 49.2965663, 9.6126022 49.2967658, 9.612601 49.2969114)",,,
"[27389453, 804725942, 804725941]",False,,Haalstraße,residential,False,198.08300000000003,,,"LINESTRING (9.612601 49.2969114, 9.6126801 49.2968107, 9.6127564 49.2966869, 9.6127714 49.2965217, 9.6127724 49.2962912, 9.6127651 49.2961256, 9.6127571 49.2959344, 9.6127595 49.2958127, 9.6127952 49.2956892, 9.6128489 49.2955879, 9.6129366 49.2955143, 9.6129945 49.295459, 9.6130505 49.2953546, 9.6130543 49.29526, 9.6130924 49.2952033)",,,
