osmid,lanes,ref,name,highway,oneway,reversed,length,geometry
165503111,,,Magsaysay Street,residential,False,True,37.876,"LINESTRING (121.8592115 13.4742886, 121.8590161 13.4745713)"
165402556,,,Bonifacio Street,residential,False,True,16.572,"LINESTRING (121.8592375 13.4749023, 121.8593146 13.4747735)"
"[812992404, 165402556]",,,"['Bonifacio Street', 'Olaveria Street']",residential,False,"[False, True]",51.868,"LINESTRING (121.8592375 13.4749023, 121.8591693 13.4750374, 121.8594285 13.4752279)"
534745317,,,,residential,False,True,303.619,"LINESTRING (121.8592375 13.4749023, 121.8590681 13.4748001, 121.8585705 13.4748758, 121.8582386 13.4748177, 121.8579543 13.4748399, 121.8573146 13.4748816, 121.8569344 13.4747975, 121.8568251 13.4743717)"
165397985,,,Yakal Street,residential,False,False,42.328,"LINESTRING (121.859616 13.4749277, 121.8599488 13.4751281)"
165397985,,,Yakal Street,residential,False,True,36.827,"LINESTRING (121.859616 13.4749277, 121.8593146 13.4747735)"
534745301,,,,residential,False,True,39.056,"LINESTRING (121.859616 13.4749277, 121.8594285 13.4752279)"
534745301,,,,residential,False,False,39.056,"LINESTRING (121.8594285 13.4752279, 121.859616 13.4749277)"
534745301,,,,residential,False,True,23.818,"LINESTRING (121.8594285 13.4752279, 121.8593189 13.4754137)"
812992404,,,Olaveria Street,residential,False,True,42.647,"LINESTRING (121.8594285 13.4752279, 121.8597613 13.4754337)"
"[165402556, 812992404]",,,"['Olaveria Street', 'Bonifacio Street']",residential,False,"[False, True]",51.868,"LINESTRING (121.8594285 13.4752279, 121.8591693 13.4750374, 121.8592375 13.4749023)"
534745301,,,,residential,False,False,23.818,"LINESTRING (121.8593189 13.4754137, 121.8594285 13.4752279)"
165384455,,,,residential,False,True,47.266,"LINESTRING (121.8624195 13.4774586, 121.8619824 13.4774613)"
165384455,,,,residential,False,False,47.266,"LINESTRING (121.8619824 13.4774613, 121.8624195 13.4774586)"
165384455,,,,residential,False,True,260.23299999999995,"LINESTRING (121.8619824 13.4774613, 121.861238 13.4774313, 121.8610932 13.477756, 121.860951 13.4777965, 121.8606464 13.4777517, 121.8600229 13.4772023)"
534745302,,,,residential,False,False,234.20000000000002,"LINESTRING (121.8619824 13.4774613, 121.8620414 13.4769292, 121.862327 13.4763554, 121.8615462 13.4758123)"
822499966,,,,residential,False,False,72.514,"LINESTRING (121.8642595 13.4714202, 121.863589 13.4714097)"
