osmid,highway,oneway,reversed,length,name,geometry
382195870,residential,False,True,135.474,,"LINESTRING (125.0137014 10.7468309, 125.0133667 10.7466625, 125.0125976 10.7462756)"
711332877,residential,False,False,97.521,President M. Quezon,"LINESTRING (125.0111008 10.7471437, 125.0118753 10.7475798)"
711332877,residential,False,True,60.76,President M. Quezon,"LINESTRING (125.0111008 10.7471437, 125.0106168 10.7468745)"
711332879,residential,False,False,72.231,,"LINESTRING (125.0111008 10.7471437, 125.0114049 10.7465669)"
165939517,residential,False,False,101.181,,"LINESTRING (125.0114049 10.7465669, 125.0122134 10.7470108)"
165939517,residential,False,True,56.327,,"LINESTRING (125.0114049 10.7465669, 125.0109498 10.7463288)"
711332879,residential,False,True,72.231,,"LINESTRING (125.0114049 10.7465669, 125.0111008 10.7471437)"
154878184,residential,False,False,50.574,,"LINESTRING (125.0104594 10.7460675, 125.0106986 10.7456781)"
154878184,residential,False,True,65.645,,"LINESTRING (125.0104594 10.7460675, 125.010149 10.746573)"
893281214,residential,False,False,60.946,,"LINESTRING (125.0104594 10.7460675, 125.0109498 10.7463288)"
910434191,residential,False,True,61.554,,"LINESTRING (125.0150304 10.7441036, 125.0145184 10.7438725)"
