osmid,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,bridge,junction
224648961,residential,False,True,236.411,"LINESTRING (122.5914688 10.7890294, 122.5922687 10.7888249, 122.5924751 10.7887836, 122.5930626 10.7886661, 122.5932185 10.7886044, 122.5933499 10.7885255, 122.5933664 10.7884789, 122.5933693 10.7884332, 122.5933304 10.7883335)",,,,,,
247844100,residential,False,False,14.74,"LINESTRING (122.5933304 10.7883335, 122.5932811 10.7882101)",,,,,,
224648961,residential,False,False,236.411,"LINESTRING (122.5933304 10.7883335, 122.5933693 10.7884332, 122.5933664 10.7884789, 122.5933499 10.7885255, 122.5932185 10.7886044, 122.5930626 10.7886661, 122.5924751 10.7887836, 122.5922687 10.7888249, 122.5914688 10.7890294)",,,,,,
224648994,secondary,False,False,80.666,"LINESTRING (122.5896265 10.7855172, 122.5896523 10.7855509, 122.5900856 10.7860854)",,,,,,
480831171,secondary,True,False,3.973,"LINESTRING (122.5896265 10.7855172, 122.5896114 10.7855272, 122.5895934 10.7855296)",,,,,,circular
224648971,residential,False,False,49.961,"LINESTRING (122.587714 10.7835442, 122.5880618 10.7832524)",,,,,,
224648971,residential,False,True,47.078,"LINESTRING (122.587714 10.7835442, 122.5873715 10.7838012)",,,,,,
224648996,residential,False,True,115.798,"LINESTRING (122.587714 10.7835442, 122.588377 10.7843568)",,,,,,
224648997,residential,False,False,31.435,"LINESTRING (122.5927722 10.7869066, 122.5929789 10.7867099)",,,,,,
224648997,residential,False,True,34.549,"LINESTRING (122.5927722 10.7869066, 122.5925347 10.7871118)",,,,,,
247844097,residential,False,True,97.123,"LINESTRING (122.5927722 10.7869066, 122.5932699 10.7876304)",,,,,,
224648969,residential,False,False,68.558,"LINESTRING (122.5928324 10.7830296, 122.5932518 10.7834883)",,,,,,
224648963,secondary,False,False,40.69,"LINESTRING (122.5928324 10.7830296, 122.5930872 10.782834, 122.5931175 10.782796)",Calle Progresso,,,,,
224648963,secondary,False,True,83.654,"LINESTRING (122.5928324 10.7830296, 122.5925053 10.7832737, 122.5923861 10.7833643, 122.5922267 10.7834899)",Calle Progresso,,,,,
224648957,residential,False,False,26.482,"LINESTRING (122.5929789 10.7867099, 122.5931208 10.786903)",,,,,,
224648997,residential,False,True,31.435,"LINESTRING (122.5929789 10.7867099, 122.5927722 10.7869066)",,,,,,
224648963,secondary,False,False,28.463,"LINESTRING (122.5903636 10.7848892, 122.5905719 10.7847354)",Calle Progresso,,,,,
901859131,secondary,False,False,91.959,"LINESTRING (122.5903636 10.7848892, 122.59083 10.7855777)",Hilado Street,,,,,
224648965,unclassified,False,True,128.596,"LINESTRING (122.5903636 10.7848892, 122.5903321 10.7848427, 122.5901992 10.7846465, 122.5897114 10.7839264)",Hilado Street,,,,,
821381588,residential,False,False,83.167,"LINESTRING (122.591809 10.7861996, 122.5919798 10.7864583, 122.592231 10.7868221)",,,,,,
224648993,residential,False,False,48.439,"LINESTRING (122.5891306 10.7830547, 122.5888909 10.7826882)",,,,,,
224648993,residential,False,True,58.686,"LINESTRING (122.5891306 10.7830547, 122.5894177 10.7835008)",,,,,,
224648951,residential,False,False,112.838,"LINESTRING (122.5891306 10.7830547, 122.5893636 10.7829062, 122.5894926 10.7828256, 122.5895863 10.7827703, 122.5896989 10.7826804, 122.5897404 10.7826016, 122.5897881 10.7825076, 122.5898046 10.7823604)",,,,,,
224648980,residential,False,True,15.783,"LINESTRING (122.592231 10.7868221, 122.5921132 10.7869043)",,,,,,
224648999,residential,False,False,47.554,"LINESTRING (122.592231 10.7868221, 122.59231 10.7868565, 122.5923798 10.7868973, 122.5925347 10.7871118)",,,,,,
821381588,residential,False,True,83.167,"LINESTRING (122.592231 10.7868221, 122.5919798 10.7864583, 122.591809 10.7861996)",,,,,,
170317538,trunk,False,False,13.628,"LINESTRING (122.5907709 10.789526, 122.5907161 10.7894159)",Iloilo-Capiz Road,4,5,,,
224648995,residential,False,True,90.195,"LINESTRING (122.5907709 10.789526, 122.5911394 10.7893835, 122.5915634 10.7893149)",,,,,,
224648997,residential,False,False,34.549,"LINESTRING (122.5925347 10.7871118, 122.5927722 10.7869066)",,,,,,
224648999,residential,False,False,95.879,"LINESTRING (122.5925347 10.7871118, 122.593025 10.787827)",,,,,,
224648999,residential,False,True,47.553999999999995,"LINESTRING (122.5925347 10.7871118, 122.5923798 10.7868973, 122.59231 10.7868565, 122.592231 10.7868221)",,,,,,
224648960,residential,False,False,34.547,"LINESTRING (122.593025 10.787827, 122.5932699 10.7876304)",,,,,,
224648960,residential,False,True,25.094,"LINESTRING (122.593025 10.787827, 122.5928397 10.7879604)",,,,,,
224648999,residential,False,True,95.879,"LINESTRING (122.593025 10.787827, 122.5925347 10.7871118)",,,,,,
224648980,residential,False,False,15.783,"LINESTRING (122.5921132 10.7869043, 122.592231 10.7868221)",,,,,,
224648980,residential,False,True,34.886,"LINESTRING (122.5921132 10.7869043, 122.5918639 10.7871004)",,,,,,
247844098,residential,False,True,141.732,"LINESTRING (122.5921132 10.7869043, 122.5928397 10.7879604)",,,,,,
480831175,residential,False,False,26.531,"LINESTRING (122.5925957 10.788184, 122.5927261 10.7883853)",Hilado Street,,,,,
480831175,residential,False,True,49.995,"LINESTRING (122.5925957 10.788184, 122.5923418 10.7878099)",Hilado Street,,,,,
"[224648960, 224648974]",residential,False,False,46.922,"LINESTRING (122.5925957 10.788184, 122.5928562 10.7881025, 122.5928716 10.7880843, 122.5928742 10.7880579, 122.5928397 10.7879604)",,,,,,
224648974,residential,False,True,83.237,"LINESTRING (122.5925957 10.788184, 122.5923493 10.7882905, 122.5922606 10.7883149, 122.5921974 10.788301, 122.5920913 10.7881843, 122.591987 10.7880442)",,,,,,
224648966,residential,False,False,28.989,"LINESTRING (122.592793 10.7838326, 122.5930019 10.7836718)",,,,,,
224648972,residential,False,True,37.676,"LINESTRING (122.592793 10.7838326, 122.5930149 10.784092)",,,,,,
"[224648966, 224648959]",residential,False,True,101.931,"LINESTRING (122.592793 10.7838326, 122.5923067 10.7842051, 122.5922833 10.7842333, 122.5922858 10.7842528, 122.5924478 10.7844519)",,,,,,
224648993,residential,False,False,58.686,"LINESTRING (122.5894177 10.7835008, 122.5891306 10.7830547)",,,,,,
224648993,residential,False,True,57.174,"LINESTRING (122.5894177 10.7835008, 122.5897114 10.7839264)",,,,,,
224648976,residential,False,False,71.333,"LINESTRING (122.5894177 10.7835008, 122.5895806 10.7834268, 122.5898073 10.7833091, 122.5899902 10.7831941)",,,,,,
224648996,residential,False,False,115.798,"LINESTRING (122.588377 10.7843568, 122.587714 10.7835442)",,,,,,
224648996,residential,False,True,47.815,"LINESTRING (122.588377 10.7843568, 122.5886406 10.7847001)",,,,,,
224648983,residential,False,False,211.146,"LINESTRING (122.588377 10.7843568, 122.5888646 10.7840006, 122.5889755 10.7838715, 122.5890083 10.7837563, 122.5889638 10.783648, 122.5888254 10.7834499, 122.5886964 10.7832725, 122.5884284 10.782922)",,,,,,
224648949,residential,False,True,33.386,"LINESTRING (122.5915634 10.7893149, 122.5914688 10.7890294)",,,,,,
224648995,residential,False,True,5.287,"LINESTRING (122.5915634 10.7893149, 122.5916116 10.7893106)",,,,,,
224648995,residential,False,False,90.195,"LINESTRING (122.5915634 10.7893149, 122.5911394 10.7893835, 122.5907709 10.789526)",,,,,,
224648960,residential,False,True,34.547,"LINESTRING (122.5932699 10.7876304, 122.593025 10.787827)",,,,,,
247844097,residential,False,False,97.123,"LINESTRING (122.5932699 10.7876304, 122.5927722 10.7869066)",,,,,,
224648957,residential,False,False,25.514,"LINESTRING (122.5931208 10.786903, 122.5932516 10.7870931)",,,,,,
224648957,residential,False,True,26.482,"LINESTRING (122.5931208 10.786903, 122.5929789 10.7867099)",,,,,,
252076369,residential,False,False,74.92,"LINESTRING (122.5877261 10.7843938, 122.5871427 10.7847481)",,,,,,
821683411,trunk,False,False,32.742,"LINESTRING (122.5877261 10.7843938, 122.5875702 10.7841423)",Iloilo-Capiz Road,4,5,40,,
821683411,trunk,False,True,86.058,"LINESTRING (122.5877261 10.7843938, 122.5877937 10.7845038, 122.5881349 10.7850554)",Iloilo-Capiz Road,4,5,40,,
247184954,residential,False,True,7.847,"LINESTRING (122.5874646 10.7813222, 122.5875235 10.7812818)",,,,,,
247184954,residential,False,False,25.912,"LINESTRING (122.5877034 10.7811299, 122.5875235 10.7812818)",,,,,,
247184954,residential,False,False,7.847,"LINESTRING (122.5875235 10.7812818, 122.5874646 10.7813222)",,,,,,
247184954,residential,False,True,25.912,"LINESTRING (122.5875235 10.7812818, 122.5877034 10.7811299)",,,,,,
"[247185098, 171225231]",residential,False,True,123.244,"LINESTRING (122.5875235 10.7812818, 122.587261 10.7810124, 122.5872195 10.7809979, 122.5871634 10.7810043, 122.5866788 10.7814271)",,,,,,
1214763904,trunk,False,False,13.9,"LINESTRING (122.5892156 10.7868297, 122.5891561 10.7867192)",Iloilo-Capiz Road,4,5,40,,
821683408,residential,False,True,233.63299999999998,"LINESTRING (122.5892156 10.7868297, 122.588569 10.7872517, 122.5882065 10.7874994, 122.587418 10.787967)",,,,,,
1214763904,trunk,False,True,161.68900000000002,"LINESTRING (122.5892156 10.7868297, 122.5892304 10.7868506, 122.5897039 10.787609, 122.5899863 10.7880711)",Iloilo-Capiz Road,4,5,40,,
821683408,residential,False,False,233.63299999999998,"LINESTRING (122.587418 10.787967, 122.5882065 10.7874994, 122.588569 10.7872517, 122.5892156 10.7868297)",,,,,,
170317538,trunk,False,True,43.59,"LINESTRING (122.5905388 10.7890647, 122.5907161 10.7894159)",Iloilo-Capiz Road,4,5,,,
821683414,unclassified,False,True,243.932,"LINESTRING (122.5905388 10.7890647, 122.5883964 10.7896839)",,,,,,
247779111,residential,False,True,250.94599999999997,"LINESTRING (122.5905388 10.7890647, 122.5908042 10.7889406, 122.5913875 10.7887818, 122.5918094 10.7886633, 122.5927261 10.7883853)",,,,,,
"[1215704296, 1214763904, 1215704295]",trunk,False,False,126.045,"LINESTRING (122.5905388 10.7890647, 122.5905217 10.7890241, 122.5905148 10.7890107, 122.5904919 10.7889663, 122.5902634 10.7885242, 122.5900036 10.7880906, 122.5899863 10.7880711)",Iloilo-Capiz Road,4,5,40,yes,
247844102,residential,False,True,63.67,"LINESTRING (122.5919533 10.7872358, 122.5914822 10.787573)",,,,,,
480831175,residential,False,False,37.679,"LINESTRING (122.5919533 10.7872358, 122.5921444 10.7875179)",Hilado Street,,,,,
480831175,residential,False,True,17.945,"LINESTRING (122.5919533 10.7872358, 122.5918639 10.7871004)",Hilado Street,,,,,
224648974,residential,False,False,49.739,"LINESTRING (122.5921444 10.7875179, 122.5917751 10.7877796)",,,,,,
480831175,residential,False,False,38.976,"LINESTRING (122.5921444 10.7875179, 122.5923418 10.7878099)",Hilado Street,,,,,
480831175,residential,False,True,37.679,"LINESTRING (122.5921444 10.7875179, 122.5919533 10.7872358)",Hilado Street,,,,,
247844099,residential,False,False,36.02,"LINESTRING (122.5914822 10.787573, 122.5912146 10.7877623)",,,,,,
