osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge
"[165831083, 165831819, 165831821]",tertiary,False,False,99.49799999999999,"LINESTRING (124.391481 11.2149391, 124.391449 11.2151254, 124.3914436 11.2151645, 124.3914301 11.2152509, 124.391426 11.2152698, 124.3913085 11.2158175)",,,,yes
165831085,residential,False,False,65.771,"LINESTRING (124.3920731 11.2150511, 124.391481 11.2149391)",,,,
165831120,residential,False,False,32.454,"LINESTRING (124.3920731 11.2150511, 124.3920224 11.2153387)",,,,
165831120,residential,False,True,80.815,"LINESTRING (124.3920731 11.2150511, 124.3921711 11.2143307)",,,,
165831120,residential,False,True,32.454,"LINESTRING (124.3920224 11.2153387, 124.3920731 11.2150511)",,,,
165831819,tertiary,False,False,39.01,"LINESTRING (124.3913085 11.2158175, 124.3912506 11.2161637)",,,,
"[165831083, 165831819, 165831821]",tertiary,False,True,99.49799999999999,"LINESTRING (124.3913085 11.2158175, 124.391426 11.2152698, 124.3914301 11.2152509, 124.3914436 11.2151645, 124.391449 11.2151254, 124.391481 11.2149391)",,,,yes
"[165835211, 906003468]",residential,False,False,313.09600000000006,"LINESTRING (124.3913085 11.2158175, 124.3918942 11.2160334, 124.3918756 11.2165541, 124.3918728 11.2166757, 124.3918663 11.2169523, 124.3918663 11.2173873, 124.3918663 11.2174163, 124.3918905 11.2177616, 124.3919817 11.2182256)",,,,
165831819,tertiary,False,True,39.01,"LINESTRING (124.3912506 11.2161637, 124.3913085 11.2158175)",,,,
165831819,tertiary,False,False,280.95799999999997,"LINESTRING (124.3912506 11.2161637, 124.3912124 11.216475, 124.3911531 11.2170783, 124.3911307 11.2171635, 124.3910886 11.2172359, 124.3910069 11.2173276, 124.3903183 11.2178792, 124.3901088 11.2180471, 124.3899679 11.2181569)",,,,
165835216,residential,False,True,88.039,"LINESTRING (124.3912506 11.2161637, 124.3910409 11.2161276, 124.3908047 11.2161083, 124.3904839 11.2159541)",,,,
165831819,tertiary,False,True,280.95799999999997,"LINESTRING (124.3899679 11.2181569, 124.3901088 11.2180471, 124.3903183 11.2178792, 124.3910069 11.2173276, 124.3910886 11.2172359, 124.3911307 11.2171635, 124.3911531 11.2170783, 124.3912124 11.216475, 124.3912506 11.2161637)",,,,
165835208,residential,False,False,77.63900000000001,"LINESTRING (124.3899679 11.2181569, 124.3896243 11.2180163, 124.3895573 11.2179761, 124.3893654 11.2178026)",,,,
165835216,residential,False,False,49.397,"LINESTRING (124.3907246 11.2153886, 124.3906501 11.215595, 124.3906241 11.2157503, 124.3905961 11.2158124)",,,,
165835207,residential,False,False,37.093,"LINESTRING (124.3902833 11.2156845, 124.390395 11.2157448, 124.3905961 11.2158124)",,,,
165835207,residential,False,True,37.093,"LINESTRING (124.3905961 11.2158124, 124.390395 11.2157448, 124.3902833 11.2156845)",,,,
165835216,residential,False,False,24.049,"LINESTRING (124.3905961 11.2158124, 124.3906203 11.2158489, 124.3906017 11.2158781, 124.3904839 11.2159541)",,,,
165835216,residential,False,True,49.397000000000006,"LINESTRING (124.3905961 11.2158124, 124.3906241 11.2157503, 124.3906501 11.215595, 124.3907246 11.2153886)",,,,
913088199,residential,False,False,22.868,"LINESTRING (124.3904839 11.2159541, 124.3903171 11.2160787)",,,,
165835216,residential,False,False,88.03900000000002,"LINESTRING (124.3904839 11.2159541, 124.3908047 11.2161083, 124.3910409 11.2161276, 124.3912506 11.2161637)",,,,
165835216,residential,False,True,24.049,"LINESTRING (124.3904839 11.2159541, 124.3906017 11.2158781, 124.3906203 11.2158489, 124.3905961 11.2158124)",,,,
"[716025773, 716025774, 716025775]",primary,False,False,212.67800000000003,"LINESTRING (124.3950823 11.2175673, 124.3948508 11.2169741, 124.3948187 11.216891, 124.3945383 11.2160797, 124.3944309 11.2157649)",2,684,Santo Rosario-Villaba Road,yes
