osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge
709689237,沙成路,residential,False,False,157.44,"LINESTRING (121.823493 24.8576088, 121.8238121 24.8573698, 121.8242313 24.857065, 121.8246991 24.8567105)",,,
"[129008186, 709689236, 709689237]",沙成路,"['residential', 'unclassified']",False,True,93.783,"LINESTRING (121.823493 24.8576088, 121.8234775 24.8576159, 121.8232301 24.8577281, 121.8231565 24.8577666, 121.8231179 24.8577869, 121.8227017 24.8580047, 121.8226795 24.8580162)",,,
85644656,吉祥路,tertiary,False,True,154.87,"LINESTRING (121.8192069 24.8579008, 121.8198075 24.8574362, 121.820375 24.8569972)",,宜3,
129008198,公園路,residential,False,True,315.55499999999995,"LINESTRING (121.8192069 24.8579008, 121.8193594 24.8581699, 121.819542 24.8584475, 121.8196656 24.8586548, 121.8199407 24.8590912, 121.8202233 24.859544, 121.8207283 24.8603798)",,,
129008185,纘祥路,residential,False,False,237.00400000000002,"LINESTRING (121.8226795 24.8580162, 121.82264 24.8579336, 121.8223298 24.8572876, 121.8221456 24.8569026, 121.8216785 24.8560894)",,,
129008185,纘祥路,residential,False,True,81.988,"LINESTRING (121.8226795 24.8580162, 121.8229476 24.8585952, 121.8229912 24.8586971)",,,
"[129008186, 709689236, 709689237]",沙成路,"['unclassified', 'residential']",False,False,93.783,"LINESTRING (121.8226795 24.8580162, 121.8227017 24.8580047, 121.8231179 24.8577869, 121.8231565 24.8577666, 121.8232301 24.8577281, 121.8234775 24.8576159, 121.823493 24.8576088)",,,
129008185,纘祥路,residential,False,False,278.01099999999997,"LINESTRING (121.8248589 24.8598374, 121.82446 24.8600352, 121.8243031 24.8600808, 121.8241744 24.8600833, 121.823998 24.8600176, 121.8238863 24.859961, 121.8237747 24.8598935, 121.8236842 24.8598277, 121.8235872 24.8597438, 121.8235044 24.8596489, 121.8234012 24.8595186, 121.8233593 24.8594547, 121.8232233 24.8591659, 121.8230475 24.8588108, 121.8229912 24.8586971)",,,
750875896,開蘭路,tertiary,False,False,83.85,"LINESTRING (121.8248589 24.8598374, 121.8246071 24.8595443, 121.8243894 24.8592168)",2,,
"[750875897, 1028631198, 1028631199]",開蘭路,tertiary,False,True,160.962,"LINESTRING (121.8248589 24.8598374, 121.825105 24.8601562, 121.8252177 24.8603022, 121.8253111 24.8604232, 121.825434 24.8605907, 121.82573 24.860994, 121.8257618 24.8610306)",2,,yes
129008198,公園路,residential,False,False,315.55499999999995,"LINESTRING (121.8207283 24.8603798, 121.8202233 24.859544, 121.8199407 24.8590912, 121.8196656 24.8586548, 121.819542 24.8584475, 121.8193594 24.8581699, 121.8192069 24.8579008)",,,
1028631197,公園路,residential,False,True,379.293,"LINESTRING (121.8207283 24.8603798, 121.8214468 24.8615387, 121.8216569 24.8618775, 121.8225712 24.8633529)",,,
