osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref
"[5286689, 480761834, 480761833]",West Ross Street,residential,False,False,160.481,"LINESTRING (-122.5769223 45.1484453, -122.577011 45.1484535, -122.5772813 45.148483, -122.5775921 45.148517, -122.5776352 45.1485217, -122.5778862 45.1485492, -122.5783085 45.1485953, -122.5784422 45.1486099, -122.5785451 45.148621, -122.578945 45.148664)",,,
1178198568,North Molalla Avenue,secondary,False,False,220.689,"LINESTRING (-122.5769223 45.1484453, -122.576909 45.1485005, -122.5768368 45.1488417, -122.5767898 45.1490597, -122.5767471 45.1492584, -122.5766768 45.1495827, -122.5766574 45.1496744, -122.5766099 45.1498933, -122.576517 45.150319, -122.576512 45.1503421, -122.576498 45.1504073)",35 mph,,
1178198568,North Molalla Avenue,secondary,False,True,102.02000000000001,"LINESTRING (-122.5769223 45.1484453, -122.576937 45.1483772, -122.5770246 45.1479572, -122.577095 45.1476192, -122.577128 45.1475401)",35 mph,,
1178198572,East Ross Street,residential,False,True,51.153000000000006,"LINESTRING (-122.5769223 45.1484453, -122.576813 45.1484352, -122.5762781 45.1483734)",,,
5300264,Kennel Avenue,residential,False,False,317.343,"LINESTRING (-122.578945 45.148664, -122.5789042 45.1488533, -122.5788701 45.1490117, -122.5788434 45.1491353, -122.5787978 45.1493471, -122.5787479 45.1495786, -122.5787295 45.1496268, -122.5787197 45.1496523, -122.5786863 45.1497146, -122.5786498 45.1497689, -122.5786363 45.1497866, -122.5785985 45.1498363, -122.5785066 45.1499294, -122.5784933 45.1499458, -122.5784808 45.1499613, -122.5784462 45.1500098, -122.578412 45.150063, -122.578344 45.150208, -122.578315 45.1503043, -122.578304 45.150341, -122.5782763 45.1504972, -122.578242 45.150691, -122.578078 45.151427)",,,
5300264,Kennel Avenue,residential,False,True,102.442,"LINESTRING (-122.578945 45.148664, -122.5790255 45.1483092, -122.5790454 45.1482217, -122.5790773 45.1480814, -122.5791308 45.1478455, -122.5791515 45.1477543)",,,
"[480761833, 480761834, 5286689]",West Ross Street,residential,False,True,160.48099999999997,"LINESTRING (-122.578945 45.148664, -122.5785451 45.148621, -122.5784422 45.1486099, -122.5783085 45.1485953, -122.5778862 45.1485492, -122.5776352 45.1485217, -122.5775921 45.148517, -122.5772813 45.148483, -122.577011 45.1484535, -122.5769223 45.1484453)",,,
5308221,Lola Avenue,residential,False,False,89.297,"LINESTRING (-122.5745142 45.1430407, -122.5741535 45.1438024)",,,
126561740,East 5th Street,tertiary,False,False,54.479,"LINESTRING (-122.5745142 45.1430407, -122.5748324 45.1431162, -122.5750066 45.1431573, -122.5751727 45.1431966)",,,
126561740,East 5th Street,tertiary,False,False,25.151,"LINESTRING (-122.5751727 45.1431966, -122.5754767 45.1432686)",,,
