osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,bridge
941362295,False,,American Street,residential,True,110.387,"LINESTRING (-121.285428 37.961748, -121.285407 37.9616701, -121.2853237 37.9613614, -121.285166 37.960777)",,
875750453,False,,Acacia Street,residential,True,116.792,"LINESTRING (-121.2950824 37.9621645, -121.2963847 37.9619432)",,
10546520,False,,North Commerce Street,residential,True,111.845,"LINESTRING (-121.2950824 37.9621645, -121.2950001 37.9618628, -121.2949433 37.9616536, -121.294815 37.961181)",,
392609926,True,4,North El Dorado Street,secondary,False,111.77199999999999,"LINESTRING (-121.2914389 37.9586871, -121.2916326 37.9594774, -121.291681 37.959674)",,
875750459,True,2,East Oak Street,tertiary,False,119.403,"LINESTRING (-121.2914389 37.9586871, -121.2906698 37.9588188, -121.290108 37.958915)",,
392524542,True,4,North El Dorado Street,secondary,False,59.143,"LINESTRING (-121.2900882 37.9538095, -121.2902312 37.9543293)",,
875750462,True,,East Weber Avenue,tertiary,False,116.85000000000001,"LINESTRING (-121.2900882 37.9538095, -121.2903195 37.9537734, -121.2913823 37.9535593)",,
875750455,False,,West Fremont Street,residential,False,116.074,"LINESTRING (-121.2937695 37.957313, -121.2924682 37.9575052)",,
10546520,False,,North Commerce Street,residential,False,106.638,"LINESTRING (-121.2937695 37.957313, -121.2939006 37.9578264, -121.2940195 37.9582515)",,
875750455,False,,West Fremont Street,residential,True,117.59700000000001,"LINESTRING (-121.2937695 37.957313, -121.2941705 37.9572419, -121.2945638 37.9571735, -121.295079 37.9570841)",,
876613975,True,2,West Oak Street,tertiary,False,116.814,"LINESTRING (-121.2940195 37.9582515, -121.2927189 37.9584796)",,
10546520,False,,North Commerce Street,residential,False,110.374,"LINESTRING (-121.2940195 37.9582515, -121.2941627 37.9587818, -121.2942826 37.9592222)",,
10546520,False,,North Commerce Street,residential,True,106.638,"LINESTRING (-121.2940195 37.9582515, -121.2939006 37.9578264, -121.2937695 37.957313)",,
10546520,False,,North Commerce Street,residential,False,111.623,"LINESTRING (-121.2942826 37.9592222, -121.294548 37.960204)",,
10546520,False,,North Commerce Street,residential,True,110.374,"LINESTRING (-121.2942826 37.9592222, -121.2941627 37.9587818, -121.2940195 37.9582515)",,
876613968,True,2,West Park Street,tertiary,False,116.804,"LINESTRING (-121.2942826 37.9592222, -121.2954531 37.9590251, -121.2955855 37.9590028)",,
875750468,False,,North Sutter Street,residential,True,41.442,"LINESTRING (-121.2862717 37.9548292, -121.2861743 37.9544645)",,
855639546,False,,North Sutter Street,residential,False,24.244,"LINESTRING (-121.2862717 37.9548292, -121.286286 37.954882, -121.2863296 37.9550424)",,
876242057,False,,North Sutter Street,residential,False,16.923,"LINESTRING (-121.2863296 37.9550424, -121.2863701 37.9551912)",,
855639546,False,,North Sutter Street,residential,True,24.244,"LINESTRING (-121.2863296 37.9550424, -121.286286 37.954882, -121.2862717 37.9548292)",,
875750463,False,,North Sutter Street,residential,False,14.192,"LINESTRING (-121.2863701 37.9551912, -121.286404 37.955316)",,
876242057,False,,North Sutter Street,residential,True,16.923,"LINESTRING (-121.2863701 37.9551912, -121.2863296 37.9550424)",,
1154244732,True,2,East Miner Avenue,secondary,False,12.555000000000001,"LINESTRING (-121.2872697 37.956323, -121.2873137 37.9563159, -121.2874097 37.9562993)",,
680036972,True,,East Weber Avenue,tertiary,False,116.15,"LINESTRING (-121.2913473 37.9534448, -121.2900623 37.9536987)",,
875750461,True,4,North El Dorado Street,secondary,False,12.528,"LINESTRING (-121.2900623 37.9536987, -121.2900882 37.9538095)",,
680036972,True,,East Weber Avenue,tertiary,False,234.462,"LINESTRING (-121.2900623 37.9536987, -121.2890599 37.9538658, -121.2887753 37.9539133, -121.2887488 37.9539177, -121.2874462 37.9541356)",,
876242046,True,,East Weber Avenue,tertiary,False,116.791,"LINESTRING (-121.2874462 37.9541356, -121.2861449 37.95436)",,
876242047,False,,North San Joaquin Street,residential,False,12.516,"LINESTRING (-121.2874462 37.9541356, -121.2874598 37.9541827, -121.2874782 37.9542453)",,
10538023,False,,North Sutter Street,residential,True,112.407,"LINESTRING (-121.2861449 37.95436, -121.2858813 37.9533707)",,
875777406,False,,North Sutter Street,residential,False,11.902,"LINESTRING (-121.2861449 37.95436, -121.2861743 37.9544645)",,
876613966,False,,North San Joaquin Street,residential,False,94.705,"LINESTRING (-121.2880645 37.9563578, -121.288278 37.9571927)",,
1154244737,True,,North San Joaquin Street,residential,False,13.04,"LINESTRING (-121.2880645 37.9563578, -121.2880972 37.9562434)",,
1154244739,True,,,secondary,False,10.617,"LINESTRING (-121.2881356 37.9560717, -121.2880972 37.9560417, -121.2880483 37.9560237, -121.2880353 37.9560226)",roundabout,
1154244731,True,,North San Joaquin Street,residential,False,11.528,"LINESTRING (-121.2879467 37.9559381, -121.2879232 37.9560401)",,
876613964,False,,North San Joaquin Street,residential,True,96.25200000000001,"LINESTRING (-121.2879467 37.9559381, -121.2878664 37.9556579, -121.2877068 37.9550934)",,
1154244739,True,,,secondary,False,10.46,"LINESTRING (-121.2879232 37.9560401, -121.2879066 37.9560479, -121.2878736 37.9560775, -121.2878541 37.9561138)",roundabout,
1154244732,True,2,East Miner Avenue,secondary,False,42.308,"LINESTRING (-121.2874097 37.9562993, -121.2878804 37.9562155)",,
