osmid,lanes,highway,oneway,reversed,length,ref,name,maxspeed,geometry,width
44711841,,tertiary,False,True,132.106,HI-3940,West Kamehameha Avenue,30 mph,"LINESTRING (-156.4691382 20.887616, -156.4695085 20.887473, -156.4696728 20.8873875, -156.4697903 20.887323, -156.4698956 20.8872479, -156.4699928 20.8871714, -156.4701858 20.8869729)",
44726782,2,tertiary,False,False,117.95299999999999,HI 3950,Lono Avenue,30 mph,"LINESTRING (-156.4691382 20.887616, -156.4693537 20.8882241, -156.4694564 20.8885199, -156.4694896 20.8886078, -156.469495 20.888623)",
44726782,2,tertiary,False,True,152.649,HI 3950,Lono Avenue,30 mph,"LINESTRING (-156.4691382 20.887616, -156.4689835 20.8872281, -156.4688564 20.8869093, -156.4688281 20.8868382, -156.468637 20.8863256)",
44711841,,tertiary,False,False,132.106,HI-3940,West Kamehameha Avenue,30 mph,"LINESTRING (-156.4701858 20.8869729, -156.4699928 20.8871714, -156.4698956 20.8872479, -156.4697903 20.887323, -156.4696728 20.8873875, -156.4695085 20.887473, -156.4691382 20.887616)",
44711841,,tertiary,False,True,157.833,HI-3940,West Kamehameha Avenue,30 mph,"LINESTRING (-156.4701858 20.8869729, -156.4702332 20.8869141, -156.4703228 20.8868029, -156.4704143 20.886674, -156.4704328 20.8866479, -156.4705288 20.8864769, -156.4706289 20.8862709, -156.4706835 20.8860839, -156.4707469 20.8858174, -156.4707682 20.8856844)",
"[44713121, 44727919]",,residential,False,"[False, True]",302.78999999999996,,"['Vevau Street', 'School Street']",,"LINESTRING (-156.4701858 20.8869729, -156.470359 20.887197, -156.470409 20.88726, -156.470538 20.887468, -156.4705965 20.887552, -156.470691 20.887756, -156.470751 20.887895, -156.4708622 20.8881799, -156.469767 20.888526, -156.469495 20.888623)",
44711841,,tertiary,False,False,157.83300000000003,HI-3940,West Kamehameha Avenue,30 mph,"LINESTRING (-156.4707682 20.8856844, -156.4707469 20.8858174, -156.4706835 20.8860839, -156.4706289 20.8862709, -156.4705288 20.8864769, -156.4704328 20.8866479, -156.4704143 20.886674, -156.4703228 20.8868029, -156.4702332 20.8869141, -156.4701858 20.8869729)",
44711841,,tertiary,False,True,82.024,HI-3940,West Kamehameha Avenue,30 mph,"LINESTRING (-156.4707682 20.8856844, -156.4707881 20.8855692, -156.4708082 20.8854059, -156.4708379 20.8851694, -156.470886 20.8849556)",
44712269,,residential,False,False,233.339,,West Kane Street,,"LINESTRING (-156.4707682 20.8856844, -156.470646 20.8857233, -156.4705031 20.88573, -156.4703498 20.8857587, -156.4701973 20.8857989, -156.4700934 20.8858309, -156.468637 20.8863256)",
"[435740832, 435740833, 44725947]",5,"['residential', 'unclassified']",False,"[False, True]",451.0679999999999,,Kane Street,20 mph,"LINESTRING (-156.4707682 20.8856844, -156.4708547 20.8857341, -156.4710685 20.8857919, -156.4711674 20.8858198, -156.4713064 20.8858773, -156.471475 20.885991, -156.4715679 20.8860824, -156.4716813 20.886198, -156.4717284 20.8862646, -156.4717807 20.8863447, -156.47181 20.8864037, -156.4718303 20.8864408, -156.4718713 20.8865394, -156.4719035 20.8866241, -156.471967 20.8868005, -156.4720927 20.8871501, -156.4722886 20.8877032, -156.4726755 20.888819, -156.4727629 20.889057)",
44711841,,tertiary,False,False,82.024,HI-3940,West Kamehameha Avenue,30 mph,"LINESTRING (-156.470886 20.8849556, -156.4708379 20.8851694, -156.4708082 20.8854059, -156.4707881 20.8855692, -156.4707682 20.8856844)",
44753633,,residential,False,True,103.57,,Alehela Street,,"LINESTRING (-156.470886 20.8849556, -156.4708119 20.8849519, -156.4706789 20.8849085, -156.470495 20.884876, -156.470358 20.884874, -156.470236 20.884878, -156.4699037 20.8849218)",
