osmid,highway,oneway,reversed,length,name,geometry,maxspeed,lanes
10750807,residential,False,True,393.57000000000005,8th Avenue,"LINESTRING (-121.5516854 39.0934579, -121.5517923 39.0934619, -121.5518465 39.0934639, -121.5537324 39.0935068, -121.5549909 39.0935293, -121.5561769 39.0935505, -121.5562442 39.0935518)",,
10751154,secondary,False,False,202.01699999999997,Olivehurst Avenue,"LINESTRING (-121.5516854 39.0934579, -121.5516856 39.0935224, -121.5516857 39.093562, -121.5516717 39.0938737, -121.551628 39.0948794, -121.5516201 39.095171, -121.5516181 39.0952147, -121.5516155 39.0952738)",,2
10751154,secondary,False,True,200.576,Olivehurst Avenue,"LINESTRING (-121.5516854 39.0934579, -121.5516851 39.0933851, -121.551685 39.0933451, -121.5517346 39.0918069, -121.5517389 39.0916546)",,2
10751116,residential,False,True,64.548,7th Avenue,"LINESTRING (-121.5562182 39.0953777, -121.5569659 39.0953932)",25 mph,
10751116,residential,False,False,199.51700000000002,7th Avenue,"LINESTRING (-121.5562182 39.0953777, -121.5539799 39.0953278, -121.5539072 39.0953264)",25 mph,
10751659,residential,False,False,301.945,Western Avenue,"LINESTRING (-121.5562182 39.0953777, -121.556245 39.0954479, -121.5562121 39.0968489, -121.5561829 39.0980897)",,
10751659,residential,False,True,203.497,Western Avenue,"LINESTRING (-121.5562182 39.0953777, -121.5561861 39.0952934, -121.55622 39.0942771, -121.5562442 39.0935518)",,
10751116,residential,False,False,197.858,7th Avenue,"LINESTRING (-121.5539072 39.0953264, -121.5538636 39.0953254, -121.553276 39.0953113, -121.5531714 39.0953088, -121.552657 39.0952966, -121.5524736 39.0952922, -121.5517887 39.0952791, -121.5517442 39.0952778, -121.5516155 39.0952738)",25 mph,
10751116,residential,False,True,199.51700000000002,7th Avenue,"LINESTRING (-121.5539072 39.0953264, -121.5539799 39.0953278, -121.5562182 39.0953777)",25 mph,
10751991,residential,False,False,300.613,Tulsa Avenue,"LINESTRING (-121.5539072 39.0953264, -121.5539058 39.0953876, -121.5539123 39.0960294, -121.5538419 39.0980291)",,
