osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,junction,width
1086236415,,,tertiary,True,False,16.839,"LINESTRING (-0.3997595 54.2788796, -0.3997104 54.2789079, -0.3996443 54.278945, -0.399548 54.2789576)",,,roundabout,
162720270,,Vernon Road,residential,True,False,18.328,"LINESTRING (-0.3997121 54.2790897, -0.3996727 54.279049, -0.3996279 54.2790026, -0.399548 54.2789576)",,,,
162720273,,Vernon Road,residential,False,False,184.614,"LINESTRING (-0.3997121 54.2790897, -0.3997252 54.2791267, -0.3997404 54.2791938, -0.3997469 54.2792596, -0.3997431 54.279348, -0.3997351 54.2794064, -0.3997328 54.27945, -0.3997379 54.2795156, -0.3997775 54.2795969, -0.3998156 54.2796753, -0.3999014 54.2798006, -0.3999795 54.2798805, -0.4000776 54.2799459, -0.4003628 54.2800762, -0.4007072 54.2802792, -0.4008349 54.280368, -0.4009216 54.2804269, -0.4009805 54.2804784)",,,,
5202400,,Foreshore Road,tertiary,True,False,358.06999999999994,"LINESTRING (-0.3980878 54.2794491, -0.3980046 54.2794768, -0.3979698 54.2794856, -0.3978839 54.2795257, -0.3977981 54.2795858, -0.3977137 54.279642, -0.3976504 54.2797032, -0.3976247 54.2797379, -0.3975835 54.2798163, -0.397521 54.2799251, -0.3973999 54.2801659, -0.3973234 54.2802804, -0.3971742 54.2805251, -0.3970292 54.2807729, -0.39685 54.2810777, -0.3967406 54.2812765, -0.3966315 54.2814275, -0.3964918 54.2816394, -0.3963327 54.2818234, -0.3962304 54.2819421, -0.3961304 54.2820507, -0.3960292 54.2821515, -0.3959031 54.282277, -0.3958353 54.2823428)",30 mph,,,
1086221376,,,tertiary,True,False,32.769000000000005,"LINESTRING (-0.3980878 54.2794491, -0.3980129 54.2794547, -0.3979136 54.2794465, -0.3978038 54.2793939, -0.3977719 54.2793258, -0.3977806 54.2792876)",,,roundabout,
1086221376,,,tertiary,True,False,11.237,"LINESTRING (-0.3982144 54.2793835, -0.3981763 54.2794064, -0.3981482 54.2794308, -0.3980878 54.2794491)",,,roundabout,
300903984,B1364,North Marine Road,secondary,False,False,36.305,"LINESTRING (-0.4011052 54.2857208, -0.4011212 54.2858009, -0.4011756 54.2860447)",,,,
300903986,B1364,North Marine Road,secondary,True,False,26.912,"LINESTRING (-0.4011052 54.2857208, -0.4010457 54.2856166, -0.4010161 54.2855695, -0.4009608 54.2854941)",,,,
70332124,,,residential,True,False,25.517,"LINESTRING (-0.3978849 54.2789869, -0.3979574 54.2790528, -0.3979631 54.2790657, -0.3979734 54.2791241, -0.3979891 54.2792027)",,,,
363046530,,,tertiary,True,False,12.824,"LINESTRING (-0.3979891 54.2792027, -0.3980406 54.2792056, -0.3981129 54.2792147, -0.3981659 54.279243)",,,roundabout,
317743432,,Vernon Road,residential,True,False,9.964,"LINESTRING (-0.4009805 54.2804784, -0.4010668 54.2805525)",,,,
162720273,,Vernon Road,residential,False,True,184.61399999999998,"LINESTRING (-0.4009805 54.2804784, -0.4009216 54.2804269, -0.4008349 54.280368, -0.4007072 54.2802792, -0.4003628 54.2800762, -0.4000776 54.2799459, -0.3999795 54.2798805, -0.3999014 54.2798006, -0.3998156 54.2796753, -0.3997775 54.2795969, -0.3997379 54.2795156, -0.3997328 54.27945, -0.3997351 54.2794064, -0.3997431 54.279348, -0.3997469 54.2792596, -0.3997404 54.2791938, -0.3997252 54.2791267, -0.3997121 54.2790897)",,,,
123352109,,Vernon Road,residential,True,False,11.514,"LINESTRING (-0.4010032 54.2805811, -0.4009805 54.2804784)",,,,
1086236416,,Vernon Road,residential,True,False,5.284000000000001,"LINESTRING (-0.4010032 54.2805811, -0.4010316 54.2805634, -0.4010668 54.2805525)",,,roundabout,
123352103,,Vernon Road,residential,True,False,6.498,"LINESTRING (-0.4011262 54.2805498, -0.4012261 54.2805462)",,,,
5215674,,Vernon Road,residential,True,False,12.262999999999998,"LINESTRING (-0.4011262 54.2805498, -0.4011708 54.2805597, -0.401206 54.2805792, -0.4012191 54.2805932, -0.4012275 54.2806119, -0.4012271 54.2806307)",,,roundabout,
23153551,,Vernon Road,unclassified,False,False,37.771,"LINESTRING (-0.4011825 54.2806762, -0.4015004 54.2809607)",,,,
1086221373,,Vernon Road,residential,True,False,13.31,"LINESTRING (-0.4011825 54.2806762, -0.4011425 54.2806887, -0.4011165 54.2806917, -0.4010717 54.2806892, -0.4010421 54.2806816, -0.4010022 54.2806588)",,,roundabout,
5215781,,Falconers Road,residential,True,False,8.356,"LINESTRING (-0.4010022 54.2806588, -0.4008754 54.2806717)",,,,
1086221373,,Vernon Road,residential,True,False,4.6899999999999995,"LINESTRING (-0.4010022 54.2806588, -0.4009878 54.2806401, -0.4009831 54.2806186)",,,roundabout,
