osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge
301637935,College Avenue,primary,False,True,43.572,US 201,,"LINESTRING (-69.6312885 44.5528783, -69.6312205 44.5530037, -69.6310812 44.5532412)",2,
11440896,Elm Terrace,residential,False,False,92.098,,,"LINESTRING (-69.6316991 44.5522837, -69.6317911 44.5522998, -69.632075 44.5523496, -69.6328353 44.5524573)",2,
301637936,Elm Street,primary,False,False,48.536,ME 11;ME 104,25 mph,"LINESTRING (-69.6316991 44.5522837, -69.6316643 44.5523367, -69.6314809 44.5526154, -69.6314479 44.5526815)",3,
"[301637936, 827113928]",Elm Street,primary,False,True,36.044000000000004,ME 11;ME 104,25 mph,"LINESTRING (-69.6316991 44.5522837, -69.6318775 44.5520237, -69.6318989 44.5519925)",3,
11440896,Elm Terrace,residential,False,True,92.09800000000001,,,"LINESTRING (-69.6328353 44.5524573, -69.632075 44.5523496, -69.6317911 44.5522998, -69.6316991 44.5522837)",2,
11440951,Park Place,residential,False,True,92.312,,,"LINESTRING (-69.6334927 44.552249, -69.6337423 44.5514381)",,
11442977,Sanger Avenue,residential,False,True,45.595,,25 mph,"LINESTRING (-69.6361283 44.5567728, -69.6366915 44.556857)",,
11442977,Sanger Avenue,residential,False,False,284.076,,25 mph,"LINESTRING (-69.6361283 44.5567728, -69.6342053 44.5564792, -69.6338045 44.5565086, -69.6326333 44.556741)",,
11442150,Elm Street,primary,False,False,60.913,,,"LINESTRING (-69.634133 44.548829, -69.6337843 44.5493172)",,
11442152,Elm Street,primary,False,True,58.652,,,"LINESTRING (-69.634133 44.548829, -69.6344662 44.548358)",,
11441416,School Street,residential,True,False,206.59199999999998,,25 mph,"LINESTRING (-69.634133 44.548829, -69.636115 44.549447, -69.636488 44.5496182)",,
11442453,Pleasant Street,tertiary,False,False,31.999,,25 mph,"LINESTRING (-69.636488 44.5496182, -69.6363244 44.5498813)",,
11442460,Pleasant Street,residential,False,True,138.282,,,"LINESTRING (-69.636488 44.5496182, -69.6365851 44.5494643, -69.6372105 44.5484862)",,
827113917,Elm Street,primary,False,True,60.701,,25 mph,"LINESTRING (-69.6332795 44.5500433, -69.6336143 44.5495523)",,
"[827113928, 827113917]",Elm Street,primary,False,False,142.713,,25 mph,"LINESTRING (-69.6332795 44.5500433, -69.6330098 44.5504294, -69.6329084 44.550573, -69.6328423 44.5506666, -69.6327057 44.5508601, -69.6325187 44.5511249, -69.6324723 44.5511906)",,
11441448,Winter Street,residential,False,True,128.688,,25 mph,"LINESTRING (-69.6357782 44.5507817, -69.6373594 44.5510457)",,
11442453,Pleasant Street,tertiary,False,False,67.256,,25 mph,"LINESTRING (-69.6357782 44.5507817, -69.6354554 44.5513411)",,
11442453,Pleasant Street,tertiary,False,True,109.075,,25 mph,"LINESTRING (-69.6357782 44.5507817, -69.6363244 44.5498813)",,
367178290,Winter Street,residential,True,False,214.349,,25 mph,"LINESTRING (-69.6357782 44.5507817, -69.6332795 44.5500433)",,
11441448,Winter Street,residential,False,False,128.688,,25 mph,"LINESTRING (-69.6373594 44.5510457, -69.6357782 44.5507817)",,
11441584,Carroll Street,residential,False,False,125.828,,,"LINESTRING (-69.6355368 44.5539388, -69.6370888 44.5541784)",,
11441881,Middle Street,residential,False,False,73.124,,,"LINESTRING (-69.6355368 44.5539388, -69.6350101 44.5544788)",,
11441881,Middle Street,residential,False,True,67.435,,,"LINESTRING (-69.6355368 44.5539388, -69.6360225 44.5534408)",,
11441677,Main Street,secondary,False,False,133.858,US 201;ME 104,25 mph,"LINESTRING (-69.6303143 44.5505841, -69.6300783 44.5499654, -69.6299829 44.5497183, -69.629873 44.5494221)",2,
11441677,Main Street,secondary,False,True,107.739,US 201;ME 104,25 mph,"LINESTRING (-69.6303143 44.5505841, -69.630684 44.5514523, -69.6307085 44.5515114)",2,
11444374,Temple Street,tertiary,False,False,142.92800000000003,,25 mph,"LINESTRING (-69.6303143 44.5505841, -69.6301749 44.5505798, -69.629892 44.5506063, -69.6296758 44.5506209, -69.6290582 44.5506626, -69.6289633 44.550669, -69.6286247 44.5506918, -69.6285193 44.5506989)",,
827113915,Concourse West,residential,False,True,51.341,,,"LINESTRING (-69.6303143 44.5505841, -69.6304523 44.550591, -69.6308378 44.5505125, -69.6309309 44.5504726)",,
301637938,Main Street,primary,False,False,54.299,ME 104,25 mph,"LINESTRING (-69.6319554 44.555985, -69.6320806 44.5564651)",,
11443769,Main Place,residential,False,False,128.212,,,"LINESTRING (-69.6319554 44.555985, -69.6315804 44.5560035, -69.6313276 44.5560054, -69.6309296 44.555978, -69.6307591 44.5559662, -69.6305866 44.5559547, -69.6303439 44.5559787)",,
301637938,Main Street,primary,False,True,92.815,ME 104,25 mph,"LINESTRING (-69.6319554 44.555985, -69.6318511 44.5555011, -69.6318395 44.5554467, -69.6317791 44.5551598)",,
301637938,Main Street,primary,False,False,13.731,ME 104,25 mph,"LINESTRING (-69.6320806 44.5564651, -69.6321074 44.5565871)",,
301637938,Main Street,primary,False,True,54.299,ME 104,25 mph,"LINESTRING (-69.6320806 44.5564651, -69.6319554 44.555985)",,
11437343,,residential,False,True,237.81199999999998,,,"LINESTRING (-69.6320806 44.5564651, -69.6318271 44.5564992, -69.631262 44.556514, -69.6307365 44.5565002, -69.6304008 44.5564846, -69.6300538 44.5564659, -69.6299833 44.5564538, -69.6296097 44.5563895, -69.6295582 44.5563807, -69.6293814 44.5563047, -69.6292999 44.5562316, -69.6292477 44.5561543)",,
11442453,Pleasant Street,tertiary,False,True,196.837,,25 mph,"LINESTRING (-69.6320806 44.5564651, -69.6322729 44.5564049, -69.6324422 44.5563053, -69.6327952 44.5557075, -69.6328843 44.5555626, -69.633267 44.5549645)",,
11441881,Middle Street,residential,False,False,67.435,,,"LINESTRING (-69.6360225 44.5534408, -69.6355368 44.5539388)",,
11442366,Gilman Street,tertiary,False,False,99.337,,,"LINESTRING (-69.6360225 44.5534408, -69.6372474 44.5536311)",,
11442366,Gilman Street,tertiary,False,True,137.876,,,"LINESTRING (-69.6360225 44.5534408, -69.6344504 44.5531927, -69.6344293 44.5531791, -69.634354 44.5531307)",,
11441881,Middle Street,residential,False,False,86.245,,,"LINESTRING (-69.6350101 44.5544788, -69.6343889 44.5551157)",,
11441881,Middle Street,residential,False,True,73.124,,,"LINESTRING (-69.6350101 44.5544788, -69.6355368 44.5539388)",,
11442712,Morrill Avenue,residential,False,False,154.566,,,"LINESTRING (-69.6350101 44.5544788, -69.6369252 44.5547432)",,
11441903,Union Place,residential,False,True,71.272,,,"LINESTRING (-69.6293013 44.5538587, -69.6295805 44.5532494)",2,
11441359,Silver Street,primary,False,False,10.203,ME 137 Business,,"LINESTRING (-69.6318362 44.5487535, -69.6317496 44.5488214)",,
11442147,Elm Street,primary,False,False,16.83,,25 mph,"LINESTRING (-69.6337106 44.5494174, -69.6336143 44.5495523)",,
11442150,Elm Street,primary,False,True,12.58,,,"LINESTRING (-69.6337106 44.5494174, -69.6337843 44.5493172)",,
11443158,Spring Street,primary,True,False,93.299,,25 mph,"LINESTRING (-69.6337106 44.5494174, -69.6326457 44.5490595)",,
11442150,Elm Street,primary,False,False,12.58,,,"LINESTRING (-69.6337843 44.5493172, -69.6337106 44.5494174)",,
11442150,Elm Street,primary,False,True,60.913,,,"LINESTRING (-69.6337843 44.5493172, -69.634133 44.548829)",,
11444732,Percival Court,residential,False,False,83.646,,,"LINESTRING (-69.6337843 44.5493172, -69.634721 44.549664)",,
11442152,Elm Street,primary,False,False,58.652,,,"LINESTRING (-69.6344662 44.548358, -69.634133 44.548829)",,
11443827,Elm Court,residential,False,False,98.16300000000001,,,"LINESTRING (-69.6344662 44.548358, -69.6350486 44.5484834, -69.6356693 44.5485617)",,
11442366,Gilman Street,tertiary,False,False,137.876,,,"LINESTRING (-69.634354 44.5531307, -69.6344293 44.5531791, -69.6344504 44.5531927, -69.6360225 44.5534408)",,
11442453,Pleasant Street,tertiary,False,False,113.279,,25 mph,"LINESTRING (-69.634354 44.5531307, -69.6343131 44.5532007, -69.6338049 44.5540713)",,
11442453,Pleasant Street,tertiary,False,True,88.024,,25 mph,"LINESTRING (-69.634354 44.5531307, -69.6343686 44.5531072, -69.63461 44.5527189, -69.634723 44.5525371, -69.6348039 44.5524069)",,
11442453,Pleasant Street,tertiary,False,False,109.075,,25 mph,"LINESTRING (-69.6363244 44.5498813, -69.6357782 44.5507817)",,
11442453,Pleasant Street,tertiary,False,True,31.999,,25 mph,"LINESTRING (-69.6363244 44.5498813, -69.636488 44.5496182)",,
11444145,Pleasant Court,residential,False,False,79.062,,,"LINESTRING (-69.6348039 44.5524069, -69.6357134 44.5526993)",,
11442453,Pleasant Street,tertiary,False,False,88.024,,25 mph,"LINESTRING (-69.6348039 44.5524069, -69.634723 44.5525371, -69.63461 44.5527189, -69.6343686 44.5531072, -69.634354 44.5531307)",,
11442453,Pleasant Street,tertiary,False,True,88.687,,25 mph,"LINESTRING (-69.6348039 44.5524069, -69.6348641 44.5523058, -69.6352408 44.5516726)",,
11442977,Sanger Avenue,residential,False,True,39.203,,25 mph,"LINESTRING (-69.6321629 44.5568503, -69.6326333 44.556741)",,
301637938,Main Street,primary,False,True,29.597,ME 104,25 mph,"LINESTRING (-69.6321629 44.5568503, -69.6321478 44.5567683, -69.6321074 44.5565871)",,
11444145,Pleasant Court,residential,False,True,79.062,,,"LINESTRING (-69.6357134 44.5526993, -69.6348039 44.5524069)",,
11444732,Percival Court,residential,False,True,83.646,,,"LINESTRING (-69.634721 44.549664, -69.6337843 44.5493172)",,
11444800,Exchange Square,residential,False,True,59.938,,,"LINESTRING (-69.6297941 44.551205, -69.6300315 44.5517168)",,
