osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,bridge,access
23515092,False,2,,South Street,unclassified,,False,33.247,"LINESTRING (-0.3291588 51.0617524, -0.329148 51.0618416, -0.3291508 51.061883, -0.3291603 51.0619648, -0.3291584 51.0619849, -0.329154 51.0620034, -0.3291482 51.0620181, -0.3291356 51.0620492)",,,,
8309204,False,,,Causeway,residential,,False,49.355000000000004,"LINESTRING (-0.3292632 51.0613149, -0.3292376 51.0613569, -0.3292297 51.0613736, -0.3292254 51.0613888, -0.3291848 51.0616104, -0.3291789 51.061643, -0.3291667 51.0617014, -0.3291615 51.0617312, -0.3291588 51.0617524)",,,,
24875396,False,,,Causeway,residential,,False,48.063,"LINESTRING (-0.3292632 51.0613149, -0.3290659 51.0614676, -0.3289796 51.0615344, -0.3289614 51.0615485, -0.3289095 51.0615887, -0.3288708 51.0616186, -0.3288465 51.0616337, -0.3288208 51.0616447)",,,,
"[4005939, 431219700]",False,,,Causeway,residential,,True,175.657,"LINESTRING (-0.3292632 51.0613149, -0.3293291 51.0612483, -0.3293735 51.0612004, -0.3293937 51.0611785, -0.3294251 51.0611498, -0.329746 51.0608568, -0.3303154 51.0603613, -0.3307055 51.0600218)",,,,
"[4005939, 431219700]",False,,,Causeway,residential,,False,175.65699999999998,"LINESTRING (-0.3307055 51.0600218, -0.3303154 51.0603613, -0.329746 51.0608568, -0.3294251 51.0611498, -0.3293937 51.0611785, -0.3293735 51.0612004, -0.3293291 51.0612483, -0.3292632 51.0613149)",,,,
823201730,False,,,Mill Bay Lane,residential,,True,64.33699999999999,"LINESTRING (-0.3338001 51.0608255, -0.3339309 51.0608974, -0.3340024 51.0609356, -0.3341013 51.0609884, -0.3342064 51.0610456, -0.3342957 51.0611001, -0.3343373 51.0611342, -0.334352 51.0611615, -0.334369 51.0611883, -0.3343899 51.0612495)",,,,
786180295,False,,,Rushams Road,tertiary,,True,80.71300000000001,"LINESTRING (-0.3359957 51.065395, -0.3363093 51.065187, -0.3363377 51.0651636, -0.3363591 51.0651402, -0.336377 51.0651173, -0.3364505 51.0650143, -0.3365182 51.0649179, -0.3366135 51.0647923)",,,,
15549565,False,,,London Road,residential,,False,216.78599999999997,"LINESTRING (-0.3293926 51.066037, -0.3293331 51.0660187, -0.3293118 51.0660095, -0.3292975 51.0659943, -0.3292889 51.0659764, -0.3292826 51.0659531, -0.329274 51.0659185, -0.3292504 51.0658007, -0.3292137 51.0656018, -0.3291926 51.0654803, -0.3291848 51.0654229, -0.3291769 51.0653798, -0.3291707 51.0653489, -0.329163 51.0653215, -0.3291524 51.0652923, -0.3291383 51.0652594, -0.3291227 51.0652248, -0.3291047 51.065188, -0.3290806 51.0651434, -0.329043 51.0650743, -0.3289599 51.0649496, -0.3289314 51.0649096, -0.3288981 51.064865, -0.3288728 51.0648307, -0.3288471 51.0647978, -0.3288163 51.0647611, -0.3287854 51.0647255, -0.3287521 51.0646898, -0.3287283 51.0646666, -0.3287045 51.064645, -0.3285139 51.0644806, -0.3284903 51.0644609, -0.3284676 51.064439, -0.3284501 51.0644176, -0.3284325 51.0643944, -0.3284212 51.0643721, -0.3284147 51.064352, -0.3284116 51.0643362, -0.3284133 51.0643114, -0.328413 51.064307, -0.3284182 51.0642626, -0.3284191 51.0642432)",,,,
155736724,False,,B2237,Springfield Road,secondary,30 mph,False,53.221000000000004,"LINESTRING (-0.3293926 51.066037, -0.3296662 51.0657145, -0.3297562 51.0656165)",,,,
847554964,False,,B2237,North Parade,secondary,30 mph,True,133.912,"LINESTRING (-0.3293926 51.066037, -0.3292628 51.0662413, -0.3291723 51.0665036, -0.3290443 51.0668575, -0.3289149 51.067201)",,,,
408908268,False,,A281,Bishopric,primary,30 mph,True,56.035000000000004,"LINESTRING (-0.3366135 51.0647923, -0.3365781 51.0647804, -0.3365053 51.0647593, -0.3364034 51.0647323, -0.3363229 51.0647172, -0.3362242 51.0647004, -0.3360508 51.0646693, -0.3359888 51.0646582, -0.3359349 51.0646486, -0.3358542 51.0646342)",,,,
786180295,False,,,Rushams Road,tertiary,,False,80.71300000000001,"LINESTRING (-0.3366135 51.0647923, -0.3365182 51.0649179, -0.3364505 51.0650143, -0.336377 51.0651173, -0.3363591 51.0651402, -0.3363377 51.0651636, -0.3363093 51.065187, -0.3359957 51.065395)",,,,
15544605,True,,,,unclassified,,False,37.24999999999999,"LINESTRING (-0.3249792 51.0624658, -0.3249997 51.062495, -0.3250072 51.0625041, -0.3250185 51.062515, -0.325029 51.0625252, -0.3250454 51.0625387, -0.3250771 51.0625617, -0.325099 51.0625739, -0.3251163 51.062583, -0.3251384 51.0625936, -0.3251758 51.0626064, -0.3252126 51.0626184, -0.3252247 51.0626215, -0.325336 51.0626331, -0.3253666 51.0626376, -0.325396 51.0626388)",,,,
15547354,True,3,A281,Park Way,primary,30 mph,False,34.085,"LINESTRING (-0.3249792 51.0624658, -0.325004 51.0625348, -0.325022 51.0625759, -0.3250574 51.0626369, -0.3250854 51.062685, -0.3251464 51.0627518)",,,,
24685191,False,,,Madeira Avenue,residential,,False,31.323999999999995,"LINESTRING (-0.3269334 51.0639811, -0.3269023 51.0639855, -0.3268862 51.0639888, -0.3268707 51.0639931, -0.3268541 51.0640001, -0.3268363 51.064008, -0.3268149 51.0640196, -0.326794 51.0640322, -0.3267784 51.0640411, -0.3267586 51.0640523, -0.3267387 51.0640614, -0.326715 51.0640711, -0.3266877 51.0640811, -0.3266612 51.0640894, -0.3266426 51.064094, -0.3266192 51.0640985, -0.3265443 51.0641103)",,,,
182546119,True,2,,,primary,30 mph,False,14.615,"LINESTRING (-0.3269334 51.0639811, -0.3268741 51.0639756, -0.3268271 51.0639605, -0.3267894 51.0639381, -0.326766 51.0639143)",roundabout,,,
1057452950,False,,B2237,Springfield Road,secondary,30 mph,True,12.533,"LINESTRING (-0.3310832 51.0643981, -0.3309776 51.0644892)",,,,
461550414,True,2,A281,Albion Way,primary,30 mph,False,172.22099999999998,"LINESTRING (-0.3310832 51.0643981, -0.3313196 51.0644149, -0.3313735 51.0644191, -0.3315938 51.0644361, -0.3317355 51.0644392, -0.331825 51.0644405, -0.3319246 51.0644354, -0.3319296 51.0644347, -0.332134 51.0644073, -0.3322254 51.0643869, -0.3323108 51.0643639, -0.3324043 51.0643332, -0.3324875 51.064297, -0.3326029 51.0642318, -0.3326635 51.0641975, -0.332784 51.064118, -0.3329318 51.0640204, -0.3330566 51.0639246, -0.3331617 51.0638285)",,,,
182546118,True,2,,,primary,30 mph,False,27.376999999999995,"LINESTRING (-0.3268469 51.063763, -0.326873 51.063755, -0.3269095 51.0637503, -0.3269414 51.0637492, -0.3269663 51.0637511, -0.3269961 51.0637567, -0.3270189 51.0637623, -0.3270427 51.063771, -0.3270573 51.0637789, -0.3270677 51.0637852, -0.3270828 51.0637962, -0.3270979 51.0638116, -0.3271156 51.0638433, -0.3271188 51.0638723)",roundabout,,,
"[15556074, 96980933]",True,2,A281,Albion Way,primary,30 mph,False,140.037,"LINESTRING (-0.3267527 51.0638888, -0.3267013 51.0638481, -0.3266711 51.0638315, -0.3266364 51.0638178, -0.3264564 51.0637619, -0.3263675 51.0637343, -0.3262893 51.0637093, -0.3262328 51.0636912, -0.3261403 51.0636591, -0.3260059 51.0636063, -0.3259359 51.0635737, -0.3258388 51.0635255, -0.3257787 51.063493, -0.3257229 51.0634583, -0.3256648 51.0634228, -0.3256175 51.0633915, -0.3255728 51.0633569, -0.3255241 51.0633185, -0.3254467 51.0632381, -0.3253642 51.063156, -0.3252915 51.0630711)",,yes,,
"[525285319, 182546119]",True,2,,,primary,30 mph,False,16.516,"LINESTRING (-0.3267527 51.0638888, -0.3267503 51.0638656, -0.3267557 51.0638347, -0.3267705 51.0638112, -0.3267905 51.0637922, -0.3268165 51.0637758, -0.3268469 51.063763)",roundabout,,,
3806204,True,,B2195,Park Street,secondary,30 mph,False,10.964,"LINESTRING (-0.3252084 51.0628189, -0.3250729 51.0628686)",,,,
"[96980929, 96980930, 15547341]",True,2,A281,Albion Way,primary,30 mph,False,162.04500000000004,"LINESTRING (-0.3252084 51.0628189, -0.3253778 51.0630414, -0.3254949 51.0631556, -0.325536 51.0632023, -0.3256248 51.0632802, -0.3256816 51.0633244, -0.3257248 51.0633566, -0.3257893 51.0633954, -0.3258431 51.0634276, -0.3258927 51.0634556, -0.3259832 51.0634982, -0.3260633 51.0635347, -0.3261664 51.0635791, -0.3262534 51.0636116, -0.3263921 51.0636617, -0.3264682 51.0636867, -0.3265448 51.0637103, -0.3266107 51.0637289, -0.3267104 51.0637492, -0.3267756 51.0637594, -0.3268034 51.0637608, -0.3268469 51.063763)",,yes,,
15547329,True,2,A281,Albion Way,primary,30 mph,False,284.57,"LINESTRING (-0.3271188 51.0638723, -0.3272488 51.0639231, -0.3276354 51.0640168, -0.3284003 51.064143, -0.3284202 51.0641463, -0.3287817 51.0641847, -0.3294505 51.0642556, -0.3299835 51.0643069, -0.3300125 51.0643092, -0.3304658 51.0643453, -0.3305035 51.064349, -0.3307137 51.0643646, -0.3307781 51.0643692, -0.3310111 51.0643908, -0.3310832 51.0643981)",,,,
182546119,True,2,,,primary,30 mph,False,17.915000000000003,"LINESTRING (-0.3271188 51.0638723, -0.3271081 51.063905, -0.3270952 51.0639227, -0.3270791 51.0639378, -0.3270495 51.0639564, -0.327004 51.0639732, -0.3269644 51.0639798, -0.3269569 51.063981)",roundabout,,,
"[460154432, 34200262]",True,,B2195,"['North Street', 'Park Street']",secondary,30 mph,False,194.033,"LINESTRING (-0.3247999 51.0629759, -0.3246381 51.063102, -0.3245192 51.0632302, -0.324378 51.063366, -0.3241828 51.0635516, -0.3240581 51.0637214, -0.3239792 51.0638551, -0.323948 51.0639047, -0.323927 51.0639354, -0.3239118 51.0639542, -0.3238993 51.0639687, -0.3238811 51.0639874, -0.3238489 51.0640177, -0.3237823 51.0640764, -0.323759 51.0640952, -0.3237282 51.0641188, -0.3235952 51.064208, -0.323414 51.0643178, -0.323365 51.0643407, -0.3232331 51.0643814)",,,,
3806209,False,,,Denne Road,residential,,True,131.721,"LINESTRING (-0.3295171 51.059128, -0.3294909 51.059163, -0.3294594 51.0591961, -0.3294097 51.0592377, -0.3293477 51.0592833, -0.3290708 51.0594844, -0.3287844 51.0596925, -0.3283115 51.060036)",,,,
34924948,False,,,Normandy,residential,,True,74.42699999999999,"LINESTRING (-0.3295171 51.059128, -0.3300741 51.059365, -0.3302617 51.0594695, -0.3303635 51.0595314)",,,,
529003719,False,,,Potter's Place,residential,,True,14.385,"LINESTRING (-0.329939 51.065676, -0.3297562 51.0656165)",,,,
24703654,False,,,Barttelot Road,residential,,False,185.79799999999997,"LINESTRING (-0.3244985 51.0625716, -0.3240761 51.0624257, -0.3240474 51.0624128, -0.3240294 51.0623993, -0.3240229 51.0623878, -0.3240296 51.0623711, -0.3240482 51.0623456, -0.3246118 51.0616571, -0.3246635 51.061594, -0.3249024 51.0613021, -0.3249761 51.0612166)",,,,
9563898,False,,A281,East Street,primary,30 mph,False,65.656,"LINESTRING (-0.3249761 51.0612166, -0.324158 51.0609263)",,,,
9563898,False,,A281,East Street,primary,30 mph,True,39.092999999999996,"LINESTRING (-0.3249761 51.0612166, -0.3250377 51.0612352, -0.3252414 51.0612904, -0.3253043 51.0613055, -0.3254886 51.0613573)",,,,
24703654,False,,,Barttelot Road,residential,,True,185.798,"LINESTRING (-0.3249761 51.0612166, -0.3249024 51.0613021, -0.3246635 51.061594, -0.3246118 51.0616571, -0.3240482 51.0623456, -0.3240296 51.0623711, -0.3240229 51.0623878, -0.3240294 51.0623993, -0.3240474 51.0624128, -0.3240761 51.0624257, -0.3244985 51.0625716)",,,,
9563898,False,,A281,East Street,primary,30 mph,True,65.656,"LINESTRING (-0.324158 51.0609263, -0.3249761 51.0612166)",,,,
24874695,True,,,Denne Parade,residential,,False,78.06,"LINESTRING (-0.324158 51.0609263, -0.324849 51.0604164, -0.3248706 51.0604027, -0.3248875 51.0603953)",,,,
38588899,False,,,Park Terrace West,residential,,False,183.435,"LINESTRING (-0.324158 51.0609263, -0.3241073 51.0609719, -0.3240289 51.061048, -0.3238685 51.0612172, -0.3228042 51.0623394)",,,,
"[24874696, 375343062]",False,2,A281,"['Queen Street', 'East Street']",primary,30 mph,False,50.147999999999996,"LINESTRING (-0.324158 51.0609263, -0.3239556 51.0608512, -0.3235294 51.060709)",,,,
24874697,False,,,Denne Parade,residential,,False,176.614,"LINESTRING (-0.3248875 51.0603953, -0.3249081 51.0603901, -0.3249324 51.0603885, -0.3249532 51.0603901, -0.3264019 51.0606316, -0.3267804 51.0606994, -0.3268036 51.0607055, -0.3268166 51.0607111, -0.3268325 51.0607206, -0.3268485 51.0607329, -0.3271193 51.0609813)",,,,
3806209,False,,,Denne Road,residential,,False,98.408,"LINESTRING (-0.3271193 51.0609813, -0.3271919 51.0609492, -0.3272398 51.0609265, -0.3272798 51.0609054, -0.3273234 51.0608778, -0.3273506 51.0608598, -0.3273724 51.0608435, -0.32742 51.0608058, -0.3278327 51.0604457, -0.3280017 51.0602982)",,,,
"[3806208, 3806209]",False,,,"['Denne Road', 'East Street']",residential,,"[False, True]",95.35600000000001,"LINESTRING (-0.3271193 51.0609813, -0.326663 51.0611849, -0.3266232 51.0612059, -0.326349 51.0613506, -0.3262841 51.0613921, -0.3262374 51.0614292, -0.3262028 51.0614535, -0.326192 51.0614592, -0.3261764 51.061465, -0.3261578 51.0614702, -0.326139 51.0614736, -0.326113 51.0614755, -0.3260817 51.0614759, -0.3260364 51.0614734)",,,,
24874697,False,,,Denne Parade,residential,,True,176.614,"LINESTRING (-0.3271193 51.0609813, -0.3268485 51.0607329, -0.3268325 51.0607206, -0.3268166 51.0607111, -0.3268036 51.0607055, -0.3267804 51.0606994, -0.3264019 51.0606316, -0.3249532 51.0603901, -0.3249324 51.0603885, -0.3249081 51.0603901, -0.3248875 51.0603953)",,,,
24976562,True,,B2237,Worthing Road,secondary,30 mph,False,24.189,"LINESTRING (-0.3345403 51.0614564, -0.3346213 51.061452, -0.3346517 51.0614445, -0.3346831 51.0614329, -0.3347364 51.0614079, -0.334839 51.0613585)",,,,
785699332,True,,,,secondary,30 mph,False,12.268999999999998,"LINESTRING (-0.3345403 51.0614564, -0.3345679 51.0614698, -0.3345913 51.0614898, -0.334606 51.0615081, -0.3346141 51.0615302, -0.3346214 51.0615501)",roundabout,,,
24976563,True,,B2237,Worthing Road,secondary,30 mph,False,26.195999999999998,"LINESTRING (-0.334839 51.0613585, -0.3347948 51.0613995, -0.3347075 51.0614805, -0.3346564 51.0615244, -0.3346214 51.0615501)",,,,
"[329023944, 233689507, 34849415]",False,,B2237,Worthing Road,secondary,30 mph,True,71.70899999999999,"LINESTRING (-0.334839 51.0613585, -0.3350516 51.0611587, -0.3351532 51.0610687, -0.3352367 51.0609927, -0.3352796 51.060959, -0.3353292 51.0609261, -0.3353963 51.0608797, -0.3354539 51.0608443)",,,yes,
33347554,False,,A281,Bishopric,primary,30 mph,True,9.17,"LINESTRING (-0.3331617 51.0638285, -0.3332796 51.0638647)",,,,
15547327,True,2,B2237,Albion Way,secondary,30 mph,False,193.774,"LINESTRING (-0.3331617 51.0638285, -0.3332416 51.0637501, -0.3332572 51.0637323, -0.3332894 51.0636954, -0.3334136 51.0635528, -0.3337232 51.0631973, -0.3338522 51.0630626, -0.3339245 51.0629984, -0.3340635 51.0628691, -0.3340767 51.0628571, -0.3341404 51.0628046, -0.3344438 51.0625925, -0.3345756 51.062505, -0.3346023 51.0624859, -0.3346318 51.0624648, -0.3346505 51.0624505, -0.334668 51.0624344, -0.3346774 51.0624193, -0.3346949 51.0623878)",,,,
512580616,False,,,Causeway,residential,,True,11.75,"LINESTRING (-0.3286551 51.0616515, -0.3287036 51.0616553, -0.3287414 51.0616557, -0.3287715 51.0616531, -0.3287998 51.0616483, -0.3288208 51.0616447)",,,,
28613189,False,,,Springfield Crescent,residential,,False,94.339,"LINESTRING (-0.3331509 51.0665048, -0.3336764 51.0657233)",,,,
28613189,False,,,Springfield Crescent,residential,,True,94.339,"LINESTRING (-0.3336764 51.0657233, -0.3331509 51.0665048)",,,,
"[881145240, 28613190]",False,,,Springfield Park Road,residential,,False,167.186,"LINESTRING (-0.3336764 51.0657233, -0.3318508 51.0652603, -0.3317966 51.0652451, -0.3317411 51.0652257, -0.3317044 51.0652079, -0.3316685 51.0651859, -0.3316289 51.0651586, -0.3315927 51.0651278, -0.3315654 51.0650969, -0.3315563 51.0650799)",,,,
28613191,False,,,Springfield Crescent,residential,,False,91.098,"LINESTRING (-0.3336764 51.0657233, -0.3340523 51.0652903, -0.3343039 51.0650052)",,,,
28613191,False,,,Springfield Crescent,residential,,True,91.098,"LINESTRING (-0.3343039 51.0650052, -0.3340523 51.0652903, -0.3336764 51.0657233)",,,,
3806246,True,2,A281,,primary,30 mph,False,52.449,"LINESTRING (-0.3317233 51.0645377, -0.3315384 51.0645325, -0.3313162 51.0645111, -0.3312622 51.0645057, -0.3311968 51.0645031, -0.3311393 51.0645017, -0.3309776 51.0644892)",,,,
"[881145240, 881145241]",False,,,Springfield Park Road,residential,,True,62.53,"LINESTRING (-0.3317233 51.0645377, -0.3317078 51.0646069, -0.3316546 51.0647252, -0.3315743 51.0648409, -0.3315526 51.0648879, -0.3315334 51.0649825, -0.3315435 51.065056, -0.3315563 51.0650799)",,,,
24685191,False,,,Madeira Avenue,residential,,True,58.730000000000004,"LINESTRING (-0.3257261 51.0642307, -0.3262248 51.064153, -0.3264592 51.0641218, -0.3265443 51.0641103)",,,,
32744056,True,,,Wellington Road,residential,,False,80.654,"LINESTRING (-0.3244237 51.0631966, -0.32435 51.0631685, -0.3234033 51.0628579)",,,,
88301045,True,,B2195,Park Street,secondary,30 mph,False,26.971,"LINESTRING (-0.3244237 51.0631966, -0.3245253 51.0630814, -0.3246129 51.0629852)",,,,
461550169,True,,B2195,Park Street,secondary,30 mph,False,10.769,"LINESTRING (-0.3250224 51.0628093, -0.3251464 51.0627518)",,,,
461550167,True,2,A281,Park Way,primary,30 mph,False,17.326,"LINESTRING (-0.3250224 51.0628093, -0.324981 51.0627531, -0.324906 51.0626719)",,,,
