osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,bridge,geometry,junction
18577049,Park Drive,residential,False,True,122.836,,,,,"LINESTRING (-90.2960545 37.5597291, -90.2960958 37.5586249)",
673006689,West Main Street,tertiary,False,False,116.083,2,,30 mph,,"LINESTRING (-90.2960545 37.5597291, -90.2947379 37.5597056)",
673006689,West Main Street,tertiary,False,True,167.534,2,,30 mph,,"LINESTRING (-90.2960545 37.5597291, -90.2979548 37.5597572)",
18577091,Buford Boulevard,residential,False,False,118.471,,,,,"LINESTRING (-90.2960545 37.5597291, -90.2960349 37.5604631, -90.296026 37.5607943)",
18577105,Marshall Street,residential,False,True,122.989,,,,,"LINESTRING (-90.2979548 37.5597572, -90.2979852 37.5586514)",
673006689,West Main Street,tertiary,False,False,167.534,2,,30 mph,,"LINESTRING (-90.2979548 37.5597572, -90.2960545 37.5597291)",
673001763,East Main Street,tertiary,False,True,155.104,2,MO Z,35 mph,,"LINESTRING (-90.2910659 37.5596614, -90.2928253 37.5596835)",
18577595,Saline Street,residential,False,True,216.329,,,,,"LINESTRING (-90.2910659 37.5596614, -90.2911331 37.5593532, -90.2911622 37.559027, -90.2911693 37.5577213)",
18576925,Jennifer Street,residential,False,True,133.301,,,,,"LINESTRING (-90.2898905 37.5639504, -90.2897593 37.5638979, -90.2892424 37.5637863, -90.2891162 37.563751, -90.2890941 37.5637448, -90.2889654 37.5636428, -90.2888742 37.5635109, -90.2888173 37.5632769)",
673039671,Lincoln Drive,tertiary,False,True,280.46299999999997,2,,35 mph,,"LINESTRING (-90.2898905 37.5639504, -90.2902185 37.5636739, -90.2906967 37.5632708, -90.292081 37.562121)",
18576925,Jennifer Street,residential,False,False,83.816,,,,,"LINESTRING (-90.2883603 37.5601665, -90.2884866 37.5609136)",
18577638,Matthew Street,residential,False,False,151.329,,,,,"LINESTRING (-90.2883603 37.5601665, -90.2900761 37.560213)",
18576925,Jennifer Street,residential,False,False,69.063,,,,,"LINESTRING (-90.2887133 37.5626613, -90.2888173 37.5632769)",
18576925,Jennifer Street,residential,False,True,121.706,,,,,"LINESTRING (-90.2887133 37.5626613, -90.2886544 37.5623126, -90.288618 37.562097, -90.2885958 37.5615721)",
18577595,Saline Street,residential,False,True,143.273,,,,,"LINESTRING (-90.2911693 37.5577213, -90.2912182 37.5564334)",
673001760,East College Avenue,residential,False,False,164.199,,,,,"LINESTRING (-90.2911693 37.5577213, -90.2893068 37.557697)",
673001760,East College Avenue,residential,False,True,152.556,,,,,"LINESTRING (-90.2911693 37.5577213, -90.2928991 37.5577646)",
18577595,Saline Street,residential,False,False,216.32899999999998,,,,,"LINESTRING (-90.2911693 37.5577213, -90.2911622 37.559027, -90.2911331 37.5593532, -90.2910659 37.5596614)",
18577026,Henry Street,residential,False,True,147.55,,,,,"LINESTRING (-90.2893068 37.557697, -90.2893449 37.5563704)",
673001760,East College Avenue,residential,False,True,164.199,,,,,"LINESTRING (-90.2893068 37.557697, -90.2911693 37.5577213)",
18577016,De Guire Street,residential,False,False,166.9,,,,,"LINESTRING (-90.296177 37.5559828, -90.2980688 37.5560434)",
18577049,Park Drive,residential,False,False,108.668,,,,,"LINESTRING (-90.296177 37.5559828, -90.2961615 37.55696)",
18577016,De Guire Street,residential,False,True,166.9,,,,,"LINESTRING (-90.2980688 37.5560434, -90.296177 37.5559828)",
18577105,Marshall Street,residential,False,False,108.996,,,,,"LINESTRING (-90.2980688 37.5560434, -90.2980607 37.5570236)",
18577026,Henry Street,residential,False,False,147.55,,,,,"LINESTRING (-90.2893449 37.5563704, -90.2893068 37.557697)",
18577062,Franklin Street,residential,False,False,165.281,,,,,"LINESTRING (-90.2893449 37.5563704, -90.2912182 37.5564334)",
18577049,Park Drive,residential,False,False,96.046,,,,,"LINESTRING (-90.2961615 37.55696, -90.2961258 37.5578233)",
18577049,Park Drive,residential,False,True,108.668,,,,,"LINESTRING (-90.2961615 37.55696, -90.296177 37.5559828)",
18577274,Cahoon Street,residential,False,False,167.563,,,,,"LINESTRING (-90.2961615 37.55696, -90.2980607 37.5570236)",
18577049,Park Drive,residential,False,False,89.173,,,,,"LINESTRING (-90.2961258 37.5578233, -90.2960958 37.5586249)",
18577049,Park Drive,residential,False,True,96.046,,,,,"LINESTRING (-90.2961258 37.5578233, -90.2961615 37.55696)",
673006687,West College Avenue,secondary,False,False,166.118,2,US 67 Bus,30 mph,,"LINESTRING (-90.2961258 37.5578233, -90.2980098 37.5578586)",
673006687,West College Avenue,secondary,False,True,143.245,2,US 67 Bus,30 mph,,"LINESTRING (-90.2961258 37.5578233, -90.2945015 37.5577846)",
18577049,Park Drive,residential,False,False,122.836,,,,,"LINESTRING (-90.2960958 37.5586249, -90.2960545 37.5597291)",
18577049,Park Drive,residential,False,True,89.173,,,,,"LINESTRING (-90.2960958 37.5586249, -90.2961258 37.5578233)",
18577133,Janis Street,residential,False,True,166.572,,,,,"LINESTRING (-90.2960958 37.5586249, -90.2979852 37.5586514)",
18577062,Franklin Street,residential,False,False,154.116,,,,,"LINESTRING (-90.2912182 37.5564334, -90.2929656 37.5564786)",
18577062,Franklin Street,residential,False,True,165.281,,,,,"LINESTRING (-90.2912182 37.5564334, -90.2893449 37.5563704)",
18577595,Saline Street,residential,False,False,143.273,,,,,"LINESTRING (-90.2912182 37.5564334, -90.2911693 37.5577213)",
18577601,Lachance,residential,False,True,139.59,,,,,"LINESTRING (-90.296026 37.5607943, -90.2944428 37.5607647)",
18577091,Buford Boulevard,residential,False,True,118.471,,,,,"LINESTRING (-90.296026 37.5607943, -90.2960349 37.5604631, -90.2960545 37.5597291)",
18577105,Marshall Street,residential,False,False,92.956,,,,,"LINESTRING (-90.2980607 37.5570236, -90.2980098 37.5578586)",
18577105,Marshall Street,residential,False,True,108.996,,,,,"LINESTRING (-90.2980607 37.5570236, -90.2980688 37.5560434)",
18577274,Cahoon Street,residential,False,True,167.563,,,,,"LINESTRING (-90.2980607 37.5570236, -90.2961615 37.55696)",
18577105,Marshall Street,residential,False,False,88.182,,,,,"LINESTRING (-90.2980098 37.5578586, -90.2979852 37.5586514)",
18577105,Marshall Street,residential,False,True,92.956,,,,,"LINESTRING (-90.2980098 37.5578586, -90.2980607 37.5570236)",
673006687,West College Avenue,secondary,False,True,166.118,2,US 67 Bus,30 mph,,"LINESTRING (-90.2980098 37.5578586, -90.2961258 37.5578233)",
18577105,Marshall Street,residential,False,False,122.989,,,,,"LINESTRING (-90.2979852 37.5586514, -90.2979548 37.5597572)",
18577105,Marshall Street,residential,False,True,88.182,,,,,"LINESTRING (-90.2979852 37.5586514, -90.2980098 37.5578586)",
18577133,Janis Street,residential,False,False,166.572,,,,,"LINESTRING (-90.2979852 37.5586514, -90.2960958 37.5586249)",
18577167,North Mine la Motte Avenue,residential,False,False,21.486,,,,,"LINESTRING (-90.2927901 37.5621422, -90.2928043 37.5623351)",
18577232,North Main Street,residential,False,False,92.709,,,,,"LINESTRING (-90.2944307 37.559931, -90.2944428 37.5607647)",
673006682,Court Square,tertiary,True,False,42.227000000000004,1,,,,"LINESTRING (-90.2944307 37.559931, -90.2945254 37.5599297, -90.2945992 37.5599061, -90.2946629 37.5598682, -90.2947121 37.5598187, -90.2947322 37.5597607, -90.2947379 37.5597056)",roundabout
18577232,North Main Street,residential,False,True,92.709,,,,,"LINESTRING (-90.2944428 37.5607647, -90.2944307 37.559931)",
18577601,Lachance,residential,False,False,139.59,,,,,"LINESTRING (-90.2944428 37.5607647, -90.296026 37.5607943)",
"[18577232, 216197912, 216197908]",North Main Street,residential,False,False,313.566,,,,yes,"LINESTRING (-90.2944428 37.5607647, -90.2943521 37.561759, -90.2943392 37.5621168, -90.2942855 37.5635813)",
18577638,Matthew Street,residential,False,True,151.329,,,,,"LINESTRING (-90.2900761 37.560213, -90.2883603 37.5601665)",
673006680,South Main Street,tertiary,False,True,185.337,2,,,,"LINESTRING (-90.2944568 37.559451, -90.2945015 37.5577846)",
673006682,Court Square,tertiary,True,False,42.64,1,,,,"LINESTRING (-90.2944568 37.559451, -90.2943625 37.5594607, -90.2942764 37.5594928, -90.2942069 37.5595442, -90.2941682 37.55961, -90.2941606 37.5596945)",roundabout
673006681,East Main Street,tertiary,False,False,117.708,2,,,,"LINESTRING (-90.2941606 37.5596945, -90.2928253 37.5596835)",
673006682,Court Square,tertiary,True,False,40.099,1,,,,"LINESTRING (-90.2941606 37.5596945, -90.2941697 37.5597588, -90.2941917 37.5598275, -90.2942555 37.5598834, -90.2943378 37.5599211, -90.2944307 37.559931)",roundabout
673006689,West Main Street,tertiary,False,True,116.083,2,,30 mph,,"LINESTRING (-90.2947379 37.5597056, -90.2960545 37.5597291)",
673006682,Court Square,tertiary,True,False,42.491,1,,,,"LINESTRING (-90.2947379 37.5597056, -90.2947254 37.5596356, -90.2947173 37.5595769, -90.2946702 37.559526, -90.2946081 37.5594865, -90.2945354 37.5594609, -90.2944568 37.559451)",roundabout
