osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed
9284634,Circuit Avenue,tertiary,False,False,20.662,"LINESTRING (-70.562591 41.450416, -70.562541 41.450598)",2,9.1,
9284634,Circuit Avenue,tertiary,False,True,76.469,"LINESTRING (-70.562591 41.450416, -70.562718 41.449972, -70.5627354 41.4499304, -70.5627568 41.4498884, -70.562796 41.449824, -70.5628185 41.4497921, -70.5628469 41.4497604)",2,9.1,
9284547,Pacific Avenue,residential,False,False,120.977,"LINESTRING (-70.566913 41.457028, -70.566277 41.458006)",2,9.1,
9284547,Pacific Avenue,residential,False,True,108.465,"LINESTRING (-70.566913 41.457028, -70.567512 41.456162)",2,9.1,
364581250,Huntington Avenue,residential,False,False,53.182,"LINESTRING (-70.566913 41.457028, -70.5663338 41.4568272)",,,20 mph
364581250,Huntington Avenue,residential,False,True,55.113,"LINESTRING (-70.566913 41.457028, -70.567496 41.457262)",,,20 mph
629045927,Dannys Court,residential,False,True,11.73,"LINESTRING (-70.5712569 41.4512753, -70.571385 41.451319)",,,
9284484,Bird Street,residential,False,False,53.404,"LINESTRING (-70.5689685 41.4537328, -70.568339 41.453643)",1,7.6,
1117642541,Bird Street,residential,False,True,52.126,"LINESTRING (-70.5689685 41.4537328, -70.5695831 41.4538198)",1,7.6,
9284805,Pierce Avenue,residential,False,True,125.37,"LINESTRING (-70.5689685 41.4537328, -70.5690132 41.453565, -70.5691223 41.4531742, -70.569215 41.4528675, -70.5692799 41.4526298)",,,
9285227,Field Way,residential,False,False,48.872,"LINESTRING (-70.567565 41.451018, -70.5674732 41.4514521)",,,
9285547,Forest Hill Avenue,residential,False,True,38.65,"LINESTRING (-70.567565 41.451018, -70.568015 41.451102)",2,9.1,
9285547,Forest Hill Avenue,residential,False,False,115.119,"LINESTRING (-70.567565 41.451018, -70.567018 41.45091, -70.566712 41.450842, -70.566229 41.450756)",2,9.1,
9284578,Gorham Avenue,residential,False,False,57.019,"LINESTRING (-70.5650229 41.4551445, -70.564795 41.455628)",1,7.6,
9284666,School Street,residential,False,False,191.287,"LINESTRING (-70.5650229 41.4551445, -70.5648459 41.4551177, -70.5642916 41.4550353, -70.5639525 41.4549832, -70.5634498 41.454904, -70.5630421 41.4548409, -70.5627778 41.4547882)",2,12.2,
9284666,School Street,residential,False,True,59.819,"LINESTRING (-70.5650229 41.4551445, -70.5651476 41.4551609, -70.5657277 41.4552463)",2,12.2,
629045937,Marvin Avenue,residential,False,False,124.724,"LINESTRING (-70.5695831 41.4538198, -70.5699081 41.4527249)",,,
1117642541,Bird Street,residential,False,False,52.126,"LINESTRING (-70.5695831 41.4538198, -70.5689685 41.4537328)",1,7.6,
1117642541,Bird Street,residential,False,True,18.445,"LINESTRING (-70.5695831 41.4538198, -70.5698016 41.4538462)",1,7.6,
"[629045937, 9285438]","['Belden Avenue', 'Marvin Avenue']",residential,False,True,201.249,"LINESTRING (-70.5695831 41.4538198, -70.5694373 41.454635, -70.568838 41.4545697, -70.568135 41.454486)",,,
9284510,Warwick Avenue,residential,False,False,101.65100000000001,"LINESTRING (-70.563733 41.450791, -70.563472 41.450743, -70.563042 41.450679, -70.562541 41.450598)",2,6.1,
519615321,Dukes County Avenue,residential,False,False,57.905,"LINESTRING (-70.563733 41.450791, -70.563692 41.451142, -70.563663 41.451309)",2,7.6,
9285542,Vineyard Avenue,residential,False,False,56.516,"LINESTRING (-70.5692799 41.4526298, -70.5686177 41.4525203)",2,9.1,
9285542,Vineyard Avenue,residential,False,True,39.864,"LINESTRING (-70.5692799 41.4526298, -70.569747 41.452707)",2,9.1,
9284805,Pierce Avenue,residential,False,False,125.37,"LINESTRING (-70.5692799 41.4526298, -70.569215 41.4528675, -70.5691223 41.4531742, -70.5690132 41.453565, -70.5689685 41.4537328)",,,
9284634,Circuit Avenue,tertiary,False,True,30.108,"LINESTRING (-70.5628469 41.4497604, -70.5630777 41.4495521)",2,9.1,
9284634,Circuit Avenue,tertiary,False,False,76.469,"LINESTRING (-70.5628469 41.4497604, -70.5628185 41.4497921, -70.562796 41.449824, -70.5627568 41.4498884, -70.5627354 41.4499304, -70.562718 41.449972, -70.562591 41.450416)",2,9.1,
