osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,lanes
6126998,Grand Avenue,tertiary,False,False,146.338,"LINESTRING (-122.2129342 47.9777609, -122.2129277 47.9776557, -122.2129069 47.9773195, -122.2128799 47.9769399, -122.2128599 47.976562, -122.2128527 47.976446)",,,2
6126998,Grand Avenue,tertiary,False,True,176.021,"LINESTRING (-122.2129342 47.9777609, -122.2129335 47.9780205, -122.2129323 47.9787271, -122.2129321 47.9788286, -122.2129314 47.9792186, -122.2129311 47.9793439)",,,2
"[1171517821, 1193666759]",Wall Street,tertiary,False,False,108.698,"LINESTRING (-122.2129342 47.9777609, -122.21221 47.9777757, -122.2116151 47.977788, -122.2114746 47.9777908)",,,
1193666759,Wall Street,tertiary,False,True,102.524,"LINESTRING (-122.2129342 47.9777609, -122.2136074 47.977747, -122.2141482 47.9777359, -122.2143109 47.9777326)",,,
1171517821,Wall Street,tertiary,False,False,110.76100000000001,"LINESTRING (-122.2114746 47.9777908, -122.2112824 47.9777947, -122.2107218 47.9778063, -122.2101526 47.9778179, -122.2099873 47.9778213)",,,
"[1171517821, 1193666759]",Wall Street,tertiary,False,True,108.69800000000001,"LINESTRING (-122.2114746 47.9777908, -122.2116151 47.977788, -122.21221 47.9777757, -122.2129342 47.9777609)",,,
1268190479,Rucker Avenue,secondary,False,False,27.232,"LINESTRING (-122.2114746 47.9777908, -122.2114705 47.9777224, -122.2114598 47.9775461)",,,
1268190479,Rucker Avenue,secondary,False,True,36.827,"LINESTRING (-122.2114746 47.9777908, -122.2114752 47.9778907, -122.2114758 47.9779896, -122.2114763 47.9780769, -122.2114766 47.978122)",,,
430876300,Colby Avenue,secondary,False,False,147.19299999999998,"LINESTRING (-122.2085914 47.97785, -122.2085877 47.9777605, -122.2085677 47.9772871, -122.2085602 47.9771094, -122.2085525 47.9769289, -122.2085443 47.9767338, -122.2085406 47.9766459, -122.2085356 47.9765268)",,,
571062812,Colby Avenue,secondary,False,True,156.182,"LINESTRING (-122.2085914 47.97785, -122.2085941 47.9779584, -122.2086103 47.9786119, -122.2086163 47.9788762, -122.2086238 47.9791579, -122.2086239 47.9792544)",,,2
1171517821,Wall Street,tertiary,False,True,103.95400000000001,"LINESTRING (-122.2085914 47.97785, -122.208775 47.9778462, -122.2093051 47.9778353, -122.2098857 47.9778234, -122.2099873 47.9778213)",,,
1193665288,Wall Street,tertiary,False,False,104.44600000000001,"LINESTRING (-122.2085914 47.97785, -122.2084433 47.977853, -122.207896 47.9778643, -122.2073333 47.9778758, -122.2071889 47.9778788)",,,
1193665286,Wetmore Avenue,tertiary,False,True,147.47899999999998,"LINESTRING (-122.2071889 47.9778788, -122.2071851 47.9777751, -122.2071691 47.9773443, -122.2071443 47.9766766, -122.2071398 47.9765529)",,,
1193665287,Wetmore Avenue,tertiary,False,False,149.899,"LINESTRING (-122.2071889 47.9778788, -122.2071913 47.9779908, -122.2071938 47.9781116, -122.2072039 47.9785861, -122.2072081 47.9787854, -122.2072158 47.9791527, -122.2072199 47.9792267)",,,
1193665288,Wall Street,tertiary,False,True,104.446,"LINESTRING (-122.2071889 47.9778788, -122.2073333 47.9778758, -122.207896 47.9778643, -122.2084433 47.977853, -122.2085914 47.97785)",,,
6126998,Grand Avenue,tertiary,False,False,143.54500000000002,"LINESTRING (-122.212817 47.9833105, -122.2128188 47.9832457, -122.2128501 47.9821268, -122.2128531 47.9820198)",,,2
6129700,26th Street,residential,False,False,107.972,"LINESTRING (-122.212817 47.9833105, -122.212701 47.9833094, -122.2121244 47.983304, -122.2115056 47.9832966, -122.2113665 47.9832949)",,,
6129700,26th Street,residential,False,True,107.324,"LINESTRING (-122.212817 47.9833105, -122.2129387 47.9833118, -122.2135433 47.9833183, -122.2138493 47.9833216, -122.2142588 47.983326)",,,
6126998,Grand Avenue,tertiary,False,False,150.864,"LINESTRING (-122.2128531 47.9820198, -122.2128574 47.9819194, -122.212906 47.9807768, -122.2129108 47.9806636)",,,2
6126998,Grand Avenue,tertiary,False,True,143.545,"LINESTRING (-122.2128531 47.9820198, -122.2128501 47.9821268, -122.2128188 47.9832457, -122.212817 47.9833105)",,,2
88982498,Everett Avenue,secondary,False,False,109.641,"LINESTRING (-122.2128531 47.9820198, -122.2127197 47.9820181, -122.2121648 47.9820096, -122.21157 47.9820036, -122.2113803 47.9820013)",WA 529,,
88982498,Everett Avenue,secondary,False,True,108.35499999999999,"LINESTRING (-122.2128531 47.9820198, -122.2129974 47.9820223, -122.2135703 47.9820324, -122.2140972 47.9820416, -122.2143084 47.9820453)",WA 529,,
6126998,Grand Avenue,tertiary,False,False,146.75199999999998,"LINESTRING (-122.2129108 47.9806636, -122.2129119 47.9805895, -122.2129216 47.979966, -122.2129294 47.9794584, -122.2129311 47.9793439)",,,2
6126998,Grand Avenue,tertiary,False,True,150.864,"LINESTRING (-122.2129108 47.9806636, -122.212906 47.9807768, -122.2128574 47.9819194, -122.2128531 47.9820198)",,,2
258148632,California Street,tertiary,False,False,103.96199999999999,"LINESTRING (-122.2129108 47.9806636, -122.2130364 47.9806663, -122.2135555 47.9806773, -122.214138 47.9806768, -122.2143072 47.9806786)",,,
258148632,California Street,tertiary,False,True,109.446,"LINESTRING (-122.2129108 47.9806636, -122.2127596 47.980662, -122.2126141 47.9806604, -122.2123943 47.9806581, -122.2122075 47.9806561, -122.2116269 47.9806493, -122.2114406 47.9806471)",,,
6126998,Grand Avenue,tertiary,False,False,176.02099999999996,"LINESTRING (-122.2129311 47.9793439, -122.2129314 47.9792186, -122.2129321 47.9788286, -122.2129323 47.9787271, -122.2129335 47.9780205, -122.2129342 47.9777609)",,,2
6126998,Grand Avenue,tertiary,False,True,146.752,"LINESTRING (-122.2129311 47.9793439, -122.2129294 47.9794584, -122.2129216 47.979966, -122.2129119 47.9805895, -122.2129108 47.9806636)",,,2
430956271,Hewitt Avenue,secondary,False,False,107.73599999999999,"LINESTRING (-122.2129311 47.9793439, -122.2127959 47.9793425, -122.2122334 47.9793348, -122.2116909 47.9793305, -122.2114839 47.9793283)",,,
430956271,Hewitt Avenue,secondary,False,True,104.51100000000001,"LINESTRING (-122.2129311 47.9793439, -122.2130717 47.9793454, -122.2136252 47.9793507, -122.2141588 47.9793571, -122.214335 47.979359)",,,
6126998,Grand Avenue,tertiary,False,True,146.338,"LINESTRING (-122.2128527 47.976446, -122.2128599 47.976562, -122.2128799 47.9769399, -122.2129069 47.9773195, -122.2129277 47.9776557, -122.2129342 47.9777609)",,,2
533304331,Pacific Avenue,tertiary,False,True,96.40899999999999,"LINESTRING (-122.2128527 47.976446, -122.2129691 47.9764438, -122.213555 47.9764329, -122.2141474 47.976423)",,,
788504899,Pacific Avenue,tertiary,False,False,108.57199999999999,"LINESTRING (-122.2128527 47.976446, -122.2127192 47.9764485, -122.2121169 47.9764598, -122.2120185 47.9764616, -122.211603 47.9764694, -122.2113947 47.9764733)",,,
"[6127464, 430876304]","['Federal Avenue', 'Hewitt Avenue']","['tertiary', 'residential']",False,"[False, True]",115.21600000000001,"LINESTRING (-122.2157346 47.9793772, -122.2164374 47.9793847, -122.216802 47.9793902, -122.2171719 47.9791851)",,,
6127464,Hewitt Avenue,tertiary,False,True,104.19800000000001,"LINESTRING (-122.2157346 47.9793772, -122.2152399 47.9793701, -122.2150348 47.9793671, -122.2145036 47.979361, -122.214335 47.979359)",,,
1193893412,Nassau Street,tertiary,False,True,180.729,"LINESTRING (-122.2157346 47.9793772, -122.2157996 47.9778495, -122.2157981 47.9777525)",,,
430956271,Hewitt Avenue,secondary,False,True,107.736,"LINESTRING (-122.2114839 47.9793283, -122.2116909 47.9793305, -122.2122334 47.9793348, -122.2127959 47.9793425, -122.2129311 47.9793439)",,,
"[1082085148, 1082085150]",Hewitt Avenue,secondary,True,False,109.43499999999999,"LINESTRING (-122.2114839 47.9793283, -122.2112864 47.979281, -122.21075 47.9792658, -122.2103891 47.9792622, -122.2103459 47.9792618, -122.2101639 47.979264, -122.2100265 47.9792655)",,,"['3', '2']"
1268190480,Rucker Avenue,secondary,False,False,39.964,"LINESTRING (-122.2114839 47.9793283, -122.2114832 47.9792078, -122.2114817 47.9789689)",,,
1268190482,Rucker Avenue,secondary,False,True,35.557,"LINESTRING (-122.2114839 47.9793283, -122.2114805 47.9794341, -122.2114735 47.979648)",,,
803557911,Colby Avenue,secondary,False,False,9.387,"LINESTRING (-122.2086212 47.9793388, -122.2086239 47.9792544)",,,2
430856621,Colby Avenue,secondary,False,True,142.016,"LINESTRING (-122.2086212 47.9793388, -122.2086239 47.9794207, -122.2086144 47.9798089, -122.20861 47.9799866, -122.2085972 47.9805284, -122.2085951 47.9806158)",,,2
435152243,Hewitt Avenue,secondary,True,False,104.40599999999999,"LINESTRING (-122.2086212 47.9793388, -122.2087815 47.9793424, -122.209341 47.9793459, -122.2099163 47.9793499, -122.2100237 47.9793485)",,,
987038133,Wetmore Avenue,tertiary,False,False,10.982,"LINESTRING (-122.2072443 47.9793241, -122.2072199 47.9792267)",,,
430856638,Wetmore Avenue,tertiary,False,True,142.17300000000003,"LINESTRING (-122.2072443 47.9793241, -122.2072477 47.9793977, -122.207241 47.9798255, -122.2072396 47.9799009, -122.207232 47.9801325, -122.2072215 47.9805131, -122.2072209 47.9806025)",,,2
571062815,Hewitt Avenue,secondary,True,False,102.517,"LINESTRING (-122.2072443 47.9793241, -122.2073613 47.9793279, -122.2079308 47.9793381, -122.208446 47.9793403, -122.2084839 47.9793408, -122.2086212 47.9793388)",,,
6128278,Rucker Avenue,tertiary,False,False,143.846,"LINESTRING (-122.2113665 47.9832949, -122.2113673 47.9832208, -122.2113788 47.982134, -122.2113803 47.9820013)",,,
6129700,26th Street,residential,False,False,105.364,"LINESTRING (-122.2113665 47.9832949, -122.2112393 47.9832935, -122.2106292 47.983287, -122.2102632 47.983284, -122.2100501 47.9832823, -122.209951 47.9832815)",,,
6129700,26th Street,residential,False,True,107.97200000000001,"LINESTRING (-122.2113665 47.9832949, -122.2115056 47.9832966, -122.2121244 47.983304, -122.212701 47.9833094, -122.212817 47.9833105)",,,
6128278,Rucker Avenue,tertiary,False,True,143.846,"LINESTRING (-122.2113803 47.9820013, -122.2113788 47.982134, -122.2113673 47.9832208, -122.2113665 47.9832949)",,,
88982498,Everett Avenue,secondary,False,True,109.641,"LINESTRING (-122.2113803 47.9820013, -122.21157 47.9820036, -122.2121648 47.9820096, -122.2127197 47.9820181, -122.2128531 47.9820198)",WA 529,,
430856627,Everett Avenue,secondary,False,False,105.436,"LINESTRING (-122.2113803 47.9820013, -122.2112516 47.982, -122.2107758 47.9819949, -122.210688 47.9819939, -122.2100909 47.9819875, -122.2099639 47.9819861)",WA 529,,
1268190485,Rucker Avenue,secondary,False,False,33.135999999999996,"LINESTRING (-122.2113803 47.9820013, -122.2113933 47.9818767, -122.2114083 47.9817039)",,,
258148631,California Street,tertiary,False,True,107.57600000000001,"LINESTRING (-122.2114406 47.9806471, -122.2112773 47.9806453, -122.2107109 47.9806391, -122.2101461 47.9806329, -122.2099955 47.9806312)",,,
258148632,California Street,tertiary,False,False,109.446,"LINESTRING (-122.2114406 47.9806471, -122.2116269 47.9806493, -122.2122075 47.9806561, -122.2123943 47.9806581, -122.2126141 47.9806604, -122.2127596 47.980662, -122.2129108 47.9806636)",,,
1268190486,Rucker Avenue,secondary,False,False,31.799,"LINESTRING (-122.2114406 47.9806471, -122.2114429 47.9805762, -122.21145 47.9803612)",,,
1268190486,Rucker Avenue,secondary,False,True,35.344,"LINESTRING (-122.2114406 47.9806471, -122.2114353 47.9807661, -122.2114335 47.9809649)",,,
264249260,Pacific Avenue,tertiary,False,False,107.366,"LINESTRING (-122.2113947 47.9764733, -122.2111806 47.9764773, -122.2106519 47.9764872, -122.2100969 47.9764976, -122.2099529 47.9765003)",,,
731998731,Rucker Avenue,secondary,False,False,149.08,"LINESTRING (-122.2113947 47.9764733, -122.2113904 47.9763353, -122.2113826 47.9760574, -122.2113521 47.9751329)",,,6
788504899,Pacific Avenue,tertiary,False,True,108.572,"LINESTRING (-122.2113947 47.9764733, -122.211603 47.9764694, -122.2120185 47.9764616, -122.2121169 47.9764598, -122.2127192 47.9764485, -122.2128527 47.976446)",,,
1268190476,Rucker Avenue,secondary,False,True,54.363,"LINESTRING (-122.2113947 47.9764733, -122.2114009 47.9765753, -122.2114243 47.9769618)",,,
6131712,West Marine View Drive,tertiary,False,False,147.727,"LINESTRING (-122.2141474 47.976423, -122.2142602 47.9765683, -122.214307 47.9776421, -122.2143073 47.9776497, -122.2143109 47.9777326)",,,
6136957,Pacific Avenue,tertiary,False,True,125.81400000000001,"LINESTRING (-122.2141474 47.976423, -122.2143888 47.9764203, -122.2150183 47.9764191, -122.2156945 47.9764244, -122.2158375 47.9764255)",,,
533304331,Pacific Avenue,tertiary,False,False,96.40899999999999,"LINESTRING (-122.2141474 47.976423, -122.213555 47.9764329, -122.2129691 47.9764438, -122.2128527 47.976446)",,,
6129700,26th Street,residential,False,False,107.324,"LINESTRING (-122.2142588 47.983326, -122.2138493 47.9833216, -122.2135433 47.9833183, -122.2129387 47.9833118, -122.212817 47.9833105)",,,
89451700,West Marine View Drive,primary,False,True,142.455,"LINESTRING (-122.2142588 47.983326, -122.2143027 47.9821931, -122.2143084 47.9820453)",WA 529,,
6129700,26th Street,residential,False,False,101.489,"LINESTRING (-122.2085165 47.9832642, -122.2083331 47.9832622, -122.2078357 47.9832569, -122.2077553 47.983256, -122.2075045 47.9832533, -122.2071531 47.9832493)",,,
6129700,26th Street,residential,False,True,106.785,"LINESTRING (-122.2085165 47.9832642, -122.2087385 47.9832666, -122.2088697 47.983268, -122.2092358 47.9832719, -122.209951 47.9832815)",,,
