osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,tunnel
15520671,False,4,,residential,25 mph,False,129.756,10th Street,"LINESTRING (-82.4424872 38.4222239, -82.4424758 38.4221667, -82.4424676 38.4221316, -82.4424617 38.4221063, -82.4423363 38.4216482, -82.4422089 38.421201, -82.4421753 38.421083)",
749961976,False,3,,unclassified,25 mph,True,55.571,3rd Avenue,"LINESTRING (-82.4424872 38.4222239, -82.4426158 38.4222022, -82.4431108 38.4221187)",
"[749961977, 749961978]",False,3,,unclassified,25 mph,False,150.915,3rd Avenue,"LINESTRING (-82.4424872 38.4222239, -82.4423774 38.4222431, -82.4412707 38.4224368, -82.4409281 38.4224967, -82.4407965 38.4225197)",
749961985,False,3,,residential,25 mph,True,158.51799999999997,10th Street,"LINESTRING (-82.4424872 38.4222239, -82.4424986 38.4222797, -82.4425153 38.4223438, -82.4425174 38.4223514, -82.4426105 38.4226834, -82.4426376 38.42278, -82.4426496 38.4228239, -82.4427085 38.4230395, -82.4427638 38.4232416, -82.4428305 38.4234858, -82.4428368 38.4235115, -82.4428573 38.4235552, -82.4428909 38.4236119)",
"[749961977, 749961978]",False,3,,unclassified,25 mph,True,150.915,3rd Avenue,"LINESTRING (-82.4407965 38.4225197, -82.4409281 38.4224967, -82.4412707 38.4224368, -82.4423774 38.4222431, -82.4424872 38.4222239)",
"[15518502, 749961983]",False,4,,residential,25 mph,False,129.767,11th Street,"LINESTRING (-82.4407965 38.4225197, -82.4407701 38.4224271, -82.4407149 38.4222338, -82.44067 38.4220767, -82.4406333 38.4219478, -82.4404962 38.4214675, -82.4404714 38.4213808)",
15520615,False,3,,primary,35 mph,True,152.98999999999998,4th Avenue,"LINESTRING (-82.4489819 38.4198941, -82.4491004 38.419874, -82.4494143 38.4198207, -82.450497 38.4196371, -82.4506361 38.4196135, -82.4506983 38.4196032)",
"[180210513, 50287555, 548266894]",True,1,,primary_link,25 mph,False,201.895,"['3rd Avenue', '6th Street']","LINESTRING (-82.4489819 38.4198941, -82.4489683 38.4199907, -82.4489687 38.4200196, -82.4489741 38.4200879, -82.4489956 38.4201824, -82.4490576 38.4203848, -82.4490861 38.4204887, -82.4491387 38.4206717, -82.4492048 38.4208996, -82.4492121 38.4209306, -82.4492101 38.4209574, -82.4491974 38.4209862, -82.4491699 38.4210083, -82.4491324 38.421022, -82.4490754 38.4210335, -82.4488648 38.4210677, -82.4487515 38.4210908, -82.4486583 38.4211123, -82.4485537 38.4211412, -82.4484625 38.4211712, -82.4483632 38.4212174)",
549242099,False,4,,unclassified,25 mph,False,151.086,4th Avenue,"LINESTRING (-82.4489819 38.4198941, -82.4488829 38.4199102, -82.4485167 38.4199745, -82.4473983 38.4201742, -82.4472899 38.4201921)",
"[50287561, 726981091, 655056836]",True,1,WV 527,primary,35 mph,False,218.729,,"LINESTRING (-82.4489819 38.4198941, -82.4490276 38.4199824, -82.4490666 38.4200674, -82.4491036 38.4201579, -82.4491458 38.4202791, -82.449164 38.4203237, -82.4491847 38.4203747, -82.4492262 38.4204572, -82.4492832 38.4205397, -82.4493597 38.4206227, -82.4494502 38.4207005, -82.4497761 38.4209789, -82.4499417 38.4211176, -82.4500952 38.4212741, -82.4501596 38.4213571, -82.4502039 38.4214307, -82.4502689 38.4215468)",
15517494,False,3,,residential,25 mph,True,152.12699999999998,6th Avenue,"LINESTRING (-82.4482241 38.4171653, -82.4483397 38.4171448, -82.4498259 38.4168865, -82.4499287 38.4168687)",
50287528,False,3,WV 527,primary,25 mph,False,151.80999999999997,6th Avenue,"LINESTRING (-82.4482241 38.4171653, -82.4481111 38.417185, -82.4479063 38.4172209, -82.4475783 38.4172782, -82.4471701 38.4173496, -82.4469047 38.417396, -82.4466375 38.4174431, -82.4465235 38.4174628)",
50287534,False,2,WV 527,primary,25 mph,False,156.03,6th Street,"LINESTRING (-82.4482241 38.4171653, -82.4482504 38.4172583, -82.4483781 38.4177101, -82.4484131 38.4178374, -82.4484825 38.4180752, -82.448577 38.4184189, -82.4486102 38.4185355)",
"[635816994, 635730214, 15517055]",False,2,,unclassified,25 mph,True,152.157,6th Street,"LINESTRING (-82.4482241 38.4171653, -82.4482045 38.4170955, -82.4481992 38.4170766, -82.4480357 38.4164956, -82.4478735 38.4159187, -82.4478494 38.4158288)",
"[635816994, 635730214, 15517055]",False,2,,unclassified,25 mph,False,152.15699999999998,6th Street,"LINESTRING (-82.4478494 38.4158288, -82.4478735 38.4159187, -82.4480357 38.4164956, -82.4481992 38.4170766, -82.4482045 38.4170955, -82.4482241 38.4171653)",
15517055,False,2,,unclassified,25 mph,True,83.091,6th Street,"LINESTRING (-82.4478494 38.4158288, -82.4478245 38.4157355, -82.4477949 38.4156181, -82.4477658 38.4155029, -82.4477593 38.4154804, -82.4477081 38.4153043, -82.4476676 38.4151559, -82.447662 38.4151354, -82.4476518 38.4150978)",
615943345,False,2,,residential,25 mph,False,152.15200000000002,7th Avenue,"LINESTRING (-82.4478494 38.4158288, -82.4477385 38.4158479, -82.4472765 38.4159279, -82.4468615 38.4159997, -82.446258 38.4161042, -82.4461441 38.4161239)",
615943345,False,2,,residential,25 mph,True,152.05700000000002,7th Avenue,"LINESTRING (-82.4478494 38.4158288, -82.4479656 38.4158086, -82.4490459 38.4156217, -82.4494498 38.4155518, -82.4495536 38.4155338)",
15517055,False,2,,unclassified,25 mph,False,83.091,6th Street,"LINESTRING (-82.4476518 38.4150978, -82.447662 38.4151354, -82.4476676 38.4151559, -82.4477081 38.4153043, -82.4477593 38.4154804, -82.4477658 38.4155029, -82.4477949 38.4156181, -82.4478245 38.4157355, -82.4478494 38.4158288)",
15517494,False,3,,residential,25 mph,False,152.12699999999998,6th Avenue,"LINESTRING (-82.4499287 38.4168687, -82.4498259 38.4168865, -82.4483397 38.4171448, -82.4482241 38.4171653)",
50287548,False,2,,residential,25 mph,False,151.991,5th Street,"LINESTRING (-82.4499287 38.4168687, -82.4499036 38.416781, -82.4497434 38.4161992, -82.4495789 38.41562, -82.4495536 38.4155338)",
50287548,False,2,,residential,25 mph,True,155.88600000000002,5th Street,"LINESTRING (-82.4499287 38.4168687, -82.4499545 38.4169597, -82.4501188 38.4175397, -82.450282 38.4181188, -82.4503153 38.4182375)",
15517556,False,2,,residential,25 mph,False,152.505,7th Street,"LINESTRING (-82.4465235 38.4174628, -82.446498 38.4173728, -82.4463319 38.4167941, -82.4461743 38.4162299, -82.4461695 38.4162127, -82.4461441 38.4161239)",
15517556,False,2,,residential,25 mph,True,155.69899999999998,7th Street,"LINESTRING (-82.4465235 38.4174628, -82.4465492 38.4175536, -82.4465701 38.4176349, -82.4466278 38.4178592, -82.4467018 38.4181327, -82.4468684 38.4187198, -82.4468997 38.4188316)",
"[50287528, 750330201]",False,3,WV 527,primary,25 mph,False,152.256,6th Avenue,"LINESTRING (-82.4465235 38.4174628, -82.4464059 38.4174831, -82.4458783 38.4175739, -82.4453724 38.417661, -82.4452657 38.4176794, -82.4449402 38.4177354, -82.4448166 38.4177567)",
50287528,False,3,WV 527,primary,25 mph,True,151.81,6th Avenue,"LINESTRING (-82.4465235 38.4174628, -82.4466375 38.4174431, -82.4469047 38.417396, -82.4471701 38.4173496, -82.4475783 38.4172782, -82.4479063 38.4172209, -82.4481111 38.417185, -82.4482241 38.4171653)",
"[50288360, 754942765]",False,4,,secondary,30 mph,False,156.14700000000002,8th Street,"LINESTRING (-82.4448166 38.4177567, -82.4448447 38.4178552, -82.444971 38.4182985, -82.445008 38.4184282, -82.4450432 38.4185517, -82.4450996 38.4187495, -82.4451785 38.4190263, -82.4452072 38.4191272)",
"[750330197, 750330198, 750330199]",False,3,,residential,25 mph,False,152.177,6th Avenue,"LINESTRING (-82.4448166 38.4177567, -82.4447055 38.4177762, -82.4443481 38.4178389, -82.4441651 38.4178711, -82.4441253 38.4178781, -82.4439188 38.4179143, -82.4437609 38.417942, -82.4435963 38.4179709, -82.443231 38.418035, -82.4431121 38.4180558)",
"[50287528, 750330201]",False,3,WV 527,primary,25 mph,True,152.25600000000003,6th Avenue,"LINESTRING (-82.4448166 38.4177567, -82.4449402 38.4177354, -82.4452657 38.4176794, -82.4453724 38.417661, -82.4458783 38.4175739, -82.4464059 38.4174831, -82.4465235 38.4174628)",
"[754942764, 50287533]",False,4,WV 527,primary,30 mph,False,151.98499999999999,8th Street,"LINESTRING (-82.4448166 38.4177567, -82.4447916 38.4176658, -82.4446984 38.4173315, -82.4446309 38.4170895, -82.4444687 38.416515, -82.4444423 38.4164217)",
548194356,False,2,,residential,25 mph,False,152.431,9th Street,"LINESTRING (-82.4431121 38.4180558, -82.4430852 38.4179625, -82.4430057 38.4176863, -82.442919 38.4173853, -82.4427616 38.4168092, -82.4427367 38.4167169)",
548194356,False,2,,residential,25 mph,True,155.516,9th Street,"LINESTRING (-82.4431121 38.4180558, -82.4431384 38.4181484, -82.4432204 38.4184378, -82.4432774 38.4186389, -82.4433023 38.4187268, -82.443349 38.4188917, -82.443466 38.4193045, -82.4434943 38.4194219)",
"[750330194, 750330195, 750330196]",False,3,,residential,25 mph,False,152.14,6th Avenue,"LINESTRING (-82.4431121 38.4180558, -82.4429928 38.4180768, -82.4426415 38.4181385, -82.4426176 38.4181427, -82.4426007 38.4181457, -82.4425274 38.4181586, -82.4424454 38.418173, -82.442368 38.4181866, -82.4422498 38.4182074, -82.4421591 38.4182233, -82.4418889 38.4182708, -82.4418498 38.4182777, -82.4416461 38.4183135, -82.4415247 38.4183348, -82.4414081 38.4183552)",
"[750330197, 750330198, 750330199]",False,3,,residential,25 mph,True,152.177,6th Avenue,"LINESTRING (-82.4431121 38.4180558, -82.443231 38.418035, -82.4435963 38.4179709, -82.4437609 38.417942, -82.4439188 38.4179143, -82.4441253 38.4178781, -82.4441651 38.4178711, -82.4443481 38.4178389, -82.4447055 38.4177762, -82.4448166 38.4177567)",
15520671,False,4,,residential,25 mph,False,152.89100000000002,10th Street,"LINESTRING (-82.4414081 38.4183552, -82.4413813 38.4182582, -82.4412174 38.4176849, -82.4411065 38.4173087, -82.441075 38.4172099, -82.4410589 38.4171605, -82.441038 38.4171148, -82.441034 38.4171064, -82.4410045 38.4170633, -82.440972 38.4170288)",
15520671,False,4,,residential,25 mph,True,154.893,10th Street,"LINESTRING (-82.4414081 38.4183552, -82.4414334 38.4184464, -82.4415909 38.4190233, -82.4417548 38.419618, -82.4417833 38.4197168)",
"[750330192, 750330193, 750330191]",False,3,,residential,25 mph,False,152.097,6th Avenue,"LINESTRING (-82.4414081 38.4183552, -82.4412923 38.4183754, -82.4409188 38.4184403, -82.4402123 38.4185631, -82.4398312 38.4186293, -82.4397037 38.4186514)",
"[750330194, 750330195, 750330196]",False,3,,residential,25 mph,True,152.14,6th Avenue,"LINESTRING (-82.4414081 38.4183552, -82.4415247 38.4183348, -82.4416461 38.4183135, -82.4418498 38.4182777, -82.4418889 38.4182708, -82.4421591 38.4182233, -82.4422498 38.4182074, -82.442368 38.4181866, -82.4424454 38.418173, -82.4425274 38.4181586, -82.4426007 38.4181457, -82.4426176 38.4181427, -82.4426415 38.4181385, -82.4429928 38.4180768, -82.4431121 38.4180558)",
"[749961981, 15518502]",False,4,,residential,25 mph,True,155.374,11th Street,"LINESTRING (-82.4397037 38.4186514, -82.4397289 38.4187417, -82.4397794 38.4189229, -82.4398904 38.4193207, -82.4399253 38.4194458, -82.4400541 38.4199061, -82.440085 38.4200164)",
"[750330192, 750330193, 750330191]",False,3,,residential,25 mph,True,152.097,6th Avenue,"LINESTRING (-82.4397037 38.4186514, -82.4398312 38.4186293, -82.4402123 38.4185631, -82.4409188 38.4184403, -82.4412923 38.4183754, -82.4414081 38.4183552)",
"[691106537, 15517914]",False,4,US 60 WB,primary,30 mph,False,149.03400000000002,Veterans Memorial Boulevard,"LINESTRING (-82.4480178 38.4227482, -82.4481051 38.4227188, -82.4482117 38.4226773, -82.4483129 38.4226306, -82.4486254 38.4224803, -82.4487823 38.4224036, -82.4489271 38.4223349, -82.4489757 38.4223116, -82.4490807 38.4222671, -82.4491387 38.422245, -82.4491954 38.4222255, -82.4492577 38.4222061, -82.4493191 38.4221897, -82.4493478 38.4221823, -82.4495326 38.4221375)",
15517914,False,4,US 60 WB,primary,30 mph,True,174.274,Veterans Memorial Boulevard,"LINESTRING (-82.4480178 38.4227482, -82.4478878 38.4227856, -82.4477597 38.4228176, -82.4474587 38.4228896, -82.4470563 38.4229857, -82.4468511 38.4230362, -82.4466895 38.4230713, -82.4465239 38.4231018, -82.4463375 38.4231339, -82.4460938 38.4231716)",
549242101,False,4,,residential,25 mph,False,159.334,7th Street,"LINESTRING (-82.4480178 38.4227482, -82.4479944 38.4226937, -82.447984 38.4226611, -82.447973 38.4226269, -82.4477711 38.4219073, -82.4477466 38.42182, -82.4477081 38.4216827, -82.4476578 38.4215034, -82.4476477 38.4214676, -82.447615 38.4213508)",
15517556,False,2,,residential,25 mph,False,155.05400000000003,7th Street,"LINESTRING (-82.4472899 38.4201921, -82.4472635 38.4200993, -82.4470961 38.4195277, -82.4470315 38.4193002, -82.4469316 38.4189416, -82.4468997 38.4188316)",
"[547793600, 754946201, 827623951]",False,4,,unclassified,25 mph,False,151.833,4th Avenue,"LINESTRING (-82.4472899 38.4201921, -82.4471771 38.4202107, -82.4470711 38.4202292, -82.446213 38.4203786, -82.4457167 38.4204651, -82.4455891 38.42049)",
549242099,False,4,,unclassified,25 mph,True,151.08599999999998,4th Avenue,"LINESTRING (-82.4472899 38.4201921, -82.4473983 38.4201742, -82.4485167 38.4199745, -82.4488829 38.4199102, -82.4489819 38.4198941)",
549242100,False,4,,residential,25 mph,True,131.92,7th Street,"LINESTRING (-82.4472899 38.4201921, -82.4473139 38.4202764, -82.44744 38.4207304, -82.4474471 38.4207552, -82.4474722 38.4208444, -82.4474815 38.4208763, -82.4475182 38.4210014, -82.4475586 38.4211396, -82.4475879 38.4212494, -82.447615 38.4213508)",
15517556,False,2,,residential,25 mph,False,78.93100000000001,7th Street,"LINESTRING (-82.4461441 38.4161239, -82.4461248 38.4160536, -82.4461184 38.4160304, -82.4459514 38.4154303)",
15517556,False,2,,residential,25 mph,True,152.50500000000002,7th Street,"LINESTRING (-82.4461441 38.4161239, -82.4461695 38.4162127, -82.4461743 38.4162299, -82.4463319 38.4167941, -82.446498 38.4173728, -82.4465235 38.4174628)",
"[615943345, 749960374]",False,"['3', '2']",,residential,25 mph,False,151.927,7th Avenue,"LINESTRING (-82.4461441 38.4161239, -82.4460299 38.4161433, -82.4457056 38.4161975, -82.4451912 38.4162872, -82.4449494 38.4163278, -82.4448427 38.4163474, -82.4445591 38.4164009, -82.4444423 38.4164217)",
615943345,False,2,,residential,25 mph,True,152.15200000000002,7th Avenue,"LINESTRING (-82.4461441 38.4161239, -82.446258 38.4161042, -82.4468615 38.4159997, -82.4472765 38.4159279, -82.4477385 38.4158479, -82.4478494 38.4158288)",
15517556,False,2,,residential,25 mph,True,78.931,7th Street,"LINESTRING (-82.4459514 38.4154303, -82.4461184 38.4160304, -82.4461248 38.4160536, -82.4461441 38.4161239)",
15517914,False,4,US 60 WB,primary,30 mph,False,151.055,Veterans Memorial Boulevard,"LINESTRING (-82.4428909 38.4236119, -82.4430141 38.4236061, -82.4433904 38.4235926, -82.4435795 38.4235851, -82.4436788 38.4235767, -82.443789 38.4235619, -82.4440281 38.4235237, -82.4446028 38.4234233)",
749961985,False,3,,residential,25 mph,False,158.518,10th Street,"LINESTRING (-82.4428909 38.4236119, -82.4428573 38.4235552, -82.4428368 38.4235115, -82.4428305 38.4234858, -82.4427638 38.4232416, -82.4427085 38.4230395, -82.4426496 38.4228239, -82.4426376 38.42278, -82.4426105 38.4226834, -82.4425174 38.4223514, -82.4425153 38.4223438, -82.4424986 38.4222797, -82.4424872 38.4222239)",
15517914,False,4,US 60 WB,primary,30 mph,False,132.869,Veterans Memorial Boulevard,"LINESTRING (-82.4446028 38.4234233, -82.4460938 38.4231716)",
15517914,False,4,US 60 WB,primary,30 mph,True,151.055,Veterans Memorial Boulevard,"LINESTRING (-82.4446028 38.4234233, -82.4440281 38.4235237, -82.443789 38.4235619, -82.4436788 38.4235767, -82.4435795 38.4235851, -82.4433904 38.4235926, -82.4430141 38.4236061, -82.4428909 38.4236119)",
15519781,False,2,,unclassified,25 mph,False,113.82399999999998,9th Street,"LINESTRING (-82.4446028 38.4234233, -82.444574 38.423319, -82.4444834 38.4229907, -82.444386 38.4226376, -82.4443479 38.4225102, -82.444322 38.4224236)",
15517914,False,4,US 60 WB,primary,30 mph,True,132.869,Veterans Memorial Boulevard,"LINESTRING (-82.4460938 38.4231716, -82.4446028 38.4234233)",
15517914,False,4,US 60 WB,primary,30 mph,False,174.274,Veterans Memorial Boulevard,"LINESTRING (-82.4460938 38.4231716, -82.4463375 38.4231339, -82.4465239 38.4231018, -82.4466895 38.4230713, -82.4468511 38.4230362, -82.4470563 38.4229857, -82.4474587 38.4228896, -82.4477597 38.4228176, -82.4478878 38.4227856, -82.4480178 38.4227482)",
"[725908607, 726981092, 726981093, 15521863]",False,"['3', '2']",,primary,30 mph,False,172.716,8th Street,"LINESTRING (-82.4460938 38.4231716, -82.4460749 38.4231048, -82.4460674 38.4230784, -82.4458654 38.4223679, -82.4458393 38.4222807, -82.4458151 38.4221867, -82.445799 38.4221184, -82.4457964 38.4220559, -82.4458057 38.4219949, -82.4458279 38.421934, -82.4458688 38.4218168, -82.4458835 38.4217685, -82.4458929 38.4217307, -82.4458931 38.4217293, -82.4458983 38.4216897, -82.4458978 38.4216529)",
