osmid,highway,oneway,reversed,length,geometry,name
24188871,residential,False,False,373.604,"LINESTRING (-170.7262713 -14.3258318, -170.7262426 -14.3258506, -170.7262127 -14.3258844, -170.7261353 -14.3259775, -170.7260907 -14.3260331, -170.7260567 -14.3260822, -170.7260187 -14.3261445, -170.7258954 -14.3264129, -170.7258616 -14.3264923, -170.7258371 -14.3265333, -170.7258008 -14.3265908, -170.7257136 -14.3267151, -170.7255999 -14.3268639, -170.7254899 -14.32704, -170.7253879 -14.3272502, -170.7253505 -14.3273142, -170.7252946 -14.3274051, -170.7251187 -14.3277192, -170.7249439 -14.3280793, -170.7248704 -14.3282276, -170.7248267 -14.32834, -170.7247958 -14.3284617, -170.7247884 -14.3285442, -170.7247831 -14.3286329, -170.7247933 -14.3288087)",
24189308,residential,False,True,192.85199999999998,"LINESTRING (-170.724513 -14.3271836, -170.724483 -14.3273276, -170.7244466 -14.3274489, -170.724431 -14.3275006, -170.724364 -14.3276216, -170.724034 -14.3279106, -170.7239083 -14.3280157, -170.7237565 -14.3280838, -170.723496 -14.3281483, -170.7232366 -14.3281943)",
24189022,residential,False,True,18.022,"LINESTRING (-170.7276124 -14.3282692, -170.7275809 -14.3282029, -170.7275982 -14.3281154)",
434930303,residential,False,True,18.601,"LINESTRING (-170.7276124 -14.3282692, -170.7275287 -14.328221, -170.7274605 -14.3281901)",
"[24188604, 434378150]",residential,False,"[False, True]",248.514,"LINESTRING (-170.723388 -14.331106, -170.7233734 -14.3311502, -170.7233639 -14.3311883, -170.7233657 -14.3312244, -170.7233731 -14.3312571, -170.723507 -14.3314513, -170.7235935 -14.3315608, -170.7237184 -14.3317219, -170.7238299 -14.3318553, -170.7239252 -14.3319579, -170.7239709 -14.3319981, -170.7240083 -14.3320233, -170.7243946 -14.3322937, -170.7245173 -14.3323676, -170.7245569 -14.3323792, -170.724623 -14.3323863, -170.7247076 -14.3323895, -170.7247788 -14.3323867, -170.7248199 -14.332381, -170.7250125 -14.3323222)",Procurement Road
24188604,residential,False,True,127.078,"LINESTRING (-170.723388 -14.331106, -170.7234869 -14.3309349, -170.7236619 -14.3306322, -170.7236764 -14.3306077, -170.7237957 -14.3304108, -170.7238035 -14.3303926, -170.7239494 -14.3301016)",Procurement Road
24188503,residential,False,False,8.318,"LINESTRING (-170.7265857 -14.3281386, -170.7265258 -14.3280914)",
24188503,residential,False,True,58.79,"LINESTRING (-170.7265857 -14.3281386, -170.7270272 -14.3281577, -170.7271308 -14.328163)",
375235974,residential,False,True,192.30200000000002,"LINESTRING (-170.7265857 -14.3281386, -170.7266156 -14.3279698, -170.726625 -14.3277788, -170.7266334 -14.3277233, -170.7266469 -14.3276797, -170.7266772 -14.3276036, -170.7267082 -14.3275508, -170.7267785 -14.3274886, -170.7268297 -14.3274525, -170.7268967 -14.3274268, -170.7269756 -14.327419, -170.7270476 -14.3274426, -170.7271072 -14.3274943, -170.7271246 -14.3275433, -170.7271305 -14.3277769, -170.7271308 -14.328163)",
24188503,residential,False,False,58.79,"LINESTRING (-170.7271308 -14.328163, -170.7270272 -14.3281577, -170.7265857 -14.3281386)",
375235974,residential,False,False,192.30200000000005,"LINESTRING (-170.7271308 -14.328163, -170.7271305 -14.3277769, -170.7271246 -14.3275433, -170.7271072 -14.3274943, -170.7270476 -14.3274426, -170.7269756 -14.327419, -170.7268967 -14.3274268, -170.7268297 -14.3274525, -170.7267785 -14.3274886, -170.7267082 -14.3275508, -170.7266772 -14.3276036, -170.7266469 -14.3276797, -170.7266334 -14.3277233, -170.726625 -14.3277788, -170.7266156 -14.3279698, -170.7265857 -14.3281386)",
"[24187925, 24188503]",residential,False,"[False, True]",35.692,"LINESTRING (-170.7271308 -14.328163, -170.7272219 -14.3281719, -170.7273041 -14.3281845, -170.7274605 -14.3281901)",
"[24188604, 434378150]",residential,False,"[False, True]",248.514,"LINESTRING (-170.7250125 -14.3323222, -170.7248199 -14.332381, -170.7247788 -14.3323867, -170.7247076 -14.3323895, -170.724623 -14.3323863, -170.7245569 -14.3323792, -170.7245173 -14.3323676, -170.7243946 -14.3322937, -170.7240083 -14.3320233, -170.7239709 -14.3319981, -170.7239252 -14.3319579, -170.7238299 -14.3318553, -170.7237184 -14.3317219, -170.7235935 -14.3315608, -170.723507 -14.3314513, -170.7233731 -14.3312571, -170.7233657 -14.3312244, -170.7233639 -14.3311883, -170.7233734 -14.3311502, -170.723388 -14.331106)",Procurement Road
434378228,residential,False,False,182.089,"LINESTRING (-170.7250125 -14.3323222, -170.725625 -14.3321243, -170.726602 -14.3317664)",
427264670,residential,False,True,44.916,"LINESTRING (-170.7238513 -14.3273404, -170.7235522 -14.3276218)",
434378175,residential,False,False,182.74300000000002,"LINESTRING (-170.7270764 -14.3315132, -170.7269179 -14.3315608, -170.7268051 -14.3315481, -170.7267763 -14.3314969, -170.7267871 -14.3313957, -170.7267655 -14.3313434, -170.7266683 -14.3313201, -170.7265456 -14.3312894, -170.7265166 -14.3312668, -170.7265249 -14.331207, -170.7266926 -14.3303828)",
24188078,residential,False,False,72.949,"LINESTRING (-170.7266926 -14.3303828, -170.7270115 -14.3304611, -170.7273575 -14.3304984)",
24188078,residential,False,True,89.93800000000002,"LINESTRING (-170.7266926 -14.3303828, -170.7265298 -14.3303478, -170.7263575 -14.3303248, -170.7261532 -14.3303112, -170.7260207 -14.3303014, -170.7258643 -14.3302972)",
434378175,residential,False,True,182.74300000000005,"LINESTRING (-170.7266926 -14.3303828, -170.7265249 -14.331207, -170.7265166 -14.3312668, -170.7265456 -14.3312894, -170.7266683 -14.3313201, -170.7267655 -14.3313434, -170.7267871 -14.3313957, -170.7267763 -14.3314969, -170.7268051 -14.3315481, -170.7269179 -14.3315608, -170.7270764 -14.3315132)",
434378184,residential,False,False,49.513,"LINESTRING (-170.7262119 -14.3309867, -170.7261306 -14.3309493, -170.7259733 -14.3308664, -170.7258945 -14.3308283, -170.7258464 -14.3308144, -170.7257942 -14.3308166)",
434378184,residential,False,False,74.34400000000001,"LINESTRING (-170.7257942 -14.3308166, -170.7257433 -14.3308299, -170.7256985 -14.330834, -170.7256603 -14.3308315, -170.7252422 -14.330792, -170.725228 -14.3307941, -170.7252134 -14.3308019, -170.7252018 -14.330816, -170.7251972 -14.3308378, -170.7251916 -14.330897)",
434378184,residential,False,True,49.513,"LINESTRING (-170.7257942 -14.3308166, -170.7258464 -14.3308144, -170.7258945 -14.3308283, -170.7259733 -14.3308664, -170.7261306 -14.3309493, -170.7262119 -14.3309867)",
434378187,residential,False,True,58.55500000000001,"LINESTRING (-170.7257942 -14.3308166, -170.7258109 -14.3307865, -170.7258196 -14.3307539, -170.7258643 -14.3302972)",
"[24188825, 24188828]",residential,False,False,150.318,"LINESTRING (-170.7276803 -14.3292125, -170.7276034 -14.3292797, -170.7275632 -14.3293966, -170.7275434 -14.3294995, -170.7275429 -14.3295759, -170.7274917 -14.3297735, -170.7274489 -14.3298455, -170.7274216 -14.3299324, -170.7274092 -14.3300991, -170.7273575 -14.3304984)",
434378228,residential,False,True,182.089,"LINESTRING (-170.726602 -14.3317664, -170.725625 -14.3321243, -170.7250125 -14.3323222)",
24187925,residential,False,False,17.002,"LINESTRING (-170.7274605 -14.3281901, -170.7275982 -14.3281154)",
"[24187925, 24188503]",residential,False,"[False, True]",35.692,"LINESTRING (-170.7274605 -14.3281901, -170.7273041 -14.3281845, -170.7272219 -14.3281719, -170.7271308 -14.328163)",
434930303,residential,False,False,18.601,"LINESTRING (-170.7274605 -14.3281901, -170.7275287 -14.328221, -170.7276124 -14.3282692)",
434378184,residential,False,True,74.344,"LINESTRING (-170.7251916 -14.330897, -170.7251972 -14.3308378, -170.7252018 -14.330816, -170.7252134 -14.3308019, -170.725228 -14.3307941, -170.7252422 -14.330792, -170.7256603 -14.3308315, -170.7256985 -14.330834, -170.7257433 -14.3308299, -170.7257942 -14.3308166)",
