osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,access
674263424,,Holley Street,residential,False,False,126.024,"LINESTRING (-77.9422042 43.2140624, -77.9422916 43.214072, -77.943694 43.2142257, -77.943742 43.214231)",2,,
674263424,,Holley Street,residential,False,True,145.326,"LINESTRING (-77.9422042 43.2140624, -77.9421301 43.2140525, -77.94044 43.213828)",2,,
20126404,,Gordon Street,residential,False,False,181.113,"LINESTRING (-77.933962 43.213718, -77.934459 43.21213)",,,
106457089,,State Street,tertiary,False,True,154.612,"LINESTRING (-77.933962 43.213718, -77.9357326 43.2139754, -77.935833 43.21399)",,,
20127802,,Lyman Street,residential,False,False,6.062,"LINESTRING (-77.935205 43.215701, -77.9351302 43.2157011)",,,
98830776,,Fayette Street,residential,False,False,64.686,"LINESTRING (-77.935205 43.215701, -77.934941 43.21625)",,,
"[98830776, 20136458, 106457102, 98830783]",,"['Park Avenue', 'Fayette Street']",residential,False,True,74.283,"LINESTRING (-77.935205 43.215701, -77.9352476 43.2156191, -77.9352737 43.215567, -77.935377 43.215381, -77.935466 43.215216, -77.935513 43.215073)",,movable,
98830776,,Fayette Street,residential,False,False,58.191,"LINESTRING (-77.934941 43.21625, -77.934712 43.216746)",,,
98830776,,Fayette Street,residential,False,True,64.686,"LINESTRING (-77.934941 43.21625, -77.935205 43.215701)",,,
20128231,,Berry Street,residential,False,False,42.07,"LINESTRING (-77.934941 43.21625, -77.9350284 43.2162634, -77.935449 43.216328)",,,
20128231,,Berry Street,residential,False,True,53.109,"LINESTRING (-77.936091 43.216424, -77.935449 43.216328)",,,
20128308,,Fair Street,residential,False,True,282.387,"LINESTRING (-77.9369772 43.2094434, -77.9393382 43.2091854, -77.9395712 43.2091684, -77.9399302 43.2091644, -77.94032 43.2091759, -77.9404335 43.2091792)",,,
20130804,,Burroughs Terrace,residential,False,False,65.175,"LINESTRING (-77.9369772 43.2094434, -77.9369693 43.2094828, -77.9368612 43.2100234)",,,
20129057,,State Street,tertiary,False,True,249.23900000000003,"LINESTRING (-77.935833 43.21399, -77.9359463 43.2140088, -77.9375256 43.2142701, -77.9380007 43.2143488, -77.9381045 43.214366, -77.9386718 43.2144599, -77.9388322 43.2144864)",,,
20129585,,Park Avenue,residential,False,True,129.964,"LINESTRING (-77.935833 43.21399, -77.9358537 43.2139194, -77.936168 43.212847)",2,,
106457089,,State Street,tertiary,False,False,154.612,"LINESTRING (-77.935833 43.21399, -77.9357326 43.2139754, -77.933962 43.213718)",,,
106457127,,Park Avenue,residential,False,False,100.01299999999999,"LINESTRING (-77.935833 43.21399, -77.9358081 43.2140755, -77.9355765 43.2148698)",,,
20129470,,Union Street,residential,True,False,249.698,"LINESTRING (-77.9391802 43.2133184, -77.939045 43.2132951, -77.9386487 43.2132267, -77.938274 43.213162, -77.936168 43.212847)",,,
960056340,NY 19,Main Street,secondary,False,False,80.34400000000001,"LINESTRING (-77.9391802 43.2133184, -77.9391911 43.213282, -77.9392578 43.2130586, -77.9393912 43.2126124)",,,
960056340,NY 19,Main Street,secondary,False,True,40.288999999999994,"LINESTRING (-77.9391802 43.2133184, -77.9390839 43.21364, -77.9390742 43.2136724)",,,
20129585,,Park Avenue,residential,False,True,49.487,"LINESTRING (-77.936168 43.212847, -77.936297 43.212412)",2,,
20129585,,Park Avenue,residential,False,False,129.964,"LINESTRING (-77.936168 43.212847, -77.9358537 43.2139194, -77.935833 43.21399)",2,,
20129582,,Park Avenue,residential,False,True,77.616,"LINESTRING (-77.9371762 43.2114234, -77.936453 43.211881)",2,,
20138675,,High Street,residential,False,False,48.761,"LINESTRING (-77.9371762 43.2114234, -77.9365747 43.211413)",2,,
139750871,,Park Avenue,residential,False,False,353.45599999999996,"LINESTRING (-77.9371762 43.2114234, -77.9378975 43.2109366, -77.9381621 43.2107623, -77.9386607 43.2104337, -77.9387752 43.2103534, -77.9402694 43.2093431, -77.9404001 43.2092861)",2,,
106457135,NY 19,Main Street,secondary,False,True,292.43100000000004,"LINESTRING (-77.9404001 43.2092861, -77.9403328 43.2095391, -77.9402084 43.2099251, -77.9401509 43.210144, -77.9400841 43.2103603, -77.9400282 43.2105414, -77.9399692 43.2107336, -77.9399302 43.2108606, -77.9397677 43.2113901, -77.9397164 43.2115573, -77.9396252 43.2118544)",,,
139750871,,Park Avenue,residential,False,True,353.456,"LINESTRING (-77.9404001 43.2092861, -77.9402694 43.2093431, -77.9387752 43.2103534, -77.9386607 43.2104337, -77.9381621 43.2107623, -77.9378975 43.2109366, -77.9371762 43.2114234)",2,,
1172585896,NY 19,Main Street,secondary,False,False,12.195,"LINESTRING (-77.9404001 43.2092861, -77.940412 43.209242, -77.9404335 43.2091792)",,,
20138675,,High Street,residential,False,True,48.761,"LINESTRING (-77.9365747 43.211413, -77.9371762 43.2114234)",2,,
945446344,,Park Avenue,residential,True,False,52.966,"LINESTRING (-77.9365747 43.211413, -77.936453 43.211881)",1,,
20129598,,Gardiner Alley,residential,False,False,98.88700000000001,"LINESTRING (-77.9406082 43.2155368, -77.9405962 43.2155778, -77.9403723 43.216344, -77.940354 43.2164066)",,,
20138363,,King Street,residential,True,False,93.90899999999999,"LINESTRING (-77.9406082 43.2155368, -77.9416595 43.2156804, -77.9417472 43.2156924)",,,
20130453,,Utica Street,residential,False,False,78.65299999999999,"LINESTRING (-77.9417472 43.2156924, -77.941936 43.2150425, -77.9419482 43.2150004)",,,
20130453,,Utica Street,residential,False,True,71.949,"LINESTRING (-77.9417472 43.2156924, -77.9415862 43.2162464, -77.9415632 43.2163254)",,,
20130453,,Utica Street,residential,False,False,112.30099999999999,"LINESTRING (-77.9425542 43.2128864, -77.9425671 43.212844, -77.9425786 43.212806, -77.9428345 43.2119652, -77.9428542 43.2119004)",,,
