osmid,oneway,lanes,highway,reversed,length,maxspeed,geometry,ref,name,bridge,junction
107845511,True,1,motorway_link,False,174.38499999999996,,"LINESTRING (-8.9385171 52.859047, -8.9385108 52.8589268, -8.9385425 52.8588342, -8.9385534 52.8587189, -8.9384892 52.8585793, -8.9384044 52.858508, -8.9382271 52.858449, -8.9380499 52.858432, -8.93796 52.8584335, -8.9376357 52.8584475, -8.9374912 52.8584649, -8.937369 52.8584878, -8.9372998 52.8585365, -8.9372504 52.8586207, -8.9372077 52.8588235)",,,,
20042261,True,,secondary,False,13.431,50,"LINESTRING (-8.9340637 52.8602722, -8.9340179 52.8602875, -8.9339446 52.8602936, -8.9338739 52.860281)",,East Clare Roundabout,,roundabout
"[25560162, 25616647]",False,2,motorway_link,False,263.551,50,"LINESTRING (-8.9340637 52.8602722, -8.9344953 52.8608139, -8.934664 52.8610165, -8.9347641 52.8611216, -8.9348678 52.8611863, -8.9349627 52.8612224, -8.9350804 52.8612436, -8.9352439 52.8612616, -8.935409 52.8612542, -8.9358607 52.8612107, -8.9366181 52.8611332, -8.937024 52.8610897)",,,,
25560163,True,1,motorway_link,False,97.83500000000001,,"LINESTRING (-8.937024 52.8610897, -8.9371523 52.8610494, -8.9372313 52.8610165, -8.9372928 52.8609635, -8.9373315 52.8608945, -8.937321 52.8607736, -8.9372908 52.860629, -8.9372499 52.8602997)",,,,
"[25560162, 25616647]",False,2,motorway_link,True,263.551,50,"LINESTRING (-8.937024 52.8610897, -8.9366181 52.8611332, -8.9358607 52.8612107, -8.935409 52.8612542, -8.9352439 52.8612616, -8.9350804 52.8612436, -8.9349627 52.8612224, -8.9348678 52.8611863, -8.9347641 52.8611216, -8.934664 52.8610165, -8.9344953 52.8608139, -8.9340637 52.8602722)",,,,
38310812,False,,residential,False,238.601,,"LINESTRING (-8.940352 52.855402, -8.9419309 52.8572032, -8.9420339 52.8572913)",,Hillcrest,,
38310811,False,,residential,False,114.821,,"LINESTRING (-8.943539 52.856801, -8.9420339 52.8572913)",,Hillcrest,,
38310811,False,,residential,True,114.821,,"LINESTRING (-8.9420339 52.8572913, -8.943539 52.856801)",,Hillcrest,,
38310812,False,,residential,False,103.589,,"LINESTRING (-8.9420339 52.8572913, -8.942189 52.857481, -8.9425078 52.8580619, -8.9425641 52.8581645)",,Hillcrest,,
38310812,False,,residential,True,238.601,,"LINESTRING (-8.9420339 52.8572913, -8.9419309 52.8572032, -8.940352 52.855402)",,Hillcrest,,
415664717,False,2,secondary,True,143.45499999999998,50,"LINESTRING (-8.9446003 52.8577793, -8.9444433 52.8578038, -8.943663 52.8579301, -8.9430655 52.8580416, -8.9426888 52.8581302, -8.9425641 52.8581645)",R352,Tulla Road,,
38310812,False,,residential,True,103.589,,"LINESTRING (-8.9425641 52.8581645, -8.9425078 52.8580619, -8.942189 52.857481, -8.9420339 52.8572913)",,Hillcrest,,
415664717,False,2,secondary,False,143.45499999999998,50,"LINESTRING (-8.9425641 52.8581645, -8.9426888 52.8581302, -8.9430655 52.8580416, -8.943663 52.8579301, -8.9444433 52.8578038, -8.9446003 52.8577793)",R352,Tulla Road,,
"[25616232, 415664717]",False,2,secondary,True,275.902,50,"LINESTRING (-8.9425641 52.8581645, -8.9423324 52.8582282, -8.941866 52.8583949, -8.9411307 52.8586573, -8.9410968 52.8586697, -8.9409264 52.8587288, -8.9407253 52.8587985, -8.9403721 52.8589013, -8.9400266 52.8589955, -8.9396776 52.8590449, -8.938832 52.8591432)",R352,Tulla Road,,
"[208681014, 52201775]",False,,residential,True,160.83599999999998,,"LINESTRING (-8.9385857 52.8597888, -8.938406 52.8598193, -8.9382285 52.8598825, -8.9381247 52.8599075, -8.9380338 52.8599009, -8.9379441 52.8598786, -8.9378722 52.8598494, -8.9378192 52.8598039, -8.9378158 52.8597605, -8.9378245 52.8596969, -8.937889 52.8596185, -8.9380337 52.8595632, -8.9385287 52.8595421, -8.938664 52.8595109, -8.938707 52.859415, -8.9386743 52.859281)",,,,
