osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed
17226392,Lincoln Street,residential,False,True,65.428,"LINESTRING (-72.9201657 41.3124636, -72.9202077 41.3124061, -72.9202251 41.3123811, -72.9205029 41.3120017, -72.9205424 41.3119477)",,,
37051973,Trumbull Street,primary,False,True,84.64499999999998,"LINESTRING (-72.9201657 41.3124636, -72.9200894 41.3124344, -72.9194085 41.3121744, -72.91933 41.3121444, -72.9192632 41.3121173)",,,
17224420,Audubon Street,residential,True,False,201.50599999999997,"LINESTRING (-72.9222039 41.3117495, -72.9221179 41.311734, -72.9220386 41.3117119, -72.9219003 41.311656, -72.9214507 41.3114743, -72.9213049 41.3114181, -72.9212265 41.311385, -72.9211648 41.3113584, -72.9211062 41.3113289, -72.921086 41.3113104, -72.9210693 41.3112837, -72.9210599 41.3112528, -72.9210448 41.311201, -72.9210296 41.3111765, -72.9210005 41.3111477, -72.920968 41.3111233, -72.9209028 41.3110988, -72.9208426 41.3110905, -72.9208026 41.3110926, -72.9207679 41.3111006, -72.9207417 41.3111043, -72.9207164 41.3111048, -72.9206958 41.3111018, -72.9206666 41.3110934, -72.9206254 41.3110767, -72.9202912 41.3109167, -72.9201999 41.3108783)",,,
45090429,Crown Street,tertiary,True,False,164.912,"LINESTRING (-72.9279129 41.3053011, -72.9280038 41.3053367, -72.9285651 41.305574, -72.9289965 41.3057539, -72.9295501 41.3059859, -72.9296367 41.306024)",2,,
656618800,Temple Street,primary,True,False,121.39399999999999,"LINESTRING (-72.9279129 41.3053011, -72.9279541 41.3052454, -72.9285716 41.3044096, -72.9286183 41.3043466)",3,,
37051419,Wall Street,residential,True,False,121.898,"LINESTRING (-72.9245129 41.3100371, -72.9244383 41.3100059, -72.9239515 41.3097954, -72.9233335 41.3095296, -72.9232467 41.309492)",,,
39606271,Temple Street,primary,True,False,158.933,"LINESTRING (-72.9245129 41.3100371, -72.9245399 41.3099999, -72.9247738 41.3096772, -72.9248995 41.3095042, -72.9249334 41.3094567, -72.9249457 41.3094394, -72.9253706 41.3088572, -72.9254212 41.3087812)",3,,
249305448,Orange Street,secondary,False,False,158.438,"LINESTRING (-72.9201999 41.3108783, -72.9201314 41.3109748, -72.9201107 41.311002, -72.9199562 41.3112057, -72.9198048 41.3114052, -72.9197653 41.3114572, -72.9196677 41.3115858, -72.9193908 41.3119507, -72.9193273 41.3120344, -72.9192632 41.3121173)",3,,
"[249305449, 271363703]",Orange Street,secondary,False,True,136.899,"LINESTRING (-72.9201999 41.3108783, -72.920243 41.310817, -72.9205365 41.3104228, -72.920589 41.3103528, -72.9207351 41.3101594, -72.9209504 41.3098741, -72.9210053 41.3098061)",3,,
1080994292,Crown Street,secondary,False,True,16.36,"LINESTRING (-72.9252626 41.3041574, -72.9250934 41.3040833)",2,,
657760120,Crown Street,tertiary,True,False,140.512,"LINESTRING (-72.9252626 41.3041574, -72.9253132 41.3041813, -72.9259732 41.3044765, -72.9259927 41.3044855, -72.9265891 41.3047526, -72.9267068 41.3048053)",2,,
37915612,College Street,primary,True,False,121.241,"LINESTRING (-72.9296367 41.306024, -72.9296765 41.3059711, -72.9299926 41.3055454, -72.9302991 41.3051338, -72.9303457 41.3050726)",2,,
37051419,Wall Street,residential,True,False,155.932,"LINESTRING (-72.9261314 41.3107358, -72.9260493 41.3106958, -72.9246185 41.3100823, -72.9245848 41.3100685, -72.9245129 41.3100371)",,,
292256998,College Street,primary,False,True,123.02900000000001,"LINESTRING (-72.9261314 41.3107358, -72.9260994 41.3107799, -72.926079 41.3108061, -72.9257988 41.3111952, -72.9255479 41.3115435, -72.9255525 41.3116289, -72.9255798 41.3117288)",2,,
292256999,College Street,primary,False,False,159.60399999999998,"LINESTRING (-72.9261314 41.3107358, -72.9261649 41.3106893, -72.9261888 41.3106571, -72.9265602 41.3101617, -72.9269985 41.3095624, -72.9270594 41.3094811)",2,,
37051825,Orange Street,secondary,False,True,155.977,"LINESTRING (-72.9217373 41.3088407, -72.9217736 41.3087933, -72.9219561 41.3085501, -72.9220324 41.3084467, -72.9220752 41.3083866, -72.9221617 41.3082642, -72.9221774 41.308244, -72.9222268 41.3081805, -72.9226125 41.3076844, -72.9226611 41.3076218)",2,,
37138485,Orange Street,secondary,False,False,123.54200000000002,"LINESTRING (-72.9217373 41.3088407, -72.921699 41.3088908, -72.9210571 41.3097329, -72.9210053 41.3098061)",2,,
39435612,Grand Avenue,secondary,False,True,30.462,"LINESTRING (-72.9205654 41.3071371, -72.9202109 41.3072014)",,yes,
39360665,,secondary_link,True,False,30.152,"LINESTRING (-72.9205654 41.3071371, -72.9206234 41.3071749, -72.9207096 41.307192, -72.9207591 41.3072065, -72.920801 41.3072389, -72.9208443 41.307291)",,,
39360681,Grand Avenue,secondary,False,False,38.330999999999996,"LINESTRING (-72.9205654 41.3071371, -72.9208182 41.3070928, -72.9209292 41.3070726, -72.9210122 41.3070585)",,,
"[1058035352, 658527063]",Elm Street,primary,True,False,40.196,"LINESTRING (-72.9306102 41.3109459, -72.9303635 41.3108511, -72.9301798 41.3107842)",3,,
37138017,Grove Street,primary,True,False,275.012,"LINESTRING (-72.9255798 41.3117288, -72.9257249 41.3117923, -72.9270754 41.312365, -72.9271562 41.3123956, -72.9282107 41.3125201, -72.9285102 41.3125928, -72.9286041 41.3126212)",2,,
292256998,College Street,primary,False,False,123.02899999999998,"LINESTRING (-72.9255798 41.3117288, -72.9255525 41.3116289, -72.9255479 41.3115435, -72.9257988 41.3111952, -72.926079 41.3108061, -72.9260994 41.3107799, -72.9261314 41.3107358)",2,,
37915616,York Street,secondary,True,False,242.371,"LINESTRING (-72.9300153 41.3107167, -72.9299695 41.3107828, -72.9293929 41.3115643, -72.9291217 41.3119202, -72.9290881 41.3119677, -72.9286629 41.3125407, -72.9286041 41.3126212)",,,
45252402,Elm Street,primary,False,True,15.657,"LINESTRING (-72.9300153 41.3107167, -72.9301033 41.3107528, -72.9301471 41.3107707, -72.9301798 41.3107842)",3,,
889425358,Elm Street,primary,True,False,123.317,"LINESTRING (-72.9300153 41.3107167, -72.929939 41.3106871, -72.9287757 41.3101968, -72.9287269 41.3101752)",3,,25 mph
293638414,Chapel Street,secondary,False,True,12.53,"LINESTRING (-72.9226853 41.3047666, -72.9228131 41.3048256)",,,
"[94003130, 358458195, 94003135]",Chapel Street,secondary,False,True,101.83699999999999,"LINESTRING (-72.9226853 41.3047666, -72.9226136 41.3047306, -72.9223915 41.3046376, -72.9217759 41.3043889, -72.9217098 41.304365, -72.9216286 41.3043356, -72.921614 41.3043304)",,yes,
