osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,maxspeed
10928596,3rd Street West,residential,False,True,111.255,,"LINESTRING (-84.6674689 29.8538902, -84.6674884 29.8528898)",,
10927583,Northwest Avenue C,residential,False,False,87.697,,"LINESTRING (-84.6674474 29.8548859, -84.6683567 29.8548952)",,
10927583,Northwest Avenue C,residential,False,True,87.521,,"LINESTRING (-84.6674474 29.8548859, -84.66654 29.8548723)",,
10928596,3rd Street West,residential,False,False,110.171,,"LINESTRING (-84.6674474 29.8548859, -84.6674152 29.8558763)",,
10928596,3rd Street West,residential,False,True,110.736,,"LINESTRING (-84.6674474 29.8548859, -84.6674689 29.8538902)",,
10928596,3rd Street West,residential,False,False,108.627,,"LINESTRING (-84.6674152 29.8558763, -84.6673989 29.8568531)",,
10928596,3rd Street West,residential,False,True,110.171,,"LINESTRING (-84.6674152 29.8558763, -84.6674474 29.8548859)",,
10928674,Northwest Avenue D,residential,False,False,89.499,,"LINESTRING (-84.6674152 29.8558763, -84.6683432 29.8558852)",,
10928674,Northwest Avenue D,residential,False,True,85.481,,"LINESTRING (-84.6674152 29.8558763, -84.6665289 29.8558653)",,
10928611,4th Street West,residential,False,False,121.34700000000001,,"LINESTRING (-84.6683889 29.8528108, -84.6683858 29.852949, -84.6683647 29.8539019)",,
10928682,Northwest Avenue A,residential,False,False,89.045,,"LINESTRING (-84.6683889 29.8528108, -84.6682414 29.8528846, -84.6678574 29.8528855, -84.6674884 29.8528898)",,
10928890,,primary,False,False,91.537,2,"LINESTRING (-84.6683889 29.8528108, -84.6681338 29.8527382, -84.6677049 29.8526061, -84.6674993 29.8525257)",US 98;US 319,35 mph
10928890,,primary,False,True,89.548,2,"LINESTRING (-84.6683889 29.8528108, -84.6688395 29.8528887, -84.6693062 29.8529295)",US 98;US 319,35 mph
10927540,Northwest Avenue B,residential,False,False,90.295,,"LINESTRING (-84.6683647 29.8539019, -84.6693008 29.8539181)",,
10927540,Northwest Avenue B,residential,False,True,86.4,,"LINESTRING (-84.6683647 29.8539019, -84.6674689 29.8538902)",,
10928611,4th Street West,residential,False,False,110.453,,"LINESTRING (-84.6683647 29.8539019, -84.6683567 29.8548952)",,
10928611,4th Street West,residential,False,True,121.34700000000001,,"LINESTRING (-84.6683647 29.8539019, -84.6683858 29.852949, -84.6683889 29.8528108)",,
10927583,Northwest Avenue C,residential,False,False,88.99,,"LINESTRING (-84.6683567 29.8548952, -84.6692794 29.8549045)",,
10927583,Northwest Avenue C,residential,False,True,87.697,,"LINESTRING (-84.6683567 29.8548952, -84.6674474 29.8548859)",,
10928611,4th Street West,residential,False,False,110.091,,"LINESTRING (-84.6683567 29.8548952, -84.6683432 29.8558852)",,
10928611,4th Street West,residential,False,True,110.453,,"LINESTRING (-84.6683567 29.8548952, -84.6683647 29.8539019)",,
10928611,4th Street West,residential,False,False,108.764,,"LINESTRING (-84.6683432 29.8558852, -84.6683245 29.8568632)",,
10928611,4th Street West,residential,False,True,110.091,,"LINESTRING (-84.6683432 29.8558852, -84.6683567 29.8548952)",,
10928674,Northwest Avenue D,residential,False,False,89.702,,"LINESTRING (-84.6683432 29.8558852, -84.6692733 29.8558942)",,
10928674,Northwest Avenue D,residential,False,True,89.499,,"LINESTRING (-84.6683432 29.8558852, -84.6674152 29.8558763)",,
10928890,,primary,False,False,104.659,2,"LINESTRING (-84.6674993 29.8525257, -84.6665676 29.8520431)",US 98;US 319,35 mph
10928596,3rd Street West,residential,False,False,40.5,,"LINESTRING (-84.6674993 29.8525257, -84.6674975 29.8526049, -84.6674884 29.8528898)",,
10928890,,primary,False,True,91.537,2,"LINESTRING (-84.6674993 29.8525257, -84.6677049 29.8526061, -84.6681338 29.8527382, -84.6683889 29.8528108)",US 98;US 319,35 mph
10925769,Southeast 3rd Street,residential,False,False,87.26400000000001,,"LINESTRING (-84.6619154 29.8502409, -84.6619214 29.8500155, -84.661935 29.8494563)",,
10925769,Southeast 3rd Street,residential,False,True,90.545,,"LINESTRING (-84.6619154 29.8502409, -84.6618907 29.8509415, -84.6618864 29.8510548)",,
159249895,,primary,False,False,173.56,2,"LINESTRING (-84.6619154 29.8502409, -84.6613794 29.8502107, -84.6601174 29.8501803)",US 98;US 319,35 mph
159249895,,primary,False,True,61.596000000000004,2,"LINESTRING (-84.6619154 29.8502409, -84.6620429 29.850254, -84.6623306 29.8502845, -84.6625477 29.8503177)",US 98;US 319,35 mph
10928722,Southeast Avenue A,residential,False,True,86.463,,"LINESTRING (-84.6645297 29.8511415, -84.6639916 29.851115, -84.6637449 29.8511029, -84.6636346 29.8510975)",,
10927966,Southeast Avenue B,residential,False,False,111.244,,"LINESTRING (-84.6625477 29.8503177, -84.6626388 29.8502685, -84.6636843 29.8503007)",,
159249895,,primary,False,False,61.596,2,"LINESTRING (-84.6625477 29.8503177, -84.6623306 29.8502845, -84.6620429 29.850254, -84.6619154 29.8502409)",US 98;US 319,35 mph
159249895,,primary,False,True,112.17499999999998,2,"LINESTRING (-84.6625477 29.8503177, -84.6628441 29.8503832, -84.663193 29.8504626, -84.6636575 29.8506148)",US 98;US 319,35 mph
10928596,3rd Street West,residential,False,False,111.255,,"LINESTRING (-84.6674884 29.8528898, -84.6674689 29.8538902)",,
10928682,Northwest Avenue A,residential,False,False,85.402,,"LINESTRING (-84.6674884 29.8528898, -84.6666029 29.8528825)",,
10928596,3rd Street West,residential,False,True,40.5,,"LINESTRING (-84.6674884 29.8528898, -84.6674975 29.8526049, -84.6674993 29.8525257)",,
10928682,Northwest Avenue A,residential,False,True,89.045,,"LINESTRING (-84.6674884 29.8528898, -84.6678574 29.8528855, -84.6682414 29.8528846, -84.6683889 29.8528108)",,
10928683,Northeast Avenue A,residential,False,False,46.69,,"LINESTRING (-84.6633469 29.8528554, -84.663831 29.85286)",,
