osmid,highway,oneway,reversed,length,geometry,ref,lanes,name,bridge
"[256791248, 15673101, 256791247]",residential,False,False,219.29500000000002,"LINESTRING (-81.3802783 37.5822083, -81.3804264 37.5816711, -81.3804607 37.5815494, -81.3806243 37.5811221, -81.3813136 37.5804695)",,,Moran Avenue,yes
15673107,primary,True,False,75.853,"LINESTRING (-81.3802783 37.5822083, -81.3803051 37.5827835, -81.3803101 37.58289)",WV 16,,Moran Avenue,
256791254,residential,False,False,37.59,"LINESTRING (-81.3796901 37.5859504, -81.3793106 37.5861048)",,,Moran Avenue,
644861738,residential,False,True,24.027,"LINESTRING (-81.3796901 37.5859504, -81.379944 37.5858716)",,,Lusk Avenue,
256791254,residential,False,True,23.442,"LINESTRING (-81.3796901 37.5859504, -81.3798155 37.5858407, -81.3798574 37.5857874)",,,Moran Avenue,
108279280,residential,False,True,99.771,"LINESTRING (-81.3802742 37.5849713, -81.3803614 37.5840767)",,,Moran Avenue,
"[15672946, 108279419]",residential,True,False,186.659,"LINESTRING (-81.3802742 37.5849713, -81.3811191 37.5850053, -81.3811892 37.5849907, -81.3812381 37.5849575, -81.38128 37.5849097, -81.3812653 37.5840682)",,,"['Howard Avenue', '4th Street']",
"[108279280, 256791254, 256791255]",residential,False,False,99.337,"LINESTRING (-81.3802742 37.5849713, -81.3802545 37.5851617, -81.3802163 37.5852571, -81.3800984 37.5854512, -81.3800518 37.5855129, -81.3799159 37.5857132, -81.3798574 37.5857874)",,,Moran Avenue,yes
15672981,residential,False,False,26.518,"LINESTRING (-81.3859497 37.5836594, -81.3857752 37.5838537)",,,Pearl Street,
108279340,primary,False,True,39.971,"LINESTRING (-81.381228 37.5831466, -81.3807745 37.5831542)",WV 16,,2nd Street,
15673014,primary,True,False,106.065,"LINESTRING (-81.381228 37.5831466, -81.3812234 37.5829889, -81.3812185 37.5828228, -81.3812 37.582193)",WV 16,,Howard Avenue,
"[15674226, 15673886]",residential,False,True,151.246,"LINESTRING (-81.381228 37.5831466, -81.3817669 37.5831372, -81.3816301 37.5840639)",,,"['Early Road', '2nd Street']",
15674193,residential,True,False,32.149,"LINESTRING (-81.3812653 37.5840682, -81.3816301 37.5840639)",,,3rd Street,
108279419,residential,True,False,102.53,"LINESTRING (-81.3812653 37.5840682, -81.381228 37.5831466)",,,Howard Avenue,
15673049,residential,False,True,82.686,"LINESTRING (-81.3827902 37.5847328, -81.383032 37.5840143)",,,6th Street,
15673424,residential,False,False,292.36199999999997,"LINESTRING (-81.3827902 37.5847328, -81.382291 37.585238, -81.381342 37.58581, -81.380155 37.5862601)",,,Fairview Street,
15674193,residential,True,False,38.766,"LINESTRING (-81.3803614 37.5840767, -81.3808013 37.5840724)",,,3rd Street,
108279280,residential,False,False,99.771,"LINESTRING (-81.3803614 37.5840767, -81.3802742 37.5849713)",,,Moran Avenue,
108279280,residential,False,True,102.579,"LINESTRING (-81.3803614 37.5840767, -81.3803224 37.5831547)",,,Moran Avenue,
256793981,residential,False,True,47.03,"LINESTRING (-81.380155 37.5862601, -81.379944 37.5858716)",,,Patton Street,
15673424,residential,False,True,292.36199999999997,"LINESTRING (-81.380155 37.5862601, -81.381342 37.58581, -81.382291 37.585238, -81.3827902 37.5847328)",,,Fairview Street,
256793982,residential,False,False,119.894,"LINESTRING (-81.380155 37.5862601, -81.379984 37.5863322, -81.3798202 37.5864619, -81.3795692 37.5868656, -81.3796238 37.5868944, -81.3798675 37.5867532)",,,Patton Street,
256793982,residential,False,True,119.89399999999999,"LINESTRING (-81.3798675 37.5867532, -81.3796238 37.5868944, -81.3795692 37.5868656, -81.3798202 37.5864619, -81.379984 37.5863322, -81.380155 37.5862601)",,,Patton Street,
15673824,residential,False,False,46.151,"LINESTRING (-81.3825581 37.5812817, -81.3827673 37.5816622)",,,Wyoming Avenue,
"[15673768, 256793984, 15672847]",primary,False,False,166.737,"LINESTRING (-81.3825581 37.5812817, -81.3822255 37.581422, -81.3818124 37.5818811, -81.3815829 37.5821418, -81.3815146 37.5821858, -81.3812 37.582193)",WV 16,2,"['Guyandot Avenue', '1st Street']",yes
15673768,primary,False,True,185.47099999999998,"LINESTRING (-81.3825581 37.5812817, -81.382696 37.5812324, -81.384503 37.5806443)",WV 16,2,Guyandot Avenue,
15673824,residential,False,True,46.151,"LINESTRING (-81.3827673 37.5816622, -81.3825581 37.5812817)",,,Wyoming Avenue,
"[15674226, 15673886]",residential,False,False,151.246,"LINESTRING (-81.3816301 37.5840639, -81.3817669 37.5831372, -81.381228 37.5831466)",,,"['2nd Street', 'Early Road']",
15672165,primary,False,False,19.203,"LINESTRING (-81.3799785 37.5831134, -81.3797606 37.5831159)",WV 16,,,
15672165,primary,False,True,13.661,"LINESTRING (-81.3799785 37.5831134, -81.3801335 37.5831108)",WV 16,,,
256791250,primary_link,True,False,38.444,"LINESTRING (-81.3799785 37.5831134, -81.3799228 37.5830716, -81.3798724 37.583034, -81.3798358 37.5829917, -81.3797746 37.5829087, -81.3797302 37.5828339)",,,,
15672504,residential,False,True,49.324,"LINESTRING (-81.3807396 37.581764, -81.3807503 37.5822075)",,,Holroyd Avenue,
"[256791248, 15673101, 256791247]",residential,False,True,219.295,"LINESTRING (-81.3813136 37.5804695, -81.3806243 37.5811221, -81.3804607 37.5815494, -81.3804264 37.5816711, -81.3802783 37.5822083)",,,Moran Avenue,yes
15672165,primary,False,False,13.661,"LINESTRING (-81.3801335 37.5831108, -81.3799785 37.5831134)",WV 16,,,
15672165,primary,False,True,17.347,"LINESTRING (-81.3801335 37.5831108, -81.3803224 37.5831547)",WV 16,,,
15673107,primary,True,False,29.453,"LINESTRING (-81.3803101 37.58289, -81.3803224 37.5831547)",WV 16,,Moran Avenue,
256791249,primary_link,True,False,31.093000000000004,"LINESTRING (-81.3803101 37.58289, -81.3802882 37.5829933, -81.3802524 37.583045, -81.380198 37.5830843, -81.3801335 37.5831108)",,,,
108279318,secondary,False,True,31.471,"LINESTRING (-81.3797302 37.5828339, -81.3797606 37.5831159)",WV 16,,,
108279318,secondary,False,False,348.57,"LINESTRING (-81.3797302 37.5828339, -81.3796383 37.5816722, -81.3796194 37.5814919, -81.3795543 37.5813215, -81.379398 37.5811047, -81.3791132 37.5808358, -81.378662 37.5805266, -81.3781069 37.5802163)",WV 16,,,
15673560,primary,False,True,46.847,"LINESTRING (-81.3798024 37.5835359, -81.3797606 37.5831159)",WV 54,,,
256791251,primary_link,True,False,51.782999999999994,"LINESTRING (-81.3798024 37.5835359, -81.3798079 37.5833669, -81.3798372 37.5832598, -81.3798812 37.5831927, -81.3799138 37.5831566, -81.3799785 37.5831134)",,,,
256791253,residential,False,False,12.219000000000001,"LINESTRING (-81.3798574 37.5857874, -81.3799012 37.585818, -81.379922 37.5858395, -81.379944 37.5858716)",,,,
256791254,residential,False,False,23.442,"LINESTRING (-81.3798574 37.5857874, -81.3798155 37.5858407, -81.3796901 37.5859504)",,,Moran Avenue,
"[108279280, 256791254, 256791255]",residential,False,True,99.337,"LINESTRING (-81.3798574 37.5857874, -81.3799159 37.5857132, -81.3800518 37.5855129, -81.3800984 37.5854512, -81.3802163 37.5852571, -81.3802545 37.5851617, -81.3802742 37.5849713)",,,Moran Avenue,yes
256793981,residential,False,False,47.03,"LINESTRING (-81.379944 37.5858716, -81.380155 37.5862601)",,,Patton Street,
644861738,residential,False,False,24.027,"LINESTRING (-81.379944 37.5858716, -81.3796901 37.5859504)",,,Lusk Avenue,
15672888,residential,True,False,356.418,"LINESTRING (-81.379944 37.5858716, -81.3812949 37.5854507, -81.3818671 37.5850831, -81.382291 37.584467, -81.3826842 37.5837633)",,,Lusk Avenue,
256791253,residential,False,True,12.219,"LINESTRING (-81.379944 37.5858716, -81.379922 37.5858395, -81.3799012 37.585818, -81.3798574 37.5857874)",,,,
15672548,residential,False,False,35.617,"LINESTRING (-81.3770027 37.586891, -81.3772327 37.5871544)",,,Lilly Street,
15672548,residential,False,True,15.324,"LINESTRING (-81.3770027 37.586891, -81.3768465 37.5868304)",,,Lilly Street,
256793980,residential,False,False,198.252,"LINESTRING (-81.3770027 37.586891, -81.3788954 37.585927)",,,,
256793980,residential,False,True,198.252,"LINESTRING (-81.3788954 37.585927, -81.3770027 37.586891)",,,,
15672217,residential,False,False,216.48000000000002,"LINESTRING (-81.3788954 37.585927, -81.3778637 37.5860785, -81.377614 37.5861818, -81.377397 37.586319, -81.3768465 37.5868304)",,,Church Street,
15672217,residential,False,True,46.553,"LINESTRING (-81.3788954 37.585927, -81.3790676 37.5859017, -81.3793106 37.5861048)",,,Church Street,
