osmid,highway,oneway,reversed,length,geometry,name,maxspeed,junction
182208662,secondary,True,False,70.237,"LINESTRING (71.6650827 29.3979242, 71.6651035 29.3972928)",,56,
182209011,residential,False,True,110.615,"LINESTRING (71.6650827 29.3979242, 71.6662245 29.3979204)",,20,
182209011,residential,False,False,110.615,"LINESTRING (71.6662245 29.3979204, 71.6650827 29.3979242)",,20,
182209011,residential,False,True,61.188,"LINESTRING (71.6662245 29.3979204, 71.6668561 29.3979182)",,20,
182209102,residential,False,False,86.289,"LINESTRING (71.6662245 29.3979204, 71.6662298 29.3986964)",,20,
182209102,residential,False,True,72.311,"LINESTRING (71.6662245 29.3979204, 71.6662202 29.3972701)",,20,
182208954,secondary,True,False,87.481,"LINESTRING (71.668711 29.397912, 71.6689316 29.3986749)",,56,
182209011,residential,False,False,85.95,"LINESTRING (71.668711 29.397912, 71.6678238 29.3979149)",,20,
182209160,residential,False,False,53.709,"LINESTRING (71.6629527 29.3979952, 71.6623983 29.397998)",,20,
182209160,residential,False,True,94.166,"LINESTRING (71.6629527 29.3979952, 71.6639247 29.3979903)",,20,
182209478,residential,False,False,37.764,"LINESTRING (71.6629527 29.3979952, 71.6629572 29.3976556)",,20,
182209478,residential,False,True,39.032,"LINESTRING (71.6629527 29.3979952, 71.6629575 29.3983462)",,20,
182209160,residential,False,True,53.709,"LINESTRING (71.6623983 29.397998, 71.6629527 29.3979952)",,20,
182209273,residential,False,False,37.25,"LINESTRING (71.6623983 29.397998, 71.6624076 29.3976631)",,20,
182209273,residential,False,True,39.499,"LINESTRING (71.6623983 29.397998, 71.662403 29.3983532)",,20,
182209136,residential,False,False,94.174,"LINESTRING (71.6639295 29.3983339, 71.6629575 29.3983462)",,20,
182209136,residential,False,True,98.146,"LINESTRING (71.6639295 29.3983339, 71.6649425 29.398321)",,20,
182209537,residential,False,False,38.209,"LINESTRING (71.6639295 29.3983339, 71.6639247 29.3979903)",,20,
182209537,residential,False,True,42.307,"LINESTRING (71.6639295 29.3983339, 71.6639384 29.3987143)",,20,
182208541,secondary,True,False,42.855,"LINESTRING (71.6649425 29.398321, 71.6649444 29.3987064)",Model Town Rd,56,
182209136,residential,False,False,98.146,"LINESTRING (71.6649425 29.398321, 71.6639295 29.3983339)",,20,
182209136,residential,False,True,53.724,"LINESTRING (71.662403 29.3983532, 71.6629575 29.3983462)",,20,
182209273,residential,False,False,39.499,"LINESTRING (71.662403 29.3983532, 71.6623983 29.397998)",,20,
182209273,residential,False,True,41.509,"LINESTRING (71.662403 29.3983532, 71.6624015 29.3987265)",,20,
182209136,residential,False,False,53.724,"LINESTRING (71.6629575 29.3983462, 71.662403 29.3983532)",,20,
182209136,residential,False,True,94.174,"LINESTRING (71.6629575 29.3983462, 71.6639295 29.3983339)",,20,
182209478,residential,False,False,39.032,"LINESTRING (71.6629575 29.3983462, 71.6629527 29.3979952)",,20,
182209478,residential,False,True,41.799,"LINESTRING (71.6629575 29.3983462, 71.6629604 29.3987221)",,20,
25525994,tertiary,False,False,72.563,"LINESTRING (71.6639384 29.3987143, 71.6631894 29.3987203)",,,
25525994,tertiary,False,True,35.565,"LINESTRING (71.6639384 29.3987143, 71.6643055 29.3987114)",,,
182209537,residential,False,False,42.307,"LINESTRING (71.6639384 29.3987143, 71.6639295 29.3983339)",,20,
25525994,tertiary,False,False,94.109,"LINESTRING (71.6678343 29.3986834, 71.6668629 29.3986913)",,,
25525994,tertiary,False,True,106.306,"LINESTRING (71.6678343 29.3986834, 71.6689316 29.3986749)",,,
182208661,residential,False,False,85.459,"LINESTRING (71.6678343 29.3986834, 71.6678238 29.3979149)",,20,
25525994,tertiary,False,False,106.306,"LINESTRING (71.6689316 29.3986749, 71.6678343 29.3986834)",,,
182208954,secondary,True,False,13.076,"LINESTRING (71.6689316 29.3986749, 71.669011 29.39877)",,56,
25525994,tertiary,False,False,54.146,"LINESTRING (71.6629604 29.3987221, 71.6624015 29.3987265)",,,
25525994,tertiary,False,True,22.185,"LINESTRING (71.6629604 29.3987221, 71.6631894 29.3987203)",,,
182209478,residential,False,False,41.799,"LINESTRING (71.6629604 29.3987221, 71.6629575 29.3983462)",,20,
25525994,tertiary,False,False,95.611,"LINESTRING (71.6604688 29.3987417, 71.6594819 29.3987495)",,,
25525994,tertiary,False,True,34.906,"LINESTRING (71.6604688 29.3987417, 71.6608291 29.3987389)",,,
25525994,tertiary,False,False,37.163,"LINESTRING (71.6624015 29.3987265, 71.6620179 29.3987295)",,,
25525994,tertiary,False,True,54.146,"LINESTRING (71.6624015 29.3987265, 71.6629604 29.3987221)",,,
182209273,residential,False,False,41.509,"LINESTRING (71.6624015 29.3987265, 71.662403 29.3983532)",,20,
182209186,residential,False,False,95.695,"LINESTRING (71.6652148 29.3946459, 71.6662025 29.3946563)",,20,
410667457,secondary,True,False,12.962,"LINESTRING (71.6652148 29.3946459, 71.6652172 29.3945877, 71.6652035 29.3945306)",,,roundabout
182208580,secondary,True,False,311.101,"LINESTRING (71.6647017 29.3947297, 71.6639309 29.3952312, 71.6621287 29.3964037)",ریلوے روڈ,56,
410667457,secondary,True,False,11.875,"LINESTRING (71.6647017 29.3947297, 71.6647383 29.3947726, 71.6647847 29.3948074)",,,roundabout
182208541,secondary,True,False,174.792,"LINESTRING (71.6648506 29.3948363, 71.664949 29.3964059)",Model Town Rd,56,
410667457,secondary,True,False,15.0,"LINESTRING (71.6648506 29.3948363, 71.6649265 29.3948492, 71.6650037 29.3948433)",,,roundabout
410667457,secondary,True,False,26.046999999999997,"LINESTRING (71.6651354 29.3944359, 71.6650621 29.3943909, 71.6649762 29.3943686, 71.6648867 29.3943714)",,,roundabout
182208534,tertiary,False,False,158.232,"LINESTRING (71.661428 29.3915444, 71.6609 29.392891)",M Qasim Rd,20,
182208534,tertiary,False,True,113.124,"LINESTRING (71.661428 29.3915444, 71.6617869 29.3905763)",M Qasim Rd,20,
855624307,residential,False,False,136.43,"LINESTRING (71.661428 29.3915444, 71.6627428 29.3919838)",,,
410667457,secondary,True,False,25.157000000000004,"LINESTRING (71.6648867 29.3943714, 71.6648055 29.3943976, 71.6647375 29.3944443, 71.6646895 29.394507)",,,roundabout
182208581,secondary,True,False,123.676,"LINESTRING (71.6613044 29.3970736, 71.6623295 29.3964107)",ریلوے روڈ,56,
182209630,residential,False,False,25.755,"LINESTRING (71.6613044 29.3970736, 71.6613075 29.3973052)",,20,
182208830,residential,False,False,113.446,"LINESTRING (71.6662091 29.3951362, 71.6650384 29.3951594)",,20,
182208830,residential,False,True,60.301,"LINESTRING (71.6662091 29.3951362, 71.6668314 29.3951251)",,20,
182209102,residential,False,False,44.956,"LINESTRING (71.6662091 29.3951362, 71.6662085 29.3955405)",,20,
182209102,residential,False,True,53.366,"LINESTRING (71.6662091 29.3951362, 71.6662025 29.3946563)",,20,
182208681,residential,False,False,109.587,"LINESTRING (71.6662085 29.3955405, 71.6650774 29.3955519)",,20,
182208681,residential,False,True,60.713,"LINESTRING (71.6662085 29.3955405, 71.6668351 29.3955496)",,20,
182209102,residential,False,False,48.115,"LINESTRING (71.6662085 29.3955405, 71.6662114 29.3959732)",,20,
182209102,residential,False,True,44.956,"LINESTRING (71.6662085 29.3955405, 71.6662091 29.3951362)",,20,
182208725,residential,False,False,60.797,"LINESTRING (71.6662114 29.3959732, 71.6668389 29.3959809)",,20,
182208725,residential,False,True,108.052,"LINESTRING (71.6662114 29.3959732, 71.6650961 29.395981)",,20,
182209102,residential,False,False,49.194,"LINESTRING (71.6662114 29.3959732, 71.6662144 29.3964156)",,20,
182209102,residential,False,True,48.115,"LINESTRING (71.6662114 29.3959732, 71.6662085 29.3955405)",,20,
182208668,residential,False,False,47.471,"LINESTRING (71.6668465 29.3968425, 71.6668428 29.3964156)",,20,
182208668,residential,False,True,47.849,"LINESTRING (71.6668465 29.3968425, 71.6668504 29.3972728)",,20,
182209177,residential,False,False,93.246,"LINESTRING (71.6668465 29.3968425, 71.667809 29.396839)",,20,
182209177,residential,False,True,60.961,"LINESTRING (71.6668465 29.3968425, 71.6662173 29.3968501)",,20,
182209102,residential,False,False,46.703,"LINESTRING (71.6662173 29.3968501, 71.6662202 29.3972701)",,20,
182209102,residential,False,True,48.315,"LINESTRING (71.6662173 29.3968501, 71.6662144 29.3964156)",,20,
182209177,residential,False,False,60.961,"LINESTRING (71.6662173 29.3968501, 71.6668465 29.3968425)",,20,
182209177,residential,False,True,107.667,"LINESTRING (71.6662173 29.3968501, 71.665106 29.396839)",,20,
182209102,residential,False,False,72.311,"LINESTRING (71.6662202 29.3972701, 71.6662245 29.3979204)",,20,
182209102,residential,False,True,46.703,"LINESTRING (71.6662202 29.3972701, 71.6662173 29.3968501)",,20,
182209175,residential,False,False,108.212,"LINESTRING (71.6662202 29.3972701, 71.6651035 29.3972928)",,20,
