osmid,name,highway,width,oneway,reversed,length,geometry,lanes,maxspeed,access,junction,tunnel
53276363,Movement Road,residential,,False,False,111.888,"LINESTRING (32.4725253 0.0641732, 32.4734074 0.0637458, 32.473425 0.0637266)",1,,,,
161682508,Nsamizi Road,tertiary,4,False,False,220.77800000000002,"LINESTRING (32.469912 0.0634481, 32.4700231 0.0633953, 32.470117 0.0633404, 32.4702176 0.0632771, 32.4703585 0.0631675, 32.4705421 0.0630205, 32.4708579 0.0628116, 32.4709965 0.0627614, 32.4711617 0.0627094, 32.4713347 0.0626584, 32.4716631 0.0625645)",,,,,
161682508,Nsamizi Road,tertiary,4,False,True,250.95600000000002,"LINESTRING (32.469912 0.0634481, 32.469667 0.0635741, 32.4693308 0.0636951, 32.4690296 0.0638188, 32.4688899 0.0638869, 32.4687161 0.0639942, 32.4685822 0.0640938, 32.4684122 0.0642447, 32.4682087 0.0644362, 32.468121 0.0645187, 32.4679935 0.0645873)",,,,,
"[1060564201, 1059902741]",,trunk,,True,False,115.784,"LINESTRING (32.4728315 0.0576608, 32.4727726 0.0575361, 32.4727012 0.0574235, 32.4725979 0.0573039, 32.4724719 0.0572075, 32.4723189 0.057095, 32.472218 0.0570447, 32.4720796 0.0569851)",2,50,,,
182998060,Hill Road,residential,,False,False,234.904,"LINESTRING (32.473958 0.0643812, 32.4739827 0.0638017, 32.4740244 0.0633845, 32.4741018 0.0628371, 32.4741353 0.0625578, 32.4741565 0.0624013, 32.474146 0.0622806)",,,,,
222987372,,trunk,,True,False,250.92900000000003,"LINESTRING (32.473958 0.0643812, 32.4735028 0.0637038, 32.4732628 0.0633349, 32.4731881 0.0631959, 32.4730553 0.0629581, 32.4729393 0.0626936, 32.4728537 0.0624255)",2,50,,,
182998060,Hill Road,residential,,False,False,128.384,"LINESTRING (32.474146 0.0622806, 32.474243 0.0611301)",,,,,
182998060,Hill Road,residential,,False,True,234.904,"LINESTRING (32.474146 0.0622806, 32.4741565 0.0624013, 32.4741353 0.0625578, 32.4741018 0.0628371, 32.4740244 0.0633845, 32.4739827 0.0638017, 32.473958 0.0643812)",,,,,
182998066,Hill Lane,tertiary,4,False,True,144.6,"LINESTRING (32.474146 0.0622806, 32.4736584 0.0623315, 32.4728537 0.0624255)",,,,,
182998060,Hill Road,residential,,False,True,93.448,"LINESTRING (32.4743217 0.0602934, 32.474243 0.0611301)",,,,,
182998071,,residential,,False,True,171.66299999999998,"LINESTRING (32.4743217 0.0602934, 32.4729533 0.0603202, 32.4728648 0.0603618, 32.4728272 0.0604294)",,,,,
52808937,Apollo Square,residential,,False,True,143.64000000000001,"LINESTRING (32.4742907 0.0596633, 32.4736051 0.0596618, 32.4732256 0.0596443, 32.4730298 0.0596577, 32.4730017 0.0596683)",2,,,,
182998071,,residential,,False,False,171.66299999999998,"LINESTRING (32.4728272 0.0604294, 32.4728648 0.0603618, 32.4729533 0.0603202, 32.4743217 0.0602934)",,,,,
222987372,,trunk,,True,False,74.628,"LINESTRING (32.4728272 0.0604294, 32.4728566 0.0599041, 32.4728689 0.0597596)",2,50,,,
183063430,,residential,6,False,True,185.00699999999998,"LINESTRING (32.4701749 0.0596149, 32.4702235 0.0595967, 32.4703043 0.0595752, 32.4704872 0.059517, 32.4706222 0.0594696, 32.4706493 0.0594606, 32.470799 0.0594217, 32.4709503 0.0593912, 32.4710501 0.0593817, 32.471222 0.0593794, 32.4712802 0.0593834, 32.4713816 0.0593903, 32.471632 0.0594091, 32.4718021 0.0594376)",2,,,,
183061377,,residential,,True,False,67.41499999999999,"LINESTRING (32.4682619 0.0586741, 32.46823 0.0586859, 32.4682022 0.0587055, 32.4681807 0.0587318, 32.4681668 0.0587629, 32.4681616 0.0587965, 32.4681654 0.0588303, 32.468178 0.0588619, 32.4681984 0.058889, 32.4682253 0.0589099, 32.4682567 0.0589229, 32.4683044 0.0589264, 32.46835 0.0589121, 32.4683661 0.0589019, 32.4683873 0.058884, 32.4684074 0.0588465, 32.4684174 0.0588074, 32.4684135 0.0587667)",,,no,roundabout,
52434689,Kampala Road,secondary,,False,False,111.491,"LINESTRING (32.4718579 0.0581416, 32.4718208 0.0585285, 32.4718227 0.0587498, 32.471825 0.0589636, 32.4718173 0.0591423)",2,,,,
52434689,Kampala Road,secondary,,False,True,120.40700000000001,"LINESTRING (32.4718579 0.0581416, 32.4718725 0.0580163, 32.4719053 0.0577841, 32.471998 0.0573038, 32.4720085 0.0572497, 32.4720152 0.0572168, 32.4720437 0.0570753)",2,,,,
"[884565952, 884565953, 183061376, 884565956, 884565957, 884565798, 884565950, 884565951]","['State House Lane', 'Stae House Lane']",residential,8,False,True,413.324,"LINESTRING (32.4718579 0.0581416, 32.4712139 0.05798, 32.4708294 0.0578843, 32.4708242 0.057883, 32.4708033 0.0578797, 32.4707844 0.0578769, 32.4707584 0.057873, 32.4705176 0.0578367, 32.470247 0.0578405, 32.4700626 0.0578472, 32.4698646 0.0578527, 32.469638 0.0578565, 32.4693536 0.0578648, 32.4692149 0.0578917, 32.4691172 0.0579137, 32.4690274 0.0579517, 32.4689567 0.057982, 32.4688904 0.0580164, 32.4688056 0.0580712, 32.4686769 0.0581948, 32.4686162 0.0582558, 32.4685336 0.0583767, 32.4684751 0.0584957, 32.4684542 0.0585322)",2,,permissive,,building_passage
"[183061376, 884565953, 884565952, 884565956, 884565957, 884565798, 884565950, 884565951]","['State House Lane', 'Stae House Lane']",residential,8,False,False,413.324,"LINESTRING (32.4684542 0.0585322, 32.4684751 0.0584957, 32.4685336 0.0583767, 32.4686162 0.0582558, 32.4686769 0.0581948, 32.4688056 0.0580712, 32.4688904 0.0580164, 32.4689567 0.057982, 32.4690274 0.0579517, 32.4691172 0.0579137, 32.4692149 0.0578917, 32.4693536 0.0578648, 32.469638 0.0578565, 32.4698646 0.0578527, 32.4700626 0.0578472, 32.470247 0.0578405, 32.4705176 0.0578367, 32.4707584 0.057873, 32.4707844 0.0578769, 32.4708033 0.0578797, 32.4708242 0.057883, 32.4708294 0.0578843, 32.4712139 0.05798, 32.4718579 0.0581416)",2,,permissive,,building_passage
376028867,,residential,,True,False,26.682000000000002,"LINESTRING (32.4684542 0.0585322, 32.4683623 0.0586102, 32.4683105 0.058649, 32.4682619 0.0586741)",,,,,
52434689,Kampala Road,secondary,,False,False,18.634,"LINESTRING (32.4718021 0.0594376, 32.4717943 0.059605)",2,,,,
52434689,Kampala Road,secondary,,False,True,32.881,"LINESTRING (32.4718021 0.0594376, 32.4718078 0.0593512, 32.4718173 0.0591423)",2,,,,
183063430,,residential,6,False,False,185.007,"LINESTRING (32.4718021 0.0594376, 32.471632 0.0594091, 32.4713816 0.0593903, 32.4712802 0.0593834, 32.471222 0.0593794, 32.4710501 0.0593817, 32.4709503 0.0593912, 32.470799 0.0594217, 32.4706493 0.0594606, 32.4706222 0.0594696, 32.4704872 0.059517, 32.4703043 0.0595752, 32.4702235 0.0595967, 32.4701749 0.0596149)",2,,,,
368800641,Market Street,residential,,False,False,11.401,"LINESTRING (32.4733623 0.0656014, 32.4732752 0.0656555)",,,,,
53276361,Kampala Road,secondary,,True,False,184.113,"LINESTRING (32.4733623 0.0656014, 32.4732784 0.0654692, 32.4728657 0.0647875, 32.4725253 0.0641732)",2,,,,
368800641,Market Street,residential,,False,True,120.891,"LINESTRING (32.4733623 0.0656014, 32.4737475 0.0653555, 32.4742443 0.0650456, 32.474283 0.0650233)",,,,,
368800641,Market Street,residential,,False,True,11.401,"LINESTRING (32.4732752 0.0656555, 32.4733623 0.0656014)",,,,,
161682508,Nsamizi Road,tertiary,4,False,False,250.95600000000002,"LINESTRING (32.4679935 0.0645873, 32.468121 0.0645187, 32.4682087 0.0644362, 32.4684122 0.0642447, 32.4685822 0.0640938, 32.4687161 0.0639942, 32.4688899 0.0638869, 32.4690296 0.0638188, 32.4693308 0.0636951, 32.469667 0.0635741, 32.469912 0.0634481)",,,,,
53276360,Kampala Road,secondary,,True,False,174.83100000000002,"LINESTRING (32.4717044 0.0609929, 32.4716894 0.0612587, 32.4716631 0.0625645)",2,,,,
369865860,Bank Close,residential,,False,False,97.941,"LINESTRING (32.4717044 0.0609929, 32.4714558 0.060996, 32.4712744 0.0610183, 32.4711007 0.0610115, 32.4709536 0.0610168, 32.4708299 0.0610512)",,,,,
369865860,Bank Close,residential,,False,True,97.94099999999999,"LINESTRING (32.4708299 0.0610512, 32.4709536 0.0610168, 32.4711007 0.0610115, 32.4712744 0.0610183, 32.4714558 0.060996, 32.4717044 0.0609929)",,,,,
183061377,,residential,,True,False,21.693,"LINESTRING (32.4684135 0.0587667, 32.4683924 0.0587228, 32.4683564 0.0586899, 32.4683107 0.0586728, 32.4682619 0.0586741)",,,no,roundabout,
376028866,,residential,,True,False,26.473,"LINESTRING (32.4684135 0.0587667, 32.468426 0.0586782, 32.4684542 0.0585322)",,,,,
53276360,Kampala Road,secondary,,True,False,102.851,"LINESTRING (32.47199 0.0634166, 32.4724459 0.0642214)",2,,,,
665371153,,secondary_link,,False,True,9.096,"LINESTRING (32.47199 0.0634166, 32.4720599 0.0633741)",,,,,
665371153,,secondary_link,,False,False,9.096,"LINESTRING (32.4720599 0.0633741, 32.47199 0.0634166)",,,,,
53276361,Kampala Road,secondary,,True,False,98.51899999999999,"LINESTRING (32.4720599 0.0633741, 32.4717578 0.0627906, 32.471741 0.0627388, 32.4717329 0.062694, 32.471729 0.0626537, 32.4717323 0.062596, 32.4717301 0.0625654)",2,,,,
182998060,Hill Road,residential,,False,False,93.448,"LINESTRING (32.474243 0.0611301, 32.4743217 0.0602934)",,,,,
182998060,Hill Road,residential,,False,True,128.384,"LINESTRING (32.474243 0.0611301, 32.474146 0.0622806)",,,,,
1059707405,Kampala Road,secondary,,False,True,10.795,"LINESTRING (32.4720437 0.0570753, 32.4720796 0.0569851)",2,,,,
52434689,Kampala Road,secondary,,False,False,120.407,"LINESTRING (32.4720437 0.0570753, 32.4720152 0.0572168, 32.4720085 0.0572497, 32.471998 0.0573038, 32.4719053 0.0577841, 32.4718725 0.0580163, 32.4718579 0.0581416)",2,,,,
"[1060564200, 1059902743]",,trunk,,True,False,235.58499999999998,"LINESTRING (32.4720437 0.0570753, 32.4722245 0.0571505, 32.4723847 0.0572591, 32.4724833 0.0573409, 32.4725959 0.0574603, 32.4727281 0.0576547, 32.4727897 0.0577902, 32.4728367 0.0579612, 32.4728608 0.0581141, 32.4728608 0.0582945, 32.4728501 0.0584876, 32.4728474 0.0585855, 32.472836 0.0588345)",2,50,,,
222987372,,trunk,,True,False,84.096,"LINESTRING (32.4728851 0.0595406, 32.4728986 0.0593584, 32.472917 0.0590019, 32.4729272 0.0588003, 32.4729285 0.0587856)",2,50,,,
883412368,,residential,,False,True,19.700000000000003,"LINESTRING (32.4728851 0.0595406, 32.4729185 0.0596014, 32.4729453 0.0596322, 32.4730017 0.0596683)",1,,,,
52808937,Apollo Square,residential,,False,False,143.64,"LINESTRING (32.4730017 0.0596683, 32.4730298 0.0596577, 32.4732256 0.0596443, 32.4736051 0.0596618, 32.4742907 0.0596633)",2,,,,
52808937,Apollo Square,residential,,False,True,18.403,"LINESTRING (32.4730017 0.0596683, 32.472948 0.0596885, 32.4729051 0.059714, 32.4728689 0.0597596)",2,,,,
883412368,,residential,,False,False,19.700000000000003,"LINESTRING (32.4730017 0.0596683, 32.4729453 0.0596322, 32.4729185 0.0596014, 32.4728851 0.0595406)",1,,,,
1059902744,,tertiary,,False,True,11.634,"LINESTRING (32.4729285 0.0587856, 32.472836 0.0588345)",,,,,
1059902742,,trunk,,True,False,127.17999999999999,"LINESTRING (32.4729285 0.0587856, 32.4729345 0.0586221, 32.4729421 0.0584524, 32.4729511 0.0582934, 32.4729533 0.058155, 32.4729387 0.058012, 32.4729084 0.0578533, 32.4728315 0.0576608)",2,50,,,
1059902744,,tertiary,,False,False,11.634,"LINESTRING (32.472836 0.0588345, 32.4729285 0.0587856)",,,,,
883412371,Lugard Avenue,tertiary,,False,False,118.60899999999998,"LINESTRING (32.472836 0.0588345, 32.4727985 0.0588463, 32.472731 0.0588675, 32.4725501 0.0589243, 32.4723649 0.0589824, 32.4720212 0.0591092, 32.4718173 0.0591423)",2,,,,
883412372,,trunk,,True,False,92.11,"LINESTRING (32.472836 0.0588345, 32.4728313 0.058963, 32.4728246 0.0591253, 32.4728172 0.0593496, 32.4728072 0.0595249, 32.4728011 0.0596621)",2,50,,,
883412369,Apollo Square,residential,,False,True,112.158,"LINESTRING (32.4728011 0.0596621, 32.4726684 0.0596578, 32.4723391 0.059647, 32.4717943 0.059605)",2,,,,
883412372,,trunk,,True,False,309.71299999999997,"LINESTRING (32.4728011 0.0596621, 32.4727723 0.0599393, 32.4727602 0.0600587, 32.4727428 0.0604141, 32.4727213 0.0607802, 32.4727039 0.0610042, 32.4726892 0.0612911, 32.4726543 0.0615527, 32.4726328 0.0617082, 32.4726422 0.0619537, 32.472665 0.0621655, 32.4727255 0.0624312)",2,50,,,
182998066,Hill Lane,tertiary,4,False,False,14.269,"LINESTRING (32.4727255 0.0624312, 32.4728537 0.0624255)",,,,,
182998066,Hill Lane,tertiary,4,False,True,111.69999999999999,"LINESTRING (32.4727255 0.0624312, 32.4726683 0.062435, 32.4717301 0.0625654)",,,,,
883412372,,trunk,,True,False,164.791,"LINESTRING (32.4727255 0.0624312, 32.47283 0.0626872, 32.4728769 0.0628428, 32.4729654 0.063044, 32.4730352 0.0631526, 32.4731129 0.0632599, 32.4732296 0.0634463, 32.4733382 0.0636019, 32.473425 0.0637266)",2,50,,,
53276363,Movement Road,residential,,False,True,111.888,"LINESTRING (32.473425 0.0637266, 32.4734074 0.0637458, 32.4725253 0.0641732)",1,,,,
883412372,,trunk,,True,False,172.94100000000003,"LINESTRING (32.473425 0.0637266, 32.4734724 0.0638071, 32.4735998 0.0640096, 32.4736494 0.0640847, 32.4738479 0.064365, 32.473994 0.0645795, 32.4741764 0.0648545, 32.474283 0.0650233)",2,50,,,
368800641,Market Street,residential,,False,False,120.891,"LINESTRING (32.474283 0.0650233, 32.4742443 0.0650456, 32.4737475 0.0653555, 32.4733623 0.0656014)",,,,,
665371157,Hill Lane,tertiary,4,False,False,7.451,"LINESTRING (32.4716631 0.0625645, 32.4717301 0.0625654)",,,,,
53276360,Kampala Road,secondary,,True,False,103.4,"LINESTRING (32.4716631 0.0625645, 32.4716631 0.0626183, 32.4716619 0.0626564, 32.4716613 0.0626731, 32.4716574 0.062732, 32.4716746 0.0627925, 32.4717069 0.0628629, 32.47199 0.0634166)",2,,,,
161682508,Nsamizi Road,tertiary,4,False,True,220.778,"LINESTRING (32.4716631 0.0625645, 32.4713347 0.0626584, 32.4711617 0.0627094, 32.4709965 0.0627614, 32.4708579 0.0628116, 32.4705421 0.0630205, 32.4703585 0.0631675, 32.4702176 0.0632771, 32.470117 0.0633404, 32.4700231 0.0633953, 32.469912 0.0634481)",,,,,
