osmid,lanes,name,highway,oneway,reversed,length,maxspeed,ref,geometry,bridge
24238994,2,Gregoria Street,residential,False,True,48.951,,,"LINESTRING (120.9021092 14.4442005, 120.901984 14.4443692, 120.9018464 14.4445597)",
24707323,2,Magdiwang Highway,secondary,False,True,237.21300000000002,50,62,"LINESTRING (120.9036239 14.4423071, 120.9036002 14.4422664, 120.9035714 14.4422331, 120.9034736 14.4421494, 120.9033514 14.4420571, 120.9032442 14.4419857, 120.9031176 14.4418837, 120.9026092 14.4414229, 120.9023881 14.4412338, 120.9020133 14.440952, 120.9019591 14.4409196)",
58493803,2,Gregoria Street,tertiary,False,True,117.747,,,"LINESTRING (120.9036239 14.4423071, 120.9036908 14.4422324, 120.9037173 14.4421808, 120.9037318 14.4419916, 120.9037761 14.4412802)",
647441126,2,Gregoria Street,secondary,False,True,20.817,50,62,"LINESTRING (120.9036239 14.4423071, 120.9036372 14.4423559, 120.9036324 14.442418, 120.9035962 14.4424837)",
893592191,1,,residential,False,False,59.03,,,"LINESTRING (120.901069 14.4404617, 120.9012473 14.4399597)",
"[105241621, 1164773287]","['2', '4']",Magdiwang Highway,secondary,False,False,92.441,50,62,"LINESTRING (120.901069 14.4404617, 120.90068 14.4402778, 120.9002836 14.4401278)",
"[24707323, 105241615, 1164773287]","['2', '4']",Magdiwang Highway,secondary,False,"[False, True]",108.578,50,62,"LINESTRING (120.901069 14.4404617, 120.9015152 14.440679, 120.9017142 14.4407804, 120.9017997 14.4408262, 120.9019591 14.4409196)",yes
24707323,2,Magdiwang Highway,secondary,False,False,237.21300000000002,50,62,"LINESTRING (120.9019591 14.4409196, 120.9020133 14.440952, 120.9023881 14.4412338, 120.9026092 14.4414229, 120.9031176 14.4418837, 120.9032442 14.4419857, 120.9033514 14.4420571, 120.9034736 14.4421494, 120.9035714 14.4422331, 120.9036002 14.4422664, 120.9036239 14.4423071)",
"[1164773287, 24707323, 105241615]","['2', '4']",Magdiwang Highway,secondary,False,"[False, True]",108.578,50,62,"LINESTRING (120.9019591 14.4409196, 120.9017997 14.4408262, 120.9017142 14.4407804, 120.9015152 14.440679, 120.901069 14.4404617)",yes
105241199,2,,residential,False,False,37.946,,,"LINESTRING (120.9019591 14.4409196, 120.902015 14.4408746, 120.9022276 14.4406986)",
24238990,2,Tanggulan Street,residential,False,False,57.04,,,"LINESTRING (120.9036021 14.4453782, 120.9041224 14.4454745)",
24238990,2,Tanggulan Street,residential,False,True,49.491,,,"LINESTRING (120.9036021 14.4453782, 120.9033889 14.4453078, 120.9031671 14.4452345)",
893586723,,,residential,False,True,74.27,,,"LINESTRING (120.9036021 14.4453782, 120.9035701 14.4457948, 120.9035204 14.4460403)",
24238990,2,Tanggulan Street,residential,False,False,23.534,,,"LINESTRING (120.9045688 14.4455342, 120.9047869 14.4455478)",
24238990,2,Tanggulan Street,residential,False,True,48.524,,,"LINESTRING (120.9045688 14.4455342, 120.9041224 14.4454745)",
225263526,2,P. Canda Street,residential,False,False,99.86100000000002,,,"LINESTRING (120.9045688 14.4455342, 120.9046429 14.4453272, 120.9047086 14.4451662, 120.9048107 14.4448898, 120.9048756 14.444687)",
