osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,bridge
231334201,False,,,,unclassified,True,31.006999999999998,"LINESTRING (125.9786152 8.5084496, 125.9786206 8.50837, 125.978626 8.508171)",,
235550030,False,,,,residential,False,12.315,"LINESTRING (125.9775365 8.5071286, 125.9774429 8.5070678)",,
892168919,True,2,,Roxas Street,tertiary,False,49.799,"LINESTRING (125.9775365 8.5071286, 125.977279 8.507497)",,
231334200,False,,,,unclassified,True,112.506,"LINESTRING (125.9775365 8.5071286, 125.977706 8.5072728, 125.9777382 8.507294, 125.977765 8.507294, 125.9777945 8.507286, 125.9779959 8.5070168, 125.9780359 8.5069823, 125.9780869 8.506969, 125.9781338 8.5069637, 125.9783452 8.506976)",,
231334198,False,,,,unclassified,False,50.161,"LINESTRING (125.9779768 8.508561, 125.9782262 8.5081833)",,
231334198,False,,,,unclassified,True,29.749,"LINESTRING (125.9779768 8.508561, 125.9777539 8.5084094)",,
399345459,False,,,,unclassified,False,80.732,"LINESTRING (125.9779768 8.508561, 125.9781767 8.5086959, 125.9782143 8.5087171, 125.9782411 8.5087171, 125.9782639 8.5087052, 125.9785121 8.5083997)",,
231334196,False,,,,unclassified,False,41.939,"LINESTRING (125.9775646 8.5077015, 125.9778706 8.5079266)",,
775872874,False,,,,residential,True,38.775,"LINESTRING (125.9775646 8.5077015, 125.977279 8.507497)",,
231334202,False,,,,unclassified,True,106.156,"LINESTRING (125.9775646 8.5077015, 125.9773694 8.5079943, 125.9773533 8.5080367, 125.9773533 8.5080686, 125.9773694 8.508103, 125.9775196 8.508237, 125.9777539 8.5084094)",,
231334198,False,,,,unclassified,True,31.985,"LINESTRING (125.9788593 8.508606, 125.9786152 8.5084496)",,
656679237,False,,,Obedoza Street,secondary,True,27.294,"LINESTRING (125.9788593 8.508606, 125.9790209 8.5084197)",,
656679237,False,,,Obedoza Street,secondary,False,97.47500000000001,"LINESTRING (125.9788593 8.508606, 125.9786816 8.5088174, 125.978303 8.5092884)",,
231335470,False,,,,residential,False,14.145,"LINESTRING (125.9734349 8.5090585, 125.973522 8.5091521)",,
228801959,True,2,1,Davao-Agusan National Highway,trunk,False,111.92,"LINESTRING (125.9734349 8.5090585, 125.9739235 8.508675, 125.974201 8.5084634, 125.9742366 8.5084386)",,
128955396,False,2,,Quezon Street,secondary,False,94.871,"LINESTRING (125.9768973 8.5081682, 125.9775575 8.5087174)",,
128955396,False,2,,Quezon Street,secondary,True,10.41,"LINESTRING (125.9768973 8.5081682, 125.9768254 8.5081073)",,
"[858102741, 858102740, 231335469]",False,2,,,residential,False,138.93,"LINESTRING (125.9768973 8.5081682, 125.9764169 8.508703, 125.9763958 8.5087278, 125.9763625 8.5087659, 125.976345 8.5087873, 125.9760166 8.5090595)",,yes
230622692,False,,,Laurel Street,residential,False,101.46700000000001,"LINESTRING (125.9758359 8.502027, 125.9757614 8.5019859, 125.9756916 8.5019547, 125.9749799 8.5016889)",,
230622692,False,,,Laurel Street,residential,True,86.136,"LINESTRING (125.9758359 8.502027, 125.976094 8.5021504, 125.9762335 8.5022087, 125.9765573 8.5023268)",,
