osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,junction
325121411,,,residential,False,True,111.47,"LINESTRING (124.44168 6.8570229, 124.4411637 6.8578844)",,,,
325121417,,,residential,False,False,45.381,"LINESTRING (124.44168 6.8570229, 124.4420438 6.8572129)",,,,
325121417,,,residential,False,True,47.122,"LINESTRING (124.44168 6.8570229, 124.4413126 6.8568072)",,,,
325121417,,,residential,False,True,45.381,"LINESTRING (124.4420438 6.8572129, 124.44168 6.8570229)",,,,
325121410,,,residential,False,False,91.223,"LINESTRING (124.4420438 6.8572129, 124.4422755 6.8568631, 124.4425061 6.856533)",,,,
325121410,,,residential,False,True,115.12400000000001,"LINESTRING (124.4420438 6.8572129, 124.4419677 6.8573418, 124.4418926 6.8574742, 124.4417873 6.8576999, 124.4415251 6.8581094)",,,,
325121417,,,residential,False,False,110.969,"LINESTRING (124.4420438 6.8572129, 124.4422433 6.8573211, 124.4424954 6.8574663, 124.4429016 6.8577319)",,,,
325121412,,,residential,False,False,109.167,"LINESTRING (124.4407922 6.857642, 124.4413126 6.8568072)",,,,
335897179,,,tertiary,False,True,49.078,"LINESTRING (124.4407922 6.857642, 124.4411637 6.8578844)",,,,
325121417,,,residential,False,False,76.798,"LINESTRING (124.4429016 6.8577319, 124.4434844 6.858109)",,,,
325121417,,,residential,False,True,110.969,"LINESTRING (124.4429016 6.8577319, 124.4424954 6.8574663, 124.4422433 6.8573211, 124.4420438 6.8572129)",,,,
822635479,,,residential,False,False,115.193,"LINESTRING (124.4429016 6.8577319, 124.4426027 6.8582399, 124.4423744 6.8586259)",,,,
325121411,,,residential,False,False,111.47,"LINESTRING (124.4411637 6.8578844, 124.44168 6.8570229)",,,,
335897179,,,tertiary,False,False,49.078,"LINESTRING (124.4411637 6.8578844, 124.4407922 6.857642)",,,,
335897179,,,tertiary,False,True,47.111000000000004,"LINESTRING (124.4411637 6.8578844, 124.4414528 6.8580696, 124.4415251 6.8581094)",,,,
289080683,,,unclassified,False,True,113.942,"LINESTRING (124.4434844 6.858109, 124.4429425 6.8589811)",,,,
325121417,,,residential,False,True,76.798,"LINESTRING (124.4434844 6.858109, 124.4429016 6.8577319)",,,,
822624937,,,residential,False,True,87.004,"LINESTRING (124.4415251 6.8581094, 124.4411121 6.8587758)",,,,
325121410,,,residential,False,False,115.12400000000001,"LINESTRING (124.4415251 6.8581094, 124.4417873 6.8576999, 124.4418926 6.8574742, 124.4419677 6.8573418, 124.4420438 6.8572129)",,,,
335897179,,,tertiary,False,False,47.111000000000004,"LINESTRING (124.4415251 6.8581094, 124.4414528 6.8580696, 124.4411637 6.8578844)",,,,
335897179,,,tertiary,False,True,109.957,"LINESTRING (124.4415251 6.8581094, 124.4420126 6.8584103, 124.4423744 6.8586259)",,,,
335897179,,,tertiary,False,True,74.118,"LINESTRING (124.4423744 6.8586259, 124.4429425 6.8589811)",,,,
335897179,,,tertiary,False,False,109.957,"LINESTRING (124.4423744 6.8586259, 124.4420126 6.8584103, 124.4415251 6.8581094)",,,,
822635479,,,residential,False,False,94.011,"LINESTRING (124.4423744 6.8586259, 124.4421682 6.8589802, 124.4419445 6.8593557)",,,,
822635479,,,residential,False,True,115.193,"LINESTRING (124.4423744 6.8586259, 124.4426027 6.8582399, 124.4429016 6.8577319)",,,,
822635479,,,residential,False,True,41.114,"LINESTRING (124.4417686 6.8596816, 124.4419445 6.8593557)",,,,
"[822624937, 822624935]",,,residential,False,False,168.609,"LINESTRING (124.4417686 6.8596816, 124.4409404 6.8592665, 124.4408854 6.8592338, 124.440877 6.8592265, 124.440871 6.8592189, 124.4408663 6.8592092, 124.4408656 6.8591936, 124.4408713 6.8591786, 124.4408921 6.8591416, 124.4411121 6.8587758)",,,,
