osmid,lanes,highway,oneway,reversed,length,name,bridge,geometry,ref,maxspeed
78959760,1.5,residential,False,True,119.707,,,"LINESTRING (120.7636015 14.3167777, 120.7637051 14.3164024, 120.7638612 14.315993, 120.7639976 14.3157789)",,
78988651,1,residential,False,True,60.144,,,"LINESTRING (120.7682364 14.3154979, 120.768622 14.315889)",,
"[78959754, 78901637]",2,secondary,False,False,215.591,Ciriaco Nazareno Street,,"LINESTRING (120.7682364 14.3154979, 120.768019 14.3156621, 120.7678053 14.3158252, 120.7675686 14.3159918, 120.767337 14.3161541, 120.7670302 14.3163741, 120.7668337 14.3165207, 120.766666 14.3166941)",402,40
78988653,,residential,False,True,134.826,,,"LINESTRING (120.7687014 14.3167211, 120.7681738 14.3170054, 120.7677562 14.3165257)",,
939282244,1.5,residential,False,False,31.981,P. Burgos,,"LINESTRING (120.7639976 14.3157789, 120.7642566 14.3159194)",,
78959760,1.5,residential,False,False,119.707,,,"LINESTRING (120.7639976 14.3157789, 120.7638612 14.315993, 120.7637051 14.3164024, 120.7636015 14.3167777)",,
"[78959760, 79156714]",1.5,residential,False,"[False, True]",172.619,Captain Abenas,,"LINESTRING (120.7639976 14.3157789, 120.7643678 14.3153391, 120.765057 14.3158221, 120.7652024 14.3158994)",,
78988651,1,residential,False,False,60.144,,,"LINESTRING (120.768622 14.315889, 120.7682364 14.3154979)",,
152457667,2,tertiary,False,True,117.107,Daang Makina,,"LINESTRING (120.768622 14.315889, 120.7677562 14.3165257)",,
79156714,,residential,False,False,66.504,Captain Abenas,,"LINESTRING (120.7652024 14.3158994, 120.7657436 14.316187)",,
152457843,,residential,False,False,49.413,,,"LINESTRING (120.7652024 14.3158994, 120.7649707 14.3162829)",,
"[78959760, 79156714]",1.5,residential,False,"[False, True]",172.619,Captain Abenas,,"LINESTRING (120.7652024 14.3158994, 120.765057 14.3158221, 120.7643678 14.3153391, 120.7639976 14.3157789)",,
152457843,,residential,False,False,117.057,,,"LINESTRING (120.7649707 14.3162829, 120.7644293 14.3171956)",,
152457843,,residential,False,True,49.413,,,"LINESTRING (120.7649707 14.3162829, 120.7652024 14.3158994)",,
939282244,1.5,residential,False,False,70.231,P. Burgos,,"LINESTRING (120.7649707 14.3162829, 120.7655557 14.3165615)",,
939282244,1.5,residential,False,True,86.91,P. Burgos,,"LINESTRING (120.7649707 14.3162829, 120.7642566 14.3159194)",,
152457667,2,tertiary,False,False,117.107,Daang Makina,,"LINESTRING (120.7677562 14.3165257, 120.768622 14.315889)",,
78988653,,residential,False,False,134.826,,,"LINESTRING (120.7677562 14.3165257, 120.7681738 14.3170054, 120.7687014 14.3167211)",,
152457667,2,tertiary,False,True,138.618,Daang Makina,,"LINESTRING (120.7677562 14.3165257, 120.7675074 14.3167087, 120.7670509 14.3171063, 120.7668094 14.3173655)",,
152457667,2,tertiary,False,True,111.316,Daang Makina,,"LINESTRING (120.7668094 14.3173655, 120.7661368 14.3181254)",,
939282244,1.5,residential,False,True,64.083,P. Burgos,,"LINESTRING (120.7668094 14.3173655, 120.7663375 14.3170147)",,
152457667,2,tertiary,False,False,138.618,Daang Makina,,"LINESTRING (120.7668094 14.3173655, 120.7670509 14.3171063, 120.7675074 14.3167087, 120.7677562 14.3165257)",,
152457655,1.5,tertiary,False,False,45.047,Captain Yoyo Jocson,,"LINESTRING (120.7661368 14.3181254, 120.7664988 14.3183281)",,
152457667,2,tertiary,False,False,111.316,Daang Makina,,"LINESTRING (120.7661368 14.3181254, 120.7668094 14.3173655)",,
879491983,2,secondary,True,False,223.168,Zamora,,"LINESTRING (120.7661368 14.3181254, 120.7648265 14.3196798)",,
