osmid,name,highway,oneway,reversed,length,geometry,lanes
60146371,Sampaguita Street,residential,False,True,145.201,"LINESTRING (125.1738799 6.114885, 125.1738879 6.1135792)",2
60146376,Senator Jose W. Diokno Street,residential,False,False,72.631,"LINESTRING (125.1736212 6.1105687, 125.1731647 6.1110384)",
60146376,Senator Jose W. Diokno Street,residential,False,True,50.824,"LINESTRING (125.1736212 6.1105687, 125.1739365 6.1102361)",
60149473,Felipe R. Cariño Street,residential,False,False,155.092,"LINESTRING (125.1736212 6.1105687, 125.1732793 6.1102669, 125.1732542 6.1102239, 125.1732445 6.1101762, 125.1732399 6.1093344)",
60149473,Felipe R. Cariño Street,residential,False,True,120.377,"LINESTRING (125.1736212 6.1105687, 125.1739556 6.1108895, 125.1744048 6.1113203)",
52703528,President Elpidio Quirino Avenue,tertiary,False,False,70.431,"LINESTRING (125.1759215 6.1155318, 125.1759204 6.1148984)",4
60146379,Kasoy Street,residential,False,True,154.301,"LINESTRING (125.1759215 6.1155318, 125.1745259 6.1155358)",
52703528,President Elpidio Quirino Avenue,tertiary,False,True,89.569,"LINESTRING (125.1759215 6.1155318, 125.17592 6.1158728, 125.1759171 6.1163373)",4
52703528,President Elpidio Quirino Avenue,tertiary,False,False,72.956,"LINESTRING (125.1759404 6.1120074, 125.1759378 6.1113513)",4
52703528,President Elpidio Quirino Avenue,tertiary,False,True,88.367,"LINESTRING (125.1759404 6.1120074, 125.1759413 6.1128021)",4
60146363,Narangita Street,residential,False,True,154.394,"LINESTRING (125.1759404 6.1120074, 125.174544 6.1119973)",
57743591,J. P. Laurel Avenue,tertiary,False,False,76.554,"LINESTRING (125.1738651 6.1163425, 125.1731727 6.1163454)",2
57743591,J. P. Laurel Avenue,tertiary,False,True,72.175,"LINESTRING (125.1738651 6.1163425, 125.1745179 6.1163427)",2
60146371,Sampaguita Street,residential,False,True,162.075,"LINESTRING (125.1738651 6.1163425, 125.1738799 6.114885)",2
60146362,Nuestra Señora Dela Paz Street,residential,False,False,56.576,"LINESTRING (125.1744048 6.1113203, 125.1749165 6.1113233)",
60146362,Nuestra Señora Dela Paz Street,residential,False,True,76.95,"LINESTRING (125.1744048 6.1113203, 125.1739172 6.1118141)",
60149473,Felipe R. Cariño Street,residential,False,False,120.377,"LINESTRING (125.1744048 6.1113203, 125.1739556 6.1108895, 125.1736212 6.1105687)",
60146376,Senator Jose W. Diokno Street,residential,False,True,72.631,"LINESTRING (125.1731647 6.1110384, 125.1736212 6.1105687)",
60115509,Salazar Street,residential,False,False,215.55200000000002,"LINESTRING (125.1731647 6.1110384, 125.1726571 6.1105762, 125.1726142 6.1105202, 125.1726021 6.1104665, 125.1725805 6.109338)",
60146376,Senator Jose W. Diokno Street,residential,False,False,106.972,"LINESTRING (125.1731647 6.1110384, 125.1731125 6.1110986, 125.1730931 6.1111199, 125.1725277 6.1117625)",
60146362,Nuestra Señora Dela Paz Street,residential,False,False,112.961,"LINESTRING (125.1749165 6.1113233, 125.1759378 6.1113513)",
60146362,Nuestra Señora Dela Paz Street,residential,False,True,56.576,"LINESTRING (125.1749165 6.1113233, 125.1744048 6.1113203)",
60115514,Niyog Street,residential,False,False,167.255,"LINESTRING (125.1749165 6.1113233, 125.1748967 6.111163, 125.1748816 6.1111099, 125.1748548 6.1110553, 125.1742139 6.1104856, 125.1739365 6.1102361)",
52703528,President Elpidio Quirino Avenue,tertiary,False,True,72.956,"LINESTRING (125.1759378 6.1113513, 125.1759404 6.1120074)",4
60146362,Nuestra Señora Dela Paz Street,residential,False,True,112.961,"LINESTRING (125.1759378 6.1113513, 125.1749165 6.1113233)",
52703528,President Elpidio Quirino Avenue,tertiary,False,False,223.254,"LINESTRING (125.1759378 6.1113513, 125.1759485 6.1103776, 125.1759488 6.1103467, 125.1759528 6.1093436)",4
52703528,President Elpidio Quirino Avenue,tertiary,False,False,73.261,"LINESTRING (125.1759219 6.1142516, 125.1759301 6.1135928)",4
52703528,President Elpidio Quirino Avenue,tertiary,False,True,71.921,"LINESTRING (125.1759219 6.1142516, 125.1759204 6.1148984)",4
60146369,Camia Street,residential,False,True,153.365,"LINESTRING (125.1759219 6.1142516, 125.1745349 6.1142322)",
52703528,President Elpidio Quirino Avenue,tertiary,False,False,88.367,"LINESTRING (125.1759413 6.1128021, 125.1759404 6.1120074)",4
52703528,President Elpidio Quirino Avenue,tertiary,False,True,87.931,"LINESTRING (125.1759413 6.1128021, 125.1759301 6.1135928)",4
511058699,Osmeña Street,tertiary,False,True,154.604,"LINESTRING (125.1759413 6.1128021, 125.174543 6.1127921)",
38608279,Zapote Street,residential,False,False,153.856,"LINESTRING (125.1745289 6.1148838, 125.1759204 6.1148984)",
38608279,Zapote Street,residential,False,True,71.755,"LINESTRING (125.1745289 6.1148838, 125.1738799 6.114885)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,False,72.458,"LINESTRING (125.1745289 6.1148838, 125.1745349 6.1142322)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,True,72.5,"LINESTRING (125.1745289 6.1148838, 125.1745259 6.1155358)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,False,87.322,"LINESTRING (125.1745449 6.1135774, 125.174543 6.1127921)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,True,72.819,"LINESTRING (125.1745449 6.1135774, 125.1745349 6.1142322)",
60146366,Lapu-Lapu Street,residential,False,False,153.161,"LINESTRING (125.1745449 6.1135774, 125.1759301 6.1135928)",
60146366,Lapu-Lapu Street,residential,False,True,72.64,"LINESTRING (125.1745449 6.1135774, 125.1738879 6.1135792)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,False,72.5,"LINESTRING (125.1745259 6.1155358, 125.1745289 6.1148838)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,True,89.728,"LINESTRING (125.1745259 6.1155358, 125.1745179 6.1163427)",
