osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,access,tunnel,width
237388899,False,,,Waschanger,residential,30,False,122.62100000000001,"LINESTRING (13.539789 46.9079002, 13.539874 46.9077621, 13.5398535 46.9076697, 13.5395847 46.90744, 13.5393724 46.9072871, 13.5390889 46.9071933, 13.5389026 46.9071363)",,,,,
262827181,True,1,,Waschanger,tertiary,30,False,53.977000000000004,"LINESTRING (13.539789 46.9079002, 13.5398474 46.907975, 13.5397476 46.9080367, 13.5396118 46.9080776, 13.5394553 46.9080934, 13.5393101 46.9080911)",,,,,
"[503168306, 503168307]",False,"['2', '3']",B99,Waschanger,primary,50,True,93.67599999999999,"LINESTRING (13.539789 46.9079002, 13.5399502 46.907951, 13.5403928 46.9080956, 13.5408981 46.9082683)",,,,,
"[283564809, 503168308, 234116727]",False,"['2', '4']",B99,"['Waschanger', 'Pongratzen Vorstadt']",primary,50,False,231.953,"LINESTRING (13.539789 46.9079002, 13.5396468 46.9078507, 13.5392238 46.9077038, 13.5390806 46.9076538, 13.5384716 46.9073475, 13.5379488 46.9069881, 13.5374192 46.9066152)",,,,,
34126660,False,2,,Untere Vorstadt,tertiary,30,False,34.486000000000004,"LINESTRING (13.5304585 46.9055557, 13.5305244 46.905529, 13.5307591 46.905434, 13.530853 46.9054654)",,,,,
"[177716040, 177716038, 283558962, 75745702]",False,2,L12,"['Holztratte', 'Untere Vorstadt']",secondary,50,False,194.82600000000002,"LINESTRING (13.5304585 46.9055557, 13.5303212 46.9053495, 13.5301763 46.904988, 13.5301923 46.90473, 13.5302083 46.9045825, 13.5302976 46.9043912, 13.5304225 46.90421, 13.5305664 46.904057, 13.5307207 46.9039344)",,yes,,,
"[238368016, 503168330, 503168331, 503168332]",False,"['2', '3']",L12,Holztratte,secondary,50,True,200.47899999999998,"LINESTRING (13.5304585 46.9055557, 13.5306803 46.9057775, 13.530979 46.9060057, 13.5311546 46.9061274, 13.5314379 46.9063154, 13.5322562 46.90687)",,,,,
238368015,False,2,L12,Riesertratte,secondary,50,False,9.788,"LINESTRING (13.5331112 46.9074057, 13.5330148 46.9073473)",,,,,
75745699,False,,,Riesertratte,residential,30,False,81.28999999999999,"LINESTRING (13.5331112 46.9074057, 13.5330373 46.9074619, 13.532809 46.907655, 13.5325592 46.9078457, 13.5325169 46.9079943)",,,,,
"[238841946, 503168314, 503168322, 503168311]",False,"['2', '3']",L12,Riesertratte,secondary,50,True,143.438,"LINESTRING (13.5331112 46.9074057, 13.5331445 46.9074256, 13.5331643 46.9074365, 13.5335496 46.9077011, 13.5335724 46.9077165, 13.5337866 46.9078616, 13.5340929 46.9080672, 13.5344436 46.9083193)",,,,,
89375170,False,,,Moostratte,residential,30,False,124.714,"LINESTRING (13.5351028 46.9022897, 13.5366959 46.9025602)",,,,,
89375176,False,,,Waschanger,residential,,False,188.81099999999998,"LINESTRING (13.5417623 46.9093413, 13.5417156 46.9094127, 13.5406431 46.9090491, 13.5407771 46.9085211, 13.5408757 46.908319, 13.5408981 46.9082683)",,,,,
89375176,False,,,Waschanger,residential,,True,58.999,"LINESTRING (13.5417623 46.9093413, 13.5420074 46.9089656, 13.5421096 46.9088689)",,,,,
89375212,False,,,Waschanger,residential,30,False,65.492,"LINESTRING (13.5417623 46.9093413, 13.541972 46.9094478, 13.5422362 46.9094989, 13.5423584 46.9095124, 13.5425595 46.9094962)",,,,,
89375176,False,,,Waschanger,residential,,False,58.999,"LINESTRING (13.5421096 46.9088689, 13.5420074 46.9089656, 13.5417623 46.9093413)",,,,,
503168306,False,2,B99,Waschanger,primary,50,False,114.063,"LINESTRING (13.5421096 46.9088689, 13.5414687 46.9085178, 13.5411149 46.9083403, 13.5408981 46.9082683)",,,,,
233673879,False,,,Riesertratte,residential,30,False,189.96499999999997,"LINESTRING (13.5308106 46.9090566, 13.5310477 46.9087643, 13.5313207 46.9084377, 13.531546 46.9082948, 13.5317485 46.9081637, 13.5320168 46.9080016, 13.5321803 46.9079603, 13.5323077 46.9079613, 13.5325169 46.9079943)",,,,,
"[243155745, 238841957, 238841958]",False,,,Waschanger,tertiary,30,False,250.45399999999998,"LINESTRING (13.5384662 46.9092973, 13.5381589 46.9091665, 13.5378197 46.9090006, 13.5376856 46.9088901, 13.53752 46.908618, 13.5373978 46.9084833, 13.5368701 46.90831, 13.5368263 46.9082616, 13.5372632 46.9077441, 13.5372759 46.9077291, 13.5373137 46.9076843)",,,,,
751252750,False,,,Burgwiese,residential,30,True,21.85,"LINESTRING (13.5384662 46.9092973, 13.5383454 46.9093548, 13.5382092 46.9093781)",,,,,
89375188,False,,,Gries an der Lieser,residential,30,False,304.95000000000005,"LINESTRING (13.541412 46.9069343, 13.5413292 46.9068508, 13.5409462 46.9067364, 13.5406372 46.9065813, 13.5399791 46.9062605, 13.5398214 46.9061865, 13.5395744 46.9060157, 13.5394088 46.9058163, 13.5392159 46.9055628, 13.5389435 46.9053718, 13.5384743 46.9051509)",,,,,
89375170,False,,,Moostratte,residential,30,True,124.714,"LINESTRING (13.5366959 46.9025602, 13.5351028 46.9022897)",,,,,
239298455,False,,,Moostratte,tertiary,30,False,218.643,"LINESTRING (13.5366959 46.9025602, 13.5367195 46.9026938, 13.536826 46.9028582, 13.5370468 46.9031195, 13.5371414 46.9032488, 13.5372006 46.9036233, 13.53724 46.9037769, 13.5374254 46.9040193, 13.5377746 46.9043398)",,,,,
89375204,False,,,Waschanger,residential,30,True,147.433,"LINESTRING (13.5397408 46.9089469, 13.5387057 46.9086337, 13.5388112 46.908375, 13.5388721 46.9082235, 13.5389213 46.9081012)",,,,,
177716036,False,,,Untere Vorstadt,residential,30,True,81.07000000000001,"LINESTRING (13.5328949 46.90608, 13.5329448 46.9059225, 13.5329268 46.9055992, 13.532791 46.9053731)",,,,,
"[229304633, 67216198, 75746361]",False,"['1', '2']",,Untere Vorstadt,tertiary,30,False,89.82099999999998,"LINESTRING (13.5328949 46.90608, 13.5330326 46.9061129, 13.5339174 46.9063182, 13.5339694 46.9063295, 13.5340148 46.906339)",,yes,,,
235439310,True,2,,Untere Vorstadt,residential,30,False,100.80199999999999,"LINESTRING (13.5328949 46.90608, 13.5328313 46.906176, 13.5326873 46.9063556, 13.5324213 46.9067296, 13.5323674 46.9067821, 13.5323151 46.9068293, 13.5322562 46.90687)",,,,,
"[919369945, 503168333, 503168334]",False,2,,Untere Vorstadt,tertiary,30,True,170.236,"LINESTRING (13.5328949 46.90608, 13.5322439 46.9059301, 13.5320931 46.9058902, 13.5316709 46.9057786, 13.531525 46.90574, 13.5314421 46.9057061, 13.5311417 46.9055834, 13.530853 46.9054654)",,,,,
89375201,False,,,Gries an der Lieser,residential,30,True,16.08,"LINESTRING (13.5384743 46.9051509, 13.5382718 46.9051088)",,,,,
89375188,False,,,Gries an der Lieser,residential,30,True,304.95,"LINESTRING (13.5384743 46.9051509, 13.5389435 46.9053718, 13.5392159 46.9055628, 13.5394088 46.9058163, 13.5395744 46.9060157, 13.5398214 46.9061865, 13.5399791 46.9062605, 13.5406372 46.9065813, 13.5409462 46.9067364, 13.5413292 46.9068508, 13.541412 46.9069343)",,,,,
89375201,False,,,Gries an der Lieser,residential,30,False,163.001,"LINESTRING (13.5384743 46.9051509, 13.538699 46.9051374, 13.5392945 46.9051185, 13.5395192 46.9051374, 13.5397401 46.9051967, 13.540091 46.9054014, 13.5403749 46.9055927)",,,,,
"[238368015, 67216204, 67216196]",False,2,L12,"['Holztratte', 'Riesertratte']",secondary,50,True,78.358,"LINESTRING (13.5322562 46.90687, 13.5323725 46.9069428, 13.5324218 46.906973, 13.5328396 46.9072438, 13.5330148 46.9073473)",,yes,,,
239216265,False,,,Holztratte,tertiary,30,True,74.036,"LINESTRING (13.5322562 46.90687, 13.5322239 46.9068939, 13.5321475 46.9069585, 13.5318693 46.9071849, 13.5315459 46.9073115)",,,,,
"[238368016, 503168330, 503168331, 503168332]",False,"['2', '3']",L12,Holztratte,secondary,50,False,200.47899999999998,"LINESTRING (13.5322562 46.90687, 13.5314379 46.9063154, 13.5311546 46.9061274, 13.530979 46.9060057, 13.5306803 46.9057775, 13.5304585 46.9055557)",,,,,
234074405,False,2,,Waschanger,tertiary,30,True,12.966,"LINESTRING (13.5389213 46.9081012, 13.5387507 46.9081049)",,,,,
89375204,False,,,Waschanger,residential,30,False,147.433,"LINESTRING (13.5389213 46.9081012, 13.5388721 46.9082235, 13.5388112 46.908375, 13.5387057 46.9086337, 13.5397408 46.9089469)",,,,,
234074405,False,2,,Waschanger,tertiary,30,False,29.567,"LINESTRING (13.5389213 46.9081012, 13.5391315 46.9080993, 13.5392412 46.9080943, 13.5393101 46.9080911)",,,,,
503168324,False,2,,Waschanger,tertiary,30,True,7.535,"LINESTRING (13.5373137 46.9076843, 13.5372305 46.9076474)",,,,,
234074405,False,2,,Waschanger,tertiary,30,False,120.504,"LINESTRING (13.5373137 46.9076843, 13.5380042 46.90797, 13.5384072 46.9080746, 13.5386598 46.9081069, 13.5387507 46.9081049)",,,,,
"[243155745, 238841957, 238841958]",False,,,Waschanger,tertiary,30,True,250.454,"LINESTRING (13.5373137 46.9076843, 13.5372759 46.9077291, 13.5372632 46.9077441, 13.5368263 46.9082616, 13.5368701 46.90831, 13.5373978 46.9084833, 13.53752 46.908618, 13.5376856 46.9088901, 13.5378197 46.9090006, 13.5381589 46.9091665, 13.5384662 46.9092973)",,,,,
751252750,False,,,Burgwiese,residential,30,False,21.85,"LINESTRING (13.5382092 46.9093781, 13.5383454 46.9093548, 13.5384662 46.9092973)",,,,,
238841943,False,2,,Hauptplatz,tertiary,30,True,12.101,"LINESTRING (13.5364079 46.9072575, 13.5362774 46.9071951)",,,,,
239298454,False,2,,Hauptplatz,tertiary,30,False,33.226,"LINESTRING (13.5364079 46.9072575, 13.5367592 46.9074355)",,,,,
237394192,False,2,,Hauptplatz,tertiary,30,True,42.765,"LINESTRING (13.5364079 46.9072575, 13.5366214 46.9070464, 13.5367292 46.9069417)",,,,,
89375201,False,,,Gries an der Lieser,residential,30,False,16.08,"LINESTRING (13.5382718 46.9051088, 13.5384743 46.9051509)",,,,,
235467843,False,,,Gries an der Lieser,tertiary,30,True,27.811,"LINESTRING (13.5382718 46.9051088, 13.538285 46.9050458, 13.5382747 46.905013, 13.5382276 46.9048635)",,,,,
"[89375200, 243701497, 237572685, 89375189]",False,2,,"['Pongratzen Vorstadt', 'Gries an der Lieser']",tertiary,30,False,98.085,"LINESTRING (13.5382718 46.9051088, 13.5382613 46.905159, 13.5381808 46.9052202, 13.5380953 46.9052841, 13.5380011 46.9053568, 13.5376304 46.9056385, 13.5374421 46.9057737)",,yes,,,
89375201,False,,,Gries an der Lieser,residential,30,True,163.001,"LINESTRING (13.5403749 46.9055927, 13.540091 46.9054014, 13.5397401 46.9051967, 13.5395192 46.9051374, 13.5392945 46.9051185, 13.538699 46.9051374, 13.5384743 46.9051509)",,,,,
89375212,False,,,Waschanger,residential,30,True,65.492,"LINESTRING (13.5425595 46.9094962, 13.5423584 46.9095124, 13.5422362 46.9094989, 13.541972 46.9094478, 13.5417623 46.9093413)",,,,,
89375208,False,,,Holztratte,tertiary,,True,109.72500000000001,"LINESTRING (13.5315459 46.9073115, 13.5307099 46.9073007, 13.5302052 46.9072953, 13.5301076 46.9073188)",,,,,
239216265,False,,,Holztratte,tertiary,30,False,74.036,"LINESTRING (13.5315459 46.9073115, 13.5318693 46.9071849, 13.5321475 46.9069585, 13.5322239 46.9068939, 13.5322562 46.90687)",,,,,
239216268,False,,,Holztratte,tertiary,30,True,114.661,"LINESTRING (13.5315459 46.9073115, 13.5312723 46.9075325, 13.530768 46.908031, 13.5306785 46.9081522)",,,,,
175410469,False,,,Gries an der Lieser,residential,30,False,101.681,"LINESTRING (13.5382276 46.9048635, 13.5383847 46.9047903, 13.5385805 46.9046747, 13.5386771 46.9045794, 13.538799 46.9043938, 13.5390149 46.904146)",,,,,
235467843,False,,,Gries an der Lieser,tertiary,30,False,27.811,"LINESTRING (13.5382276 46.9048635, 13.5382747 46.905013, 13.538285 46.9050458, 13.5382718 46.9051088)",,,,,
239298455,False,,,Moostratte,tertiary,30,True,67.746,"LINESTRING (13.5382276 46.9048635, 13.5380839 46.9046686, 13.5378276 46.9043884, 13.5377746 46.9043398)",,,,,
161847269,True,,,Riesertratte,residential,30,False,105.191,"LINESTRING (13.5320287 46.9095047, 13.5318388 46.9094177, 13.5308106 46.9090566)",,,,,
617764499,False,,,Riesertratte,residential,30,False,103.10900000000001,"LINESTRING (13.5320287 46.9095047, 13.5318938 46.9096956, 13.5319557 46.9097728, 13.5321716 46.9098403, 13.5318909 46.910264)",,,,,
75745699,False,,,Riesertratte,residential,30,True,81.29,"LINESTRING (13.5325169 46.9079943, 13.5325592 46.9078457, 13.532809 46.907655, 13.5330373 46.9074619, 13.5331112 46.9074057)",,,,,
229298924,True,,,Riesertratte,residential,30,False,206.241,"LINESTRING (13.5325169 46.9079943, 13.5325195 46.9080896, 13.5328737 46.9083003, 13.5329515 46.9083461, 13.5329626 46.9083879, 13.5329676 46.9084066, 13.5328469 46.9087895, 13.5328093 46.90885, 13.5326913 46.9089526, 13.5325984 46.9090251, 13.5324507 46.9091403, 13.5323622 46.9092646, 13.532181 46.9094054, 13.5320287 46.9095047)",,,,,
233673879,False,,,Riesertratte,residential,30,True,189.96499999999997,"LINESTRING (13.5325169 46.9079943, 13.5323077 46.9079613, 13.5321803 46.9079603, 13.5320168 46.9080016, 13.5317485 46.9081637, 13.531546 46.9082948, 13.5313207 46.9084377, 13.5310477 46.9087643, 13.5308106 46.9090566)",,,,,
117479368,False,,,Pongratzen Vorstadt,residential,30,False,254.618,"LINESTRING (13.5374192 46.9066152, 13.537353 46.9066556, 13.5371398 46.906845, 13.5371451 46.9068746, 13.5371837 46.9069121, 13.5375628 46.9071771, 13.5377207 46.9072845, 13.537969 46.9073816, 13.5390086 46.9077502, 13.5388244 46.9079929, 13.5387507 46.9081049)",,,,,
"[503116448, 283564809, 893424491, 893424492, 175393549, 617868754, 167458903, 67216187, 503116447]",False,2,B99,"['Katschberg Straße', 'Pongratzen Vorstadt']",primary,"['50', '100']",False,495.36,"LINESTRING (13.5374192 46.9066152, 13.5371297 46.9063942, 13.537053 46.9063357, 13.536698 46.9060937, 13.5365137 46.9059581, 13.5362388 46.9057705, 13.536019 46.9056453, 13.5357894 46.9055104, 13.535535 46.9053799, 13.5348918 46.9051442, 13.5342759 46.9049358, 13.5341585 46.9048965, 13.5339973 46.9048415, 13.5331461 46.9045341, 13.5327554 46.9043692, 13.5321438 46.9040687)",,yes,,,
"[283564809, 503168308, 234116727]",False,"['2', '4']",B99,"['Waschanger', 'Pongratzen Vorstadt']",primary,50,True,231.953,"LINESTRING (13.5374192 46.9066152, 13.5379488 46.9069881, 13.5384716 46.9073475, 13.5390806 46.9076538, 13.5392238 46.9077038, 13.5396468 46.9078507, 13.539789 46.9079002)",,,,,
239216268,False,,,Holztratte,tertiary,30,False,238.821,"LINESTRING (13.5296003 46.9101608, 13.5301565 46.9088592, 13.5306785 46.9081522)",,,,,
167458902,False,,,Hintere Gasse,residential,30,False,19.644,"LINESTRING (13.5357727 46.906549, 13.5355495 46.9064598)",,,,,
235446599,False,,,Hintere Gasse,residential,30,False,84.811,"LINESTRING (13.5357727 46.906549, 13.5362371 46.9067314, 13.5365224 46.906846, 13.5367292 46.9069417)",,,,,
"[167458905, 235453002, 167458914, 236475687]",False,,,"['Pongratzen Vorstadt', 'Hintere Gasse']",residential,30,"[False, True]",241.356,"LINESTRING (13.5357727 46.906549, 13.5360051 46.9063284, 13.5360919 46.9062592, 13.5360972 46.9062535, 13.5362375 46.9061445, 13.5354507 46.9057463, 13.5352829 46.9056818, 13.5344989 46.9055321, 13.5342815 46.905591, 13.5340915 46.9056415)",,,destination,building_passage,
167458916,False,,,Kirchgasse,residential,30,False,7.497,"LINESTRING (13.5346597 46.9074665, 13.5347182 46.9074122)",,,,,
235461142,False,,,Kirchgasse,residential,30,True,91.076,"LINESTRING (13.5346597 46.9074665, 13.5355235 46.9080345)",,,,,
235446597,False,,,Kirchgasse,residential,30,True,57.378,"LINESTRING (13.5346597 46.9074665, 13.5345297 46.9074428, 13.5344055 46.9073846, 13.5343303 46.9073495, 13.5341821 46.9072801, 13.5340176 46.9072031)",,,,,
143753908,False,1,,Kirchgasse,residential,30,True,2.804,"LINESTRING (13.5355235 46.9080345, 13.535502 46.908055)",,,destination,,
235461142,False,,,Kirchgasse,residential,30,False,91.076,"LINESTRING (13.5355235 46.9080345, 13.5346597 46.9074665)",,,,,
"[237270400, 235461144, 237270398]",False,1,,"['Kirchgasse', 'Hintere Gasse']",residential,30,True,64.021,"LINESTRING (13.5355235 46.9080345, 13.5355799 46.907997, 13.535653 46.9079108, 13.5357107 46.9077981, 13.5357305 46.9077702, 13.535959 46.9075475)",,,destination,building_passage,
418082534,False,,,Gendarmerieplatz,residential,30,False,14.832999999999998,"LINESTRING (13.5355235 46.9080345, 13.5356053 46.9080289, 13.5357054 46.9080648)",,,destination,,
"[503168314, 503168322, 238841946, 503168311]",False,"['2', '3']",L12,Riesertratte,secondary,50,False,143.438,"LINESTRING (13.5344436 46.9083193, 13.5340929 46.9080672, 13.5337866 46.9078616, 13.5335724 46.9077165, 13.5335496 46.9077011, 13.5331643 46.9074365, 13.5331445 46.9074256, 13.5331112 46.9074057)",,,,,
"[503168321, 236474434, 236474435, 143753908, 143753398]",False,"['1', '2']",,Kirchgasse,residential,30,False,109.839,"LINESTRING (13.5344436 46.9083193, 13.5344911 46.9082952, 13.5346105 46.9082362, 13.5346761 46.9082594, 13.5347425 46.9082829, 13.5350567 46.908394, 13.535172 46.9084116, 13.5352793 46.9082716, 13.535322 46.9082275, 13.535502 46.908055)",,,destination,building_passage,2.3
89375208,False,,,Holztratte,tertiary,,False,109.725,"LINESTRING (13.5301076 46.9073188, 13.5302052 46.9072953, 13.5307099 46.9073007, 13.5315459 46.9073115)",,,,,
156547378,False,,,Holztratte,residential,30,True,144.66199999999998,"LINESTRING (13.5301076 46.9073188, 13.5300352 46.9072141, 13.5298992 46.9067483, 13.5297865 46.9064807, 13.5298045 46.9063418, 13.5299099 46.9062682, 13.5301781 46.9062205)",,,,,
156547391,False,,,Holztratte,residential,30,True,83.726,"LINESTRING (13.5306785 46.9081522, 13.5302854 46.907954, 13.5301674 46.9079613, 13.5300727 46.907991, 13.529968 46.9080895, 13.5298633 46.908216)",,,,,
239216268,False,,,Holztratte,tertiary,30,False,114.661,"LINESTRING (13.5306785 46.9081522, 13.530768 46.908031, 13.5312723 46.9075325, 13.5315459 46.9073115)",,,,,
239216268,False,,,Holztratte,tertiary,30,True,238.821,"LINESTRING (13.5306785 46.9081522, 13.5301565 46.9088592, 13.5296003 46.9101608)",,,,,
156547378,False,,,Holztratte,residential,30,False,144.662,"LINESTRING (13.5301781 46.9062205, 13.5299099 46.9062682, 13.5298045 46.9063418, 13.5297865 46.9064807, 13.5298992 46.9067483, 13.5300352 46.9072141, 13.5301076 46.9073188)",,,,,
156547391,False,,,Holztratte,residential,30,False,83.726,"LINESTRING (13.5298633 46.908216, 13.529968 46.9080895, 13.5300727 46.907991, 13.5301674 46.9079613, 13.5302854 46.907954, 13.5306785 46.9081522)",,,,,
160219828,False,,,Gries an der Lieser,residential,30,True,128.739,"LINESTRING (13.5390149 46.904146, 13.5398702 46.9044707, 13.5403179 46.9046867, 13.5404267 46.9047742)",,,,,
175410469,False,,,Gries an der Lieser,residential,30,False,194.707,"LINESTRING (13.5390149 46.904146, 13.5393574 46.9037402, 13.5397598 46.9033396, 13.5400471 46.9031163, 13.5401193 46.9030284, 13.5401481 46.9029283, 13.540214 46.9027776, 13.5402541 46.902641)",,,,,
175410469,False,,,Gries an der Lieser,residential,30,True,101.68100000000001,"LINESTRING (13.5390149 46.904146, 13.538799 46.9043938, 13.5386771 46.9045794, 13.5385805 46.9046747, 13.5383847 46.9047903, 13.5382276 46.9048635)",,,,,
160219828,False,,,Gries an der Lieser,residential,30,False,128.73899999999998,"LINESTRING (13.5404267 46.9047742, 13.5403179 46.9046867, 13.5398702 46.9044707, 13.5390149 46.904146)",,,,,
167458905,False,,,Pongratzen Vorstadt,residential,30,True,40.631,"LINESTRING (13.5340074 46.9059637, 13.5339807 46.9057061, 13.5340083 46.9056642, 13.5340915 46.9056415)",,,destination,,
167461580,False,,,Pongratzen Vorstadt,residential,30,True,41.736,"LINESTRING (13.5340074 46.9059637, 13.5340144 46.9063169, 13.5340148 46.906339)",,,destination,,
"[229304632, 235451896, 905423127]",False,,,"['Pongratzen Vorstadt', 'Riesertratte']",residential,30,False,173.69,"LINESTRING (13.5340074 46.9059637, 13.5339519 46.9060919, 13.5338737 46.9062723, 13.5338562 46.9063128, 13.533777 46.9064892, 13.5337241 46.9066071, 13.5330763 46.9072194, 13.5330148 46.9073473)",,,destination,,
618006135,False,2,,Hauptplatz,tertiary,30,True,4.037,"LINESTRING (13.5346166 46.9064714, 13.5345702 46.9064537)",,,,,
167458902,False,,,Hintere Gasse,residential,30,True,99.21600000000001,"LINESTRING (13.5346166 46.9064714, 13.5348369 46.906178, 13.5355495 46.9064598)",,,,,
"[239216263, 618006132, 618006135]",False,2,,Hauptplatz,tertiary,30,False,59.135999999999996,"LINESTRING (13.5346166 46.9064714, 13.5348271 46.9065467, 13.5351777 46.9067019, 13.5352844 46.9067438)",,,,,
235446594,False,1,,Hauptplatz,residential,30,True,13.359,"LINESTRING (13.5353573 46.9067758, 13.5352675 46.9068791)",,,,,
239216263,False,2,,Hauptplatz,tertiary,30,True,6.583,"LINESTRING (13.5353573 46.9067758, 13.5352844 46.9067438)",,,,,
239216263,False,2,,Hauptplatz,tertiary,30,False,84.021,"LINESTRING (13.5353573 46.9067758, 13.5358361 46.906994, 13.5362774 46.9071951)",,,,,
235462082,False,1,,Hintere Gasse,residential,30,True,42.656,"LINESTRING (13.5350549 46.9071052, 13.5347182 46.9074122)",,,,,
235446602,False,,,Hintere Gasse,residential,30,False,84.583,"LINESTRING (13.5350549 46.9071052, 13.5354389 46.9073165, 13.535959 46.9075475)",,,,,
235446602,False,,,Hintere Gasse,residential,30,True,67.63,"LINESTRING (13.5350549 46.9071052, 13.5347799 46.906968, 13.5346652 46.906902, 13.5344666 46.9067988, 13.5343679 46.9067214)",,,,,
"[237254098, 235462082, 237254100]",False,1,,Hintere Gasse,residential,30,False,29.882,"LINESTRING (13.5350549 46.9071052, 13.5351644 46.906989, 13.5352159 46.9069341, 13.5352675 46.9068791)",,,,building_passage,
167458921,False,1,,Hauptplatz,residential,30,False,13.933,"LINESTRING (13.5362774 46.9071951, 13.5361803 46.9073014)",,,,,
238841943,False,2,,Hauptplatz,tertiary,30,False,12.101,"LINESTRING (13.5362774 46.9071951, 13.5364079 46.9072575)",,,,,
239216263,False,2,,Hauptplatz,tertiary,30,True,84.021,"LINESTRING (13.5362774 46.9071951, 13.5358361 46.906994, 13.5353573 46.9067758)",,,,,
238368015,False,2,L12,Riesertratte,secondary,50,True,9.788,"LINESTRING (13.5330148 46.9073473, 13.5331112 46.9074057)",,,,,
"[235451896, 229304632, 905423127]",False,,,"['Pongratzen Vorstadt', 'Riesertratte']",residential,30,True,173.69,"LINESTRING (13.5330148 46.9073473, 13.5330763 46.9072194, 13.5337241 46.9066071, 13.533777 46.9064892, 13.5338562 46.9063128, 13.5338737 46.9062723, 13.5339519 46.9060919, 13.5340074 46.9059637)",,,destination,,
"[67216204, 67216196, 238368015]",False,2,L12,"['Holztratte', 'Riesertratte']",secondary,50,False,78.358,"LINESTRING (13.5330148 46.9073473, 13.5328396 46.9072438, 13.5324218 46.906973, 13.5323725 46.9069428, 13.5322562 46.90687)",,yes,,,
235462081,False,,,Hintere Gasse,residential,30,True,40.661,"LINESTRING (13.5367592 46.9074355, 13.5364911 46.907752)",,,destination,,
239298454,False,2,,Hauptplatz,tertiary,30,True,33.226,"LINESTRING (13.5367592 46.9074355, 13.5364079 46.9072575)",,,,,
"[238841942, 239298454]",False,2,,Hauptplatz,tertiary,30,False,18.172,"LINESTRING (13.5367592 46.9074355, 13.5369078 46.9075035, 13.5369579 46.9075265)",,,,,
"[236431825, 236431822, 235446598]",True,1,,Hintere Gasse,residential,30,False,32.144,"LINESTRING (13.535959 46.9075475, 13.536065 46.9074208, 13.5361479 46.9073306, 13.5361803 46.9073014)",,,destination,building_passage,
235446602,False,,,Hintere Gasse,residential,30,False,46.568,"LINESTRING (13.535959 46.9075475, 13.5361648 46.9076413, 13.5362988 46.9076984, 13.5364911 46.907752)",,,,,
235446602,False,,,Hintere Gasse,residential,30,True,84.583,"LINESTRING (13.535959 46.9075475, 13.5354389 46.9073165, 13.5350549 46.9071052)",,,,,
"[235461144, 237270400, 237270398]",False,1,,"['Kirchgasse', 'Hintere Gasse']",residential,30,False,64.021,"LINESTRING (13.535959 46.9075475, 13.5357305 46.9077702, 13.5357107 46.9077981, 13.535653 46.9079108, 13.5355799 46.907997, 13.5355235 46.9080345)",,,destination,building_passage,
