osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
"[41884104, 1052318245]",,Putstraat,residential,30,True,False,44.66,"LINESTRING (3.1010059 51.0653417, 3.1008821 51.0653277, 3.100474 51.0652655, 3.1003858 51.0652462)",,,
41884104,,Putstraat,residential,30,True,False,57.431,"LINESTRING (3.1003858 51.0652462, 3.0996482 51.0650184)",,,
41849724,,Nieuwstraat,residential,30,True,False,66.987,"LINESTRING (3.0996482 51.0650184, 3.0997623 51.0648977, 3.0998457 51.0648408, 3.0999259 51.0647941, 3.0999781 51.0647671, 3.1000375 51.0647354, 3.1000958 51.0647194, 3.1003172 51.0645982)",,,
57936202,,Bruggestraat,tertiary,30,False,True,75.992,"LINESTRING (3.10328 51.06854, 3.1031355 51.0683812, 3.1029879 51.0682254, 3.1028249 51.0680563, 3.1027248 51.0679524)",,,
418132799,,Bruggestraat,tertiary,30,True,False,41.690000000000005,"LINESTRING (3.10328 51.06854, 3.1033836 51.0686124, 3.1035649 51.0687902, 3.1036229 51.0688457)",,,
"[52830466, 249712043, 249712052, 249712054]",,Elisabethlaan,residential,50,False,False,126.35900000000001,"LINESTRING (3.1052243 51.0643527, 3.1052287 51.0642628, 3.1052335 51.064163, 3.1052324 51.0639816, 3.1052641 51.0637489, 3.1053361 51.0632192)",,,
"[249712042, 249712045, 249712047, 249712048, 249712050]",,Elisabethlaan,residential,50,True,False,48.347,"LINESTRING (3.1052243 51.0643527, 3.1052405 51.0644268, 3.105256 51.0644974, 3.1052696 51.0645594, 3.105275 51.0645862, 3.105302 51.0647846)",,,
52520632,,'s Gravenwinkelstraat,residential,,False,True,91.034,"LINESTRING (3.0991249 51.0663125, 3.0991658 51.0663934, 3.0991932 51.0664404, 3.0992432 51.0665263, 3.0993054 51.066642, 3.0994159 51.0668474, 3.0995416 51.0670881)",,,
54428188,,'s Gravenwinkelstraat,residential,,True,False,86.58100000000002,"LINESTRING (3.0991249 51.0663125, 3.0990393 51.0662322, 3.0989576 51.066159, 3.0988872 51.066096, 3.098778 51.065986, 3.0985891 51.0656912, 3.0985527 51.065627)",,,
133360300,,Oostendestraat,tertiary,,False,True,11.371,"LINESTRING (3.0985527 51.065627, 3.0983982 51.0656591)",,,
