osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry
78389067,,,,residential,,False,True,6.517,"LINESTRING (72.69147 55.1563365, 72.691422 55.1562847)"
"[100103747, 78389067]",,,,residential,,False,"[False, True]",473.309,"LINESTRING (72.69147 55.1563365, 72.6931719 55.1582501, 72.6946455 55.1578414, 72.6961121 55.1573718, 72.6963037 55.1572937, 72.6963826 55.1572285)"
230589027,,,Почтовая улица,residential,,False,True,90.37,"LINESTRING (72.6981855 55.1588129, 72.6977879 55.158453, 72.6973935 55.1581382)"
330609464,,,,residential,,False,False,122.38399999999999,"LINESTRING (72.6981855 55.1588129, 72.697142 55.1591774, 72.696857 55.1592913, 72.6966097 55.1594373)"
330609464,,,,residential,,False,True,229.175,"LINESTRING (72.6981855 55.1588129, 72.6986441 55.1586839, 72.6996202 55.1583779, 72.7005142 55.1580862, 72.7010507 55.1579013, 72.7013502 55.1578265)"
79298960,,,,residential,,False,True,71.069,"LINESTRING (72.7062343 55.1549803, 72.7058233 55.1547357, 72.7054249 55.1545402)"
100103738,,,Ремесленная улица,residential,,False,True,79.846,"LINESTRING (72.7056665 55.1529108, 72.7045921 55.1532833)"
79298960,,,,residential,,False,False,117.774,"LINESTRING (72.7037958 55.1535884, 72.7046212 55.1541351, 72.7050594 55.1543609)"
100103738,,,Ремесленная улица,residential,,False,False,60.914,"LINESTRING (72.7037958 55.1535884, 72.7040652 55.1534852, 72.7045921 55.1532833)"
100103738,,,Ремесленная улица,residential,,False,True,97.598,"LINESTRING (72.7037958 55.1535884, 72.7030859 55.1538481, 72.702502 55.1540616)"
100103738,,,Ремесленная улица,residential,,False,False,79.846,"LINESTRING (72.7045921 55.1532833, 72.7056665 55.1529108)"
100103738,,,Ремесленная улица,residential,,False,True,60.914,"LINESTRING (72.7045921 55.1532833, 72.7040652 55.1534852, 72.7037958 55.1535884)"
330609490,,,,residential,,False,True,144.889,"LINESTRING (72.7045921 55.1532833, 72.7055388 55.1541173, 72.7059018 55.1543463)"
100103738,,,Ремесленная улица,residential,,False,False,97.598,"LINESTRING (72.702502 55.1540616, 72.7030859 55.1538481, 72.7037958 55.1535884)"
"[367192504, 100103738]",,,Ремесленная улица,"['residential', 'unclassified']",,False,"[False, True]",477.88599999999997,"LINESTRING (72.702502 55.1540616, 72.7021341 55.1541949, 72.7016704 55.1543629, 72.7007905 55.1547936, 72.7003342 55.1549935, 72.6996781 55.1552482, 72.6986111 55.1556496, 72.6975444 55.1560007, 72.697313 55.1561065, 72.6971402 55.1562284, 72.6974324 55.1563752, 72.6978489 55.1565732)"
330609495,,,,residential,,False,False,142.432,"LINESTRING (72.702502 55.1540616, 72.7027801 55.1542902, 72.7039112 55.1550566)"
330609490,,,,residential,,False,False,144.889,"LINESTRING (72.7059018 55.1543463, 72.7055388 55.1541173, 72.7045921 55.1532833)"
79298960,,,,residential,,False,False,30.606,"LINESTRING (72.7050594 55.1543609, 72.7054249 55.1545402)"
330609508,,,,residential,,False,True,106.329,"LINESTRING (72.7050594 55.1543609, 72.7039112 55.1550566)"
79298960,,,,residential,,False,True,117.774,"LINESTRING (72.7050594 55.1543609, 72.7046212 55.1541351, 72.7037958 55.1535884)"
79298960,,,,residential,,False,True,30.606,"LINESTRING (72.7054249 55.1545402, 72.7050594 55.1543609)"
