osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge,width
173560055,улица Гагарина,residential,False,False,196.789,"LINESTRING (20.5124675 54.425823, 20.5136393 54.4241898)",,,,
173560037,Школьный переулок,residential,False,True,218.747,"LINESTRING (20.5155811 54.4265905, 20.5124675 54.425823)",,,,
173560042,Олимпийская улица,tertiary,False,True,5.101,"LINESTRING (20.5155811 54.4265905, 20.5156203 54.4265507)",,27К-232,,
173560044,улица Чапаева,residential,False,False,120.485,"LINESTRING (20.52032 54.4267604, 20.5210991 54.4257762)",,,,
700651588,Первомайская улица,residential,False,True,198.761,"LINESTRING (20.52032 54.4267604, 20.5175709 54.425962)",,,,
173560036,улица Шанина,residential,False,False,197.86599999999999,"LINESTRING (20.5238068 54.4211645, 20.523846 54.4208016, 20.5238157 54.4201861, 20.5237757 54.4196075, 20.5237796 54.4193865)",,,,
173560036,улица Шанина,residential,False,True,30.194000000000003,"LINESTRING (20.5238068 54.4211645, 20.5238014 54.4212944, 20.5237882 54.4214358)",,,,
173741061,,unclassified,False,False,197.484,"LINESTRING (20.5238068 54.4211645, 20.5236709 54.4211634, 20.5208114 54.4211402, 20.5207546 54.4211397)",,,,
185658659,Советская улица,residential,False,True,44.282,"LINESTRING (20.5207546 54.4211397, 20.5207368 54.4215378)",,,,
"[847190780, 173741061]",,"['unclassified', 'living_street']",False,"[False, True]",250.24,"LINESTRING (20.5207546 54.4211397, 20.5185487 54.4211553, 20.518325 54.4211944, 20.5182177 54.4214878, 20.5181345 54.4217921, 20.5180568 54.4220104)",,,,
173741061,,unclassified,False,True,197.484,"LINESTRING (20.5207546 54.4211397, 20.5208114 54.4211402, 20.5236709 54.4211634, 20.5238068 54.4211645)",,,,
185658659,Советская улица,residential,False,False,205.92,"LINESTRING (20.5207546 54.4211397, 20.5207466 54.420876, 20.5207283 54.4192879)",,,,
80433000,,residential,False,False,198.02300000000002,"LINESTRING (20.5207283 54.4192879, 20.5217932 54.419316, 20.5224268 54.4193643, 20.5227591 54.4193897, 20.5233315 54.4193861, 20.5237796 54.4193865)",,,,
185658659,Советская улица,residential,False,True,205.92,"LINESTRING (20.5207283 54.4192879, 20.5207466 54.420876, 20.5207546 54.4211397)",,,,
80433000,,residential,False,True,198.023,"LINESTRING (20.5237796 54.4193865, 20.5233315 54.4193861, 20.5227591 54.4193897, 20.5224268 54.4193643, 20.5217932 54.419316, 20.5207283 54.4192879)",,,,
173560036,улица Шанина,residential,False,True,197.86599999999999,"LINESTRING (20.5237796 54.4193865, 20.5237757 54.4196075, 20.5238157 54.4201861, 20.523846 54.4208016, 20.5238068 54.4211645)",,,,
173560051,Заводская улица,residential,False,False,122.546,"LINESTRING (20.5183969 54.4249702, 20.5175709 54.425962)",,,,
173560051,Заводская улица,residential,False,True,116.639,"LINESTRING (20.5183969 54.4249702, 20.5191555 54.4240186)",,,,
700651587,улица Свободы,residential,False,False,196.439,"LINESTRING (20.5183969 54.4249702, 20.5210991 54.4257762)",,,,
173560044,улица Чапаева,residential,False,False,110.211,"LINESTRING (20.5210991 54.4257762, 20.5218496 54.4248864)",,,,
173560044,улица Чапаева,residential,False,True,120.485,"LINESTRING (20.5210991 54.4257762, 20.52032 54.4267604)",,,,
700651587,улица Свободы,residential,False,True,196.439,"LINESTRING (20.5210991 54.4257762, 20.5183969 54.4249702)",,,,
700651592,Комсомольская улица,residential,False,False,221.88199999999998,"LINESTRING (20.5210991 54.4257762, 20.5230416 54.4263029, 20.5239475 54.4265238, 20.5242507 54.4265411)",,,,
173560051,Заводская улица,residential,False,True,122.546,"LINESTRING (20.5175709 54.425962, 20.5183969 54.4249702)",,,,
700651588,Первомайская улица,residential,False,False,198.761,"LINESTRING (20.5175709 54.425962, 20.52032 54.4267604)",,,,
173560042,Олимпийская улица,tertiary,False,False,5.101,"LINESTRING (20.5156203 54.4265507, 20.5155811 54.4265905)",,27К-232,,
173560042,Олимпийская улица,tertiary,False,True,360.696,"LINESTRING (20.5156203 54.4265507, 20.5156567 54.4265137, 20.5173719 54.4244475, 20.518054 54.4236323)",,27К-232,,
700651590,улица Паршина,residential,False,False,176.208,"LINESTRING (20.5242507 54.4265411, 20.5243345 54.4260532, 20.5243252 54.4257109, 20.5241556 54.4249654)",,,,
700651592,Комсомольская улица,residential,False,True,221.882,"LINESTRING (20.5242507 54.4265411, 20.5239475 54.4265238, 20.5230416 54.4263029, 20.5210991 54.4257762)",,,,
173560034,Почтовая улица,residential,False,False,107.84100000000001,"LINESTRING (20.5241556 54.4249654, 20.5242044 54.4249676, 20.5243076 54.4249599, 20.5245423 54.4249426, 20.5253413 54.4247866, 20.5257757 54.4247773)",,,,
173560034,Почтовая улица,residential,False,True,149.462,"LINESTRING (20.5241556 54.4249654, 20.5229656 54.4249114, 20.5218496 54.4248864)",,,,
700651590,улица Паршина,residential,False,True,176.208,"LINESTRING (20.5241556 54.4249654, 20.5243252 54.4257109, 20.5243345 54.4260532, 20.5242507 54.4265411)",,,,
976256354,,tertiary,False,False,76.081,"LINESTRING (20.5180568 54.4220104, 20.519195 54.4221825)",2,27К-141,,
"[847190780, 173741061]",,"['living_street', 'unclassified']",False,"[False, True]",250.24,"LINESTRING (20.5180568 54.4220104, 20.5181345 54.4217921, 20.5182177 54.4214878, 20.518325 54.4211944, 20.5185487 54.4211553, 20.5207546 54.4211397)",,,,
