osmid,oneway,name,highway,maxspeed,access,reversed,length,bridge,geometry,ref
115403126,False,улица Ленина,tertiary,60,yes,False,248.44600000000003,,"LINESTRING (64.6388536 57.0593186, 64.6378864 57.0594083, 64.6369401 57.0597232, 64.6353262 57.0603823)",
112620841,False,улица Войкова,residential,60,yes,True,184.981,,"LINESTRING (64.6391618 57.0605292, 64.6366532 57.0614815)",
126581159,False,Школьная улица,residential,60,,False,135.896,,"LINESTRING (64.6391618 57.0605292, 64.6388536 57.0593186)",
"[112620841, 115403133]",False,улица Войкова,residential,60,yes,False,213.66400000000002,,"LINESTRING (64.6391618 57.0605292, 64.640572 57.0600303, 64.6411287 57.0598156, 64.6412853 57.0596516, 64.6412982 57.0594901, 64.641269 57.0592014)",
400630609,False,,residential,,,False,64.349,,"LINESTRING (64.6391618 57.0605292, 64.639343 57.0607602, 64.6394038 57.0610861)",
170690307,False,,residential,,,False,117.64599999999999,,"LINESTRING (64.6325542 57.0549962, 64.6337687 57.0547899, 64.6344097 57.0546782)",
1018990597,False,Пионерская улица,residential,60,yes,True,450.64300000000003,,"LINESTRING (64.6325542 57.0549962, 64.6336314 57.0565914, 64.6338685 57.0569686, 64.6342521 57.057478, 64.634507 57.0578166, 64.6351833 57.0587877)",
127318910,False,Советская улица,residential,60,,False,107.927,,"LINESTRING (64.636916 57.0585546, 64.6351833 57.0587877)",
127318910,False,Советская улица,residential,60,,True,107.927,,"LINESTRING (64.6351833 57.0587877, 64.636916 57.0585546)",
127318910,False,Советская улица,residential,60,,False,108.145,,"LINESTRING (64.6351833 57.0587877, 64.6342719 57.0589026, 64.6338631 57.0589671, 64.6334581 57.0590412)",
1018990597,False,Пионерская улица,residential,60,yes,False,450.64300000000003,,"LINESTRING (64.6351833 57.0587877, 64.634507 57.0578166, 64.6342521 57.057478, 64.6338685 57.0569686, 64.6336314 57.0565914, 64.6325542 57.0549962)",
127318910,False,Советская улица,residential,60,,True,108.14500000000001,,"LINESTRING (64.6334581 57.0590412, 64.6338631 57.0589671, 64.6342719 57.0589026, 64.6351833 57.0587877)",
127318921,False,улица Пушкина,residential,60,yes,False,187.35,,"LINESTRING (64.6334581 57.0590412, 64.6336501 57.0592296, 64.6353262 57.0603823)",
115403126,False,улица Ленина,tertiary,60,yes,False,125.674,,"LINESTRING (64.6353262 57.0603823, 64.6336927 57.0610812)",
115403126,False,улица Ленина,tertiary,60,yes,True,248.446,,"LINESTRING (64.6353262 57.0603823, 64.6369401 57.0597232, 64.6378864 57.0594083, 64.6388536 57.0593186)",
127318921,False,улица Пушкина,residential,60,yes,False,146.207,,"LINESTRING (64.6353262 57.0603823, 64.6353867 57.0604324, 64.6366532 57.0614815)",
127318921,False,улица Пушкина,residential,60,yes,True,187.35,,"LINESTRING (64.6353262 57.0603823, 64.6336501 57.0592296, 64.6334581 57.0590412)",
112620841,False,улица Войкова,residential,60,yes,False,184.981,,"LINESTRING (64.6366532 57.0614815, 64.6391618 57.0605292)",
112620841,False,улица Войкова,residential,60,yes,True,122.252,,"LINESTRING (64.6366532 57.0614815, 64.6349883 57.0621054)",
127318921,False,улица Пушкина,residential,60,yes,True,146.207,,"LINESTRING (64.6366532 57.0614815, 64.6353867 57.0604324, 64.6353262 57.0603823)",
127318923,False,улица им. Генерала Федюнинского,tertiary,60,,True,122.38,,"LINESTRING (64.6475839 57.0551568, 64.6474563 57.0562552)",65К-0003401
127564626,False,Полевая улица,residential,,,True,72.645,,"LINESTRING (64.6485911 57.0566868, 64.6473919 57.0566477)",
170690307,False,,residential,,,True,117.64599999999999,,"LINESTRING (64.6344097 57.0546782, 64.6337687 57.0547899, 64.6325542 57.0549962)",
170690319,False,Комсомольская улица,residential,,,True,282.973,,"LINESTRING (64.6344097 57.0546782, 64.635165 57.0557973, 64.6358302 57.0567366, 64.6360178 57.0570674)",
115403126,False,улица Ленина,tertiary,60,yes,True,125.674,,"LINESTRING (64.6336927 57.0610812, 64.6353262 57.0603823)",
170690322,False,Коммунальная улица,residential,,,True,138.236,,"LINESTRING (64.6336927 57.0610812, 64.6345964 57.0617831, 64.6349883 57.0621054)",
112620841,False,улица Войкова,residential,60,yes,False,122.252,,"LINESTRING (64.6349883 57.0621054, 64.6366532 57.0614815)",
170690280,False,Коммунальная улица,residential,,,False,151.14100000000002,,"LINESTRING (64.6349883 57.0621054, 64.6354655 57.0625415, 64.636431 57.0632123)",
170690322,False,Коммунальная улица,residential,,,False,138.236,,"LINESTRING (64.6349883 57.0621054, 64.6345964 57.0617831, 64.6336927 57.0610812)",
170690323,False,Восточная улица,residential,,,True,119.71,,"LINESTRING (64.6480396 57.0623839, 64.6473442 57.0633919)",
170690323,False,Восточная улица,residential,,,False,119.71,,"LINESTRING (64.6473442 57.0633919, 64.6480396 57.0623839)",
170690297,False,Заречная улица,residential,,,True,162.835,,"LINESTRING (64.6473442 57.0633919, 64.6461718 57.0631245, 64.6454025 57.0629556, 64.6448874 57.0627966)",
170690319,False,Комсомольская улица,residential,,,False,282.973,,"LINESTRING (64.6360178 57.0570674, 64.6358302 57.0567366, 64.635165 57.0557973, 64.6344097 57.0546782)",
127318923,False,улица им. Генерала Федюнинского,tertiary,60,,False,43.817,,"LINESTRING (64.6473919 57.0566477, 64.6474563 57.0562552)",65К-0003401
127564626,False,Полевая улица,residential,,,False,72.645,,"LINESTRING (64.6473919 57.0566477, 64.6485911 57.0566868)",
127318923,False,улица им. Генерала Федюнинского,tertiary,60,,True,328.571,,"LINESTRING (64.6473919 57.0566477, 64.64715 57.05788, 64.6470674 57.0583006, 64.646815 57.0595859)",65К-0003401
170690280,False,Коммунальная улица,residential,,,True,151.14100000000002,,"LINESTRING (64.636431 57.0632123, 64.6354655 57.0625415, 64.6349883 57.0621054)",
"[400630635, 400630634, 112511043]",False,улица Федюнинского,residential,60,,False,152.09300000000002,yes,"LINESTRING (64.6464641 57.0609149, 64.646704 57.0606379, 64.6468176 57.0604302, 64.6468445 57.0600798, 64.64684 57.0598803, 64.646815 57.0595859)",
112511043,False,улица Федюнинского,residential,60,,True,229.94500000000002,,"LINESTRING (64.6464641 57.0609149, 64.6457074 57.0617883, 64.6449592 57.0627068, 64.6448874 57.0627966)",
400630609,False,,residential,,,True,64.349,,"LINESTRING (64.6394038 57.0610861, 64.639343 57.0607602, 64.6391618 57.0605292)",
112511043,False,улица Федюнинского,residential,60,,False,229.945,,"LINESTRING (64.6448874 57.0627966, 64.6449592 57.0627068, 64.6457074 57.0617883, 64.6464641 57.0609149)",
170690297,False,Заречная улица,residential,,,False,162.83499999999998,,"LINESTRING (64.6448874 57.0627966, 64.6454025 57.0629556, 64.6461718 57.0631245, 64.6473442 57.0633919)",
