osmid,oneway,highway,maxspeed,reversed,length,lanes,name,geometry,width,service
1138624634,False,tertiary,50,True,9.614,2,улица Маслакова,"LINESTRING (132.346375 43.1133908, 132.3463029 43.1133222)",,
478986324,False,tertiary,,True,10.014,,улица Приморского Комсомола,"LINESTRING (132.347979 43.1087311, 132.3478765 43.1087812)",,
108247078,True,secondary,40,False,329.193,,улица Карла Маркса,"LINESTRING (132.347979 43.1087311, 132.3481265 43.108876, 132.3495166 43.1104165, 132.350069 43.1110495, 132.35019 43.1112117)",,
1138587645,False,secondary,40,False,70.62,4,улица Карла Маркса,"LINESTRING (132.3507799 43.1116785, 132.35019 43.1112117)",15,
118021607,False,tertiary,,False,331.5899999999999,,улица Аллея Труда,"LINESTRING (132.3507799 43.1116785, 132.3510147 43.1115736, 132.351233 43.1115425, 132.3518268 43.1114409, 132.352082 43.1113979, 132.3523811 43.1113456, 132.3524663 43.1113239, 132.3527949 43.1112575, 132.3528595 43.1112551, 132.3531195 43.1112455, 132.3533612 43.1112555, 132.3534313 43.1112581, 132.3537158 43.1113043, 132.3539881 43.1113901, 132.3541383 43.1114491, 132.3543177 43.111531, 132.3543841 43.1115574, 132.3545414 43.1116318, 132.3546304 43.1116739)",,
"[1248803623, 108247079, 1247587722, 1247582357, 593481558, 1247985212]",False,secondary,40,True,470.39400000000006,4,улица Карла Маркса,"LINESTRING (132.3507799 43.1116785, 132.3509324 43.1117843, 132.3513187 43.1120523, 132.3515028 43.1121922, 132.3517117 43.1123497, 132.3518756 43.1124901, 132.3520101 43.1126006, 132.3526932 43.1132513, 132.3530675 43.1135932, 132.3532534 43.1137715, 132.3533274 43.1138398, 132.3535281 43.1140206, 132.3538352 43.114309, 132.3539176 43.1143861, 132.3540121 43.1144745, 132.3542417 43.1147002, 132.3544339 43.1148778, 132.3544382 43.1148818, 132.3544833 43.1149235)",15,
118021607,False,tertiary,,True,331.59,,улица Аллея Труда,"LINESTRING (132.3546304 43.1116739, 132.3545414 43.1116318, 132.3543841 43.1115574, 132.3543177 43.111531, 132.3541383 43.1114491, 132.3539881 43.1113901, 132.3537158 43.1113043, 132.3534313 43.1112581, 132.3533612 43.1112555, 132.3531195 43.1112455, 132.3528595 43.1112551, 132.3527949 43.1112575, 132.3524663 43.1113239, 132.3523811 43.1113456, 132.352082 43.1113979, 132.3518268 43.1114409, 132.351233 43.1115425, 132.3510147 43.1115736, 132.3507799 43.1116785)",,
118042716,False,unclassified,,False,169.41899999999998,,,"LINESTRING (132.3546304 43.1116739, 132.3545848 43.1117497, 132.3540632 43.112101, 132.3540187 43.1121304, 132.3537416 43.1123107, 132.3534704 43.1124583, 132.3533727 43.1125003, 132.3530649 43.1126644)",,drive-through
478986324,False,tertiary,,False,10.014,,улица Приморского Комсомола,"LINESTRING (132.3478765 43.1087812, 132.347979 43.1087311)",,
215294637,True,secondary,40,False,119.723,4,улица Карла Маркса,"LINESTRING (132.3478765 43.1087812, 132.3477202 43.1086279, 132.346987 43.1079224)",15,
118042716,False,unclassified,,True,169.41899999999998,,,"LINESTRING (132.3530649 43.1126644, 132.3533727 43.1125003, 132.3534704 43.1124583, 132.3537416 43.1123107, 132.3540187 43.1121304, 132.3540632 43.112101, 132.3545848 43.1117497, 132.3546304 43.1116739)",,drive-through
478985475,False,residential,,False,207.364,,улица Блюхера,"LINESTRING (132.346987 43.1079224, 132.3468444 43.1080053, 132.3465015 43.1082046, 132.3463743 43.108271, 132.3458925 43.1085349, 132.3454194 43.1087942, 132.3449475 43.1090448)",,
215294637,True,secondary,40,False,148.53300000000002,4,улица Карла Маркса,"LINESTRING (132.3489135 43.1098813, 132.3483639 43.1092719, 132.3480264 43.1089283, 132.3478765 43.1087812)",15,
478986482,False,residential,,False,210.781,,улица Адмирала Макарова,"LINESTRING (132.3489135 43.1098813, 132.3487932 43.1099494, 132.3485695 43.110078, 132.3480902 43.1103575, 132.3478946 43.1104908, 132.3475508 43.1107212, 132.347342 43.1108396, 132.3469792 43.1110433, 132.3469101 43.1110852)",,
108247154,True,secondary_link,40,False,2.168,,,"LINESTRING (132.3549993 43.1154329, 132.3549831 43.1154174)",,
108247154,True,secondary_link,40,False,3.156,,,"LINESTRING (132.355248 43.1154381, 132.3552175 43.1154557)",,
108247077,True,tertiary_link,50,False,35.726,,,"LINESTRING (132.3552175 43.1154557, 132.3549379 43.115618, 132.3548725 43.1156552)",,
108247154,True,secondary_link,40,False,19.386,,,"LINESTRING (132.3552175 43.1154557, 132.3551778 43.1154689, 132.3551492 43.1154734, 132.3551014 43.1154731, 132.3550706 43.1154675, 132.3550394 43.1154569, 132.3550148 43.115444, 132.3549993 43.1154329)",,
478985666,False,residential,,True,41.738,,улица Аллея Труда,"LINESTRING (132.3480187 43.1124795, 132.3480592 43.1125558, 132.3480794 43.1125939, 132.348101 43.1126314, 132.3481193 43.1126673, 132.3481823 43.1128348)",,
1138624633,True,tertiary,RU:urban,False,167.54399999999998,2,улица Аллея Труда,"LINESTRING (132.3480187 43.1124795, 132.3477844 43.1126055, 132.346375 43.1133908)",,
478985666,False,residential,,False,364.93800000000005,,улица Аллея Труда,"LINESTRING (132.350192 43.1161275, 132.3496996 43.1153724, 132.3489869 43.1147632, 132.3487391 43.1142597, 132.3484578 43.1137098, 132.3483675 43.1133943, 132.3483023 43.1131998)",,
478985475,False,residential,,True,207.36399999999998,,улица Блюхера,"LINESTRING (132.3449475 43.1090448, 132.3454194 43.1087942, 132.3458925 43.1085349, 132.3463743 43.108271, 132.3465015 43.1082046, 132.3468444 43.1080053, 132.346987 43.1079224)",,
478986482,False,residential,,True,210.781,,улица Адмирала Макарова,"LINESTRING (132.3469101 43.1110852, 132.3469792 43.1110433, 132.347342 43.1108396, 132.3475508 43.1107212, 132.3478946 43.1104908, 132.3480902 43.1103575, 132.3485695 43.110078, 132.3487932 43.1099494, 132.3489135 43.1098813)",,
478985666,False,residential,,True,41.739,,улица Аллея Труда,"LINESTRING (132.3481823 43.1128348, 132.3483023 43.1131998)",,
478986152,False,living_street,,True,9.355,,,"LINESTRING (132.3481823 43.1128348, 132.3481 43.1128937)",,
478985666,False,residential,,False,41.738,,улица Аллея Труда,"LINESTRING (132.3481823 43.1128348, 132.3481193 43.1126673, 132.348101 43.1126314, 132.3480794 43.1125939, 132.3480592 43.1125558, 132.3480187 43.1124795)",,
478986152,False,living_street,,False,9.355,,,"LINESTRING (132.3481 43.1128937, 132.3481823 43.1128348)",,
478985666,False,residential,,False,41.739,,улица Аллея Труда,"LINESTRING (132.3483023 43.1131998, 132.3481823 43.1128348)",,
478985666,False,residential,,True,364.938,,улица Аллея Труда,"LINESTRING (132.3483023 43.1131998, 132.3483675 43.1133943, 132.3484578 43.1137098, 132.3487391 43.1142597, 132.3489869 43.1147632, 132.3496996 43.1153724, 132.350192 43.1161275)",,
478986621,False,living_street,,False,119.56300000000002,,,"LINESTRING (132.3483023 43.1131998, 132.3484697 43.1131811, 132.3485303 43.1131663, 132.3485743 43.1131383, 132.3485982 43.1131024, 132.3484423 43.1124707, 132.348368 43.1123913, 132.3482971 43.1123246)",,
478986621,False,living_street,,True,119.563,,,"LINESTRING (132.3482971 43.1123246, 132.348368 43.1123913, 132.3484423 43.1124707, 132.3485982 43.1131024, 132.3485743 43.1131383, 132.3485303 43.1131663, 132.3484697 43.1131811, 132.3483023 43.1131998)",,
1138624633,True,tertiary,RU:urban,False,28.417,2,улица Аллея Труда,"LINESTRING (132.3482971 43.1123246, 132.3481216 43.1124241, 132.3480187 43.1124795)",,
